source_headword	SV	example_SV
prey	ett byte	Ugglor jagar byten på natten.
privatization	en privatisering	Privatiseringen förändrade järnvägssystemet.
privilege	ett privilegium	Utbildning bör inte vara ett privilegium.
probe	en utredning	Utredningen avslöjade allvarliga fel.
problematic	problematisk	Avtalet förblir problematiskt.
proceedings	en förhandling	Domstolsförhandlingarna startade i måndags.
proceeds	intäkterna	Intäkterna kommer att stödja lokala skolor.
processing	en bearbetning	Bildbehandling tar tid.
processor	en processor	Processorn slutade fungera under testningen.
proclaim	utropa	Ledare utropar seger för tidigt.
productive	produktiv	Mötet var produktivt.
productivity	en produktivitet	Produktiviteten förbättrades efter utbildningen.
profitable	lönsam	Butiken blev lönsam i år.
profound	djupgående	Talet hade en djupgående effekt.
projection	en prognos	Prognosen visar en stadig tillväxt.
prominent	framstående	Hon blev en framstående forskare.
pronounced	uttalad	Hans accent blev mer uttalad.
propaganda	en propaganda	Kampanjen använde propaganda på nätet.
proposition	ett förslag	Förslaget är ett riskabelt åtagande.
prosecute	åtala	Tjänstemän åtalar allvarliga bedrägerifall.
prosecution	ett åtal	Åklagarsidan presenterade nya bevis.
prosecutor	en åklagare	Åklagaren förhörde vittnet.
prospective	blivande	Blivande studenter fick en rundtur på campus.
prosperity	ett välstånd	Handel medförde välstånd till regionen.
protective	skyddande	Hon bar skyddande handskar.
protocol	ett protokoll	Protokollet kräver skriftligt godkännande.
province	en provins	Provinsen investerade i transport.
provincial	regional	Regionala tjänstemän tillkännagav planen.
provision	en bestämmelse	Kontraktet innehåller en säkerhetsbestämmelse.
provoke	framkalla	Talet kan framkalla starka reaktioner.
psychiatric	psykiatrisk	Sjukhuset öppnade en psykiatrisk avdelning.
pulse	en puls	Sjuksköterskan kontrollerade hans puls.
pump	en pump	Pumpen flyttar vatten uppåt.
punch	ett slag	Han delade ut ett slag i ilska.
query	en fråga	Skicka din fråga till supporten.
quest	ett sökande	Deras sökande efter rättvisa fortsatte.
quota	en kvot	Teamet uppfyllde sin försäljningskvot.
radar	en radar	Stormen syntes på radarn.
radical	radikal	Gruppen föreslog radikala reformer.
rage	ett raseri	Hans raseri försvann snabbt.
raid	en räd	Polisen genomförde en räd i gryningen.
rally	en demonstration	Supportrar anslöt sig till demonstrationen i centrum.
ranking	en rankning	Universitetet förbättrade sin rankning.
rape	en våldtäkt	Våldtäktsfall kräver en noggrann utredning.
ratio	en andel	Klassen har en låg lärartäthet.
rational	rationell	Hennes beslut var rationellt.
ray	en stråle	En solstråle kom in.
readily	villigt	Han accepterade villigt erbjudandet.
realization	en insikt	Insikten ändrade hennes planer.
realm	ett område	Denna fråga tillhör ett annat område.
rear	bakre	Använd den bakre ingången i dag.
reasoning	ett resonemang	Hans resonemang var tydligt.
reassure	lugna	Läkaren försökte lugna henne.
rebel	en rebell	Rebellernas ledare undkom tillfångatagande.
rebellion	ett uppror	Upproret slutade efter förhandlingar.
recipient	en mottagare	Mottagaren skrev under blanketten.
reconstruction	en återuppbyggnad	Återuppbyggnaden började efter översvämningen.
recount1	återge	Hon kan återge händelser tydligt.
referendum	en folkomröstning	Folkomröstningen delade landet.
reflection	en reflektion	Uppsatsen krävde djupare reflektion.
reform	en reform	Reformen förbättrade de offentliga tjänsterna.
refuge	en tillflykt	Familjen sökte tillflykt utomlands.
refusal	en vägran	Hennes vägran överraskade kommittén.
regain	återfå	Han arbetade hårt för att återfå förtroendet.
regardless	oavsett	De fortsatte oavsett kritiken.
regime	en regim	Regimen inskränkte yttrandefriheten.
regulator	en tillsynsmyndighet	Tillsynsmyndigheten bötfällde företaget.
regulatory	regulatorisk	Det regulatoriska godkännandet tog månader.
rehabilitation	en rehabilitering	Rehabilitering hjälpte honom att gå igen.
