source_headword	SI	example_SI
heal	සුව වෙනවා	විවේකය ශරීරය සුව වීමට උපකාරී වේ.
healthcare	සෞඛ්‍ය සේවාව	මෙම වසරේ සෞඛ්‍ය සේවා වියදම් ඉහළ ගියේය.
helmet	හිස්වැස්ම	බයිසිකලයේ යන විට හිස්වැස්මක් පලඳින්න.
hence	එමනිසා	එමනිසා, අපි කාලසටහන වෙනස් කළෙමු.
herb	ඖෂධීය පැළෑටිය	බැසිල් යනු ප්‍රයෝජනවත් පැළෑටියකි.
hidden	සැඟවුණු	යතුර පාපිස්ස යට සැඟවී තිබුණි.
highway	අධිවේගී මාර්ගය	හිම පතනයෙන් පසු අධිවේගී මාර්ගය වසා දමන ලදී.
hilarious	ඉතා විහිළු සහගත	එම චිත්‍රපටය ඉතා විහිළු සහගත විය.
hip	උකුළ	පුහුණුවීම් අතරතුර ඇගේ උකුළට තුවාල විය.
historian	ඉතිහාසඥයා	ඉතිහාසඥයා පැරණි ලිපි අධ්‍යයනය කළේය.
homeless	නිවාස නැති	නවාතැන නිවාස නැති පවුල්වලට උපකාර කරයි.
honesty	අවංකකම	අවංකකම විශ්වාසය ගොඩනඟයි.
hook	කොක්ක	කබාය කොක්කේ එල්ලන්න.
hopefully	බලාපොරොත්තු වන පරිදි	බලාපොරොත්තු වන පරිදි, දුම්රිය ඉක්මනින් පැමිණෙනු ඇත.
hunger	කුසගින්න	කුසගින්න අවධානයට බලපෑම් කළ හැකිය.
hypothesis	කල්පිතය	පරීක්ෂණය මගින් කල්පිතය පරීක්ෂා කරන ලදී.
icon	අයිකනය	යෙදුම් අයිකනය අද වෙනස් විය.
ID	හැඳුනුම්පත	පිළිගැනීමේ කවුළුව වෙත ඔබගේ හැඳුනුම්පත පෙන්වන්න.
identical	සර්වසම	නිවුන් දරුවන් සර්වසම කබා පැළඳ සිටියහ.
illusion	මායාව	කැඩපත මායාවක් නිර්මාණය කරයි.
immigration	සංක්‍රමණය	සංක්‍රමණ ප්‍රතිපත්තිය පසුගිය වසරේ වෙනස් විය.
immune	ප්‍රතිශක්තිකරණ	එන්නත් කිරීම මගින් මිනිසුන්ට ප්‍රතිශක්තිය ලබා දිය හැකිය.
implement	ක්‍ියාත්මක කරනවා	පාසල විසින් ප්‍රතිපත්තිය ක්‍රියාත්මක කරනු ඇත.
implication	ඇඟවුම	එහි ඇඟවුම පැහැදිලි විය.
incentive	දිරිගැන්වීම	ප්‍රසාද දීමනාව කම්කරුවන්ට දිරිගැන්වීමක් ලබා දුන්නේය.
incorporate	ඇතුළත් කරනවා	ආහාර වේලට තවත් එළවළු ඇතුළත් කරන්න.
