source_headword	PL	example_PL
absorb	przyswajać	Ręcznik szybko wchłania wodę.
abstract	abstrakcyjny	Wykład omawiał abstrakcyjne idee.
accent	akcent	Jej akcent jest łatwy do zrozumienia.
accidentally	przypadkowo	Przypadkowo usunąłem plik.
accommodate	uwzględniać	Hotel może pomieścić duże rodziny.
accomplish	osiągać	Osiągnęła swój cel przed czerwcem.
accountant	księgowy	Księgowy sprawdził fakturę.
accuracy	dokładność	Test mierzy dokładność czytania.
accurately	dokładnie	Mapa dokładnie pokazuje trasę.
acid	kwas	Kwas uszkodził metalową powierzchnię.
activate	aktywować	Naciśnij przycisk, aby aktywować alarm.
addiction	uzależnienie	Jego uzależnienie wpłynęło na jego pracę.
additionally	dodatkowo	Dodatkowo potrzebujemy więcej krzeseł.
adequate	odpowiedni	Pokój ma odpowiednie oświetlenie.
adequately	odpowiednio	Raport odpowiednio wyjaśnił problem.
adjust	dostosować	Dostosuj siedzenie przed jazdą.
affordable	przystępny	Mieszkanie jest w przystępnej cenie dla studentów.
agriculture	rolnictwo	Rolnictwo utrzymuje wiele rodzin wiejskich.
AIDS	AIDS	Lekarze leczą AIDS nowoczesnymi lekami.
alien	obcy	Film pokazuje obcą planetę.
alongside	obok	Ścieżka rowerowa biegnie wzdłuż rzeki.
altogether	całkowicie	W sumie projekt zajął sześć tygodni.
ambulance	karetka	Karetka przyjechała w ciągu kilku minut.
amusing	zabawny	Historia była zabawna i lekka.
analyst	analityk	Analityk przejrzał dane o sprzedaży.
ancestor	przodek	Mój przodek mieszkał w pobliżu tej wioski.
animation	animacja	Animacja sprawiła, że lekcja była jaśniejsza.
annually	corocznie	Festiwal odbywa się corocznie.
anticipate	przewidywać	Przewidujemy jutro duży ruch.
anxiety	niepokój	Lęk może utrudniać sen.
apology	przeprosiny	Złożyła szczere przeprosiny.
applicant	kandydat	Kandydat wysłał nowe CV.
appropriately	odpowiednio	Proszę ubrać się odpowiednio na rozmowę kwalifikacyjną.
arrow	strzałka	Strzałka wskazuje wyjście.
artwork	dzieło sztuki	Muzeum wystawiło lokalne dzieła sztuki.
aside	na bok	Odsunęła się na bok, aby przepuścić go.
asset	aktywo	Doświadczenie to cenny atut.
assign	przydzielać	Nauczyciel zadał dzisiaj pracę domową.
assistance	pomoc	Proszę poprosić personel o pomoc.
assumption	założenie	To założenie może być błędne.
assure	zapewniać	Zapewniam cię, że drzwi są zamknięte.
astonishing	zdumiewający	Widok z klifu był zdumiewający.
attachment	załącznik	E-mail zawiera załącznik.
auction	aukcja	Obraz został sprzedany na aukcji.
audio	audio	Nagranie dźwiękowe brzmi wyraźnie.
automatic	automatyczny	Drzwi mają automatyczny zamek.
automatically	automatycznie	Światła włączają się automatycznie.
awareness	świadomość	Kampania podniosła świadomość społeczną.
awkward	niezręczny	Cisza wydawała się niezręczna.
badge	odznaka	Odwiedzający muszą nosić identyfikator.
balanced	zrównoważony	Zbilansowana dieta obejmuje warzywa.
ballet	balet	Uczy się baletu po szkole.
balloon	balon	Balon unosił się nad stołem.
barely	ledwie	Ledwo usłyszał ogłoszenie.
bargain	okazja	Ta kurtka była prawdziwą okazją.
basement	piwnica	Pudełka są w piwnicy.
basket	koszyk	Włożyła jabłka do koszyka.
bat	nietoperz	Nietoperz wyleciał z jaskini.
beneficial	korzystny	Regularne ćwiczenia są korzystne dla zdrowia.
beside	obok	Lampa stoi obok sofy.
besides	ponadto	Poza matematyką studiuje chemię.
bias	uprzedzenie	Artykuł wykazał wyraźną stronniczość.
bid	oferta	Firma złożyła wyższą ofertę.
biological	biologiczny	Test biologiczny potwierdził wynik.
blanket	koc	Dziecko spało pod kocem.
blow	cios	Silny cios wybił okno.
bold	śmiały	Nagłówek używał pogrubionych liter.
bombing	bombardowanie	Bombardowanie uszkodziło kilka budynków.
booking	rezerwacja	Potwierdziłem rezerwację w hotelu.
boost	impuls	Zwycięstwo zwiększyło pewność siebie zespołu.
bound	nieunikniony	Paczka była związana sznurkiem.
brick	cegła	Ściana jest zrobiona z cegły.
briefly	krótko	Mówiła krótko po lunchu.
broadcaster	nadawca	Prezenter przeprowadził wywiad z burmistrzem.
broadly	ogólnie	Oba plany są ogólnie podobne.
bug	błąd	Aplikacja uległa awarii z powodu błędu.
cabin	kabina	Zatrzymaliśmy się w małej chacie.
canal	kanał	Łodzie powoli płynęły wzdłuż kanału.
candle	świeca	Świeca paliła się na stole.
carbon	węgiel	Drzewa pochłaniają węgiel z powietrza.
casual	swobodny	Ubrał swobodne ubrania do pracy.
cave	jaskinia	Turyści weszli do jaskini.
certainty	pewność	Nie możemy wiedzieć z pewnością.
certificate	certyfikat	Otrzymała certyfikat szkoleniowy.
challenging	stanowiący wyzwanie	Kurs był wymagający, ale przydatny.
championship	mistrzostwa	Nasza drużyna dotarła do finału mistrzostw.
charming	uroczy	Stara ulica wyglądała uroczo.
chase	pościg	Pies gonił piłkę.
cheek	policzek	Łza spłynęła po jej policzku.
cheer	okrzyk	Tłum zaczął głośno wiwatować.
choir	chór	Chór śpiewał pięknie.
chop	kroić	Posiekaj cebulę na małe kawałki.
circuit	obwód	Biegacz ukończył okrążenie.
civilization	cywilizacja	Starożytna cywilizacja ukształtowała ten region.
clarify	wyjaśniać	Proszę wyjaśnić ostatni punkt.
classify	klasyfikować	Naukowcy klasyfikują zwierzęta według gatunków.
clerk	urzędnik	Urzędnik wydrukował paragon.
cliff	klif	Ścieżka kończy się blisko klifu.
clinic	klinika	Przychodnia jest otwierana o ósmej.
clip	klip	Przypięła spinacz do papieru.
coincidence	zbieg okoliczności	Spotkanie go tam było przypadkiem.
collector	kolekcjoner	Kolekcjoner kupił rzadkie monety.
colony	kolonia	Mrówki zbudowały wielką kolonię.
colourful	kolorowy	Targ był jasny i kolorowy.
comic	komiks	Komiczna scena rozśmieszyła nas.
commander	dowódca	Dowódca wydał jasne rozkazy.
comparative	porównawczy	Esej wykorzystuje dane porównawcze.
completion	ukończenie	Most jest bliski ukończenia.
compose	komponować	On skomponuje muzykę do filmu.
composer	kompozytor	Kompozytor napisał nową piosenkę.
compound	związek	Związek ten zawiera dwie substancje chemiczne.
comprehensive	wszechstronny	Przewodnik zawiera wyczerpujące instrukcje.
comprise	obejmować	Zespół składa się z pięciu członków.
compulsory	obowiązkowy	Obecność na tych zajęciach jest obowiązkowa.
concrete	beton	Podłoga jest zrobiona z betonu.
confess	przyznawać	Przyznał się do błędu swojemu nauczycielowi.
confusion	zamieszanie	Opóźnienie spowodowało zamieszanie.
consequently	w konsekwencji	Padał deszcz; w rezultacie mecz został przerwany.
conservation	ochrona	Ochrona przyrody chroni rzadkie zwierzęta.
considerable	znaczny	Naprawa zajęła znaczną ilość czasu.
considerably	znacznie	Ceny znacznie wzrosły w tym roku.
consistently	konsekwentnie	Ona konsekwentnie dobrze się spisuje.
conspiracy	spisek	Policja badała spisek.
consult	konsultować	Skonsultuj się z lekarzem przed przyjęciem leku.
consultant	konsultant	Konsultant zasugerował nową strategię.
consumption	konsumpcja	Zużycie energii spadło w zeszłym miesiącu.
controversial	kontrowersyjny	Polityka ta pozostaje kontrowersyjna.
controversy	kontrowersja	Ta decyzja wywołała kontrowersję.
convenience	wygoda	Ten sklep oferuje dużą wygodę.
convention	konwencja	Doroczny zjazd rozpoczyna się w poniedziałek.
conventional	konwencjonalny	On wybrał konwencjonalny projekt.
convey	przekazywać	Wiadomość przekazywała współczucie.
convincing	przekonujący	Jej wyjaśnienie było przekonujące.
cope	radzić sobie	Nauczyła się radzić sobie ze stresem.
corporation	korporacja	Korporacja otworzyła nowe biuro.
corridor	korytarz	Korytarz był wąski i cichy.
counter (long flat surface)	blat	Klucze leżą na blacie kuchennym.
coverage	zasięg	Relacja w wiadomościach trwała cały wieczór.
crack	pęknięcie	Na ścianie pojawiło się pęknięcie.
craft	rzemiosło	Ona sprzedaje rękodzieło w internecie.
creativity	kreatywność	Kreatywność pomaga rozwiązywać problemy.
critically	krytycznie	Artykuł był niezwykle ważny.
cruise	rejs	Oni zarezerwowali rejs do Grecji.
cue	wskazówka	Aktor przegapił swój sygnał.
curious	ciekawy	Dziecko było ciekawe kosmosu.
curriculum	program nauczania	Szkoła zaktualizowała swój program nauczania.
cute	uroczy	Szczeniak wyglądał uroczo.
dairy	nabiał	Gospodarstwo produkuje nabiał.
dare	odważyć się	Wyzywam cię, żebyś tego spróbował.
darkness	ciemność	Pokój wypełnił się ciemnością.
database	baza danych	Baza danych przechowuje rejestry klientów.
deadline	termin	Termin mija w piątek.
deadly	śmiertelny	Ten wąż ma śmiertelny jad.
dealer	dealer	Sprzedawca samochodów zaoferował zniżkę.
deck	pokład	Krzesła są na tarasie.
defender	obrońca	Obrońca zablokował strzał.
delete	usunąć	Usuń starą wiadomość.
democracy	demokracja	Demokracja opiera się na wolnych wyborach.
democratic	demokratyczny	Głosowanie odbyło się według zasad demokratycznych.
demonstration	demonstracja	Studenci dołączyli do demonstracji.
depart	odchodzić	Pociąg odjedzie w południe.
dependent	zależny	Dziecko jest zależne od dorosłych.
