source_headword	BG	example_BG
ability	способност; умение	Способността й да плува е ясна.
able	способен; в състояние	Той може да дойде днес.
abroad	в чужбина	Тя иска да учи в чужбина.
accept	приемам	Моля, приеми този малък подарък.
accident	злополука; инцидент	Инцидентът стана близо до училище.
according to	според	Според доклада идва дъжд.
achieve	постигам	Можеш да постигнеш целта си.
act	действам; играя	Той може да играе в пиеса.
active	активен	Тя е активна всеки ден.
actually	всъщност	Всъщност имам нужда от повече време.
advantage	предимство	Този план има предимство.
adventure	приключение	Пътуването им беше приключение.
advertise	рекламирам	Те рекламират новата работа.
advertisement	реклама; обява	Видях реклама.
advertising	реклама; рекламна дейност	Рекламата помага да се продава храна.
affect	засягам; влияя на	Сънят може да повлияе на здравето ти.
against	срещу; против	Не се облягай на стената.
ah	ах	Ах, сега разбирам.
airline	авиокомпания	Авиокомпанията е много заета.
alive	жив; живa	Малката риба е жива.
all right	добре; наред	Всичко е наред сега.
allow	позволявам	Тук позволяват кучета.
almost	почти	Почти сме готови.
alone	сам; сама	Тя живее сама.
along	по протежение на	Върви по този път.
already	вече	Вече знам отговора.
alternative	алтернатива	Този влак е алтернатива.
although	въпреки че; макар че	Въпреки че е късно, можем да останем.
among	сред; между	Той стоеше сред дърветата.
amount	количество; сума	Количеството е твърде малко.
ancient	древен; античен	Тази древна стена е известна.
ankle	глезен	Днес ме боли глезенът.
anybody	някой; който и да е	Може ли някой да отговори?
any more	вече; повече	Вече не ми трябва.
anyway	така или иначе	Така или иначе можем да започнем.
anywhere	навсякъде; където и да е	Седни където искаш.
app	приложение	Това приложение е полезно.
appear	появявам се	Името й ще се появи тук.
appearance	външен вид; поява	Външният му вид е различен.
apply	кандидатствам; прилагам	Кандидатствай за работата днес.
architect	архитект	Архитектът има план.
architecture	архитектура	Харесвам модерната архитектура.
argue	споря; карам се	Не се карай със сестра си.
argument	спор; аргумент	Спорът беше кратък.
army	армия	Армията е голяма.
arrange	организирам; подреждам	Моля, организирай срещата.
arrangement	уговорка; подредба	Уговорката работи добре.
asleep	заспал; заспала	Бебето е заспало.
assistant	асистент; помощник	Асистентът ми помогна.
athlete	спортист; атлет	Спортистът тича бързо.
attack	атака; нападам	Кучето може да нападне.
attend	посещавам; присъствам	Посещавам часа днес.
attention	внимание	Моля, обърни внимание сега.
attractive	привлекателен	Градината е привлекателна.
audience	публика	Публиката беше тиха.
author	автор	Авторът написа тази книга.
available	наличен; достъпен	Храната е налична сега.
average	среден; средна стойност	Средният резултат беше добър.
avoid	избягвам	Избягвай оживения път.
award	награда	Тя спечели награда.
awful	ужасен	Времето беше ужасно.
background	фон; минало	Картината има тъмен фон.
badly	зле	Той игра зле днес.
bar	бар	Срещнахме се в бара на хотела.
baseball	бейзбол	Бейзболът е популярен тук.
based	базиран	Филмът е базиран на книга.
basketball	баскетбол	Играем баскетбол след училище.
bean	боб; бобено зърно	Това бобено зърно е зелено.
bear (animal)	мечка	Мечка живее в гората.
beat	побеждавам; бия	Нашият отбор може да ги победи.
beef	говеждо месо	Ядох говеждо за вечеря.
behave	държа се	Моля, дръж се добре в час.
behaviour	поведение	Поведението му беше учтиво.
belong	принадлежа	Тези обувки ми принадлежат.
belt	колан	Коланът му е черен.
benefit	полза; предимство	Упражненията имат истинска полза.
billion	милиард	Милиард е огромно число.
bin	кошче	Сложи хартията в кошчето.
biology	биология	Биологията е най-добрият ми час.
birth	раждане	Раждането й беше през май.
biscuit	бисквита	Тя яде бисквита.
bit	малко; късче	Трябва ми още малко време.
blank	празен; празно място	Напиши името си в празното място.
blood	кръв	Кръвта е червена.
blow	духам	Вятърът може да духа силно.
board	дъска; табло	Напиши го на дъската.
boil	варя; кипя	Първо свари водата.
bone	кост	Кучето има кост.
borrow	вземам назаем	Мога ли да взема химикалката ти назаем?
boss	шеф	Шефът ми е приятелски настроен.
bottom	дъно; долна част	Подпиши се в долната част.
bowl	купа	Купата е пълна.
brain	мозък	Мозъкът ти има нужда от почивка.
bridge	мост	Мостът е стар.
bright	светъл; ярък	Стаята е светла.
brilliant	блестящ; чудесен	Тази идея е чудесна.
broken	счупен	Столът е счупен.
brush	четка; мия с четка	Измий зъбите си сега.
burn	горя; изгарям	Не изгаряй хляба.
businessman	бизнесмен	Бизнесменът пристигна рано.
button	бутон; копче	Натисни червения бутон.
camp	лагер; къмпингувам	Лагеруваме близо до езерото.
camping	къмпингуване	Къмпингуването е забавно през лятото.
can2	консерва	Отвори консервата внимателно.
care	грижа	Грижи се за здравето си.
careful	внимателен	Бъди внимателен по стълбите.
carefully	внимателно	Прочети въпроса внимателно.
carpet	килим	Килимът е мек.
cartoon	анимационен филм	Този анимационен филм е забавен.
case	случай; калъф	Сложи го в калъфа.
cash	пари в брой	Платих в брой.
castle	замък	Замъкът е много стар.
catch	хващам	Хвани топката сега.
cause	причина; причинявам	Дъждът може да причини проблеми.
celebrate	празнувам	Празнуваме рождения ми ден.
celebrity	известна личност	Известната личност беше много мила.
certain	сигурен; определен	Сигурен съм в това.
certainly	със сигурност	Със сигурност ще помогна.
chance	шанс; възможност	Имаш шанс.
character	герой; характер	Този герой е смел.
charity	благотворителност; благотворителна организация	Организацията помага на деца.
chat	разговор; разговарям	Разговаряме след час.
chef	готвач	Готвачът направи супа.
chemistry	химия	Химията е трудна за мен.
chip	чипс; парченце	Този чипс е солен.
choice	избор	Този избор е важен.
church	църква	Църквата е близо до тук.
cigarette	цигара	Цигарата е вредна за здравето.
circle	кръг	Нарисувай кръг тук.
classical	класически	Харесвам класическа музика.
clear	ясен	Отговорът е ясен.
clearly	ясно	Говори ясно, моля.
clever	умен; хитър	Тя е умно дете.
climate	климат	Климатът се променя.
close2	близък; близо	Училището ми е близо до дома.
closed	затворен	Магазинът е затворен.
clothing	дрехи; облекло	Топлите дрехи са полезни.
cloud	облак	Облак покрива слънцето.
coach	треньор; автобус	Треньорът помогна на отбора.
coast	крайбрежие; бряг	Карахме по крайбрежието.
code	код	Въведи кода тук.
colleague	колега	Колегата ми се обади.
collect	събирам; колекционирам	Колекционирам стари картички.
column	колона	Прочети първата колона.
comedy	комедия	Тази комедия е смешна.
comfortable	удобен	Този стол е удобен.
comment	коментар	Остави коментар отдолу.
communicate	общувам	Общуваме чрез имейл.
community	общност	Нашата общност е приятелска.
compete	състезавам се	Те се състезават всяка година.
competition	състезание; конкурс	Състезанието започва утре.
complain	оплаквам се	Не се оплаквай пак.
completely	напълно	Напълно съм съгласен с теб.
condition	състояние; условие	Колата е в добро състояние.
conference	конференция	Конференцията започва в девет.
connect	свързвам	Свържи телефона с компютъра.
connected	свързан	Двете идеи са свързани.
consider	обмислям; смятам	Моля, обмисли идеята ми.
contain	съдържам	Тази кутия съдържа книги.
context	контекст	Контекстът ти помага да разбереш.
continent	континент	Континентът е много голям.
continue	продължавам	Продължи да четеш, моля.
control	контрол; контролирам	Контролирай скоростта внимателно.
cooker	печка; готварска печка	Печката е чиста.
copy	копие; копирам	Направи копие за мен.
corner	ъгъл	Седни в ъгъла.
correctly	правилно	Напиши отговора правилно.
count	броя	Преброй книгите.
couple	двойка; няколко	Двойката пристигна рано.
cover	покривам; корица	Покрий купата.
crazy	луд; щур	Тази идея звучи щура.
creative	творчески	Тя има творческа идея.
credit	кредит; кредитна карта	Платих с кредитна карта.
crime	престъпление	Престъпността е сериозен проблем.
criminal	престъпник	Престъпникът си тръгна бързо.
cross	пресичам; кръст	Пресечи улицата внимателно.
crowd	тълпа	Тълпа чакаше отвън.
crowded	претъпкан	Влакът беше претъпкан.
cry	плача	Не плачи сега.
cupboard	шкаф	Чашите са в шкафа.
curly	къдрав	Тя има къдрава коса.
cycle	карам велосипед; цикъл	Карам велосипед до училище.
daily	ежедневен; всеки ден	Чета новините всеки ден.
danger	опасност	Знакът показва опасност.
data	данни	Данните са полезни.
dead	мъртъв; изсъхнал	Растението е мъртво.
deal	сделка; оферта	Това е добра оферта.
death	смърт	Смъртта е трудна тема.
decision	решение	Вземи решение днес.
deep	дълбок	Водата е дълбока.
definitely	определено	Определено искам чай.
degree	степен; диплома	Дипломата ми е по история.
dentist	зъболекар	Зъболекарят провери зъбите ми.
department	отдел; секция	Отделът за обувки е горе.
depend	завися	Зависи от времето.
desert	пустиня	Пустинята е много суха.
designer	дизайнер	Дизайнерът направи тази рокля.
destroy	унищожавам	Не унищожавай файла.
detective	детектив	Детективът намери ключа.
develop	развивам; разработвам	Те разработват ново приложение.
device	устройство	Това устройство е полезно.
diary	дневник	Тя пише в дневника си.
differently	различно	Правим това различно.
