source_headword	SV	example_SV
heal	läka	Vila hjälper kroppen att läka.
healthcare	en sjukvård	Sjukvårdskostnaderna steg i år.
helmet	en hjälm	Bär en hjälm på cykeln.
hence	därför	Därför ändrade vi schemat.
herb	en ört	Basilika är en användbar ört.
hidden	dold	Nyckeln var dold under dörrmattan.
highway	en motorväg	Motorvägen stängdes efter snön.
hilarious	hysteriskt rolig	Filmen var hysteriskt rolig.
hip	en höft	Hon skadade sin höft under träningen.
historian	en historiker	Historikern studerade gamla brev.
homeless	hemlös	Härbärget hjälper hemlösa familjer.
honesty	en ärlighet	Ärlighet bygger förtroende.
hook	en krok	Häng kappan på kroken.
hopefully	förhoppningsvis	Förhoppningsvis kommer tåget snart.
hunger	en hunger	Hunger kan påverka koncentrationen.
hypothesis	en hypotes	Experimentet testade hypotesen.
icon	en ikon	Appikonen ändrades idag.
ID	ett ID	Visa ditt ID i receptionen.
identical	identisk	Tvillingarna bar identiska jackor.
illusion	en illusion	Spegeln skapar en illusion.
immigration	en invandring	Invandringspolitiken ändrades förra året.
immune	immun	Vaccination kan göra människor immuna.
implement	implementera	Skolan kommer att implementera policyn.
implication	en implikation	Implikationen var tydlig.
incentive	ett incitament	Bonusen gav arbetarna ett incitament.
incorporate	infoga	Infoga mer grönsaker i måltiderna.
incorrect	inkorrekt	Svaret var inkorrekt.
independence	en självständighet	Landet firade sin självständighet.
index	ett index	Kolla indexet för ämnet.
indication	en indikation	Leendet var en indikation på lättnad.
inevitable	oundviklig	Viss försening var oundviklig.
inevitably	oundvikligen	Oundvikligen steg priserna efter bristen.
infer	dra slutsatsen	Vi kan dra slutsatsen från sammanhanget.
inflation	en inflation	Inflationen höjde matpriserna.
info	en info	Webbplatsen listar användbar info.
infrastructure	en infrastruktur	Stormen skadade lokal infrastruktur.
inhabitant	en invånare	Varje invånare fick rent vatten.
inherit	ärva	Hon kommer att ärva familjehuset.
ink	ett bläck	Skrivaren behöver svart bläck.
innovation	en innovation	Innovation driver industrin framåt.
innovative	innovativ	Företaget lanserade en innovativ produkt.
input	en input	Chefen bad om input.
insert	sätta in	Sätt in kortet i maskinen.
inspector	en inspektör	Inspektören kontrollerade byggnaden.
installation	en installation	Installationen tog två timmar.
instant	omedelbar	Appen skickade ett omedelbart svar.
instantly	omedelbart	Skärmen slogs på omedelbart.
integrate	integrera	Programvaran kan integrera nya verktyg.
intellectual	intellektuell	Debatten var intellektuell men vänlig.
interact	interagera	Elever interagerar under grupparbetet.
interaction	en interaktion	Interaktionen var artig.
