simplified	KN	example_KN
哎	ಅಯ್ಯೋ; ಅರೆ	ಅರೆ, ನೀನು ಇಲ್ಲಿ ಏಕೆ ಬಂದೆ?
唉	ಅಯ್ಯೋ; ನಿಟ್ಟುಸಿರು	ಅಯ್ಯೋ, ನಾನು ಮತ್ತೆ ತಡವಾಯಿತು.
爱护	ಕಾಳಜಿ ವಹಿಸುವುದು; ಸಂರಕ್ಷಿಸುವುದು	ನಾವು ಪರಿಸರದ ಕಾಳಜಿ ವಹಿಸಬೇಕು.
爱惜	ಮೌಲ್ಯ ಕೊಡುವುದು; ಜಾಗರೂಕವಾಗಿ ಬಳಸುವುದು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ಸಮಯಕ್ಕೆ ಮೌಲ್ಯ ಕೊಡಿ.
爱心	ಕರುಣೆ; ದಯಾಳು ಹೃದಯ	ಅವಳು ತುಂಬಾ ದಯಾಳು.
安慰	ಸಾಂತ್ವನ ಹೇಳುವುದು; ಸಮಾಧಾನಪಡಿಸುವುದು	ನನ್ನ ಸ್ನೇಹಿತನು ನನಗೆ ಸಾಂತ್ವನ ಹೇಳಿದನು.
安装	ಅಳವಡಿಸುವುದು; ಸ್ಥಾಪಿಸುವುದು	ಕಾರ್ಮಿಕನು ಹವಾನಿಯಂತ್ರಕವನ್ನು ಅಳವಡಿಸುತ್ತಿದ್ದಾನೆ.
岸	ದಡ; ತೀರ	ದೋಣಿ ನಿಧಾನವಾಗಿ ದಡಕ್ಕೆ ಸಮೀಪಿಸುತ್ತಿದೆ.
暗	ಕತ್ತಲೆ; ಮಂಕು	ಕೊಠಡಿಯಲ್ಲಿ ತುಂಬಾ ಕತ್ತಲೆ ಇದೆ.
熬夜	ರಾತ್ರಿ ತಡವಾಗಿ ಜಾಗರಣೆ ಮಾಡುವುದು	ರಾತ್ರಿ ತಡವಾಗಿ ಜಾಗರಣೆ ಮಾಡುವುದು ಆರೋಗ್ಯಕ್ಕೆ ಕೆಟ್ಟದು.
把握	ಹಿಡಿತ; ಖಚಿತತೆ	ಇದನ್ನು ಚೆನ್ನಾಗಿ ಮಾಡಬಲ್ಲೆ ಎಂಬ ಖಚಿತತೆ ನನಗಿಲ್ಲ.
摆	ಜೋಡಿಸುವುದು; ಇಡುವುದು	ದಯವಿಟ್ಟು ಕುರ್ಚಿಗಳನ್ನು ಅಚ್ಚುಕಟ್ಟಾಗಿ ಜೋಡಿಸಿ.
办理	ಪ್ರಕ್ರಿಯೆ ನಡೆಸುವುದು; ಕೆಲಸ ಮುಗಿಸುವುದು	ನಾನು ಬ್ಯಾಂಕಿನಲ್ಲಿ ಕೆಲಸ ಮುಗಿಸಲು ಹೋಗುತ್ತಿದ್ದೇನೆ.
傍晚	ಸಾಯಂಕಾಲ; ಸಂಜೆ ಹೊತ್ತು	ನಾವು ಸಾಯಂಕಾಲ ನಡೆದುಕೊಂಡು ಹೋಗುತ್ತೇವೆ.
包裹	ಪಾರ್ಸೆಲ್; ಹೊದಿಸುವುದು	ನನಗೆ ಒಂದು ಪಾರ್ಸೆಲ್ ಬಂದಿದೆ.
包含	ಒಳಗೊಂಡಿರುವುದು	ಬೆಲೆಯಲ್ಲೇ ಉಪಾಹಾರ ಒಳಗೊಂಡಿದೆ.
包括	ಸೇರಿದೆ; ಒಳಗೊಂಡಿದೆ	ಶುಲ್ಕದಲ್ಲಿ ಮಧ್ಯಾಹ್ನದ ಊಟವೂ ಸೇರಿದೆ.
薄	ತೆಳು; ಸಣ್ಣ	ಈ ಪುಸ್ತಕ ತುಂಬಾ ತೆಳುವಾಗಿದೆ.
