source_headword	SL	example_SL
absorb	absorbirati	Brisača hitro vpije vodo.
abstract	abstrakten	Predavanje je obravnavalo abstraktne ideje.
accent	naglas	Njen naglas je lahko razumeti.
accidentally	po nesreči	Po nesreči sem izbrisal datoteko.
accommodate	ustreči	Hotel lahko nastani velike družine.
accomplish	doseči	Svoj cilj je dosegla pred junijem.
accountant	računovodja	Računovodja je preveril račun.
accuracy	natančnost	Test meri natančnost branja.
accurately	natančno	Zemljevid natančno prikazuje pot.
acid	kislina	Kislina je poškodovala kovinsko površino.
activate	aktivirati	Pritisnite gumb, da aktivirate alarm.
addiction	odvisnost	Njegova odvisnost je vplivala na njegovo delo.
additionally	poleg tega	Poleg tega potrebujemo več stolov.
adequate	ustrezen	Soba ima zadostno svetlobo.
adequately	ustrezno	Poročilo je ustrezno pojasnilo težavo.
adjust	prilagoditi	Pred vožnjo prilagodite sedež.
affordable	cenovno ugoden	Stanovanje je cenovno ugodno za študente.
agriculture	kmetijstvo	Kmetijstvo podpira veliko podeželskih družin.
AIDS	AIDS	Zdravniki zdravijo aids s sodobno medicino.
alien	vesoljec	Film prikazuje nezemeljski planet.
alongside	ob	Kolesarska pot poteka ob reki.
altogether	povsem	Skupaj je projekt trajal šest tednov.
ambulance	rešilec	Rešilec je prispel v nekaj minutah.
amusing	zabaven	Zgodba je bila zabavna in lahkotna.
analyst	analitik	Analitik je pregledal podatke o prodaji.
ancestor	prednik	Moj prednik je živel blizu te vasi.
animation	animacija	Zaradi animacije je bila lekcija bolj jasna.
annually	letno	Festival poteka vsako leto.
anticipate	predvideti	Jutri pričakujemo gost promet.
anxiety	tesnoba	Zaradi tesnobe je spanec lahko otežen.
apology	opravičilo	Ponudila je iskreno opravičilo.
applicant	prosilec	Kandidat je poslal nov življenjepis.
appropriately	primerno	Prosimo, da se za razgovor primerno oblečete.
arrow	puščica	Puščica kaže proti izhodu.
artwork	umetniško delo	Muzej je razstavil lokalna umetniška dela.
aside	na stran	Stopila je vstran, da bi ga spustila mimo.
asset	sredstvo	Izkušnje so dragocena prednost.
assign	dodeliti	Učitelj je danes dodelil domačo nalogo.
assistance	pomoć	Prosimo, prosite osebje za pomoč.
assumption	predpostavka	Ta predpostavka je morda napačna.
assure	zagotoviti	Zagotavljam vam, da so vrata zaklenjena.
astonishing	osupljiv	Pogled s pečine je bil osupljiv.
attachment	priloga	E-pošta vključuje prilogo.
auction	dražba	Slika je bila prodana na dražbi.
audio	zvočni	Zvočni posnetek zveni jasno.
automatic	samodejen	Vrata imajo samodejno ključavnico.
automatically	samodejno	Luči se prižgejo samodejno.
awareness	zavedanje	Kampanja je dvignila ozaveščenost javnosti.
awkward	neroden	Tišina je bila neprijetna.
badge	značka	Obiskovalci morajo nositi značko.
balanced	uravnotežen	Uravnotežena prehrana vključuje zelenjavo.
ballet	balet	Po pouku se uči balet.
balloon	balon	Balon je lebdel nad mizo.
barely	komaj	Komaj je slišal obvestilo.
bargain	kupčija	Tista jakna je bila prava kupčija.
basement	klet	Škatle so v kleti.
basket	košara	V košaro je dala jabolka.
bat	netopir	Netopir je odletel iz jame.
beneficial	koristen	Redna vadba je koristna za zdravje.
beside	poleg	Svetilka stoji zraven kavča.
besides	poleg tega	Poleg matematike študira tudi kemijo.
bias	pristranskost	Članek je pokazal jasno pristranskost.
bid	ponudba	Podjetje je dalo višjo ponudbo.
biological	biološki	Biološki test je potrdil rezultat.
blanket	odeja	Otrok je spal pod odejo.
blow	udarec	Močan udarec je razbil okno.
bold	pogumen	Naslov je bil napisan s krepkimi črkami.
bombing	bombardiranje	Bombardiranje je poškodovalo več stavb.
booking	rezervacija	Potrdil sem rezervacijo hotela.
boost	spodbuda	Zmaga je dvignila samozavest ekipe.
bound	zavezan	Paket je bil zvezan z vrvico.
brick	opeka	Zid je iz opeke.
briefly	na kratko	Po kosilu je na kratko spregovorila.
broadcaster	izdajatelj	Izdajatelj je intervjuval župana.
broadly	široko	Načrta sta si na splošno podobna.
bug	hrošč	Aplikacija se je zrušila zaradi napake.
cabin	kabina	Bivali smo v majhni koči.
canal	kanal	Čolni so se počasi premikali po kanalu.
candle	sveča	Sveča je gorela na mizi.
carbon	ogljik	Drevesa absorbirajo ogljik iz zraka.
casual	sproščen	V službo je nosil vsakdanja oblačila.
cave	jama	Pohodniki so vstopili v jamo.
certainty	gotovost	Tega ne moremo vedeti z gotovostjo.
certificate	certifikat	Prejela je potrdilo o usposabljanju.
challenging	zahteven	Tečaj je bil zahteven, a koristen.
championship	prvenstvo	Naša ekipa je dosegla finale prvenstva.
charming	očarljiv	Stara ulica je bila videti očarljiva.
chase	lov	Pes je lovil žogo.
cheek	lice	Po licu ji je spolzela solza.
cheer	navijanje	Množica je začela glasno navijati.
choir	zbor	Pevski zbor je pel čudovito.
chop	sekati	Čebulo nasekljajte na majhne koščke.
circuit	vezje	Tekač je končal krog.
civilization	civilizacija	Starodavna civilizacija je oblikovala to regijo.
clarify	pojasniti	Prosim, pojasnite zadnjo točko.
classify	razvrstiti	Znanstveniki razvrščajo živali po vrstah.
clerk	uradnik	Uradnik je natisnil račun.
cliff	pečina	Pot se konča blizu pečine.
clinic	klinika	Klinika se odpre ob osmih.
clip	izrezek	Sponko je pritrdila na papir.
coincidence	naključje	To srečanje je bilo naključje.
collector	zbiratelj	Zbiratelj je kupil redke kovance.
colony	kolonija	Mravlje so zgradile veliko kolonijo.
colourful	pisan	Tržnica je bila svetla in barvita.
comic	strip	Komični prizor nas je nasmejal.
commander	poveljnik	Poveljnik je dal jasne ukaze.
comparative	primerjalen	Esej uporablja primerjalne podatke.
completion	dokončanje	Most je blizu dokončanja.
compose	sestaviti	On bo skladal glasbo za film.
composer	skladatelj	Skladatelj je napisal novo pesem.
compound	spojina	Spojina vsebuje dve kemikaliji.
comprehensive	celovit	Vodnik daje celovita navodila.
comprise	obsegati	Ekipo sestavlja pet članov.
compulsory	obvezen	Prisotnost pri tem pouku je obvezna.
concrete	beton	Tla so iz betona.
confess	priznati	Priznal je napako svojemu učitelju.
