source_headword	TL	example_TL
absolutely	ganap	Talagang sang-ayon ako sa iyo.
academic	pang-akademiko	Nagsisimula sa Setyembre ang taong pang-akademiko.
access	access; pagpasok	Kailangan ng mga estudyante ng access sa aklatan.
accommodation	tuluyan	Nag-book kami ng tuluyan malapit sa istasyon.
account	account; kuwenta	Nagbukas siya ng bagong bank account.
achievement	tagumpay	Malaking tagumpay ang matapos ang kurso.
ad	patalastas	Ipinakita ng patalastas ang bagong telepono.
addition	dagdag	Kapaki-pakinabang na dagdag ang pool.
admire	humaanib; humanga	Humahanga ako sa mahinahon niyang ugali.
admit	umamin	Umamin siya sa kanyang pagkakamali.
advanced	advanced; mataas	Advanced na klase sa Ingles ito.
advise	magpayo	Nagpapayo ang mga doktor ng regular na ehersisyo.
afford	kayanin	Hindi namin kayang magbayad ng taxi.
aged	may edad na	Para sa mga batang sampung taong gulang ang kurso.
agent	ahente	Pinalitan ng ahente sa paglalakbay ang aming tiket.
agreement	kasunduan	Naabot nila ang isang kasunduan ngayon.
ahead	sa unahan	Malinaw ang daan sa unahan.
aim	layunin	Layunin naming matapos agad.
alarm	alarm	Tumunog ang alarm nang alas sais.
album	album	May sampung kanta ang album na ito.
alcohol	alak	Hindi naghahain ng alak ang hotel.
alcoholic	may alkohol	Hindi may alkohol ang inuming ito.
amazed	namangha	Namangha siya sa resulta.
ambition	ambisyon	Ambisyon niyang maging piloto.
ambitious	ambisyoso	May ambisyoso siyang plano.
analyse	suriin	Kailangan nating suriin ang mga resulta.
analysis	pagsusuri	Malinaw at maingat ang kanyang pagsusuri.
announce	ianunsyo	Ia-anunsyo nila bukas ang nanalo.
announcement	anunsyo	Nagulat ang lahat sa anunsyo.
annoy	mang-inis	Maaaring mang-inis sa kapitbahay ang malakas na musika.
annoyed	inis	Mukha siyang inis pagkatapos ng pagkaantala.
annoying	nakakainis	Nakakainis talaga ang tunog na iyon.
apart	magkalayo	Magkalayo ng dalawang metro ang mga bahay.
apologize	humingi ng tawad	Humihingi ako ng tawad sa pagkahuli.
application	aplikasyon	Pakikumpleto ang aplikasyon online.
appointment	appointment	May appointment ako sa dentista bukas.
appreciate	pahalagahan	Pinapahalagahan ko ang tulong mo.
approximately	humigit-kumulang	Humigit-kumulang dalawampung minuto ang lakad.
arrest	arestuhin	Inaresto ng pulis ang drayber.
arrival	pagdating	Mas huli kaysa inaasahan ang aming pagdating.
assignment	takdang gawain	Ipapasa sa Biyernes ang takdang gawain.
assist	tumulong	Tumutulong ang mga nars sa doktor.
atmosphere	kapaligiran	Relax ang kapaligiran ng cafe.
attach	ilakip	Ilakip ang file sa iyong email.
attitude	ugali	Nagbago ang ugali niya pagkatapos ng pulong.
attract	umakit	Umaakit ng mga bubuyog ang matingkad na bulaklak.
attraction	atraksyon	Sikat na atraksyon ang kastilyo.
authority	awtoridad	Inayos ng lokal na awtoridad ang daan.
aware	may kamalayan	May kamalayan siya sa panganib.
backwards	paatras	Maingat siyang lumakad nang paatras.
bake	maghurno	Naghuhurno ako ng tinapay tuwing Linggo.
balance	balanse	Nakakatulong ang magandang sapatos sa balanse mo.
ban	ipagbawal	Ipagbabawal ng lungsod ang mga kotse.
bank (river)	pampang ng ilog	Umupo kami sa pampang ng ilog.
base	base; himpilan	Bumalik ang koponan sa base.
basic	pangunahin	Kailangan ng lahat ang pangunahing kasanayan sa computer.
basis	batayan	Tiwala ang batayan ng pagkakaibigan.
battery	baterya	Mahina na ang baterya ng telepono ko.
battle	labanan	Tumagal buong gabi ang labanan.
