source_headword	LO	example_LO
ability	ຄວາມສາມາດ	ຄວາມສາມາດລອຍນ້ຳຂອງນາງຊັດເຈນ.
able	ສາມາດ	ລາວສາມາດມາມື້ນີ້.
abroad	ຢູ່ຕ່າງປະເທດ	ນາງຢາກຮຽນຢູ່ຕ່າງປະເທດ.
accept	ຍອມຮັບ	ກະລຸນາຍອມຮັບຂອງຂວັນນ້ອຍນີ້.
accident	ອຸບັດເຫດ	ອຸບັດເຫດເກີດຂຶ້ນໃກ້ໂຮງຮຽນ.
according to	ຕາມ	ຕາມລາຍງານຝົນຈະຕົກ.
achieve	ບັນລຸ	ເຈົ້າສາມາດບັນລຸເປົ້າໝາຍຂອງເຈົ້າ.
act	ສະແດງ;ກະທຳ	ລາວສາມາດສະແດງໃນລະຄອນ.
active	ຫ້າວຫັນ	ນາງຫ້າວຫັນທຸກມື້.
actually	ຄວາມຈິງແລ້ວ	ຄວາມຈິງແລ້ວຂ້ອຍຕ້ອງການເວລາເພີ່ມ.
advantage	ຂໍ້ດີ	ແຜນນີ້ມີຂໍ້ດີ.
adventure	ການຜະຈົນໄພ	ການເດີນທາງຂອງພວກເຂົາເປັນການຜະຈົນໄພ.
advertise	ໂຄສະນາ	ພວກເຂົາໂຄສະນາວຽກໃໝ່.
advertisement	ໂຄສະນາ	ຂ້ອຍເຫັນໂຄສະນາໜຶ່ງ.
advertising	ການໂຄສະນາ	ການໂຄສະນາຊ່ວຍຂາຍອາຫານ.
affect	ສົ່ງຜົນຕໍ່	ການນອນສາມາດສົ່ງຜົນຕໍ່ສຸຂະພາບເຈົ້າ.
against	ຕໍ່ຕ້ານ;ພິງກັບ	ຢ່າພິງກັບຝາ.
ah	ອ້າ	ອ້າຂ້ອຍເຂົ້າໃຈແລ້ວ.
airline	ສາຍການບິນ	ສາຍການບິນນັ້ນມີວຽກຫຼາຍ.
alive	ມີຊີວິດ	ປານ້ອຍນັ້ນຍັງມີຊີວິດ.
all right	ບໍ່ເປັນຫຍັງ;ດີແລ້ວ	ທຸກຢ່າງດີແລ້ວຕອນນີ້.
allow	ອະນຸຍາດ	ພວກເຂົາອະນຸຍາດໃຫ້ໝາຢູ່ທີ່ນີ້.
almost	ເກືອບ	ພວກເຮົາເກືອບພ້ອມແລ້ວ.
alone	ຄົນດຽວ	ນາງອາໄສຢູ່ຄົນດຽວ.
along	ຕາມ	ຍ່າງຕາມຖະໜົນນີ້.
already	ແລ້ວ	ຂ້ອຍຮູ້ຄຳຕອບແລ້ວ.
alternative	ທາງເລືອກ	ລົດໄຟນີ້ເປັນທາງເລືອກ.
although	ເຖິງແມ່ນວ່າ	ເຖິງແມ່ນວ່າສາຍແລ້ວພວກເຮົາຢູ່ຕໍ່ໄດ້.
among	ທ່າມກາງ	ລາວຢືນທ່າມກາງຕົ້ນໄມ້.
amount	ຈຳນວນ	ຈຳນວນນັ້ນນ້ອຍເກີນໄປ.
ancient	ໂບຮານ	ກຳແພງໂບຮານນີ້ມີຊື່ສຽງ.
ankle	ຂໍ້ຕີນ	ຂໍ້ຕີນຂອງຂ້ອຍເຈັບມື້ນີ້.
anybody	ໃຜກໍໄດ້	ໃຜກໍໄດ້ສາມາດຕອບອັນນີ້ບໍ.
