source_headword	HI	example_HI
abolish	समाप्त करना	कानून पुरानी फीस को समाप्त कर देगा।
abortion	गर्भपात	गर्भपात एक संवेदनशील चिकित्सा मुद्दा बना हुआ है।
absence	अनुपस्थिति	उसकी अनुपस्थिति ने अंतिम निर्णय में देरी की।
absent	अनुपस्थित	दो सदस्य कक्षा से अनुपस्थित थे।
absurd	बेतुका	यह दावा सभी को बेतुका लगा।
abundance	प्रचुरता	घाटी में पानी की प्रचुरता है।
abuse	दुर्व्यवहार	रिपोर्ट में कार्यस्थल पर दुर्व्यवहार का वर्णन किया गया है।
academy	अकादमी	अकादमी युवा संगीतकारों को प्रशिक्षित करती है।
accelerate	गति बढ़ाना	नया वित्तपोषण अनुसंधान को गति देगा।
acceptance	स्वीकृति	आलोचना की उनकी स्वीकृति ने मुझे प्रभावित किया।
accessible	सुलभ	संग्रहालय व्हीलचेयर उपयोगकर्ताओं के लिए सुलभ है।
accomplishment	उपलब्धि	पुस्तक को पूरा करना एक वास्तविक उपलब्धि थी।
accordance	अनुसार	काम नीति के अनुसार किया गया था।
accordingly	तदनुसार	सबूत बदल गए, और हमने तदनुसार काम किया।
accountability	जवाबदेही	यह नीति प्रबंधकों के लिए जवाबदेही बढ़ाती है।
accountable	जवाबदेह	प्रबंधक सुरक्षा के लिए जवाबदेह हैं।
accumulate	जमा होना	स्क्रीन के पीछे धूल जमा हो सकती है।
accumulation	संचय	डेटा के संचय में महीनों लग गए।
accusation	आरोप	आरोप ने समिति को चौंका दिया।
accused	आरोपी	आरोपी अदालत में पेश हुआ।
acquisition	अधिग्रहण	अधिग्रहण ने कंपनी का तेजी से विस्तार किया।
acre	एकड़	खेत एक एकड़ में फैला है।
activation	सक्रियण	कार्ड के सक्रियण में कुछ मिनट लगते हैं।
activist	कार्यकर्ता	कार्यकर्ता ने रैली में बात की।
acute	तीव्र	दौड़ने के बाद उसे तीव्र दर्द महसूस हुआ।
adaptation	अनुकूलन	अनुकूलन ने उपन्यास के अंत को बदल दिया।
adhere	पालन करना	कर्मचारियों को सुरक्षा नियमों का पालन करना चाहिए।
adjacent	सटा हुआ	होटल स्टेशन से सटा हुआ है।
adjustment	समायोजन	एक छोटे से समायोजन ने समस्या को ठीक कर दिया।
administer	देना	नर्सें सावधानी से टीका देती हैं।
