simplified	BG	example_BG
哎	ей; ах	Ей, какво те води тук?
唉	ах; въздишка	Ах, пак закъснях.
爱护	пазя; грижа се за	Трябва да пазим околната среда.
爱惜	ценя; пазя	Моля, цени времето си.
爱心	състрадание; добро сърце	Тя е много състрадателна.
安慰	утешавам	Приятелят ми ме утеши.
安装	инсталирам; монтирам	Работникът монтира климатика.
岸	бряг	Лодката бавно се приближава към брега.
暗	тъмен	В стаята е много тъмно.
熬夜	стоя до късно	Стоенето до късно е вредно за здравето.
把握	увереност; сигурност	Не съм сигурен, че мога да свърша това добре.
摆	подреждам	Моля, подреди столовете спретнато.
办理	уреждам; обработвам	Отивам в банката да уредя някои дела.
傍晚	привечер	Привечер ще отидем на разходка.
包裹	пратка; пакет	Получих пратка.
包含	съдържам; включвам	Цената включва закуска.
包括	включвам	Таксата включва обяд.
薄	тънък	Тази книга е много тънка.
保持	поддържам; запазвам	Моля, пазете тишина.
保存	запазвам	Моля, запази този файл.
保留	запазвам; резервирам	Моля, запази ми едно място.
保险	застраховка	Купих пътническа застраховка.
宝贝	съкровище	Това е моето съкровище.
宝贵	ценен	Времето е много ценно.
报到	регистрирам се; явявам се	Новите ученици идват днес в училище да се регистрират.
报道	репортаж; съобщавам	Новините съобщиха за този случай.
报告	доклад; докладвам	Той изнася доклад.
报社	редакция на вестник	Тя работи в редакция на вестник.
抱怨	оплаквам се	Той винаги се оплаква, че има твърде много работа.
悲观	песимистичен	Не бъди толкова песимистичен.
背	гръб	Той седи с гръб към вратата.
背景	фон; контекст	Моля, представи накратко своя контекст.
被子	юрган	Юрганът е много топъл.
本科	бакалавърска степен; бакалавър	Той е студент бакалавър.
本领	умение	Той научи ново умение.
本质	същност	Същността на проблема е много проста.
彼此	един друг	Трябва да се уважаваме един друг.
比例	съотношение	Съотношението между мъжете и жените е почти еднакво.
必然	неизбежен	Усилията неизбежно ще донесат резултати.
必要	необходим	Няма нужда да се тревожиш.
毕竟	все пак	Все пак той още е дете.
避免	избягвам	Моля, избягвай закъсненията.
编辑	редактирам; редактор	Той отговаря за редактирането на тази статия.
鞭炮	пиратки	По време на Пролетния празник някои хора палят пиратки.
便	тогава; след това	След като се нахрани, той отиде на урок.
辩论	дебат; споря	Те спорят по този въпрос.
标点	пунктуация	Моля, обърни внимание на пунктуацията.
标志	знак; символ	Червената светлина е знак за спиране.
表达	изразявам	Той изрази своето мнение.
表面	повърхност	Повърхността на масата е много чиста.
表明	показвам; доказвам	Резултатът показва, че той е прав.
表情	изражение	Изражението ѝ е много сериозно.
表现	представяне; държа се	Днес той се представи много добре.
冰激凌	сладолед	Децата обичат да ядат сладолед.
病毒	вирус	Този вирус се разпространява много бързо.
播放	пускам; излъчвам	Моля, пусни тази песен.
玻璃	стъкло	Стъклената чаша се счупи.
博物馆	музей	През уикенда ще отидем в музея.
脖子	врат	Вратът ме боли малко.
不断	непрекъснато	Цените непрекъснато се покачват.
不见得	не непременно	Това не е непременно лошо нещо.
不耐烦	нетърпелив	След дълго чакане той стана малко нетърпелив.
不要紧	няма значение	Няма проблем, няма значение.
补充	допълвам	Искам да добавя едно мнение.
不安	неспокоен	След като чу новината, тя се почувства неспокойна.
不得了	много сериозно	Тази работа наистина е сериозна.
不然	иначе	Тръгвай бързо, иначе ще закъснееш.
不如	по-добре	Вместо да вземем превоз, по-добре да вървим пеша.
不足	недостатъчен	Тук няма достатъчно вода.
布	плат	Това парче плат е много меко.
步骤	стъпка	Моля, действай според стъпките.
部门	отдел	Работя в отдела по продажби.
财产	имущество	Тази къща е негово имущество.
彩虹	дъга	След дъжда се появи дъга.
踩	стъпвам върху	Не стъпвай върху тревата.
采访	интервюирам	Репортерът интервюира лекаря.
采取	приемам; предприемам	Приехме нов метод.
参考	справям се с; използвам за справка	Моля, използвай тази книга за справка.
参与	участвам	Той активно участва в дейностите.
惭愧	засрамен	Срамувам се от собствената си грешка.
操场	спортна площадка	Учениците тичат на спортната площадка.
操心	тревожа се	Не се тревожи за мен.
册	том; брой	Купих един том книга.
测验	тест	Утре има малък тест.
曾经	някога	Някога живях в Пекин.
叉子	вилица	Ям салата с вилица.
差距	разлика; пропаст	Има разлика между градовете и селските райони.
插	поставям; вмъквам	Моля, постави цветята във вазата.
拆	разглобявам; събарям	Работниците събарят старата къща.
产品	продукт	Този продукт е с много добро качество.
产生	пораждам; възниквам	Този проблем породи ново влияние.
常识	здрав разум; общи знания	Това е основен здрав разум.
长途	дълго разстояние	Пътуването на дълго разстояние е уморително.
抄	преписвам	Моля, не преписвай домашните на другите.
超级	супер; много голям	Това е супермаркет.
朝	династия	Династия Тан е много известна.
潮湿	влажен	Лятото на юг е много влажно.
吵	шумен	Навън е много шумно.
吵架	карам се	Те пак се скараха.
炒	пържа в тиган	Мама пържи ястие.
车库	гараж	Колата е паркирана в гаража.
车厢	вагон	Този вагон е много тих.
彻底	напълно; основно	Той разбра напълно.
沉默	мълчалив	Той мълча през цялото време.
趁	възползвам се от	Да тръгнем, докато още не се е стъмнило.
称	тегля; претеглям	Моля, претегли този пакет.
称呼	обръщение; наричам	Не знам как да се обръщам към него.
称赞	хваля	Учителят похвали напредъка му.
成分	съставка	Съставките на това лекарство са прости.
成果	резултат	Този проект постигна резултати.
成就	постижение	Той има много постижения в кариерата си.
成立	основавам се	Компанията беше основана миналата година.
成人	възрастен	Билетите за възрастни са по-скъпи от детските билети.
成熟	зрял; узрял	Ябълките вече са узрели.
成语	идиом	Този идиом се използва често.
成长	расти	Детето расте бавно.
承担	поемам	Той е готов да поеме отговорност.
承认	признавам	Той призна, че е сгрешил.
承受	издържам	Не мога да издържа такъв голям натиск.
程度	степен; ниво	Нивото му по китайски е много високо.
