source_headword	MY	example_MY
clothes	အဝတ်အစား	ကျွန်တော့် အဝတ်အစားတွေ သန့်ရှင်းတယ်။
club	ကလပ်; အသင်း	သူက ဂီတကလပ်ကို သွားတယ်။
coat	ကုတ်အင်္ကျီ	ကျွန်တော့် ကုတ်အင်္ကျီက နွေးတယ်။
coffee	ကော်ဖီ	မနက်မှာ ကော်ဖီ သောက်တယ်။
cold	အေးသော	ရေက အေးတယ်။
college	ကောလိပ်; တက္ကသိုလ်	ကျွန်မအစ်မက တက္ကသိုလ်မှာ စာသင်တယ်။
colour	အရောင်	ကျွန်တော့် အကြိုက်ဆုံး အရောင်က အပြာရောင်။
come	လာသည်	ကျေးဇူးပြု၍ ဒီမှာ လာပါ။
common	သာမန်; အသုံးများသော	ဒီနာမည်က အသုံးများတယ်။
company	ကုမ္ပဏီ	အမေက ကုမ္ပဏီတစ်ခုမှာ အလုပ်လုပ်တယ်။
compare	နှိုင်းယှဉ်သည်	ဒီပုံနှစ်ပုံကို နှိုင်းယှဉ်ပါ။
complete	ပြည့်စုံသော; ပြီးစီးသည်	ဖောင်က ပြည့်စုံပြီးပြီ။
computer	ကွန်ပျူတာ	ဒီကွန်ပျူတာက အသစ်ပါ။
concert	ဖျော်ဖြေပွဲ	ဒီညနေ ဖျော်ဖြေပွဲကို သွားမယ်။
conversation	စကားပြောဆိုမှု	ကျွန်တော်တို့ စကားတိုတို ပြောခဲ့တယ်။
cook	ချက်ပြုတ်သည်; ထမင်းချက်	အိမ်မှာ ညစာ ချက်တယ်။
cooking	ချက်ပြုတ်ခြင်း	အဖေနဲ့အတူ ချက်ပြုတ်ရတာ ကြိုက်တယ်။
cool	အေးမြသော; မိုက်သော	အခန်းက အေးမြတယ်။
correct	မှန်သော; ပြင်သည်	မင်းရဲ့ အဖြေက မှန်တယ်။
cost	စျေး; ကုန်ကျသည်	ဒါ ဘယ်လောက် ကျသလဲ။
could modal	လုပ်နိုင်သည်; ဖြစ်နိုင်သည်	မင်းကို ကူညီနိုင်ခဲ့တယ်။
country	နိုင်ငံ	ကနေဒါက နိုင်ငံကြီးတစ်ခုပါ။
course	သင်တန်း	အင်္ဂလိပ်သင်တန်း တက်တယ်။
cousin	ဝမ်းကွဲ	ကျွန်တော့် ဝမ်းကွဲက အနီးမှာ နေတယ်။
