source_headword	FR	example_FR
fridge	le réfrigérateur; le frigo	Le lait est dans le réfrigérateur.
frog	la grenouille	Une grenouille a sauté dans l'étang.
furniture	les meubles; le mobilier	Ces meubles sont vieux mais solides.
further	plus loin; supplémentaire	Nous avons besoin d'informations supplémentaires.
gallery	la galerie	La galerie est ouverte aujourd'hui.
gap	l'écart; le trou	Il y a un trou dans le mur.
gas	l'essence; le gaz	La voiture a besoin d'essence.
gate	le portail; la porte	Ferme le portail, s'il te plaît.
general	général	C'est une règle générale.
gift	le cadeau	Elle a acheté un cadeau.
goal	le but; l'objectif	Notre objectif est simple.
god	Dieu; le dieu	Beaucoup de gens prient Dieu.
gold	l'or; doré	La bague est en or.
golf	le golf	Il joue au golf aujourd'hui.
government	le gouvernement	Le gouvernement a changé la loi.
grass	l'herbe; la pelouse	L'herbe est mouillée.
greet	saluer	Salue chaque invité poliment.
ground	le sol; la terre	Assieds-toi par terre.
guest	l'invité; l'invitée	Notre invité est arrivé tôt.
guide	le guide; guider	Le guide nous a montré le musée.
gun	le pistolet; l'arme	La police a trouvé un pistolet.
guy	le gars; le type	Ce gars est mon frère.
habit	l'habitude	Lire chaque jour est une bonne habitude.
hall	le couloir; la salle	Attends dans le couloir.
happily	heureusement; avec joie	Ils ont vécu heureux ensemble.
headache	le mal de tête	J'ai mal à la tête.
heart	le cœur	Son cœur bat vite.
heat	chauffer; la chaleur	Chauffe la soupe lentement.
heavy	lourd	Ce sac est lourd.
height	la hauteur	Mesure la hauteur de la table.
helpful	utile	Ton conseil a été utile.
hero	le héros; l'héroïne	Il est mon héros.
hers	à elle; le sien	Le manteau bleu est à elle.
herself	elle-même	Elle a préparé le dîner elle-même.
hide	cacher	Cache la clé sous la boîte.
hill	la colline	Nous avons gravi la colline.
himself	lui-même	Il l'a réparé lui-même.
hit	frapper; le coup	Ne frappe pas la porte.
hockey	le hockey	Nous avons regardé le hockey hier soir.
hold	tenir	Tiens ma main.
hole	le trou	Il y a un trou dans ma chaussette.
huge	énorme	La pièce est énorme.
human	l'être humain; humain	Chaque être humain a besoin d'eau.
hurt	faire mal; blesser	Mon genou me fait mal.
ideal	idéal	Cette pièce est idéale pour étudier.
identify	identifier	Peux-tu identifier cet oiseau ?
ill	malade	Elle se sent malade aujourd'hui.
illness	la maladie	La maladie a duré une semaine.
image	l'image	L'image est claire.
immediately	immédiatement	Viens ici immédiatement.
impossible	impossible	Ce puzzle semble impossible.
included	inclus	Le petit déjeuner est inclus.
including	y compris	Dix personnes sont venues, y compris moi.
increase	augmenter; l'augmentation	Les prix augmentent en été.
incredible	incroyable	La vue était incroyable.
independent	indépendant	Ma sœur est indépendante.
individual	l'individu; individuel	Chaque individu a un numéro.
industry	l'industrie	L'industrie locale se développe.
informal	informel	Cet e-mail est informel.
injury	la blessure	Sa blessure n'est pas grave.
insect	l'insecte	Un insecte s'est posé sur la tasse.
inside	à l'intérieur	Attends à l'intérieur de la maison.
instead	à la place	Bois de l'eau à la place.
instruction	l'instruction	Lis chaque instruction attentivement.
instructor	l'instructeur; l'instructrice	L'instructeur a expliqué l'exercice.
instrument	l'instrument	Elle joue d'un instrument.
intelligent	intelligent	C'est un étudiant intelligent.
international	international	C'est un aéroport international.
introduction	l'introduction; la présentation	L'introduction était courte.
invent	inventer	Les enfants peuvent inventer de nouveaux jeux.
invention	l'invention	L'invention a fait gagner du temps.
invitation	l'invitation	J'ai reçu une invitation.
invite	inviter	Invite aussi ton ami.
involve	impliquer; inclure	Le travail impliquera des voyages.
item	l'article; l'objet	Choisis un article.
itself	lui-même; elle-même	La machine s'éteint toute seule.
jam	la confiture	Mets de la confiture sur le pain.
jazz	le jazz	Le jazz sonne très bien ce soir.
jewellery	les bijoux	Elle garde ses bijoux dans une boîte.
joke	la blague	Raconte-moi une blague.
journalist	le journaliste; la journaliste	Le journaliste a posé des questions.
jump	sauter; le saut	Saute par-dessus la ligne.
kid	l'enfant; le gamin	L'enfant rit.
kill	tuer	Ne tue pas l'insecte.
king	le roi	Le roi vivait dans un palais.
knee	le genou	Mon genou me fait mal.
knife	le couteau	Utilise un couteau bien aiguisé.
knock	frapper; le coup	Frappe avant d'entrer.
knowledge	la connaissance	La connaissance grandit avec la pratique.
lab	le laboratoire	Le laboratoire est fermé.
lady	la dame	La dame nous a souri.
lake	le lac	Le lac est calme.
lamp	la lampe	Allume la lampe.
laptop	l'ordinateur portable	Mon ordinateur portable est neuf.
last1 (taking time)	durer	Le film dure deux heures.
laughter	le rire	Nous avons entendu des rires dehors.
law	la loi	La loi a changé hier.
lawyer	l'avocat; l'avocate	L'avocat m'a appelé.
lazy	paresseux	Ne sois pas paresseux.
lead1	mener; diriger	Les bons chefs dirigent par l'exemple.
leader	le chef; la cheffe	Elle est la cheffe de l'équipe.
learning	l'apprentissage	L'apprentissage prend du temps.
least	le moins; la plus petite quantité	Choisis l'option la moins chère.
lecture	la conférence; le cours	La conférence commence à dix heures.
lemon	le citron	Ajoute du citron au thé.
lend	prêter	Peux-tu me prêter cinq dollars ?
less	moins	Mange moins de sucre.
level	le niveau	Ce niveau est facile.
lifestyle	le mode de vie	Il a un mode de vie sain.
lift	soulever; l'ascenseur	Soulève la boîte avec soin.
light	allumer	Allume la bougie avec soin.
light (not heavy)	léger	Ce sac est léger.
likely	probable	Il est probable qu'il pleuve demain.
link	le lien	Envoie-moi le lien.
listener	l'auditeur; l'auditrice	Sois un bon auditeur.
lock	fermer à clé; la serrure	Ferme la porte à clé.
lorry	le camion	Le camion transportait des boîtes.
lost	perdu	Nous sommes perdus.
loud	fort; bruyant	La musique est forte.
loudly	fort; à voix haute	S'il te plaît, ne parle pas fort.
lovely	joli; charmant	Quel joli jardin !
low	bas	La chaise est basse.
luck	la chance	Bonne chance pour le test.
lucky	chanceux	Tu as de la chance aujourd'hui.
mail	le courrier	J'ai reçu du courrier ce matin.
major	majeur; principal	C'est un problème majeur.
male	mâle; masculin	L'oiseau mâle est brillant.
manage	gérer; réussir	Peux-tu gérer cette tâche ?
manager	le directeur; la directrice	Le directeur est occupé.
manner	la manière	Parle de manière polie.
mark	marquer; la note	Marque clairement la réponse.
marry	se marier	Ils vont se marier en juin.
material	le matériau; le matériel	Ce matériau est doux.
mathematics	les mathématiques	Les mathématiques sont ma matière préférée.
maths	les maths	Les maths sont difficiles pour moi.
matter	compter; l'affaire	Cela n'a pas d'importance.
may modal	pouvoir; il se peut que	Tu peux partir maintenant.
media	les médias	Les médias ont raconté l'histoire.
medical	médical	Elle a besoin d'aide médicale.
medicine	le médicament; la médecine	Prends ce médicament après le déjeuner.
memory	la mémoire	J'ai une bonne mémoire.
mention	mentionner	Ne mentionne pas mon nom.
metal	le métal	Le portail est en métal.
method	la méthode	Cette méthode fonctionne bien.
middle	le milieu	Tiens-toi au milieu.
might modal	pourrait; il se peut que	Il se peut qu'il pleuve plus tard.
mind	l'esprit; l'avis	J'ai changé d'avis.
mine (belongs to me)	à moi; le mien	Ce livre est à moi.
mirror	le miroir	Regarde-toi dans le miroir.
missing	manquant; perdu	Mes clés ont disparu.
mobile	le portable; le téléphone portable	Mon portable est sur la table.
monkey	le singe	Le singe a grimpé à l'arbre.
moon	la lune	La lune est brillante.
mostly	surtout; principalement	La classe est surtout calme.
motorcycle	la moto	Il conduit une moto.
movement	le mouvement	J'ai vu un mouvement dans les arbres.
musical	musical; la comédie musicale	C'est un film musical.
musician	le musicien; la musicienne	Le musicien jouait de la guitare.
myself	moi-même	Je l'ai fait moi-même.
narrow	étroit	La route est étroite.
national	national	C'est une fête nationale.
nature	la nature	J'aime la nature.
nearly	presque	Nous y sommes presque.
necessary	nécessaire	Est-ce nécessaire ?
neck	le cou	J'ai mal au cou.
neither	ni l'un ni l'autre	Aucune réponse n'est correcte.
nervous	nerveux	Elle est nerveuse.
network	le réseau	Le réseau ne fonctionne pas.
noise	le bruit	J'ai entendu un bruit fort.
noisy	bruyant	La rue est bruyante.
none	aucun; rien	Aucun d'eux n'est venu.
normal	normal	C'est normal.
normally	normalement	Je me réveille normalement tôt.
notice	remarquer; l'avis	As-tu remarqué le panneau ?
novel	le roman	Elle a écrit un roman.
nowhere	nulle part	Il n'y a nulle part où s'asseoir ici.
nut	la noix	La noix est dure.
ocean	l'océan	L'océan est profond.
offer	l'offre; offrir	J'ai accepté l'offre.
officer	l'agent; l'officier	L'agent a vérifié mon billet.
oil	l'huile; le pétrole	Ajoute de l'huile dans la poêle.
onto	sur	Mets-le sur l'étagère.
opportunity	l'occasion; l'opportunité	C'est une bonne occasion.
option	l'option	Choisis la meilleure option.
ordinary	ordinaire	C'était une journée ordinaire.
organization	l'organisation	L'organisation aide les étudiants.
organize	organiser	Organise les fichiers, s'il te plaît.
original	original	Garde le reçu original.
ourselves	nous-mêmes	Nous avons préparé le dîner nous-mêmes.
oven	le four	Le four est chaud.
owner	le propriétaire; la propriétaire	Le propriétaire a ouvert le magasin.
pack	faire son sac; emballer	Fais ton sac maintenant.
pain	la douleur	J'ai mal au dos.
painter	le peintre; la peintre	Le peintre a fini le mur.
palace	le palais	Le palais est ancien.
pants	le pantalon	Ce pantalon est trop long.
parking	le parking; le stationnement	Le stationnement est difficile ici.
particular	particulier; précis	J'ai besoin d'un livre précis.
pass	passer; réussir	Passe-moi le sel.
passenger	le passager; la passagère	Chaque passager a besoin d'un billet.
patient	patient; le patient	Sois patient avec les enfants.
pattern	le motif; le modèle	Ce motif est simple.
peace	la paix	Nous voulons tous la paix.
penny	le penny; la petite pièce	J'ai trouvé une petite pièce.
per	par; chaque	Les billets coûtent dix dollars par personne.
per cent	le pourcentage; pour cent	Cinq pour cent, c'est peu.
perform	jouer; se produire	Le groupe va se produire ce soir.
perhaps	peut-être	Peut-être qu'elle est à la maison.
permission	la permission; l'autorisation	Demande la permission d'abord.
personality	la personnalité	Il a une personnalité amicale.
pet	l'animal de compagnie	Mon animal de compagnie est un chat.
petrol	l'essence	La voiture a besoin d'essence.
physical	physique	L'exercice physique aide la santé.
physics	la physique	La physique est difficile.
pick	choisir; ramasser	Choisis une carte.
pilot	le pilote	Le pilote a parlé clairement.
planet	la planète	La Terre est une planète.
plastic	le plastique; en plastique	Cette bouteille est en plastique.
plate	l'assiette	Mets la nourriture dans l'assiette.
platform	le quai; la plateforme	Attends sur le quai deux.
pleased	content; ravi	Je suis ravi de te rencontrer.
pocket	la poche	Le billet est dans ma poche.
polite	poli	Sois poli avec tout le monde.
pollution	la pollution	La pollution nuit à l'océan.
pop	la pop; populaire	J'aime la musique pop.
population	la population	La population augmente.
position	la position	Change de position.
possession	la possession	Cette bague est ma possession.
possibility	la possibilité	Il y a une possibilité de pluie.
poster	l'affiche	Mets l'affiche au mur.
power	l'énergie; le pouvoir	L'ordinateur a besoin d'énergie.
predict	prédire	Nous ne pouvons pas prédire le temps.
president	le président; la présidente	Le président a fait un discours.
prevent	empêcher; prévenir	Lave-toi les mains pour prévenir la maladie.
print	imprimer; l'impression	Imprime le document.
printer	l'imprimante	L'imprimante est cassée.
prison	la prison	Il est allé en prison.
prize	le prix; le prix gagné	Elle a gagné un prix.
process	le processus; traiter	Le processus prend du temps.
produce	produire	Les fermes produisent de la nourriture.
professional	professionnel; le professionnel	Elle est danseuse professionnelle.
professor	le professeur; la professeure	Le professeur a répondu aux questions.
profile	le profil	Mets à jour ton profil.
program	le programme	Le programme commence maintenant.
progress	le progrès	Nous avons fait des progrès aujourd'hui.
promise	promettre; la promesse	Tiens ta promesse.
pronounce	prononcer	Prononce ce mot, s'il te plaît.
protect	protéger	Protège tes yeux.
provide	fournir	Ils fournissent de l'eau gratuite.
pub	le pub; le bar	Nous nous sommes retrouvés au pub.
public	public	Le parc est public.
publish	publier	Ils publient un magazine.
pull	tirer	Tire la porte.
purpose	le but; l'objectif	Quel est le but ?
push	pousser; appuyer	Appuie sur le bouton.
quality	la qualité	La qualité est élevée.
quantity	la quantité	Vérifie la quantité.
queen	la reine	La reine a fait signe de la main.
quietly	doucement; en silence	Parle doucement.
race (competition)	la course	La course commence bientôt.
railway	le chemin de fer	Le chemin de fer est fermé.
raise	lever; augmenter	Lève la main.
rate	le tarif; le taux	Le tarif de l'hôtel est élevé.
rather	plutôt; assez	Je suis assez fatigué.
reach	atteindre	Peux-tu atteindre l'étagère ?
react	réagir	Comment a-t-il réagi ?
realize	se rendre compte	Je me rends compte de mon erreur.
receive	recevoir	As-tu reçu mon message ?
recent	récent	C'est une photo récente.
recently	récemment	J'ai déménagé ici récemment.
reception	la réception	La réception est lundi.
recipe	la recette	Cette recette est facile.
recognize	reconnaître	Je reconnais cette chanson.
recommend	recommander	Je recommande ce livre.
record	le registre; enregistrer	Garde un registre des paiements.
recording	l'enregistrement	L'enregistrement est clair.
recycle	recycler	Recycle le papier et le plastique.
reduce	réduire	Baisse le feu.
refer	se référer; consulter	Consulte la page deux.
refuse1	refuser	Je refuse de mentir.
region	la région	Cette région est froide.
regular	régulier; habituel	C'est un client habituel.
relationship	la relation	Leur relation est forte.
remove	enlever; retirer	Enlève tes chaussures.
repair	réparer; la réparation	Répare le vélo aujourd'hui.
replace	remplacer	Remplace l'ancienne pile.
reply	répondre; la réponse	Réponds bientôt, s'il te plaît.
reporter	le journaliste; la journaliste	Le journaliste a pris des notes.
request	la demande; demander	J'ai fait une demande.
research	la recherche; faire des recherches	Nous faisons des recherches sur l'histoire locale.
researcher	le chercheur; la chercheuse	Le chercheur a vérifié les données.
respond	répondre	Réponds aujourd'hui, s'il te plaît.
response	la réponse	Sa réponse a été rapide.
rest (remaining part)	le reste	Mange le reste plus tard.
rest (sleep/relax)	se reposer; le repos	Tu dois te reposer.
review	réviser; la critique	Révise tes notes ce soir.
ring1	la bague	Elle portait une bague en or.
ring2	appeler; sonner	Appelle-moi après le déjeuner.
rise	monter; augmenter	Les prix augmentent chaque année.
rock (stone)	la pierre; le rocher	La pierre est lourde.
