source_headword	HY	example_HY
toss	նետել	Նա բանալիները նետեց սեղանին։
total	կազմել	Վերանորոգումը կազմեց սպասվածից ավելին։
toxic	թունավոր	Թունավոր ծուխը բոլորին ստիպեց դուրս գալ։
trademark	ապրանքանիշ	Լոգոտիպը դարձավ ընկերության ապրանքանիշը։
trail	արահետ	Արահետը տանում էր անտառի միջով։
trailer	թրեյլեր	Թրեյլերը ցույց տվեց ֆիլմի վերջաբանը։
transaction	գործարք	Գործարքը հայտնվեց իմ բանկային քաղվածքում։
transcript	ակադեմիական տեղեկագիր	Ուսանողը պաշտոնական ակադեմիական տեղեկագիր խնդրեց։
transformation	վերափոխում	Քաղաքը մեծ վերափոխում ապրեց։
transit	տարանցում	Փաթեթը վնասվել էր փոխադրման ժամանակ։
transmission	փոխանցում	Տվյալների փոխանցումը անվտանգ էր։
transparency	թափանցիկություն	Զեկույցը կոչ արեց ավելի մեծ թափանցիկության։
transparent	թափանցիկ	Գործընթացը պետք է թափանցիկ լինի բոլորի համար։
trauma	տրավմա	Վթարը խորը տրավմա թողեց։
treaty	պայմանագիր	Երկրները խաղաղության պայմանագիր ստորագրեցին։
tremendous	հսկայական	Թիմը հսկայական առաջընթաց գրանցեց։
tribal	ցեղային	Թանգարանը ցուցադրում էր ցեղային արվեստ։
tribunal	տրիբունալ	Տրիբունալը ամբողջ շաբաթ լսեց ապացույցները։
tribute	հարգանքի տուրք	Համերգը հարգանքի տուրք էր նրան։
trio	տրիո	Տրիոն ելույթ ունեցավ փառատոնին։
triumph	հաղթանակ	Հաղթանակը անձնական հաջողություն էր։
trophy	գավաթ	Ավագը հպարտությամբ բարձրացրեց գավաթը։
troubled	խնդրահարույց	Խնդիրներ ունեցող ընկերությանը նոր ղեկավարություն էր անհրաժեշտ։
trustee	հոգաբարձու	Հոգաբարձուն կառավարում է կրթաթոշակային հիմնադրամը։
tuition	ուսման վարձ	Նրա ուսման վարձը այս տարի բարձրացավ։
turnout	մասնակցություն	Ընտրողների մասնակցությունը սպասվածից բարձր էր։
turnover	շրջանառություն	Փոփոխություններից հետո անձնակազմի հոսունությունը նվազեց։
twist	պտտել	Նա պտտեց և բացեց կափարիչը։
undergraduate	բակալավրի ուսանող	Բակալավրի ուսանողը միացավ հետազոտական նախագծին։
underlying	հիմքում ընկած	Զեկույցը բացատրեց հիմքում ընկած պատճառները։
undermine	խարխլել	Սկանդալը խարխլեց հանրային վստահությունը։
undoubtedly	անկասկած	Նա անկասկած լավագույն թեկնածուն է։
unify	միավորել	Ծրագիրը նպատակ ունի միավորել թիմերը։
unprecedented	աննախադեպ	Փոթորիկը աննախադեպ վնաս պատճառեց։
unveil	բացահայտել	Ընկերությունը վաղը կներկայացնի դիզայնը։
upcoming	առաջիկա	Առաջիկա ընտրությունները գրավեցին հանրության ուշադրությունը։
upgrade	թարմացնել	Մենք երեկ գիշեր թարմացրինք ծրագիրը։
uphold	պահպանել	Մենք ուժի մեջ ենք թողնում նախնական որոշումը։
utility	կոմունալ ծառայություն	Բնակարանը ներառում է բոլոր կոմունալ ծախսերը։
utilize	օգտագործել	Թիմը օգտագործեց առկա տվյալները։
utterly	միանգամայն	Բացատրությունը միանգամայն շփոթեցնող էր։
vacuum	վակուում	Ղեկավարության վակուումը լարվածություն առաջացրեց։
vague	անորոշ	Նրա պատասխանը անորոշ և թույլ էր։
validity	վավերականություն	Ուսումնասիրությունը կասկածի տակ դրեց թեստի վավերականությունը։
vanish	անհետանալ	Ֆայլը անհետացավ թղթապանակից։
variable	փոփոխական	Գինը մեկ կարևոր փոփոխական է։
varied	բազմազան	Դասընթացը առաջարկում է բազմազան առաջադրանքներ։
vein	երակ	Բուժքույրը արագ գտավ երակը։
venture	ձեռնարկություն	Նոր ձեռնարկությունը գրավեց ներդրողներին։
verbal	բանավոր	Նրանք բանավոր համաձայնության եկան։
verdict	դատավճիռ	Երդվյալ ատենակալները կայացրեցին իրենց դատավճիռը։
verify	հաստատել	Խնդրում ենք հաստատել ձեր էլփոստի հասցեն։
verse	տուն	Նա մեջբերեց բանաստեղծության մի տուն։
versus	ընդդեմ	Բանավեճը գաղտնիությունն ընդդեմ անվտանգության էր։
vessel	նավ	Նավը ծովով հացահատիկ էր տեղափոխում։
veteran	վետերան	Վետերանը մարզեց նոր աշխատակիցներին։
viable	կենսունակ	Առաջարկը ֆինանսապես կենսունակ է։
vibrant	աշխույժ	Քաղաքը ունի աշխույժ արվեստի տեսարան։
vice	արատ	Ագահությունը նրա ամենամեծ արատն էր։
vicious	դաժան	Դաժան հարձակումը ցնցեց քաղաքը։
villager	գյուղացի	Գյուղացին մեզ ուղեկցեց դեպի գետը։
violate	խախտել	Ընկերությունը կարող է խախտել անվտանգության կանոնները։
violation	խախտում	Տեսուչը զեկուցեց լուրջ խախտման մասին։
virtue	առաքինություն	Համբերությունը կարևոր առաքինություն է։
vocal	բարձրաձայնող	Նա բարձրաձայն արտահայտվեց որոշման մասին։
vow	երդվել	Նա երդվեց ավարտել աշխատանքը։
vulnerability	խոցելիություն	Աուդիտը բացահայտեց անվտանգության խոցելիություն։
vulnerable	խոցելի	Երեխաները խոցելի են ծայրահեղ շոգի ժամանակ։
ward	պալատ	Հիվանդը տեղափոխվեց այլ պալատ։
warehouse	պահեստ	Պահեստում պահվում են պահեստամասեր։
warfare	պատերազմ	Ժամանակակից պատերազմը հիմնվում է տեխնոլոգիայի վրա։
warrant	օրդեր	Ոստիկանությունը խուզարկության օրդեր ցույց տվեց։
warrior	մարտիկ	Մարտիկը պաշտպանեց գյուղը։
weaken	թուլացնել	Վնասվածքը թուլացրեց նրա բռնվածքը։
weave	հյուսել	Նա սովորեց զամբյուղներ հյուսել։
weed	մոլախոտ	Քարերի արանքում մոլախոտ աճեց։
well	ջրհոր	Գյուղի ջրհորը ցամաքեց։
well-being	բարեկեցություն	Քունը կենսական նշանակություն ունի բարեկեցության համար։
whatsoever	ընդհանրապես	Նա ընդհանրապես հետաքրքրություն չցուցաբերեց։
whereby	որով	Օրենքը ստեղծեց մի համակարգ, որով ընտանիքները կարող էին բողոքարկել։
whilst	մինչդեռ	Նա աշխատում էր, մինչ տղամարդը հանգստանում էր։
whip	մտրակել	Քամին կարող է ծածանել դրոշները։
wholly	ամբողջովին	Որոշումը ամբողջովին անսպասելի էր։
widen	լայնացնել	Քաղաքը նախատեսում է լայնացնել ճանապարհը։
widow	այրի	Այրին ապրում է դպրոցի մոտ։
width	լայնություն	Չափեք դռան լայնությունը։
willingness	պատրաստակամություն	Նրա օգնելու պատրաստակամությունը տպավորեց բոլորին։
wipe	սրբել	Սրբեք էկրանը կտորով։
wit	սրամտություն	Նրա սրամտությունը աշխուժացրեց ելույթը։
withdrawal	հետկանչում	Ֆինանսավորման դադարեցումը ուշացրեց նախագիծը։
workout	մարզում	Մարզումը տևեց քառասուն րոպե։
worship	երկրպագություն	Մարդիկ հավաքվեցին լուսաբացին երկրպագության համար։
worthwhile	արժեքավոր	Ուղևորությունը արժեր դրան։
worthy	արժանի	Բարեգործությունը արժանի է աջակցության։
yell	բղավել	Մի բղավեք աշխատակիցների վրա։
yield	բերք	Ագարակի բերքը բարելավվեց այս մրցաշրջանում։
youngster	երիտասարդ	Երեխան շատ հարցեր տվեց։
