source_headword	TE	example_TE
abandon	వదిలివేయు	వారు నిన్న ఆ ప్రణాళికను వదిలివేశారు.
absolute	సంపూర్ణమైన	మాకు ఇక్కడ సంపూర్ణ నిజాయితీ కావాలి.
acceptable	ఆమోదయోగ్యమైన	అతని సమాధానం ఆమోదయోగ్యమైనది.
accompany	తోడుగా వెళ్ళు	ఆమె సోదరుడు ఆమెతో కలిసి ఇంటికి వెళ్ళాడు.
accurate	ఖచ్చితమైన	నివేదిక ఖచ్చితమైనదిగా కనిపిస్తోంది.
accuse	నిందించు	వారు అతనిని అబద్ధం చెబుతున్నాడని నిందించారు.
acknowledge	అంగీకరించు	దయచేసి తప్పును అంగీకరించండి.
acquire	పొందు	ఆమె కొత్త నైపుణ్యాలను త్వరగా పొందింది.
actual	అసలైన	అసలు ఖర్చు తక్కువగా ఉంది.
adapt	అలవాటు పడు	మేము మార్పుకు అలవాటు పడ్డాము.
additional	అదనపు	ఈరోజు అదనపు సహాయం వచ్చింది.
administration	పరిపాలన	పరిపాలన విభాగం విధానాన్ని మార్చింది.
adopt	అవలంబించు	వారు కొత్త పద్ధతిని అవలంబించారు.
advance	పురోగతి	మేము కొద్దిపాటి పురోగతి సాధించాము.
affair	వ్యవహారం	ఈ వ్యవహారం ప్రజల నమ్మకాన్ని దెబ్బతీసింది.
afterwards	ఆ తరువాత	ఆ తరువాత, అందరూ ప్రశాంతంగా ఫీలయ్యారు.
agency	సంస్థ	ఆ సంస్థ ముగ్గురు అనువాదకులను నియమించుకుంది.
agenda	ఎజెండా	భద్రత ఎజెండాలో ఉంది.
aggressive	దూకుడుగా ఉండే	అతని స్వరం దూకుడుగా అనిపించింది.
aid	సహాయం	వైద్య సహాయం త్వరగా వచ్చింది.
aircraft	విమానం	విమానం సురక్షితంగా ల్యాండ్ అయింది.
alter	మార్చు	ఒప్పందాన్ని మార్చవద్దు.
anger	కోపం	అతని కోపం అందరినీ ఆశ్చర్యపరిచింది.
angle	కోణం	మరో కెమెరా కోణాన్ని ప్రయత్నించండి.
anniversary	వార్షికోత్సవం	రేపు వారి వార్షికోత్సవం.
annual	వార్షిక	వార్షిక సమావేశం సోమవారం ప్రారంభమవుతుంది.
anxious	ఆందోళనగా	శస్త్రచికిత్సకు ముందు ఆమె ఆందోళన చెందింది.
apparent	స్పష్టమైన	అతని నిరాశ స్పష్టంగా కనిపించింది.
apparently	చూస్తుంటే	చూస్తుంటే, రైలు ఆలస్యమయ్యేలా ఉంది.
appeal	అప్పీలు	ఈ నిర్ణయంపై అప్పీలు చేసే అవకాశం ఉంది.
approach	విధానం	ఆమె విధానం సమస్యను పరిష్కరించింది.
appropriate	తగిన	తగిన ప్రతిస్పందనను ఎంచుకోండి.
approval	ఆమోదం	ఈ ప్రాజెక్టుకు ఆమోదం కావాలి.
approve	ఆమోదించు	బోర్డు బడ్జెట్‌ను ఆమోదించింది.
arise	తలెత్తు	తర్వాత సమస్యలు తలెత్తవచ్చు.
armed	ఆయుధాలు ధరించిన	ఆయుధాలు ధరించిన గార్డులు బయట నిలబడ్డారు.
arms	ఆయుధాలు	వారు తమ ఆయుధాలను వదిలేశారు.
artificial	కృత్రిమమైన	ఆ పూలు కృత్రిమంగా కనిపించాయి.
artistic	కళాత్మక	ఆమెకు కళాత్మక ప్రతిభ ఉంది.
ashamed	సిగ్గుపడిన	ఆ తర్వాత అతడు సిగ్గుపడ్డాడు.
aspect	అంశం	ప్రతి అంశాన్ని జాగ్రత్తగా పరిశీలించండి.
assess	అంచనా వేయు	మనం నష్టాన్ని అంచనా వేయాలి.
assessment	అంచనా	ఈ అంచనాకు రెండు గంటల సమయం పట్టింది.
associate	సంబంధం కలుపు	ప్రజలు పొగను ప్రమాదంతో ముడిపెడతారు.
associated	సంబంధిత	ఒత్తిడి అనారోగ్యంతో ముడిపడి ఉంటుంది.
association	సంఘం	ఈ సంఘం యువ కళాకారులకు మద్దతు ఇస్తుంది.
assume	ఊహించు	మీరు అంగీకరిస్తారని నేను ఊహిస్తున్నాను.
attempt	ప్రయత్నం	అతని మొదటి ప్రయత్నం విఫలమైంది.
bacteria	బ్యాక్టీరియా	బ్యాక్టీరియా వేగంగా వ్యాపిస్తుంది.
barrier	అడ్డంకి	భాష ఒక అడ్డంకిగా మారింది.
basically	ప్రాథమికంగా	ప్రాథమికంగా, మాకు మరింత సమయం కావాలి.
bear (deal with)	భరించు	నేను ఈ శబ్దాన్ని భరించలేను.
beg	వేడుకొను	దయచేసి సహాయం కోసం వేడుకోండి.
being	జీవి	ప్రతి జీవికి నీరు అవసరం.
bent	వంగిన	లోహపు కడ్డీ వంగిపోయింది.
bet	పందెం	అతనికి తెలుసని నేను పందెం వేస్తున్నాను.
beyond	ఆవల	నదికి ఆవల గ్రామం ఉంది.
bitter	చేదు	మందు చేదుగా ఉంది.
blame	నిందించు	డ్రైవర్‌ను నిందించవద్దు.
blind	గుడ్డి	అతను చిన్నవయసులోనే గుడ్డివాడయ్యాడు.
bond	బంధం	నమ్మకం బలమైన బంధాన్ని సృష్టిస్తుంది.
breast	రొమ్ము	ఆమెకు రొమ్ములో నొప్పి అనిపించింది.
brief	సంక్షిప్తమైన	మీ సమాధానాన్ని సంక్షిప్తంగా ఉంచండి.
broad	విశాలమైన	ఇక్కడ నది వెడల్పుగా ఉంది.
broadcast	ప్రసారం చేయు	ప్రసంగం ప్రత్యక్ష ప్రసారం చేయబడింది.
budget	బడ్జెట్	బడ్జెట్ చాలా తక్కువగా ఉంది.
bullet	బుల్లెట్	బుల్లెట్ గోడకు తగిలింది.
bunch	గుత్తి	ఆమె తాళాల గుత్తిని తీసుకువెళ్ళింది.
bush	పొద	ఒక పక్షి పొదలో దాక్కుంది.
cable	కేబుల్	కేబుల్ తెగిపోయింది.
calculate	లెక్కించు	మొత్తం ఖర్చును లెక్కించండి.
cancel	రద్దు చేయు	వారు సమావేశాన్ని రద్దు చేశారు.
cancer	క్యాన్సర్	క్యాన్సర్ చికిత్స కష్టంగా ఉండవచ్చు.
capable	సమర్థుడైన	ఆమెకు ఇంకా ఎక్కువ సామర్థ్యం ఉంది.
capacity	సామర్థ్యం	హాలు దాని సామర్థ్యాన్ని చేరుకుంది.
capture	బంధించు	ఈ ఫోటో మానసిక స్థితిని బంధిస్తుంది.
cast	నటీనటులు	నటీనటులు సిద్ధంగా ఉన్నారు.
cell	కణం	ప్రతి కణంలో డేటా ఉంటుంది.
