source_headword	DE	example_DE
abandon	aufgeben; verlassen	Sie gaben den Plan gestern auf.
absolute	absolut	Wir brauchen hier absolute Ehrlichkeit.
acceptable	akzeptabel	Seine Antwort war akzeptabel.
accompany	begleiten	Ihr Bruder begleitete sie nach Hause.
accurate	genau	Der Bericht scheint genau zu sein.
accuse	beschuldigen	Sie beschuldigten ihn der Lüge.
acknowledge	anerkennen	Bitte erkennen Sie den Fehler an.
acquire	erwerben	Sie erwarb schnell neue Fähigkeiten.
actual	tatsächlich	Die tatsächlichen Kosten waren niedriger.
adapt	sich anpassen	Wir passten uns der Veränderung an.
additional	zusätzlich	Zusätzliche Hilfe kam heute an.
administration	die Verwaltung	Die Verwaltung änderte die Richtlinie.
adopt	übernehmen; adoptieren	Sie übernahmen eine neue Methode.
advance	der Fortschritt	Wir machten einen kleinen Fortschritt.
affair	die Angelegenheit; der Skandal	Der Skandal beschädigte das öffentliche Vertrauen.
afterwards	danach	Danach fühlten sich alle ruhig.
agency	die Agentur	Die Agentur stellte drei Übersetzer ein.
agenda	die Tagesordnung	Sicherheit steht auf der Tagesordnung.
aggressive	aggressiv	Sein Ton klang aggressiv.
aid	die Hilfe	Medizinische Hilfe kam schnell an.
aircraft	das Flugzeug	Das Flugzeug landete sicher.
alter	ändern	Ändern Sie die Vereinbarung nicht.
anger	die Wut	Seine Wut überraschte alle.
angle	der Winkel	Versuchen Sie einen anderen Kamerawinkel.
anniversary	der Jahrestag	Ihr Jahrestag ist morgen.
annual	jährlich	Die jährliche Sitzung beginnt Montag.
anxious	ängstlich; besorgt	Sie war vor der Operation ängstlich.
apparent	offensichtlich	Seine Enttäuschung war offensichtlich.
apparently	anscheinend	Anscheinend hat der Zug Verspätung.
appeal	die Berufung; der Reiz	Die Entscheidung kann angefochten werden.
approach	der Ansatz	Ihr Ansatz löste das Problem.
appropriate	angemessen	Wählen Sie eine angemessene Antwort.
approval	die Genehmigung	Das Projekt braucht Genehmigung.
approve	genehmigen	Der Vorstand genehmigte das Budget.
arise	entstehen	Probleme können später entstehen.
armed	bewaffnet	Bewaffnete Wachen standen draußen.
arms	die Waffen	Sie legten ihre Waffen nieder.
artificial	künstlich	Die Blumen wirkten künstlich.
artistic	künstlerisch	Sie hat künstlerisches Talent.
ashamed	beschämt	Er fühlte sich danach beschämt.
aspect	der Aspekt	Betrachten Sie jeden Aspekt sorgfältig.
assess	beurteilen	Wir müssen den Schaden beurteilen.
assessment	die Bewertung	Die Bewertung dauerte zwei Stunden.
associate	verbinden	Menschen verbinden Rauch mit Gefahr.
associated	verbunden	Stress ist mit Krankheit verbunden.
association	der Verband; die Vereinigung	Der Verband unterstützt junge Künstler.
assume	annehmen	Ich nehme an, Sie stimmen zu.
attempt	der Versuch	Sein erster Versuch scheiterte.
bacteria	die Bakterien	Bakterien können sich schnell ausbreiten.
barrier	die Barriere; das Hindernis	Sprache war ein Hindernis.
basically	grundsätzlich	Grundsätzlich brauchen wir mehr Zeit.
bear (deal with)	ertragen	Ich kann diesen Lärm nicht ertragen.
beg	bitten; betteln	Bitte bitten Sie um Hilfe.
being	das Wesen	Jedes Wesen braucht Wasser.
bent	gebogen	Die Metallstange war gebogen.
bet	wetten	Ich wette, er weiß es.
beyond	jenseits von	Das Dorf liegt jenseits des Flusses.
bitter	bitter	Die Medizin schmeckte bitter.
blame	beschuldigen	Geben Sie dem Fahrer nicht die Schuld.
blind	blind	Er wurde jung blind.
bond	die Bindung	Vertrauen schafft eine starke Bindung.
breast	die Brust	Sie spürte Schmerzen in der Brust.
brief	kurz	Halten Sie Ihre Antwort kurz.
broad	breit	Der Fluss ist hier breit.
broadcast	übertragen	Die Rede wurde live übertragen.
budget	das Budget	Das Budget ist sehr knapp.
bullet	die Kugel	Die Kugel traf die Wand.
bunch	das Bündel; der Strauß	Sie trug ein Bündel Schlüssel.
bush	der Busch	Ein Vogel versteckte sich im Busch.
cable	das Kabel	Das Kabel ist kaputt.
calculate	berechnen	Berechnen Sie die Gesamtkosten.
cancel	absagen	Sie sagten die Sitzung ab.
