source_headword	NL	example_NL
abandon	verlaten	Zij verlieten het plan gisteren.
absolute	absoluut	We hebben absolute eerlijkheid nodig.
acceptable	aanvaardbaar	Zijn antwoord was aanvaardbaar.
accompany	begeleiden	Haar broer begeleidde haar naar huis.
accurate	nauwkeurig	Het rapport lijkt nauwkeurig.
accuse	beschuldigen	Zij beschuldigden hem van liegen.
acknowledge	toegeven	Geef de fout alsjeblieft toe.
acquire	verwerven	Zij verwierf snel nieuwe vaardigheden.
actual	werkelijk	De werkelijke kosten waren lager.
adapt	zich aanpassen	Wij pasten ons aan de verandering aan.
additional	extra	Extra hulp kwam vandaag aan.
administration	de administratie	De administratie veranderde het beleid.
adopt	aannemen	Zij namen een nieuwe methode aan.
advance	de vooruitgang	We boekten kleine vooruitgang.
affair	de zaak	Deze zaak schaadde het publieke vertrouwen.
afterwards	achteraf	Achteraf voelde iedereen zich rustiger.
agency	het bureau	Het bureau nam drie vertalers aan.
agenda	de agenda	Veiligheid staat op de agenda.
aggressive	agressief	Zijn toon klonk agressief.
aid	de hulp	Medische hulp kwam snel aan.
aircraft	het vliegtuig	Het vliegtuig landde veilig.
alter	wijzigen	Wijzig het contract niet.
anger	de woede	Zijn woede verraste iedereen.
angle	de hoek	Probeer een andere camerahoek.
anniversary	de verjaardag	Hun verjaardag is morgen.
annual	jaarlijks	De jaarlijkse vergadering begint maandag.
anxious	ongerust	Zij voelde zich ongerust voor de operatie.
apparent	duidelijk	Zijn teleurstelling was duidelijk.
apparently	blijkbaar	Blijkbaar is de trein te laat.
appeal	het beroep	De beslissing kan tot beroep leiden.
approach	de aanpak	Haar aanpak loste het probleem op.
appropriate	geschikt	Kies een geschikt antwoord.
approval	de goedkeuring	Het project heeft goedkeuring nodig.
approve	goedkeuren	Het bestuur keurde het budget goed.
arise	ontstaan	Problemen kunnen later ontstaan.
armed	gewapend	Gewapende bewakers stonden buiten.
arms	de wapens	Zij legden hun wapens neer.
artificial	kunstmatig	De bloemen leken kunstmatig.
artistic	artistiek	Hij heeft artistiek talent.
ashamed	beschaamd	Later voelde hij zich beschaamd.
aspect	het aspect	Bekijk elk aspect zorgvuldig.
assess	beoordelen	We moeten de schade beoordelen.
assessment	de beoordeling	De beoordeling duurde twee uur.
associate	associëren	Mensen associëren rook met gevaar.
associated	verbonden	Stress is verbonden met ziekte.
association	de vereniging	De vereniging steunt jonge kunstenaars.
assume	aannemen	Ik neem aan dat je akkoord gaat.
attempt	de poging	Zijn eerste poging mislukte.
bacteria	de bacteriën	Bacteriën kunnen zich snel verspreiden.
barrier	de barrière	Taal was een barrière.
basically	in wezen	In wezen hebben we meer tijd nodig.
bear (deal with)	verdragen	Ik kan dat lawaai niet verdragen.
beg	smeken	Smeek alsjeblieft om hulp.
being	het wezen	Elk wezen heeft water nodig.
bent	gebogen	De metalen staaf was gebogen.
bet	wedden	Ik wed dat hij het weet.
beyond	voorbij	Het dorp ligt voorbij de rivier.
bitter	bitter	Het medicijn smaakte bitter.
blame	de schuld geven	Geef de bestuurder niet de schuld.
blind	blind	Hij werd jong blind.
bond	de band	Vertrouwen vormt een sterke band.
breast	de borst	Zij voelde pijn in haar borst.
brief	kort	Houd je antwoord kort.
broad	breed	De rivier is hier breed.
broadcast	uitzenden	De toespraak werd live uitgezonden.
budget	het budget	Het budget is erg krap.
bullet	de kogel	De kogel raakte de muur.
bunch	de bos	Zij droeg een bos sleutels.
bush	de struik	De vogel verborg zich in de struik.
cable	de kabel	De kabel is beschadigd.
calculate	berekenen	Bereken de totale kosten.
cancel	annuleren	Zij annuleerden de vergadering.
cancer	de kanker	Een behandeling tegen kanker kan zwaar zijn.
capable	bekwaam	Zij is bekwaam genoeg.
capacity	de capaciteit	De zaal bereikte haar capaciteit.
capture	vastleggen	De foto legde de sfeer vast.
cast	de cast	De cast is klaar.
cell	de cel	Elke cel bevat gegevens.
chairman	de voorzitter	De voorzitter opende de vergadering.
characteristic	het kenmerk	Geduld is een belangrijk kenmerk.
chief	voornaamste	De voornaamste reden was veiligheid.
circumstance	de omstandigheid	Elke omstandigheid telt mee.
cite	citeren	De student citeerde drie bronnen.
citizen	de burger	Elke burger mag stemmen.
civil	burgerlijk	De zaak ging over burgerlijke rechten.
classic	klassiek	Dat is een klassiek voorbeeld.
closely	nauw	Zij werkten nauw samen.
collapse	instorten	Het oude dak stortte in.
combination	de combinatie	Deze combinatie werkt goed.
comfort	het comfort	De stoel biedt weinig comfort.
command	het bevel	De soldaten volgden het bevel.
commission	de commissie	De commissie onderzocht de klacht.
commitment	de inzet	Haar inzet bleef sterk.
committee	de commissie	De commissie stemt morgen.
commonly	gewoonlijk	Dit woord wordt gewoonlijk gebruikt.
complicated	ingewikkeld	De regels zijn ingewikkeld.
component	het onderdeel	Elk onderdeel werd getest.
concentration	de concentratie	Volledige concentratie is nodig.
concept	het concept	Het concept is eenvoudig.
concern	de bezorgdheid	Er is bezorgdheid over veiligheid.
concerned	bezorgd	Wij zijn bezorgd over de kosten.
conduct	uitvoeren	Zij voeren lokaal onderzoek uit.
confidence	het vertrouwen	Haar vertrouwen groeide snel.
