simplified	LT	example_LT
挨	iškęsti	Jis iškentė visą naktį ir pagaliau sulaukė aušros.
癌症	vėžys	Anksti nustatyti vėžį yra labai svarbu.
暧昧	dviprasmiškas	Jo atsakymas buvo labai dviprasmiškas.
爱不释手	negalėti atsitraukti	Knyga jai taip patiko, kad ji beveik negalėjo jos padėti.
爱戴	mylėti ir gerbti	Šį mokytoją mokiniai labai myli ir gerbia.
安宁	ramus	Naktys čia labai ramios.
安详	giedras	Seno žmogaus veido išraiška buvo labai giedra.
安置	apgyvendinti	Vyriausybė apgyvendino nuo nelaimės nukentėjusius žmones.
按摩	masažas	Užsisakiau masažą.
暗示	užsiminti	Ji užsiminė, kad turėčiau liautis klausinėti.
案件	byla	Policija tiria šią bylą.
案例	atvejis	Šis atvejis yra labai tipiškas.
昂贵	brangus	Ši įranga labai brangi.
凹凸	nelygus	Šios kelio dangos paviršius nelygus.
熬	ištverti	Jis ištvėrė tris sunkias darbo dienas ir tik tada baigė ataskaitą.
奥秘	paslaptis	Mokslininkas nori atskleisti šią paslaptį.
巴不得	labai trokšti	Nekantrauju tuoj pat išvykti.
巴结	pataikauti	Jis nenori pataikauti vadovams.
扒	įsikibti	Vaikas įsikibo į duris ir žiūrėjo laukan.
疤	randas	Ant jo rankos yra randas.
拔苗助长	persistengti ir pakenkti	Taip verčiant vaiką mokytis galima tik pakenkti skubėjimu.
把关	patikrinti	Šią sutartį turi patikrinti teisininkas.
把手	rankena	Durų rankena sulūžo.
罢工	streikas	Darbininkai nusprendė rytoj streikuoti.
霸道	valdingas	Jis kalba labai valdingai.
掰	perlaužti	Ji perlaužė duoną į dvi dalis.
摆脱	atsikratyti	Jis pagaliau atsikratė blogo įpročio.
拜访	aplankyti	Šį savaitgalį aplankysime mokytoją.
拜年	sveikinti su Naujaisiais metais	Per Pavasario šventę lankome senelius ir sveikiname juos su Naujaisiais metais.
拜托	prašyti pagalbos	Šiuo reikalu labai tavimi pasikliauju.
败坏	gadinti	Toks elgesys gadins įmonės reputaciją.
斑	dėmė	Ant katės yra juoda dėmė.
颁布	paskelbti	Naujos taisyklės bus paskelbtos kitą savaitę.
颁发	įteikti	Mokykla įteikė pažymėjimus puikiems mokiniams.
版本	versija	Ši programinė įranga turi naują versiją.
伴侣	partneris	Ji laiko šunį savo draugu ir palydovu.
伴随	lydėti	Sėkmę dažnai lydi spaudimas.
半途而废	mesti pusiaukelėje	Atliekant tyrimą negalima mesti darbo pusiaukelėje.
扮演	vaidinti	Filme jis vaidina gydytoją.
榜样	pavyzdys	Tėvai yra pavyzdys vaikams.
绑架	pagrobti	Policija sustabdė pagrobimo bylą.
磅	svaras	Ši dėžė sveria dvidešimt svarų.
包庇	dangstyti	Niekas negali dangstyti nusikaltimo.
包袱	našta	Padėjęs naštą jis pasijuto daug laisviau.
包围	apsupti	Žurnalistai apsupo aktorių.
包装	pakuotė	Šios dovanos pakuotė labai graži.
保管	saugoti	Šiuos dokumentus saugau aš.
保密	laikyti paslaptyje	Susitikimo turinys turi būti laikomas paslaptyje.
保姆	auklė	Jie pasamdė auklę.
保守	konservatyvus	Jo pažiūros gana konservatyvios.
保卫	ginti	Kariai gina sieną.
保养	prižiūrėti	Šį automobilį reikia reguliariai prižiūrėti.
保障	užtikrinti	Įstatymas užtikrina piliečių teises.
保重	rūpintis savimi	Būdamas išvykęs, prašau rūpinkis savimi.
饱和	prisotinimas	Ši rinka jau beveik prisotinta.
饱经沧桑	daug išgyvenęs	Šis senas žmogus yra patyręs daug sunkumų ir permainų.
报酬	atlygis	Jis gavo pagrįstą atlygį.
报仇	keršyti	Jis nenori keršyti; jis tik nori pradėti iš naujo.
报答	atsilyginti	Atsilyginsiu už tavo pagalbą savo veiksmais.
报复	kerštas	Kerštas tik pagilins konfliktą.
报警	pranešti policijai	Aptikus gaisrą reikia nedelsiant pranešti policijai.
报销	kompensuoti išlaidas	Kelionės išlaidos gali būti kompensuotos.
抱负	ambicija	Nuo vaikystės jis turėjo didelių ambicijų.
暴力	smurtas	Mes prieštaraujame bet kokios formos smurtui.
暴露	atskleisti	Ši problema pamažu išryškėjo.
曝光	paviešinimas	Paviešinus šią nuotrauką, ji sulaukė dėmesio.
爆发	prasiveržti	Ugnikalnis staiga prasiveržė.
爆炸	sprogimas	Laboratorijoje įvyko sprogimas.
卑鄙	niekingas	Toks niekingas būdas pykdo žmones.
悲哀	liūdnas	Išgirdęs naujieną jis pasijuto labai liūdnas.
悲惨	tragiškas	Tai buvo tragiškas istorijos laikotarpis.
北极	Arktis	Mokslininkai atlieka tyrimus Arktyje.
备份	atsarginė kopija	Pirmiausia sukurkite svarbių failų atsarginę kopiją.
备忘录	atmintinė	Ji užrašė svarbiausius punktus atmintinėje.
背叛	išduoti	Jis negalėjo susitaikyti su draugo išdavyste.
背诵	deklamuoti mintinai	Mokiniai deklamuoja tekstą mintinai.
被动	pasyvus	Derybose negalime būti pernelyg pasyvūs.
被告	kaltinamasis	Kaltinamasis paneigė visus kaltinimus.
贝壳	kriauklė	Vaikas prie jūros rinko kriaukles.
奔波	lakstyti reikalais	Jis dėl darbo visur laksto.
奔驰	lėkti	Automobilis lėkė greitkeliu.
本能	instinktas	Saugoti vaikus yra tėvų instinktas.
本钱	kapitalas	Verslui pradėti reikia kapitalo.
本人	aš pats	Aš pats esu pasirengęs prisiimti atsakomybę.
本身	pats savaime	Pačiame plane nėra problemos.
本事	gebėjimas	Jis labai gabus.
笨拙	nerangus	Jo judesiai šiek tiek nerangūs.
崩溃	sugriūti	Sistema staiga sugedo.
甭	nereikia	Dėl šito nereikia jaudintis.
蹦	šokinėti	Šuniukas šokinėjo ant žolės.
迸发	prasiveržti	Iš minios prasiveržė plojimai.
逼迫	priversti	Jie privertė jį pasirašyti sutartį.
鼻涕	sloga	Vaikas peršalo ir jam nuolat bėga nosis.
比方	pavyzdys	Pavyzdžiui, pirmiausia galime pabandyti vieną mėnesį.
比喻	metafora	Ši metafora labai vaizdinga.
比重	dalis	Paslaugų sektoriaus dalis vis didėja.
鄙视	niekinti	Neniekink kitų žmonių pastangų.
弊病	yda	Ši sistema turi nemažai ydų.
弊端	trūkumas	Naujasis planas pašalino senosios sistemos trūkumus.
臂	ranka	Jo dešinė ranka buvo sužeista.
闭塞	izoliuotas	Anksčiau susisiekimas su šiuo kalnų kaimu buvo labai izoliuotas.
编织	megzti	Močiutė mezga megztinį.
边疆	pasienio sritis	Daug karių saugo šalies pasienio sritį.
边界	siena	Abi šalys iš naujo nubraižė sieną.
边境	pasienis	Pasienio zonose sustiprintos saugumo patikros.
边缘	kraštas	Puodelis padėtas ant stalo krašto.
鞭策	skatinti	Mokytojo žodžiai visada mane skatino.
扁	plokščias	Ši dėžė plati ir plokščia.
贬低	menkinti	Nemenkink kitų žmonių pastangų be pagrindo.
贬义	neigiama reikšmė	Šis žodis čia turi neigiamą reikšmę.
便利	patogus	Metro padaro keliones patogesnes.
便条	raštelis	Jis paliko raštelį ant stalo.
便于	patogu	Šis dizainas patogus naudoti vyresnio amžiaus žmonėms.
变故	netikėtas įvykis	Šeimoje staiga nutiko netikėta nelaimė.
变迁	pokyčiai	Miesto pokyčiai jį labai sujaudino.
