source_headword	KN	example_KN
fridge	ಫ್ರಿಜ್	ಹಾಲು ಫ್ರಿಜ್‌ನಲ್ಲಿ ಇದೆ.
frog	ಕಪ್ಪೆ	ಒಂದು ಕಪ್ಪೆ ಕೆರೆಗೆ ಜಿಗಿದಿತು.
furniture	ಪೀಠೋಪಕರಣಗಳು	ಈ ಪೀಠೋಪಕರಣಗಳು ಹಳೆಯವು ಆದರೆ ಬಲವಾಗಿವೆ.
further	ಇನ್ನಷ್ಟು	ನಮಗೆ ಇನ್ನಷ್ಟು ಮಾಹಿತಿ ಬೇಕು.
gallery	ಪ್ರದರ್ಶನಾಲಯ	ಪ್ರದರ್ಶನಾಲಯ ಇಂದು ತೆರೆದಿದೆ.
gap	ಅಂತರ	ಗೋಡೆಯಲ್ಲಿ ಒಂದು ಅಂತರ ಇದೆ.
gas	ಅನಿಲ	ಕಾರಿಗೆ ಅನಿಲ ಬೇಕು.
gate	ಗೇಟ್	ದಯವಿಟ್ಟು ಗೇಟ್ ಮುಚ್ಚು.
general	ಸಾಮಾನ್ಯ	ಇದು ಒಂದು ಸಾಮಾನ್ಯ ನಿಯಮ.
gift	ಉಡುಗೊರೆ	ಅವಳು ಒಂದು ಉಡುಗೊರೆ ಕೊಂಡಳು.
goal	ಗುರಿ	ನಮ್ಮ ಗುರಿ ಸರಳವಾಗಿದೆ.
god	ದೇವರು	ಅನೇಕ ಜನರು ದೇವರಿಗೆ ಪ್ರಾರ್ಥಿಸುತ್ತಾರೆ.
gold	ಚಿನ್ನ	ಉಂಗುರ ಚಿನ್ನದ ಬಣ್ಣದಲ್ಲಿದೆ.
golf	ಗಾಲ್ಫ್	ಅವನು ಇಂದು ಗಾಲ್ಫ್ ಆಡುತ್ತಾನೆ.
government	ಸರ್ಕಾರ	ಸರ್ಕಾರ ಕಾನೂನನ್ನು ಬದಲಿಸಿತು.
grass	ಹುಲ್ಲು	ಹುಲ್ಲು ಒದ್ದೆಯಾಗಿದೆ.
greet	ನಮಸ್ಕರಿಸು	ಪ್ರತಿ ಅತಿಥಿಗೆ ವಿನಯದಿಂದ ನಮಸ್ಕರಿಸು.
ground	ನೆಲ	ನೆಲದ ಮೇಲೆ ಕುಳಿತುಕೋ.
guest	ಅತಿಥಿ	ನಮ್ಮ ಅತಿಥಿ ಬೇಗ ಬಂದರು.
