source_headword	LO	example_LO
stranger	ຄົນແປກໜ້າ	ຄົນແປກໜ້າຖາມທາງ.
strength	ຄວາມເຂັ້ມແຂງ	ຄວາມເຂັ້ມແຂງຂອງນາງຊ່ວຍທີມໄດ້.
string	ເຊືອກ	ມັດກ່ອງດ້ວຍເຊືອກ.
strongly	ຢ່າງໜັກແໜ້ນ	ຂ້ອຍບໍ່ເຫັນດີນຳຄວາມຄິດນັ້ນຢ່າງໜັກແໜ້ນ.
studio	ສະຕູດິໂອ	ນັກສິລະປິນເຮັດວຽກຢູ່ໃນສະຕູດິໂອນ້ອຍໆ.
stuff	ສິ່ງຂອງ	ເອົາສິ່ງຂອງຂອງເຈົ້າໄວ້ເທິງຊັ້ນວາງ.
substance	ສານ	ຕຳຫຼວດພົບເຫັນສານທີ່ແປກປະຫຼາດ.
successfully	ຢ່າງສຳເລັດຜົນ	ພວກເຂົາເຮັດໂຄງການສຳເລັດຜົນຢ່າງສົມບູນ.
sudden	ກະທັນຫັນ	ສຽງດັງກະທັນຫັນເຮັດໃຫ້ພວກເຮົາຕື່ນ.
suffer	ທົນທຸກ	ພືດຫຼາຍຊະນິດທົນທຸກໃນສະພາບອາກາດແຫ້ງແລ້ງ.
suitable	ເໝາະສົມ	ເສື້ອກັນໜາວໂຕນີ້ເໝາະສົມສຳລັບໃສ່ໄປໂຮງຮຽນ.
summarize	ສະຫຼຸບ	ເຈົ້າສາມາດສະຫຼຸບບົດຄວາມໄດ້ບໍ່?
summary	ບົດສະຫຼຸບ	ຂຽນບົດສະຫຼຸບສັ້ນໆໃນຄືນນີ້.
supply	ການສະໜອງ	ເມືອງນີ້ຕ້ອງການການສະໜອງນ້ຳສະອາດ.
supporter	ຜູ້ສະໜັບສະໜູນ	ຜູ້ສະໜັບສະໜູນທຸກຄົນຮ້ອງເຊຍສຽງດັງ.
surely	ແນ່ນອນ	ແນ່ນອນພວກເຮົາສາມາດແກ້ໄຂເລື່ອງນີ້ໄດ້.
surface	ພື້ນຜິວ	ພື້ນຜິວຮູ້ສຶກເຢັນແລະກ້ຽງ.
survive	ຢູ່ລອດ	ສັດເຫຼົ່ານີ້ຢູ່ລອດໃນລະດູໜາວທີ່ໜາວເຢັນ.
switch	ປິດ	ປິດໄຟຫ້ອງຄົວ.
symptom	ອາການ	ການໄອສາມາດເປັນອາການໜຶ່ງໄດ້.
tail	ຫາງ	ໝາມີຫາງຍາວ.
talent	ພອນສະຫວັນ	ລາວມີພອນສະຫວັນດ້ານດົນຕີ.
talented	ມີພອນສະຫວັນ	ລາວເປັນນັກສະແດງໜຸ່ມທີ່ມີພອນສະຫວັນ.
tape	ສະກັອດ	ໃຊ້ສະກັອດເພື່ອອັດກ່ອງ.
tax	ພາສີ	ທຸກຄົນຕ້ອງຈ່າຍພາສີນີ້.
technical	ທາງດ້ານເຕັກນິກ	ພວກເຮົາມີບັນຫາທາງດ້ານເຕັກນິກ.
technique	ເຕັກນິກ	ເຕັກນິກນີ້ຊ່ວຍປະຢັດເວລາ.
tend	ມັກຈະ	ເດັກນ້ອຍມັກຈະຮຽນຮູ້ໄດ້ໄວ.
tent	ເຕັ້ນ	ພວກເຮົານອນໃນເຕັ້ນນ້ອຍໆ.
theirs	ຂອງພວກເຂົາ	ລົດຖີບສີຟ້າແມ່ນຂອງພວກເຂົາ.
theme	ຫົວຂໍ້	ງານລ້ຽງມີຫົວຂໍ້ກ່ຽວກັບຫາດຊາຍ.
theory	ທິດສະດີ	ທິດສະດີຂອງລາວອະທິບາຍບັນຫານີ້.
therefore	ດັ່ງນັ້ນ	ຝົນຕົກ, ດັ່ງນັ້ນພວກເຮົາຈຶ່ງຢູ່ທາງໃນ.
though	ເຖິງແມ່ນວ່າ	ເຖິງແມ່ນວ່າຈະອິດເມື່ອຍ, ລາວກໍຍັງສືບຕໍ່ເຮັດວຽກ.
throat	ຄໍ	ຕອນເຊົ້ານີ້ຂ້ອຍເຈັບຄໍ.
