source_headword	RU	example_RU
stranger	незнакомец	Незнакомец спросил дорогу.
strength	сила	Её сила помогла команде.
string	веревка	Перевяжи коробку веревкой.
strongly	решительно	Я категорически не согласен с этой идеей.
studio	студия	Художник работает в маленькой студии.
stuff	вещи	Положи свои вещи на полку.
substance	вещество	Полиция нашла странное вещество.
successfully	успешно	Они успешно завершили проект.
sudden	внезапный	Нас разбудил внезапный шум.
suffer	страдать	Многие растения страдают в сухую погоду.
suitable	подходящий	Эта куртка подходит для школы.
summarize	резюмировать	Можешь кратко изложить статью?
summary	краткое изложение	Напиши сегодня вечером краткое изложение.
supply	водоснабжение	Городу нужно чистое водоснабжение.
supporter	болельщик	Каждый болельщик громко аплодировал.
surely	несомненно	Несомненно, мы сможем это решить.
surface	поверхность	Поверхность была холодной и гладкой.
survive	выживать	Эти животные выживают холодными зимами.
switch	выключать	Выключи свет на кухне.
symptom	симптом	Кашель может быть симптомом.
tail	хвост	У собаки длинный хвост.
talent	талант	У нее талант к музыке.
talented	талантливый	Он талантливый молодой актер.
tape	скотч	Используй скотч, чтобы закрыть коробку.
tax	налог	Все должны платить этот налог.
technical	технический	У нас возникла техническая проблема.
technique	метод	Этот метод экономит время.
tend	иметь склонность	Дети, как правило, учатся быстро.
tent	палатка	Мы спали в маленькой палатке.
theirs	их	Синие велосипеды — их.
theme	тема	У вечеринки была пляжная тема.
theory	теория	Его теория объясняет проблему.
therefore	поэтому	Шел дождь, поэтому мы остались дома.
though	хотя	Хотя она и устала, она продолжала работать.
throat	горло	Сегодня утром у меня болит горло.
throughout	на протяжении	Люди танцевали на протяжении всего вечера.
tight	тесный	Эти туфли кажутся слишком тесными.
till	пока	Подожди здесь, пока я не вернусь.
tin	консервная банка	Открой банку фасоли.
tiny	крошечный	Рядом приземлилась крошечная птичка.
toe	палец на ноге	Вчера я ушиб палец на ноге.
tongue	язык	Она обожгла язык чаем.
total	общий	Общая стоимость была низкой.
totally	полностью	Я полностью понимаю ваше беспокойство.
trade	торговля	Международная торговля создает рабочие места.
translate	переводить	Пожалуйста, переведи это предложение.
translation	перевод	Перевод звучит естественно.
treat	относиться	Относись ко всем с уважением.
treatment	лечение	Пациенту сегодня требуется лечение.
trend	тенденция	Эта тенденция растет во всем мире.
trick	фокус	Тот карточный фокус удивил меня.
truth	правда	Пожалуйста, говори правду.
tube	тюбик	Осторожно сожми тюбик.
typically	обычно	Обычно студенты приходят до девяти.
tyre	шина	Машине нужна новая шина.
ugly	уродливый	Цвет этой стены выглядит некрасиво.
unable	неспособный	Он не смог ответить.
uncomfortable	неудобный	Этот стул неудобный.
underwear	нижнее белье	Собери в поездку чистое нижнее белье.
unemployed	безработный	Она была безработной два месяца.
unemployment	безработица	Безработица выросла зимой.
unfair	несправедливый	Решение показалось несправедливым.
union	профсоюз	Профсоюз потребовал более безопасных условий труда.
unless	если не	Не уходи, если я не позвоню.
unlike	в отличие от	В отличие от Тома, Ана любит зиму.
unlikely	маловероятный	Снег на этой неделе маловероятен.
unnecessary	ненужный	Лишние сумки не нужны.
unpleasant	неприятный	В комнате был неприятный запах.
update	обновлять	Мне нужно обновить свой телефон.
upon	на	Давным-давно жил-был король.
upset	расстроенный	После звонка она почувствовала себя расстроенной.
used1	используемый	Эта комната используется для встреч.
used2	привыкший	Я привык к раннему утру.
valuable	ценный	Эти часы ценные.
value	стоимость	В прошлом году дом потерял в цене.
various	различный	Мы попробовали различные местные блюда.
version	версия	Эта версия работает лучше.
victim	жертва	Жертва позвонила в полицию.
viewer	зритель	Один зритель задал вопрос.
violent	жестокий	Фильм был слишком жестоким.
volunteer	быть волонтером	Я работаю волонтером в библиотеке.
vote	голосовать	Не забудь завтра проголосовать.
warn	предупреждать	Я пытался его предупредить.
warning	предупреждение	Предупреждение появилось на экране.
waste	тратить впустую	Не тратьте впустую чистую воду.
weapon	оружие	Нож стал оружием.
weigh	взвешивать	Тщательно взвесь муку.
western	вестерн	Они смотрели вестерн.
whatever	все что угодно	Выбирай все, что тебе нравится.
whenever	когда бы ни	Звони всякий раз, когда нужна помощь.
whether	ли	Я не знаю, согласна ли она.
wing	крыло	Птица повредила одно крыло.
within	в течение	Пожалуйста, ответьте в течение двух дней.
wonder	интересно	Интересно, что случилось.
wool	шерсть	Это пальто сделано из шерсти.
worldwide	по всему миру	Песня стала популярной во всем мире.
worth	стоит	Эту книгу стоит прочитать.
written	письменный	Пожалуйста, пришлите письменные инструкции.
yard	двор	Дети играли во дворе.
youth	молодежь	Молодежные клубы поддерживают местных подростков.
