simplified	RU	example_RU
哎	эй; ой	Эй, что привело тебя сюда?
唉	эх; вздох	Эх, я снова опоздал.
爱护	беречь; заботиться о	Нам нужно беречь окружающую среду.
爱惜	ценить; беречь	Пожалуйста, цени свое время.
爱心	доброта; заботливость	Она очень заботливая.
安慰	утешать; успокаивать	Друг утешил меня.
安装	устанавливать; монтировать	Рабочий устанавливает кондиционер.
岸	берег	Лодка медленно приближается к берегу.
暗	темный; тусклый; скрытый	В комнате очень темно.
熬夜	не спать допоздна	Не спать допоздна вредно для здоровья.
把握	уверенность; шанс; ухватить	Я не уверен, что смогу хорошо с этим справиться.
摆	расставлять; выкладывать; качать	Пожалуйста, расставьте стулья ровно.
办理	оформлять; заниматься делом	Я иду в банк оформить дела.
傍晚	вечер; под вечер	Вечером мы пойдем гулять.
包裹	посылка; сверток; заворачивать	Я получил посылку.
包含	содержать; включать	Цена включает завтрак.
包括	включать; в том числе	В стоимость входит обед.
薄	тонкий; слабый	Эта книга очень тонкая.
保持	сохранять; поддерживать	Пожалуйста, сохраняйте тишину.
保存	сохранять	Пожалуйста, сохраните этот файл.
保留	сохранять; резервировать	Пожалуйста, зарезервируйте для меня место.
保险	страховка; страховой; надежный	Я купил туристическую страховку.
宝贝	сокровище; дорогой человек	Это мое сокровище.
宝贵	ценный; драгоценный	Время очень ценно.
报到	зарегистрироваться; явиться	Новые студенты сегодня приходят в школу на регистрацию.
报道	репортаж; сообщать в новостях	В новостях сообщили об этом деле.
报告	доклад; докладывать	Он сейчас делает доклад.
报社	редакция газеты	Она работает в редакции газеты.
抱怨	жаловаться; ворчать	Он всегда жалуется, что работы слишком много.
悲观	пессимистичный	Не будь таким пессимистичным.
背	спина; быть спиной к	Он сидит спиной к двери.
背景	фон; контекст; биография	Пожалуйста, коротко расскажите о себе.
被子	одеяло	Одеяло очень теплое.
本科	бакалавриат; уровень бакалавра	Он студент бакалавриата.
本领	умение; способность	Он освоил новое умение.
本质	суть; сущность	Суть проблемы очень проста.
彼此	друг друга; взаимно	Мы должны уважать друг друга.
比例	соотношение; пропорция	Соотношение мужчин и женщин примерно одинаковое.
必然	неизбежный; неизбежно	Усилия неизбежно дадут результат.
必要	необходимый; необходимость	Нет необходимости волноваться.
毕竟	все-таки; в конце концов	Все-таки он еще ребенок.
避免	избегать; предотвращать	Пожалуйста, избегайте опозданий.
编辑	редактировать; редактор	Он отвечает за редактирование этой статьи.
鞭炮	петарды; хлопушки	Во время праздника Весны некоторые запускают петарды.
便	тогда; сразу; удобно	Поев, он сразу пошел на занятие.
辩论	дебаты; спорить	Они спорят по этому вопросу.
标点	пунктуация; знак препинания	Пожалуйста, обратите внимание на пунктуацию.
标志	знак; символ	Красный свет - знак остановки.
表达	выражать; передавать	Он выразил свое мнение.
表面	поверхность; внешний вид	Поверхность стола очень чистая.
表明	показывать; ясно указывать	Результат показывает, что он прав.
表情	выражение лица	У нее очень серьезное выражение лица.
表现	проявлять себя; выступление	Сегодня он выступил очень хорошо.
冰激凌	мороженое	Дети любят есть мороженое.
病毒	вирус	Этот вид вируса распространяется очень быстро.
播放	воспроизводить; транслировать	Пожалуйста, включите эту песню.
玻璃	стекло	Стеклянный стакан разбился.
博物馆	музей	На этих выходных мы идем в музей.
脖子	шея	У меня немного болит шея.
不断	непрерывно; постоянно	Цены постоянно растут.
不见得	не обязательно; вряд ли	Это не обязательно плохо.
不耐烦	нетерпеливый; нетерпение	После долгого ожидания он стал немного нетерпеливым.
不要紧	ничего страшного; неважно	Все в порядке, ничего страшного.
补充	дополнять; пополнять	Я хотел бы добавить одно замечание.
不安	тревожный; неспокойный	Услышав эту новость, она почувствовала тревогу.
不得了	серьезный; ужасный; чрезвычайно	Это дело действительно серьезное.
不然	иначе; в противном случае	Пойдем быстрее, иначе опоздаем.
不如	лучше; не так хорошо, как	Лучше идти пешком, чем ехать.
不足	недостаточный; нехватка	Здесь не хватает воды.
布	ткань; полотно	Этот кусок ткани очень мягкий.
步骤	шаг; этап	Пожалуйста, действуйте по шагам.
部门	отдел; подразделение	Я работаю в отделе продаж.
财产	имущество; собственность	Этот дом - его имущество.
彩虹	радуга	После дождя появилась радуга.
踩	наступать; топтать	Не наступайте на траву.
采访	брать интервью; собирать материал	Журналист берет интервью у врача.
采取	принимать; предпринимать	Мы приняли новый метод.
参考	справка; обращаться к источнику	Пожалуйста, обратитесь к этой книге.
参与	участвовать	Он активно участвует в мероприятиях.
惭愧	стыдно; пристыженный	Мне стыдно за свою ошибку.
操场	спортплощадка; школьный двор	Ученики бегают на спортплощадке.
操心	беспокоиться; заботиться	Не беспокойся обо мне.
册	том; книжка; счетное слово для книг	Я купил один том книги.
测验	тест; проверочная работа	Завтра будет небольшой тест.
曾经	когда-то; однажды	Я когда-то жил в Пекине.
叉子	вилка	Я ем салат вилкой.
差距	разрыв; различие	Между городом и деревней есть разрыв.
插	вставлять; втыкать	Пожалуйста, поставьте цветы в вазу.
拆	разбирать; сносить	Рабочие сносят старый дом.
产品	продукт; изделие	Этот продукт очень хорошего качества.
产生	возникать; порождать	Эта проблема вызвала новое влияние.
常识	здравый смысл; общие знания	Это базовый здравый смысл.
长途	дальний; дальняя дорога	Дальняя поездка очень утомляет.
抄	списывать; копировать	Пожалуйста, не списывайте чужую домашнюю работу.
超级	супер-; высшего уровня	Это супермаркет.
朝	династия; императорский двор	Династия Тан очень известна.
潮湿	влажный; сырой	Лето на юге очень влажное.
吵	шумный; шуметь	На улице очень шумно.
吵架	ссориться	Они снова поссорились.
炒	жарить на сковороде	Мама жарит овощи.
车库	гараж	Машина стоит в гараже.
车厢	вагон	В этом вагоне очень тихо.
彻底	полный; тщательный; полностью	Он полностью понял.
沉默	молчаливый; молчание	Он все время сохранял молчание.
趁	пока; воспользоваться случаем	Пойдем, пока еще не стемнело.
称	взвешивать; называть; заявлять	Пожалуйста, взвесьте эту посылку.
称呼	обращаться; называть	Я не знаю, как к нему обращаться.
称赞	хвалить; одобрять	Учитель похвалил его прогресс.
成分	состав; компонент; ингредиент	Состав этого лекарства очень простой.
成果	результат; достижение	Этот проект дал результаты.
成就	достижение; успех	У него много достижений в карьере.
成立	основывать; быть основанным	Компания была основана в прошлом году.
成人	взрослый	Билет для взрослых дороже детского.
成熟	зрелый; спелый	Яблоки уже созрели.
成语	чэнъюй; китайский идиом	Этот чэнъюй часто употребляется.
成长	расти; взрослеть	Ребенок постепенно растет.
承担	брать на себя; нести ответственность	Он готов взять на себя ответственность.
承认	признавать	Он признал, что был неправ.
承受	выдерживать; переносить	Я не могу выдержать такое большое давление.
程度	уровень; степень	У него высокий уровень китайского.
程序	процедура; порядок; программа	Пожалуйста, оформите это по процедуре.
诚恳	искренний; сердечный	Его отношение очень искреннее.
吃亏	понести убыток; оказаться в проигрыше	Перед покупкой внимательно посмотри, чтобы не оказаться в проигрыше.
持续	продолжаться; устойчивый	Дождь продолжался три дня.
池塘	пруд	В пруду много рыбы.
迟早	рано или поздно	Рано или поздно ты поймешь.
尺子	линейка	Пожалуйста, измерь это линейкой.
翅膀	крыло	У птицы ранено крыло.
充电器	зарядное устройство	Мое зарядное устройство сломалось.
充分	достаточный; полный	Мы хорошо подготовились.
充满	быть полным; наполнять	Комната была полна смеха.
冲	промыть; смыть; заварить	Пожалуйста, промой чашку водой.
重复	повторять; дублировать	Пожалуйста, не повторяй ту же ошибку.
宠物	домашнее животное	У нее есть домашняя собака.
抽屉	ящик стола	Ключ лежит в ящике.
抽象	абстрактный	Это понятие слишком абстрактное.
丑	некрасивый; уродливый	Эта фотография немного некрасивая.
臭	вонючий; плохо пахнуть	Мусор плохо пахнет.
出版	издавать; выходить из печати	Эта книга вышла в прошлом году.
出口	выход; экспорт	Выход впереди.
出色	выдающийся; отличный	Ее выступление было отличным.
出示	показывать; предъявлять	Пожалуйста, предъявите паспорт.
出席	присутствовать; посещать	Он будет присутствовать на собрании.
初级	начальный; младший	Я учу китайский в начальной группе.
除非	если только; только если	Если только не будет дождя, завтра мы пойдем в горы.
除夕	канун Нового года	В канун Нового года вся наша семья ест вместе.
处理	решать; обрабатывать; заниматься	Я решу эту проблему.
传播	распространять; распространяться	Эта новость распространилась очень быстро.
传染	заражать; передаваться	Простуда легко передается.
传说	легенда; предание	Это древняя легенда.
传统	традиция; традиционный	Праздник Весны - традиционный китайский праздник.
窗帘	занавески; шторы	Пожалуйста, раздвиньте шторы.
闯	ворваться; нарушить	Он случайно проехал на красный свет.
创造	создавать	Люди создали новые инструменты.
吹	дуть; играть на духовом инструменте	Ветер дует сильно.
词汇	словарный запас; лексика	Это слово часто употребляется.
辞职	уволиться; подать в отставку	Он решил уволиться.
此外	кроме того; вдобавок	Кроме того, у меня есть еще один вопрос.
刺激	захватывающий; стимулировать; раздражать	Эта игра очень захватывающая.
次要	второстепенный	Эта проблема второстепенная.
匆忙	поспешный; торопливо	Он в спешке ушел из дома.
从此	с тех пор; отныне	С тех пор он каждый день занимается спортом.
从而	тем самым; таким образом	Он усердно учился и тем самым сдал экзамен.
