source_headword	ID	example_ID
rock (music)	musik rock	Saya suka musik rock.
role	peran	Perannya penting.
roof	atap	Atap perlu diperbaiki.
round	bulat	Meja ini bulat.
route	rute	Rute ini lebih pendek.
rubbish	sampah	Taruh sampah di luar.
rude	kasar	Komentar itu kasar.
runner	pelari	Pelari itu terlihat lelah.
running	berlari	Berlari membuat saya sehat.
sadly	sayangnya	Sayangnya, kami ketinggalan kereta.
safe	aman	Jalan ini terasa aman.
sail	berlayar	Kami berlayar pada hari Sabtu.
sailing	berlayar	Berlayar populer di sini.
salary	gaji	Gajinya sekarang lebih tinggi.
sale	obral	Obral dimulai besok.
sauce	saus	Tambahkan saus ke nasi.
save	simpan	Simpan pekerjaan Anda sekarang.
scared	takut	Anak itu merasa takut.
scary	menyeramkan	Cerita ini menyeramkan.
scene	adegan	Adegan terakhir itu lucu.
schedule	jadwal	Periksa jadwal hari ini.
score	skor	Berapa skornya?
screen	layar	Bersihkan layar dengan hati-hati.
search	cari	Cari foto di web.
season	musim	Musim panas adalah musim yang sibuk.
seat	tempat duduk	Silakan ambil tempat duduk ini.
second1 (next after the first)	kedua	Kedua, cuci tangan Anda.
secondly	kedua	Kedua, periksa jawaban Anda.
secret	rahasia	Simpan rahasia ini dengan aman.
secretary	sekretaris	Sekretaris menelepon hari ini.
seem	tampak	Anda tampak lelah.
sense	masuk akal	Rencana ini masuk akal.
separate	terpisah	Simpan kertas itu terpisah.
series	seri	Seri ini populer.
serious	serius	Masalah ini serius.
serve	menyajikan	Mereka menyajikan makan siang pada siang hari.
service	layanan	Layanannya cepat.
several	beberapa	Beberapa siswa datang lebih awal.
shake	kocok	Kocok botol dulu.
shall modal	akankah	Akankah kita mulai sekarang?
shape	bentuk	Gambar bentuk persegi.
sheet	seprai	Pasang seprai di tempat tidur.
ship	kapal	Kapal itu berangkat hari ini.
shoulder	bahu	Bahu saya sakit.
shout	berteriak	Jangan berteriak di kelas.
shut	tutup	Tolong tutup jendela.
side	sisi	Duduk di sisi ini.
sign	tanda	Baca tanda itu dengan teliti.
silver	perak	Perak adalah logam yang terang.
simple	sederhana	Latihan ini sederhana.
since	sejak	Saya telah menunggu sejak tengah hari.
singing	bernyanyi	Bernyanyi membantu saya rileks.
single	sekali jalan	Saya membeli tiket sekali jalan.
sir	tuan	Tuan, tas Anda sudah siap.
site	situs	Situs ini aman.
size	ukuran	Ukuran apa yang Anda butuhkan?
ski	bermain ski	Kami bermain ski di musim dingin.
skiing	bermain ski	Bermain ski menyenangkan di musim dingin.
skin	kulit	Kulitnya terasa kering.
sky	langit	Langit cerah.
slowly	pelan-pelan	Berjalanlah pelan-pelan di atas es.
smartphone	ponsel pintar	Ponsel pintar saya baru.
smell	bau	Sup itu berbau enak.
smile	senyum	Senyum untuk kamera.
smoke	asap	Asap memenuhi ruangan.
smoking	merokok	Merokok tidak diperbolehkan.
soap	sabun	Gunakan sabun dan air.
soccer	sepak bola	Sepak bola populer di sini.
social	sosial	Ini acara sosial.
society	masyarakat	Masyarakat berubah seiring waktu.
sock	kaus kaki	Satu kaus kaki hilang.
soft	lembut	Selimut ini lembut.
soldier	tentara	Tentara itu pulang.
solution	solusi	Kami menemukan solusi.
solve	pecahkan	Pecahkan teka-teki ini.
somewhere	di suatu tempat	Taruh itu di suatu tempat yang aman.
sort	jenis	Jenis apa yang Anda inginkan?
source	sumber	Periksa sumbernya dulu.
speaker	pengeras suara	Pengeras suara itu keras.
specific	spesifik	Saya butuh jawaban yang spesifik.
speech	pidato	Pidatonya singkat.
speed	kecepatan	Kurangi kecepatan Anda di sini.
spider	laba-laba	Ada laba-laba di dinding.
spoon	sendok	Gunakan sendok untuk sup.
square	persegi	Gambar kotak persegi.
stage	panggung	Band itu ada di panggung.
stair	anak tangga	Anak tangga itu rusak.
stamp	prangko	Tempelkan prangko pada surat.
state	nyatakan	Nyatakan nama Anda dengan jelas.
steal	mencuri	Jangan mencuri uang.
step	langkah	Ambil satu langkah ke depan.
stomach	perut	Perut saya sakit.
stone	batu	Batu itu berat.
store	toko	Toko tutup lebih awal.
storm	badai	Badai akan datang.
straight	lurus	Pulanglah lurus ke rumah.
strange	aneh	Bunyi itu aneh.
strategy	strategi	Kami membutuhkan strategi.
stress	stres	Pekerjaan dapat menyebabkan stres.
structure	struktur	Struktur ini kuat.
stupid	bodoh	Itu kesalahan bodoh.
succeed	berhasil	Anda bisa berhasil di sini.
successful	sukses	Dia menjadi sukses.
such	seperti itu	Bantuan seperti itu berguna.
suddenly	tiba-tiba	Tiba-tiba, anjing itu lari.
suggest	menyarankan	Saya menyarankan istirahat singkat.
suggestion	saran	Saran Anda membantu.
suit	setelan jas	Setelan jas ini mahal.
support	mendukung	Kami mendukung tim kami.
suppose	rasa	Saya rasa Anda benar.
surprise	kejutan	Kejutan itu membuatnya senang.
surprised	terkejut	Dia terkejut hari ini.
surprising	mengejutkan	Hasilnya mengejutkan.
survey	survei	Tolong lengkapi survei.
sweet	manis	Teh ini manis.
symbol	simbol	Simbol ini berarti bahaya.
system	sistem	Sistem bekerja dengan baik.
tablet	tablet	Tablet saya ada di meja.
target	sasaran	Kena sasaran dengan hati-hati.
task	tugas	Tugas ini mudah.
taste	cicipi	Cicipi sup dulu.
teaching	pengajaran	Pengajaran adalah pekerjaan yang sulit.
technology	teknologi	Teknologi berubah dengan cepat.
teenage	remaja	Adik laki-laki remaja saya belajar keras.
temperature	suhu	Suhunya rendah.
term	semester	Semester ini segera berakhir.
themselves	diri mereka sendiri	Mereka memasak makan malam sendiri.
thick	tebal	Buku ini tebal.
thief	pencuri	Pencuri itu lari.
thin	tipis	Kertas itu tipis.
thinking	pemikiran	Pemikiran membutuhkan waktu.
thought	pikiran	Saya punya pikiran yang aneh.
throw	lempar	Lempar bola dengan pelan.
tidy	rapi	Jaga kamar Anda tetap rapi.
tie	ikat	Ikat sepatu Anda sekarang.
