source_headword	KN	example_KN
strengthen	ಬಲಪಡಿಸು	ಹೊಸ ನೀತಿಯು ಆನ್‌ಲೈನ್ ಸುರಕ್ಷತೆಯನ್ನು ಬಲಪಡಿಸುತ್ತದೆ.
strictly	ಕಟ್ಟುನಿಟ್ಟಾಗಿ	ಟಿಕೆಟ್‌ಗಳನ್ನು ಕಟ್ಟುನಿಟ್ಟಾಗಿ ಒಬ್ಬರಿಗೆ ಎರಡಕ್ಕೆ ಸೀಮಿತಗೊಳಿಸಲಾಗಿದೆ.
striking	ಆಕರ್ಷಕ	ವರ್ಣಚಿತ್ರವು ಆಕರ್ಷಕ ಬಣ್ಣಗಳನ್ನು ಹೊಂದಿದೆ.
stroke	ಗೆರೆ	ಅವಳು ಕಾಗದದ ಮೇಲೆ ಒಂದು ಗೆರೆ ಎಳೆದಳು.
stunning	ಬೆರಗುಗೊಳಿಸುವ	ಪರ್ವತದ ನೋಟವು ಬೆರಗುಗೊಳಿಸುವಂತಿತ್ತು.
subsequent	ನಂತರದ	ನಂತರದ ಸಭೆಯು ಬಜೆಟ್ ಅನ್ನು ಖಚಿತಪಡಿಸಿತು.
subsequently	ತರುವಾಯ	ರಸ್ತೆ ಮುಚ್ಚಲ್ಪಟ್ಟಿತು; ತರುವಾಯ, ಸಂಚಾರ ನಿಧಾನವಾಗಿ ಸಾಗಿತು.
suburb	ಉಪನಗರ	ಅವರು ಶಾಂತ ಉಪನಗರದಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದಾರೆ.
suffering	ನೋವು	ಔಷಧವು ಅವನ ನೋವನ್ನು ಕಡಿಮೆ ಮಾಡಿತು.
sufficient	ಸಾಕಷ್ಟು	ತಂಡಕ್ಕೆ ಸಾಕಷ್ಟು ಸಮಯವಿದೆ.
sufficiently	ಸಾಕಷ್ಟು	ಕೋಣೆಯು ಸಾಕಷ್ಟು ಬೆಚ್ಚಗಿದೆ.
super	ಸೂಪರ್	ಹೊಸ ಟ್ಯಾಬ್ಲೆಟ್ ಸೂಪರ್ ವೇಗವಾಗಿದೆ.
