source_headword	KA	example_KA
absorb	შთანთქმა	პირსახოცი წყალს სწრაფად იწოვს.
abstract	აბსტრაქტული	ლექციაზე აბსტრაქტული იდეები განიხილეს.
accent	აქცენტი	მისი აქცენტი ადვილი გასაგებია.
accidentally	შემთხვევით	ფაილი შემთხვევით წავშალე.
accommodate	მოთავსება	სასტუმროს დიდი ოჯახების დატევა შეუძლია.
accomplish	შესრულება	მან მიზანს ივნისამდე მიაღწია.
accountant	ბუღალტერი	ბუღალტერმა ინვოისი შეამოწმა.
accuracy	სიზუსტე	ტესტი კითხვის სიზუსტეს ზომავს.
accurately	ზუსტად	რუკა მარშრუტს ზუსტად აჩვენებს.
acid	მჟავა	მჟავამ ლითონის ზედაპირი დააზიანა.
activate	გააქტიურება	სიგნალიზაციის გასააქტიურებლად ღილაკს დააჭირეთ.
addiction	დამოკიდებულება	მისმა დამოკიდებულებამ მის მუშაობაზე იმოქმედა.
additionally	დამატებით	დამატებით, ჩვენ მეტი სკამი გვჭირდება.
adequate	ადეკვატური	ოთახს საკმარისი განათება აქვს.
adequately	საკმარისად	ანგარიშში პრობლემა სათანადოდ იყო ახსნილი.
adjust	მორგება	მანქანის მართვამდე სავარძელი გაისწორეთ.
affordable	ხელმისაწვდომი	ბინა სტუდენტებისთვის ხელმისაწვდომია.
agriculture	სოფლის მეურნეობა	სოფლის მეურნეობა ბევრ სოფლის ოჯახს არჩენს.
AIDS	შიდსი	ექიმები შიდსს თანამედროვე მედიცინით მკურნალობენ.
alien	უცხოპლანეტელი	ფილმი უცხო პლანეტას გვიჩვენებს.
alongside	გასწვრივ	ველოსიპედის ბილიკი მდინარის გასწვრივ მიემართება.
altogether	მთლიანად	მთლიანობაში, პროექტს ექვსი კვირა დასჭირდა.
ambulance	სასწრაფო დახმარება	სასწრაფო დახმარება რამდენიმე წუთში მოვიდა.
amusing	სასაცილო	ისტორია სახალისო და მსუბუქი იყო.
analyst	ანალიტიკოსი	ანალიტიკოსმა გაყიდვების მონაცემები განიხილა.
ancestor	წინაპარი	ჩემი წინაპარი ამ სოფელთან ახლოს ცხოვრობდა.
animation	ანიმაცია	ანიმაციამ გაკვეთილი უფრო გასაგები გახადა.
annually	ყოველწლიურად	ფესტივალი ყოველწლიურად ტარდება.
anticipate	მოლოდინი	ხვალ ინტენსიურ მოძრაობას ველოდებით.
anxiety	შფოთვა	შფოთვამ შეიძლება ძილი გაართულოს.
apology	ბოდიში	მან გულწრფელი ბოდიში მოიხადა.
applicant	განმცხადებელი	აპლიკანტმა ახალი რეზიუმე გამოაგზავნა.
appropriately	შესაბამისად	გთხოვთ, ინტერვიუსთვის სათანადოდ ჩაიცვით.
arrow	ისარი	ისარი გასასვლელისკენ მიუთითებს.
artwork	ნამუშევარი	მუზეუმში ადგილობრივი ხელოვნების ნიმუშები იყო გამოფენილი.
aside	განზე	ის განზე გადგა, რომ მისთვის გზა დაეთმო.
asset	აქტივი	გამოცდილება ღირებული აქტივია.
assign	დავალება	მასწავლებელმა დღეს საშინაო დავალება მოგვცა.
assistance	დახმარება	გთხოვთ, დახმარებისთვის პერსონალს მიმართოთ.
assumption	ვარაუდი	ეგ ვარაუდი შეიძლება მცდარი იყოს.
assure	დარწმუნება	გარწმუნებთ, კარი ჩაკეტილია.
astonishing	გამაოგნებელი	კლდიდან ხედი გასაოცარი იყო.
attachment	დანართი	ელფოსტას დანართი ახლავს.
auction	აუქციონი	ნახატი აუქციონზე გაიყიდა.
audio	აუდიო	აუდიოჩანაწერი მკაფიოდ ისმის.
automatic	ავტომატური	კარს ავტომატური საკეტი აქვს.
automatically	ავტომატურად	შუქი ავტომატურად ირთვება.
awareness	ცნობიერება	კამპანიამ საზოგადოების ცნობიერება აამაღლა.
awkward	უხერხული	სიჩუმე უხერხული იყო.
badge	სამკერდე ნიშანი	ვიზიტორებმა გულსაბნევი უნდა ატარონ.
balanced	დაბალანსებული	ბალანსირებული დიეტა ბოსტნეულს შეიცავს.
ballet	ბალეტი	ის სკოლის შემდეგ ბალეტს სწავლობს.
