source_headword	KN	example_KN
stranger	ಅಪರಿಚಿತ	ಒಬ್ಬ ಅಪರಿಚಿತ ದಾರಿ ಕೇಳಿದನು.
strength	ಶಕ್ತಿ	ಅವಳ ಶಕ್ತಿಯು ತಂಡಕ್ಕೆ ಸಹಾಯ ಮಾಡಿತು.
string	ದಾರ	ಪೆಟ್ಟಿಗೆಯನ್ನು ದಾರದಿಂದ ಕಟ್ಟಿ.
strongly	ಬಲವಾಗಿ	ನಾನು ಆ ಕಲ್ಪನೆಯನ್ನು ಬಲವಾಗಿ ಒಪ್ಪುವುದಿಲ್ಲ.
studio	ಸ್ಟುಡಿಯೋ	ಕಲಾವಿದ ಒಂದು ಸಣ್ಣ ಸ್ಟುಡಿಯೋದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾನೆ.
stuff	ವಸ್ತುಗಳು	ನಿನ್ನ ವಸ್ತುಗಳನ್ನು ಶೆಲ್ಫ್ ಮೇಲೆ ಇಡು.
substance	ಪದಾರ್ಥ	ಪೊಲೀಸರಿಗೆ ಒಂದು ವಿಚಿತ್ರ ಪದಾರ್ಥ ಸಿಕ್ಕಿತು.
successfully	ಯಶಸ್ವಿಯಾಗಿ	ಅವರು ಯೋಜನೆಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಮುಗಿಸಿದರು.
sudden	ಹಠಾತ್	ಹಠಾತ್ ಶಬ್ದವು ನಮ್ಮನ್ನು ಎಬ್ಬಿಸಿತು.
suffer	ನರಳು	ಒಣ ಹವಾಮಾನದಲ್ಲಿ ಅನೇಕ ಸಸ್ಯಗಳು ನರಳುತ್ತವೆ.
suitable	ಸೂಕ್ತವಾದ	ಈ ಜಾಕೆಟ್ ಶಾಲೆಗೆ ಸೂಕ್ತವಾಗಿದೆ.
summarize	ಸಂಕ್ಷೇಪಿಸು	ನೀವು ಲೇಖನವನ್ನು ಸಂಕ್ಷೇಪಿಸಬಹುದೇ?
summary	ಸಾರಾಂಶ	ಇಂದು ರಾತ್ರಿ ಒಂದು ಸಣ್ಣ ಸಾರಾಂಶವನ್ನು ಬರೆಯಿರಿ.
supply	ಪೂರೈಕೆ	ಪಟ್ಟಣಕ್ಕೆ ಶುದ್ಧ ನೀರಿನ ಪೂರೈಕೆಯ ಅಗತ್ಯವಿದೆ.
supporter	ಬೆಂಬಲಿಗ	ಪ್ರತಿಯೊಬ್ಬ ಬೆಂಬಲಿಗನು ಜೋರಾಗಿ ಹರ್ಷೋದ್ಗಾರ ಮಾಡಿದನು.
surely	ಖಂಡಿತವಾಗಿ	ಖಂಡಿತವಾಗಿ ನಾವು ಇದನ್ನು ಪರಿಹರಿಸಬಹುದು.
surface	ಮೇಲ್ಮೈ	ಮೇಲ್ಮೈ ತಂಪಾಗಿ ಮತ್ತು ನಯವಾಗಿತ್ತು.
survive	ಬದುಕುಳಿಯು	ಈ ಪ್ರಾಣಿಗಳು ಚಳಿಗಾಲದಲ್ಲಿ ಬದುಕುಳಿಯುತ್ತವೆ.
switch	ಆರಿಸು	ಅಡುಗೆಮನೆಯ ದೀಪವನ್ನು ಆರಿಸಿ.
symptom	ರೋಗಲಕ್ಷಣ	ಕೆಮ್ಮು ಒಂದು ರೋಗಲಕ್ಷಣವಾಗಿರಬಹುದು.
tail	ಬಾಲ	ನಾಯಿಗೆ ಉದ್ದವಾದ ಬಾಲವಿದೆ.
talent	ಪ್ರತಿಭೆ	ಅವಳಿಗೆ ಸಂಗೀತದಲ್ಲಿ ಪ್ರತಿಭೆ ಇದೆ.
talented	ಪ್ರತಿಭಾವಂತ	ಅವನು ಪ್ರತಿಭಾವಂತ ಯುವ ನಟ.
tape	ಟೇಪ್	ಪೆಟ್ಟಿಗೆಯನ್ನು ಮುಚ್ಚಲು ಟೇಪ್ ಬಳಸಿ.
tax	ತೆರಿಗೆ	ಪ್ರತಿಯೊಬ್ಬರೂ ಈ ತೆರಿಗೆಯನ್ನು ಪಾವತಿಸಬೇಕು.
technical	ತಾಂತ್ರಿಕ	ನಮಗೆ ಒಂದು ತಾಂತ್ರಿಕ ಸಮಸ್ಯೆ ಇತ್ತು.
technique	ತಂತ್ರ	ಈ ತಂತ್ರವು ಸಮಯವನ್ನು ಉಳಿಸುತ್ತದೆ.
tend	ಪ್ರವೃತ್ತಿ	ಮಕ್ಕಳು ಬೇಗನೆ ಕಲಿಯುವ ಪ್ರವೃತ್ತಿ ಹೊಂದಿರುತ್ತಾರೆ.
tent	ಡೇರೆ	ನಾವು ಒಂದು ಸಣ್ಣ ಡೇರೆಯಲ್ಲಿ ಮಲಗಿದ್ದೆವು.
theirs	ಅವರದ್ದು	ನೀಲಿ ಬೈಕ್‌ಗಳು ಅವರದ್ದು.
theme	ಥೀಮ್	ಪಾರ್ಟಿಗೆ ಕಡಲತೀರದ ಥೀಮ್ ಇತ್ತು.
theory	ಸಿದ್ಧಾಂತ	ಅವನ ಸಿದ್ಧಾಂತವು ಸಮಸ್ಯೆಯನ್ನು ವಿವರಿಸುತ್ತದೆ.
therefore	ಆದ್ದರಿಂದ	ಮಳೆಯಾಯಿತು, ಆದ್ದರಿಂದ ನಾವು ಒಳಗೇ ಉಳಿದೆವು.
though	ಆದರೂ	ಸುಸ್ತಾಗಿದ್ದರೂ ಅವಳು ಕೆಲಸ ಮಾಡುತ್ತಲೇ ಇದ್ದಳು.
throat	ಗಂಟಲು	ಇಂದು ಮುಂಜಾನೆ ನನ್ನ ಗಂಟಲು ನೋಯುತ್ತಿದೆ.
throughout	ಉದ್ದಕ್ಕೂ	ಸಂಜೆಯೆಲ್ಲಾ ಜನರು ನೃತ್ಯ ಮಾಡಿದರು.
tight	ಬಿಗಿಯಾದ	ಈ ಬೂಟುಗಳು ತುಂಬಾ ಬಿಗಿಯಾಗಿವೆ.
till	ತನಕ	ನಾನು ಹಿಂದಿರುಗುವ ತನಕ ಇಲ್ಲಿ ಕಾಯಿರಿ.
tin	ಡಬ್ಬಿ	ಬೀನ್ಸ್ ಡಬ್ಬಿಯನ್ನು ತೆರೆಯಿರಿ.
tiny	ಪುಟ್ಟ	ಒಂದು ಪುಟ್ಟ ಹಕ್ಕಿ ಹತ್ತಿರದಲ್ಲಿ ಇಳಿಯಿತು.
toe	ಕಾಲಿನ ಬೆರಳು	ನಿನ್ನೆ ನನ್ನ ಕಾಲಿನ ಬೆರಳಿಗೆ ಪೆಟ್ಟಾಯಿತು.
tongue	ನಾಲಿಗೆ	ಅವಳು ಚಹಾದಿಂದ ನಾಲಿಗೆಯನ್ನು ಸುಟ್ಟುಕೊಂಡಳು.
total	ಒಟ್ಟು	ಒಟ್ಟು ವೆಚ್ಚ ಕಡಿಮೆಯಾಗಿತ್ತು.
totally	ಸಂಪೂರ್ಣವಾಗಿ	ನಿಮ್ಮ ಕಾಳಜಿಯನ್ನು ನಾನು ಸಂಪೂರ್ಣವಾಗಿ ಅರ್ಥಮಾಡಿಕೊಳ್ಳುತ್ತೇನೆ.
trade	ವ್ಯಾಪಾರ	ಅಂತರರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರವು ಉದ್ಯೋಗಗಳನ್ನು ಸೃಷ್ಟಿಸುತ್ತದೆ.
translate	ಅನುವಾದಿಸು	ದಯವಿಟ್ಟು ಈ ವಾಕ್ಯವನ್ನು ಅನುವಾದಿಸಿ.
translation	ಅನುವಾದ	ಅನುವಾದವು ನೈಸರ್ಗಿಕವಾಗಿದೆ.
treat	ಉಪಚರಿಸು	ಎಲ್ಲರೊಂದಿಗೆ ಗೌರವದಿಂದ ನಡೆದುಕೊಳ್ಳಿ.
treatment	ಚಿಕಿತ್ಸೆ	ರೋಗಿಗೆ ಇಂದು ಚಿಕಿತ್ಸೆಯ ಅಗತ್ಯವಿದೆ.
trend	ಪ್ರವೃತ್ತಿ	ಈ ಪ್ರವೃತ್ತಿಯು ವಿಶ್ವಾದ್ಯಂತ ಬೆಳೆಯುತ್ತಿದೆ.
trick	ಜಾದೂ	ಆ ಕಾರ್ಡ್ ಜಾದೂ ನನ್ನನ್ನು ಆಶ್ಚರ್ಯಗೊಳಿಸಿತು.
truth	ಸತ್ಯ	ದಯವಿಟ್ಟು ಸತ್ಯವನ್ನು ಹೇಳಿ.
tube	ಟ್ಯೂಬ್	ಟ್ಯೂಬ್ ಅನ್ನು ಮೆಲ್ಲನೆ ಹಿಸುಕಿ.
typically	ಸಾಮಾನ್ಯವಾಗಿ	ವಿದ್ಯಾರ್ಥಿಗಳು ಸಾಮಾನ್ಯವಾಗಿ ಒಂಬತ್ತರ ಮೊದಲು ಬರುತ್ತಾರೆ.
tyre	ಟೈರ್	ಕಾರಿಗೆ ಹೊಸ ಟೈರ್ ಬೇಕಾಗಿದೆ.
ugly	ಅಸಹ್ಯವಾದ	ಆ ಗೋಡೆಯ ಬಣ್ಣವು ಅಸಹ್ಯವಾಗಿ ಕಾಣುತ್ತದೆ.
unable	ಅಸಮರ್ಥ	ಅವನು ಉತ್ತರಿಸಲು ಅಸಮರ್ಥನಾಗಿದ್ದನು.
uncomfortable	ಅನಾನುಕೂಲಕರ	ಈ ಕುರ್ಚಿ ಅನಾನುಕೂಲಕರವಾಗಿದೆ.
underwear	ಒಳಉಡುಪು	ಪ್ರವಾಸಕ್ಕಾಗಿ ಶುದ್ಧವಾದ ಒಳಉಡುಪುಗಳನ್ನು ಪ್ಯಾಕ್ ಮಾಡಿ.
unemployed	ನಿರುದ್ಯೋಗಿ	ಅವಳು ಎರಡು ತಿಂಗಳು ನಿರುದ್ಯೋಗಿಯಾಗಿದ್ದಳು.
unemployment	ನಿರುದ್ಯೋಗ	ಚಳಿಗಾಲದಲ್ಲಿ ನಿರುದ್ಯೋಗವು ಹೆಚ್ಚಾಯಿತು.
unfair	ಅನ್ಯಾಯದ	ನಿರ್ಧಾರವು ಅನ್ಯಾಯವೆಂದು ತೋರಿತು.
union	ಸಂಘ	ಸಂಘವು ಸುರಕ್ಷಿತ ಕೆಲಸವನ್ನು ಕೇಳಿತು.
unless	ಹೊರತು	ನಾನು ಕರೆ ಮಾಡದ ಹೊರತು ಹೋಗಬೇಡಿ.
