hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
503:爱人	爱人	爱人	spouse; loved one	我爱人今天加班。	Wǒ ài ren jīn tiān jiā bān.	My spouse is working overtime today.
508:班级	班级	班级	class; class group	我们班级有三十名学生。	Wǒ men bān jí yǒu sān shí míng xué sheng.	There are thirty students in our class.
509:搬家	搬家	搬家	to move house	这个周末我们要搬家。	Zhè ge zhōu mò wǒ men yào bān jiā.	We are moving house this weekend.
510:办	办	办	to handle; to do	我下午去银行办银行卡。	Wǒ xià wǔ qù yín háng bàn yín háng kǎ.	I am going to the bank this afternoon to apply for a bank card.
513:半天	半天	半天	half a day; a long time	我等了半天他才来。	Wǒ děng le bàn tiān tā cái lái.	I waited a long time before he came.
517:北	北	北	north	学校北边有一个公园。	Xué xiào běi biān yǒu yí ge gōng yuán.	There is a park north of the school.
520:笔记	笔记	笔记	notes	他上课时认真做笔记。	Tā shàng kè shí rèn zhēn zuò bǐ jì.	He takes notes carefully in class.
526:变	变	变	to change	天气变冷了。	Tiān qì biàn lěng le.	The weather has become cold.
528:变成	变成	变成	to become; to change into	雨变成雪了。	Yǔ biàn chéng xuě le.	The rain turned into snow.
531:别的	别的	别的	other; different	你还有别的问题吗？	Nǐ hái yǒu bié de wèn tí ma?	Do you have any other questions?
533:宾馆	宾馆	宾馆	hotel	我们住在机场附近的宾馆。	Wǒ men zhù zài jī chǎng fù jìn de bīn guǎn.	We are staying at a hotel near the airport.
534:冰	冰	冰	ice	杯子里有冰。	Bēi zi lǐ yǒu bīng.	There is ice in the cup.
537:病人	病人	病人	patient; sick person	医生正在看病人。	Yī shēng zhèng zài kàn bìng rén.	The doctor is seeing a patient.
538:不但	不但	不但	not only	他不但会中文，而且会英文。	Tā bú dàn huì Zhōng wén, ér qiě huì Yīng wén.	He can speak not only Chinese but also English.
539:不见	不见	不见	not to see; to disappear	好久不见，你最近好吗？	Hǎo jiǔ bú jiàn, nǐ zuì jìn hǎo ma?	Long time no see. How have you been recently?
540:不用	不用	不用	no need; not to use	你不用等我。	Nǐ bú yòng děng wǒ.	You do not need to wait for me.
541:不同	不同	不同	different	我们有不同的想法。	Wǒ men yǒu bù tóng de xiǎng fǎ.	We have different ideas.
542:不久	不久	不久	soon; not long	不久以后，他搬到了上海。	Bù jiǔ yǐ hòu, tā bān dào le Shàng hǎi.	Not long after, he moved to Shanghai.
543:不行	不行	不行	not okay; not possible	今天不行，我要上课。	Jīn tiān bù xíng, wǒ yào shàng kè.	Today will not work. I have class.
544:才1	才1	才	only then; not until	他十点才到家。	Tā shí diǎn cái dào jiā.	He did not get home until ten o'clock.
548:草地	草地	草地	grass; lawn	孩子们在草地上玩。	Hái zi men zài cǎo dì shang wán.	The children are playing on the grass.
550:查	查	查	to check; to look up	我想查一下车票价格。	Wǒ xiǎng chá yí xià chē piào jià gé.	I want to check the ticket price.
554:常	常	常	often	他常去那家书店。	Tā cháng qù nà jiā shū diàn.	He often goes to that bookstore.
555:常见	常见	常见	common; often seen	这是一个常见问题。	Zhè shì yí ge cháng jiàn wèn tí.	This is a common question.
556:常用	常用	常用	commonly used	手机是常用的工具。	Shǒu jī shì cháng yòng de gōng jù.	A phone is a commonly used tool.
557:常常	常常	常常	often; frequently	我常常在晚上看书。	Wǒ cháng cháng zài wǎn shang kàn shū.	I often read in the evening.
564:出院	出院	出院	to leave the hospital	他今天可以出院了。	Tā jīn tiān kě yǐ chū yuàn le.	He can leave the hospital today.
565:初中	初中	初中	junior high school	我妹妹在初中学习。	Wǒ mèi mei zài chū zhōng xué xí.	My younger sister studies in junior high school.
568:春天	春天	春天	spring	春天来了，花都开了。	Chūn tiān lái le, huā dōu kāi le.	Spring has come, and the flowers have opened.
574:大人	大人	大人	adult	大人们在客厅聊天。	Dà ren men zài kè tīng liáo tiān.	The adults are chatting in the living room.
575:大小	大小	大小	size	这两件衣服大小一样。	Zhè liǎng jiàn yī fu dà xiǎo yí yàng.	These two pieces of clothing are the same size.
576:大熊猫	大熊猫	大熊猫	giant panda	大熊猫正在吃竹子。	Dà xióng māo zhèng zài chī zhú zi.	The giant panda is eating bamboo.
577:大衣	大衣	大衣	overcoat	天冷了，我穿上大衣。	Tiān lěng le, wǒ chuān shàng dà yī.	It is cold, so I put on an overcoat.
583:得	得	得	to get; to gain	他努力学习，终于得了高分。	Tā nǔ lì xué xí, zhōng yú dé le gāo fēn.	He studied hard and finally got a high score.
584:得到	得到	得到	to get; to receive	我得到了老师的帮助。	Wǒ dé dào le lǎo shī de bāng zhù.	I received help from my teacher.
585:得分	得分	得分	to score; score	这场比赛他得分最高。	Zhè chǎng bǐ sài tā dé fēn zuì gāo.	He scored the most points in this game.
586:的话	的话	的话	if; in that case	如果你有时间的话，我们一起去。	Rú guǒ nǐ yǒu shí jiān de huà, wǒ men yì qǐ qù.	If you have time, let's go together.
589:地	地	地	land; ground	这块地可以种菜。	Zhè kuài dì kě yǐ zhòng cài.	This piece of land can be used to grow vegetables.
593:电	电	电	electricity	房间里没有电了。	Fáng jiān lǐ méi yǒu diàn le.	There is no electricity in the room.
595:电子书	电子书	电子书	e-book	我在手机上看电子书。	Wǒ zài shǒu jī shang kàn diàn zǐ shū.	I read e-books on my phone.
598:东北	东北	东北	northeast	我家在城市的东北。	Wǒ jiā zài chéng shì de dōng běi.	My home is in the northeast of the city.
599:东方	东方	东方	east; the East	太阳从东方升起。	Tài yáng cóng dōng fāng shēng qǐ.	The sun rises from the east.
600:东南	东南	东南	southeast	学校在城市的东南。	Xué xiào zài chéng shì de dōng nán.	The school is in the southeast of the city.
601:冬天	冬天	冬天	winter	冬天这里很冷。	Dōng tiān zhè lǐ hěn lěng.	It is very cold here in winter.
602:懂得	懂得	懂得	to know; to understand	他懂得照顾别人。	Tā dǒng de zhào gù bié rén.	He knows how to take care of others.
604:动物园	动物园	动物园	zoo	周末我们去动物园。	Zhōu mò wǒ men qù dòng wù yuán.	We are going to the zoo this weekend.
606:短裤	短裤	短裤	shorts	夏天我常穿短裤。	Xià tiān wǒ cháng chuān duǎn kù.	I often wear shorts in summer.
611:而且	而且	而且	and; moreover	这家店便宜，而且服务好。	Zhè jiā diàn pián yi, ér qiě fú wù hǎo.	This shop is cheap, and the service is good.
613:耳机	耳机	耳机	earphones; headphones	我的耳机放在桌上。	Wǒ de ěr jī fàng zài zhuō shang.	My earphones are on the table.
620:方便面	方便面	方便面	instant noodles	我偶尔吃方便面。	Wǒ ǒu ěr chī fāng biàn miàn.	I occasionally eat instant noodles.
623:房子	房子	房子	house; apartment	这套房子很干净。	Zhè tào fáng zi hěn gān jìng.	This apartment is very clean.
625:放假	放假	放假	to have a holiday	下周我们放假三天。	Xià zhōu wǒ men fàng jià sān tiān.	Next week we have three days off.
627:放学	放学	放学	school lets out	放学后我去图书馆。	Fàng xué hòu wǒ qù tú shū guǎn.	After school, I go to the library.
628:分开	分开	分开	to separate	请把这些书分开。	Qǐng bǎ zhè xiē shū fēn kāi.	Please separate these books.
629:风	风	风	wind	今天风很大。	Jīn tiān fēng hěn dà.	It is very windy today.
630:封	封	封	measure word for letters	我收到一封信。	Wǒ shōu dào yì fēng xìn.	I received a letter.
631:夫妻	夫妻	夫妻	husband and wife; couple	这对夫妻很友好。	Zhè duì fū qī hěn yǒu hǎo.	This couple is very friendly.
632:服务	服务	服务	to serve; service	这家饭馆服务很好。	Zhè jiā fàn guǎn fú wù hěn hǎo.	This restaurant has very good service.
635:该1	该1	该	should; ought to	我们该走了。	Wǒ men gāi zǒu le.	We should go now.
638:感到	感到	感到	to feel	我感到有点儿累。	Wǒ gǎn dào yǒu diǎnr lèi.	I feel a little tired.
643:刚刚	刚刚	刚刚	just now	他刚刚离开教室。	Tā gāng gāng lí kāi jiào shì.	He just left the classroom.
644:高铁	高铁	高铁	high-speed rail	我明天坐高铁去北京。	Wǒ míng tiān zuò gāo tiě qù Běi jīng.	I will take the high-speed train to Beijing tomorrow.
649:工作日	工作日	工作日	workday	工作日我早上七点起床。	Gōng zuò rì wǒ zǎo shang qī diǎn qǐ chuáng.	On workdays, I get up at seven in the morning.
651:刮	刮	刮	to blow; to scrape	外面在刮大风。	Wài miàn zài guā dà fēng.	A strong wind is blowing outside.
653:关机	关机	关机	to turn off; to shut down	上课时请把手机关机。	Shàng kè shí qǐng bǎ shǒu jī guān jī.	Please turn off your phone during class.
657:关注	关注	关注	to pay attention to; to follow	我很关注孩子的学习。	Wǒ hěn guān zhù hái zi de xué xí.	I pay close attention to my child's studies.
659:过节	过节	过节	to celebrate a festival	过节的时候家里很热闹。	Guò jié de shí hou jiā lǐ hěn rè nao.	The house is lively when we celebrate a festival.
661:海	海	海	sea	我想去海边旅行。	Wǒ xiǎng qù hǎi biān lǚ xíng.	I want to travel to the seaside.
663:好多	好多	好多	many; a lot	商店里有好多新书。	Shāng diàn lǐ yǒu hǎo duō xīn shū.	There are many new books in the shop.
664:好久	好久	好久	a long time	我们好久没见了。	Wǒ men hǎo jiǔ méi jiàn le.	We have not seen each other for a long time.
667:河	河	河	river	这条河很宽。	Zhè tiáo hé hěn kuān.	This river is wide.
670:红绿灯	红绿灯	红绿灯	traffic light	过马路时要看红绿灯。	Guò mǎ lù shí yào kàn hóng lǜ dēng.	Look at the traffic light when crossing the road.
672:后年	后年	后年	the year after next	后年我想去中国学习。	Hòu nián wǒ xiǎng qù Zhōng guó xué xí.	I want to go to China to study the year after next.
673:后天	后天	后天	the day after tomorrow	后天我们有考试。	Hòu tiān wǒ men yǒu kǎo shì.	We have an exam the day after tomorrow.
675:花园	花园	花园	garden	花园里有很多花。	Huā yuán lǐ yǒu hěn duō huā.	There are many flowers in the garden.
676:画家	画家	画家	painter; artist	这位画家很有名。	Zhè wèi huà jiā hěn yǒu míng.	This painter is very famous.
681:黄色	黄色	黄色	yellow color	我买了一件黄色上衣。	Wǒ mǎi le yí jiàn huáng sè shàng yī.	I bought a yellow top.
685:或	或	或	or	你可以坐车或走路去。	Nǐ kě yǐ zuò chē huò zǒu lù qù.	You can go by car or on foot.
687:鸡	鸡	鸡	chicken	奶奶家养了几只鸡。	Nǎi nai jiā yǎng le jǐ zhī jī.	Grandma's family keeps a few chickens.
691:急	急	急	anxious; urgent	别急，车还没来。	Bié jí, chē hái méi lái.	Do not be anxious. The car has not arrived yet.
692:记	记	记	to remember; to note down	请记下我的电话。	Qǐng jì xià wǒ de diàn huà.	Please write down my phone number.
693:季	季	季	season	一年有四季。	Yì nián yǒu sì jì.	There are four seasons in a year.
695:加	加	加	to add	请给我加一点儿水。	Qǐng gěi wǒ jiā yì diǎnr shuǐ.	Please add a little water for me.
696:假期	假期	假期	vacation; holiday	假期里我想休息。	Jià qī lǐ wǒ xiǎng xiū xi.	I want to rest during the vacation.
700:检票	检票	检票	to check tickets	进站前要检票。	Jìn zhàn qián yào jiǎn piào.	Tickets must be checked before entering the station.
707:街	街	街	street	这条街很热闹。	Zhè tiáo jiē hěn rè nao.	This street is very lively.
714:姐妹	姐妹	姐妹	sisters	她们是一对姐妹。	Tā men shì yí duì jiě mèi.	They are sisters.
716:斤	斤	斤	jin; half-kilogram unit	我买了两斤苹果。	Wǒ mǎi le liǎng jīn píng guǒ.	I bought two jin of apples.
720:酒	酒	酒	alcohol; liquor	爸爸晚上不喝酒。	Bà ba wǎn shang bù hē jiǔ.	Dad does not drink alcohol in the evening.
722:句	句	句	sentence; measure word for sentences	请你再说一句。	Qǐng nǐ zài shuō yí jù.	Please say one more sentence.
725:卡	卡	卡	card	我的卡放在包里。	Wǒ de kǎ fàng zài bāo lǐ.	My card is in my bag.
726:开花	开花	开花	to bloom	春天树都开花了。	Chūn tiān shù dōu kāi huā le.	The trees all bloom in spring.
727:开会	开会	开会	to have a meeting	我下午三点开会。	Wǒ xià wǔ sān diǎn kāi huì.	I have a meeting at three in the afternoon.
728:开机	开机	开机	to turn on; to start up	电脑开机很慢。	Diàn nǎo kāi jī hěn màn.	The computer starts up very slowly.
730:看来	看来	看来	it seems; apparently	看来今天要下雨。	Kàn lái jīn tiān yào xià yǔ.	It looks like it is going to rain today.
731:可	可	可	really; very	他可高兴了。	Tā kě gāo xìng le.	He is really happy.
736:课本	课本	课本	textbook	请把课本打开。	Qǐng bǎ kè běn dǎ kāi.	Please open the textbook.
738:课文	课文	课文	text; lesson text	这篇课文不难。	Zhè piān kè wén bù nán.	This text is not difficult.
746:老人	老人	老人	elderly person	这位老人需要帮助。	Zhè wèi lǎo rén xū yào bāng zhù.	This elderly person needs help.
751:练	练	练	to practice	我每天练中文。	Wǒ měi tiān liàn Zhōng wén.	I practice Chinese every day.
755:聊	聊	聊	to chat	我想和你聊一聊。	Wǒ xiǎng hé nǐ liáo yi liáo.	I want to chat with you.
756:聊天儿	聊天儿	聊天儿	to chat	我们晚上一起聊天儿。	Wǒ men wǎn shang yì qǐ liáo tiānr.	We chat together in the evening.
