source_headword	LV	example_LV
incur	radīt	Kavēšanās var radīt papildu izmaksas.
indicator	rādītājs	Bezdarbs ir viens no ekonomiskajiem rādītājiem.
indictment	apsūdzības raksts	Apsūdzības rakstā bija minētas trīs apsūdzības.
indigenous	vietējais	Vietējie augi šeit aug labi.
induce	izraisīt	Zāles var izraisīt miegu.
indulge	ļauties	Viņa neļaujas dārgiem ieradumiem.
inequality	nevienlīdzība	Ienākumu nevienlīdzība joprojām ir būtiska problēma.
infamous	bēdīgi slavens	Cietums kļuva bēdīgi slavens visā pasaulē.
infant	zīdainis	Zīdainis gulēja gultiņā.
infect	inficēt	Vīruss var inficēt veselas šūnas.
inflict	nodarīt	Nenodariet sāpes dzīvniekiem.
influential	ietekmīgs	Viņa ir ietekmīga tiesību zinātniece.
inherent	neatņemams	Dizainam piemīt neatņemami riski.
inhibit	kavēt	Bailes var kavēt godīgu diskusiju.
initiate	uzsākt	Menedžeris uzsāks pārbaudi.
inject	injicēt	Māsiņa injicēs vakcīnu.
injection	injekcija	Injekcija mazināja sāpes.
injustice	netaisnība	Spriedums atklāja acīmredzamu netaisnību.
inmate	ieslodzītais	Ieslodzītais lūdza juridisku palīdzību.
insertion	ievietošana	Veidlapā ir nepieciešama viena teksta ievietošana.
insider	iekšējā persona	Iekšējā persona nopludināja ziņojumu.
inspect	pārbaudīt	Ierēdņi katru gadu pārbauda tiltu.
inspection	pārbaude	Pārbaudē tika atklāti nopietni bojājumi.
inspiration	iedvesma	Viņas runa man sniedza iedvesmu.
instinct	instinkts	Viņa pirmais instinkts bija palīdzēt.
institutional	institucionāls	Institucionālie noteikumi ietekmēja lēmumu.
instruct	instruēt	Rokasgrāmata instruēs jaunos darbiniekus.
instrumental	izšķirošs	Viņas padoms bija izšķirošs sarunās.
insufficient	nepietiekams	Pierādījumi bija nepietiekami apsūdzībām.
insult	apvainojums	Viņa apvainojums pārtrauca sarunu.
intact	neskarts	Senais mūris palika neskarts.
intake	uzņemšana	Cukura uzņemšanai vajadzētu palikt mērenai.
integral	neatņemams	Uzticēšanās ir neatņemama komandas sastāvdaļa.
integrated	integrēts	Skola piedāvā integrētu atbalstu.
integration	integrācija	Integrācija uzlaboja visu sistēmu.
integrity	godprātība	Tiesnesis parādīja lielu godprātību.
intensify	pastiprināties	Vētra naktī var pastiprināties.
intensity	intensitāte	Treniņu intensitāte palielinājās.
intensive	intensīvs	Viņi pabeidza intensīvu valodu apmācību.
intent	nolūks	Viņa nolūku bija grūti pierādīt.
interactive	interaktīvs	Muzejā ir interaktīvi displeji.
interface	saskarne	Saskarnē ir viegli orientēties.
interfere	iejaukties	Neiejaucieties izmeklēšanā.
interference	traucējumi	Signāla traucējumi pārtrauca zvanu.
interim	pagaidu	Pagaidu ziņojums ieradīsies rīt.
interior	iekšpuse	Iekštelpu sienām nepieciešama krāsošana.
intermediate	vidējs	Viņa pievienojās vidējā līmeņa klasei.
intervene	iejaukties	Policijai bija ātri jāiejaucas.
intervention	iejaukšanās	Agrīna iejaukšanās palīdzēja pacientam.
intimate	intīms	Viņi rīkoja intīmu ģimenes ceremoniju.
intriguing	intriģējošs	Dati atklāja intriģējošu likumsakarību.
investigator	izmeklētājs	Izmeklētājs intervēja katru liecinieku.
invisible	neredzams	Gāze ir neredzama un bīstama.
invoke	atsaukties uz	Advokāts mēģināja atsaukties uz precedentu.
involvement	iesaistīšanās	Viņa iesaistīšanās palika neskaidra.
ironic	ironisks	Ironiskais komentārs visiem lika smieties.
ironically	ironiskā kārtā	Ironiskā kārtā maršruts aizņēma vairāk laika.
irony	ironija	Ironija visiem bija acīmredzama.
irrelevant	neatbilstošs	Šī detaļa šeit nav svarīga.
isolation	izolācija	Izolācija var kaitēt garīgajai veselībai.
judicial	tiesu	Tiesas pārskatīšana sākas pirmdien.
junction	krustojums	Krustojumā pagriezieties pa kreisi.
jurisdiction	jurisdikcija	Tiesai ir ierobežota jurisdikcija.
just	taisnīgs	Tiesnesis pieņēma taisnīgu lēmumu.
justification	pamatojums	Mums ir nepieciešams skaidrs pamatojums izdevumiem.
kidnap	nolaupīt	Noziedznieki mēģināja nolaupīt diplomātu.
kidney	niere	Viņas nieru darbība uzlabojās.
kingdom	karaļvalsts	Viņa valdīšanas laikā karaļvalsts paplašinājās.
lad	puisis	Jaunais puisis nesa somas.
landlord	izīrētājs	Izīrētājs salaboja apkuri.
landmark	orientieris	Tornis kļuva par pilsētas orientieri.
lap	klēpis	Bērns sēdēja viņai klēpī.
large-scale	liela mēroga	Pilsēta plānoja liela mēroga remontdarbus.
laser	lāzers	Lāzers izmērīja attālumu.
latter	otrais	Otrais variants šķiet drošāks.
lawn	mauriņš	Bērni spēlējās uz mauriņa.
lawsuit	tiesas prāva	Uzņēmums izlīga tiesas prāvā.
layout	izkārtojums	Lapas izkārtojums izskatās skaidrāks.
leak	noplūde	Caurules noplūde applūdināja virtuvi.
leap	lēciens	Pārdošanas apjomi piedzīvoja pēkšņu lēcienu.
legacy	mantojums	Viņas mantojums veidoja universitāti.
legendary	leģendārs	Leģendārais dziedātājs atgriezās uz skatuves.
legislation	likumdošana	Jaunā likumdošana aizsargā īrniekus.
legislative	likumdošanas	Likumdošanas komiteja šodien tikās.
legislature	parlaments	Parlaments apstiprināja budžetu.
legitimate	pamatots	Viņi pauda pamatotas bažas.
lengthy	ieilgušās	Ieilgušās debates aizkavēja balsojumu.
lesbian	lesbiete	Lesbiešu aktīviste uzstājās forumā.
lesser	mazāks	Izvēlieties mazāko risku.
lethal	letāls	Ķīmiskā viela var būt letāla.
liable	atbildīgs	Autovadītāji ir atbildīgi par zaudējumiem.
liberal	liberāls	Viņš atbalsta liberālu sociālo politiku.
liberation	atbrīvošana	Atbrīvošana mainīja valsts nākotni.
liberty	brīvība	Likums aizsargā personas brīvību.
license	licencēt	Valsts var licencēt jaunas klīnikas.
lifelong	mūža	Viņa tur ieguva draugus uz mūžu.
likelihood	iespējamība	Lietus iespējamība palielinājās.
limb	loceklis	Ievainotā ekstremitāte lēnām sadzija.
linear	lineārs	Diagramma parāda lineāru tendenci.
line-up	sastāvs	Festivāla programmā ir iekļautas vietējās grupas.
linger	uzkavēties	Smarža var uzkavēties stundām ilgi.
listing	sludinājums	Dzīvokļa sludinājums izskatījās precīzs.
literacy	rakstpratība	Pieaugušo rakstpratības programmas paplašinājās.
liver	aknas	Aknas filtrē kaitīgās vielas.
lobby	vestibils	Pēc pusdienlaika vestibils bija pārpildīts.
log	žurnāls	Sistēma uztur ikdienas žurnālu.
logic	loģika	Viņa argumenta loģika izgāzās.
long-standing	ilgstošs	Viņi atrisināja ilgstošu strīdu.
long-time	ilglaicīgs	Viņa ir ilglaicīga brīvprātīgā.
loom	parādīties	Pār ieleju parādās tumši mākoņi.
