source_headword	KA	example_KA
heal	განკურნება	დასვენება სხეულს განკურნებაში ეხმარება.
healthcare	ჯანდაცვა	ჯანდაცვის ხარჯები ამ წელს გაიზარდა.
helmet	ჩაფხუტი	ველოსიპედზე ჩაფხუტი ატარეთ.
hence	ამიტომ	აქედან გამომდინარე, ჩვენ განრიგი შევცვალეთ.
herb	ბალახი	რეჰანი სასარგებლო ბალახეულია.
hidden	დამალული	გასაღები ფეხსაწმენდის ქვეშ იყო დამალული.
highway	მაგისტრალი	მაგისტრალი თოვის შემდეგ დაიკეტა.
hilarious	სასაცილო	ფილმი ძალიან სასაცილო იყო.
hip	თეძო	მან ვარჯიშის დროს თეძო იტკინა.
historian	ისტორიკოსი	ისტორიკოსმა ძველი წერილები შეისწავლა.
homeless	უსახლკარო	თავშესაფარი უსახლკარო ოჯახებს ეხმარება.
honesty	პატიოსნება	პატიოსნება ნდობას აშენებს.
hook	კაუჭი	პალტო კაუჭზე ჩამოკიდეთ.
hopefully	იმედია	იმედია, მატარებელი მალე მოვა.
hunger	შიმშილი	შიმშილმა შეიძლება კონცენტრაციაზე იმოქმედოს.
hypothesis	ჰიპოთეზა	ექსპერიმენტმა ჰიპოთეზა შეამოწმა.
icon	ხატულა	აპლიკაციის ხატულა დღეს შეიცვალა.
ID	პირადობის მოწმობა	მიმღებში თქვენი პირადობის მოწმობა აჩვენეთ.
identical	იდენტური	ტყუპებს იდენტური ქურთუკები ეცვათ.
illusion	ილუზია	სარკე ილუზიას ქმნის.
immigration	იმიგრაცია	იმიგრაციის პოლიტიკა გასულ წელს შეიცვალა.
immune	იმუნური	ვაქცინაციას ადამიანების იმუნურებად ქცევა შეუძლია.
implement	დანერგვა	სკოლა პოლიტიკას დანერგავს.
implication	მინიშნება	მინიშნება ნათელი იყო.
incentive	სტიმული	ბონუსმა მუშებს სტიმული მისცა.
incorporate	ჩართვა	კვებაში მეტი ბოსტნეული ჩართეთ.
incorrect	არასწორი	პასუხი არასწორი იყო.
independence	დამოუკიდებლობა	ქვეყანამ დამოუკიდებლობა აღნიშნა.
index	საძიებელი	თემის საპოვნელად საძიებელი შეამოწმეთ.
indication	ნიშანი	ღიმილი შვების ნიშანი იყო.
inevitable	გარდაუვალი	გარკვეული შეფერხება გარდაუვალი იყო.
inevitably	გარდაუვალად	გარდაუვალად, დეფიციტის შემდეგ ფასები გაიზარდა.
infer	დასკვნის გამოტანა	ჩვენ შეგვიძლია პასუხი კონტექსტიდან გამოვიტანოთ.
inflation	ინფლაცია	ინფლაციამ საკვების ფასები გაზარდა.
info	ინფორმაცია	ვებსაიტი სასარგებლო ინფოს შეიცავს.
infrastructure	ინფრასტრუქტურა	ქარიშხალმა ადგილობრივი ინფრასტრუქტურა დააზიანა.
inhabitant	მცხოვრები	თითოეულმა მცხოვრებმა სუფთა წყალი მიიღო.
inherit	მემკვიდრეობით მიღება	ის ოჯახის სახლს მემკვიდრეობით მიიღებს.
ink	მელანი	პრინტერს შავი მელანი სჭირდება.
innovation	ინოვაცია	ინოვაციას ინდუსტრია წინ მიჰყავს.
innovative	ინოვაციური	კომპანიამ ინოვაციური პროდუქტი გამოუშვა.
input	წვლილი	მენეჯერმა მოსაზრებები ითხოვა.
insert	ჩასმა	ბარათი აპარატში ჩასვით.
inspector	ინსპექტორი	ინსპექტორმა შენობა შეამოწმა.
installation	დამონტაჟება	დამონტაჟებას ორი საათი დასჭირდა.
instant	მყისიერი	აპლიკაციამ მყისიერი პასუხი გამოაგზავნა.
instantly	მყისიერად	ეკრანი მყისიერად ჩაირთო.
integrate	ინტეგრირება	პროგრამას ახალი ინსტრუმენტების ინტეგრირება შეუძლია.
intellectual	ინტელექტუალური	დებატები ინტელექტუალური, მაგრამ მეგობრული იყო.
interact	ურთიერთქმედება	სტუდენტები ჯგუფური მუშაობის დროს ურთიერთქმედებენ.
interaction	ურთიერთქმედება	ურთიერთქმედება ზრდილობიანი იყო.
interpretation	ინტერპრეტაცია	ლექსის მისეული ინტერპრეტაცია ორიგინალური იყო.
interval	ინტერვალი	აქტებს შორის მოკლე შუალედი იყო.
invade	შეჭრა	არმია კუნძულზე შეჭრას ცდილობდა.
invasion	შემოსევა	შემოსევამ ბევრი ქალაქი დააზიანა.
investor	ინვესტორი	ინვესტორმა ახალი სტარტაპი დააფინანსა.
isolate	იზოლირება	ექიმები სერიოზული ინფექციების მქონე პაციენტების იზოლირებას ახდენენ.
isolated	იზოლირებული	სოფელი თოვლით იყო იზოლირებული.
jail	ციხე	ქურდი ციხეში წავიდა.
jet	რეაქტიული თვითმფრინავი	რეაქტიული თვითმფრინავი შუადღისას დაეშვა.
joint	ერთობლივი	მათ ერთობლივი პროექტის შესახებ გამოაცხადეს.
journalism	ჟურნალისტიკა	ჟურნალისტიკა ზუსტ ფაქტებს მოითხოვს.
jury	ნაფიცი მსაჯულები	ნაფიცმა მსაჯულებმა გადაწყვეტილება მიიღეს.
kit	ნაკრები	სარემონტო ნაკრები ჭანჭიკებს შეიცავს.
ladder	კიბე	კიბე კედელზე იყო მიყრდნობილი.
landing	დაშვება	თვითმფრინავმა რბილი დაშვება შეასრულა.
lane	ზოლი	მარჯვენა ზოლში დარჩით.
lately	ბოლო დროს	ბოლო დროს ცუდად მძინავს.
leaflet	ბუკლეტი	ბუკლეტი სერვისს ხსნის.
legend	ლეგენდა	ლეგენდა დამალულ ქალაქზე მოგვითხრობს.
lens	ლინზა	კამერის ლინზა ფრთხილად გაწმინდეთ.
lifetime	მთელი სიცოცხლე	ის ფულს მთელი სიცოცხლე აგროვებდა.
lighting	განათება	კარგი განათება ოთახს აუმჯობესებს.
likewise	ასევე	მას გაეღიმა, მანაც ასევე გააკეთა.
limitation	შეზღუდვა	გეგმას ერთი შეზღუდვა აქვს.
literally	პირდაპირ	ის ავტობუსისკენ პირდაპირ გაიქცა.
literary	ლიტერატურული	ფესტივალი ლიტერატურულ ნამუშევრებს პატივს მიაგებს.
litre	ლიტრი	ერთი ლიტრი რძე იყიდეთ.
litter	ნაგავი	ნაგავი არ დაყაროთ.
logo	ლოგო	ლოგო ყველა გვერდზე ჩანს.
lottery	ლატარია	მან ლატარიის მცირე პრიზი მოიგო.
loyal	ერთგული	ძაღლი თავისი პატრონის ერთგული იყო.
lyric	ტექსტი	სიმღერის ტექსტი მთავარ იდეას იმეორებდა.
magnificent	დიდებული	სასახლე დიდებულად გამოიყურებოდა.
make-up	მაკიაჟი	მას მარტივი მაკიაჟი ესვა.
making	შექმნა	ფილმის შექმნა რთული იყო.
manufacture	წარმოება	ქარხანა ტელეფონებს აწარმოებს.
manufacturing	წარმოება	საწარმოო სამუშაო ადგილები ადგილობრივად გაიზარდა.
marathon	მარათონი	მან მარათონი დაასრულა.
margin	მინდორი	შენიშვნები მინდორზე დაწერეთ.
marker	მარკერი	ეტიკეტისთვის მარკერი გამოიყენეთ.
martial	საბრძოლო	ის საბრძოლო ხელოვნებას სწავლობს.
mate	მეგობარი	გუშინ ჩემმა ძველმა სკოლის მეგობარმა დამირეკა.
mayor	მერი	მერმა ბიბლიოთეკა გახსნა.
mechanic	მექანიკოსი	მექანიკოსმა ავტობუსი შეაკეთა.
mechanical	მექანიკური	საათს მექანიკური ხარვეზი აქვს.
mechanism	მექანიზმი	საკეტის მექანიზმი მარტივია.
medal	მედალი	მან ოქროს მედალი მოიგო.
medication	წამალი	წამალი წყალთან ერთად მიიღეთ.
membership	წევრობა	სპორტდარბაზის წევრობა ონლაინ უფრო იაფია.
memorable	დასამახსოვრებელი	მოგზაურობა დასამახსოვრებელი იყო.
metaphor	მეტაფორა	ლექსში ძლიერი მეტაფორაა გამოყენებული.
miner	მეშახტე	მეშახტე მიწისქვეშ მუშაობდა.
miserable	უბედური	წვიმამ პიკნიკი საშინელი გახადა.
mode	რეჟიმი	გადართეთ კამერა ღამის რეჟიმზე.
modest	მოკრძალებული	ისინი მოკრძალებულ სახლში ცხოვრობენ.
monster	ურჩხული	მოთხრობაში საშიში ურჩხულია.
monthly	ყოველთვიური	ჩვენ ქირას ყოველთვიურად ვიხდით.
monument	ძეგლი	ძეგლი მდინარესთან დგას.
moreover	გარდა ამისა	გარდა ამისა, გეგმა ფულს ზოგავს.
mortgage	იპოთეკა	მათ იპოთეკაზე შეიტანეს განაცხადი.
mosque	მეჩეთი	მეჩეთი ბაზართან ახლოს არის.
motion	მოძრაობა	სენსორი მოძრაობას აფიქსირებს.
motivate	მოტივირება	შექებას სტუდენტების მოტივირება შეუძლია.
motivation	მოტივაცია	მისი მოტივაცია ძლიერი დარჩა.
moving	ამაღელვებელი	გამოსვლა ამაღელვებელი იყო.
myth	მითი	მითი მთის სახელს ხსნის.
naked	შიშველი	ბავშვი ბანაობის შემდეგ შიშველი იყო.
nasty	საზიზღარი	ჭრილობა საზიზღრად გამოიყურებოდა.
navigation	ნავიგაცია	აპლიკაცია ნავიგაციას აუმჯობესებს.
nearby	მახლობელი	მახლობელი კაფე ადრე იხსნება.
necessity	აუცილებლობა	სუფთა წყალი აუცილებლობაა.
negotiate	მოლაპარაკება	ისინი კონტრაქტზე ხვალ მოილაპარაკებენ.
negotiation	მოლაპარაკება	მოლაპარაკება მთელი დილა გაგრძელდა.
neutral	ნეიტრალური	მოსამართლე ნეიტრალური დარჩა.
newly	ახლად	ახლად შეღებილი კარი კაშკაშებდა.
norm	ნორმა	დისტანციური მუშაობა ნორმა გახდა.
notebook	რვეული	ჩანაწერები თქვენს რვეულში დაწერეთ.
novelist	რომანისტი	რომანისტმა თავის წიგნს ხელი მოაწერა.
nowadays	დღესდღეობით	დღესდღეობით ბევრი ადამიანი ონლაინ მუშაობს.
nursing	საექთნო საქმე	ის საექთნო საქმეს სწავლობს.
nutrition	კვება	კარგი კვება ჯანმრთელობას უწყობს ხელს.
obesity	სიმსუქნე	სიმსუქნე ჯანმრთელობის რისკებს ზრდის.
observer	დამკვირვებელი	დამკვირვებელმა შედეგები ჩაიწერა.
obstacle	დაბრკოლება	წაქცეული ხე დაბრკოლება იყო.
occupation	პროფესია	გთხოვთ, თქვენი პროფესია აქ დაწეროთ.
occupy	დაკავება	ოჯახი ბინას დაიკავებს.
offender	დამნაშავე	დამნაშავემ სასამართლოში ბოდიში მოიხადა.
ongoing	მიმდინარე	გამოძიება მიმდინარეობს.
openly	ღიად	მან თავის შიშებზე ღიად ისაუბრა.
opera	ოპერა	ჩვენ მილანში ოპერა ვნახეთ.
operator	ოპერატორი	ოპერატორმა ზარი დააკავშირა.
optimistic	ოპტიმისტური	ის მომავლის მიმართ ოპტიმისტურად არის განწყობილი.
orchestra	ორკესტრი	ორკესტრი ჩუმად უკრავდა.
organic	ორგანული	მათ ორგანული ბოსტნეული იყიდეს.
outfit	ტანსაცმელი	მისი ტანსაცმელი ღონისძიებას შეესაბამებოდა.
output	გამომუშავება	მანქანის გამომუშავება გაიზარდა.
outstanding	გამორჩეული	მისი შესრულება გამორჩეული იყო.
overcome	დაძლევა	ისინი პრობლემებს ერთად ძლევენ.
overnight	ღამით	ამანათი ღამით ჩამოვიდა.
overseas	საზღვარგარეთ	მან სამსახური საზღვარგარეთ იშოვა.
ownership	მფლობელობა	მიწის მფლობელობა შეიცვალა.
oxygen	ჟანგბადი	მცენარეები ჟანგბადს გამოიმუშავებენ.
packet	პაკეტი	პაკეტი ფრთხილად გახსენით.
palm	ხელისგული	მონეტა ხელისგულზე გეჭიროთ.
panic	პანიკა	ხალხში პანიკა გავრცელდა.
parade	აღლუმი	აღლუმი შუადღისას დაიწყო.
parallel	პარალელური	გზები პარალელურად მიდის.
participation	მონაწილეობა	კლასში მონაწილეობა გაუმჯობესდა.
partnership	პარტნიორობა	პარტნიორობა ორივე კომპანიას დაეხმარა.
part-time	ნახევარ განაკვეთზე	მან ნახევარ განაკვეთზე სამსახური იშოვა.
passionate	ვნებიანი	ის მუსიკით არის გატაცებული.
password	პაროლი	აირჩიეთ ძლიერი პაროლი.
patience	მოთმინება	პატარა ბავშვების სწავლება მოთმინებას მოითხოვს.
pause	პაუზა	ახლა ვიდეო შეაჩერეთ.
peer	თანატოლი	თანატოლების ზეწოლამ მის არჩევანზე იმოქმედა.
penalty	ჯარიმა	მოთამაშემ ჯარიმა მიიღო.
perceive	აღქმა	ადამიანები რისკს სხვადასხვანაირად აღიქვამენ.
perception	აღქმა	მისი საფრთხის აღქმა შეიცვალა.
permanently	სამუდამოდ	მაღაზია სამუდამოდ დაიხურა.
pill	აბი	საუზმის შემდეგ ერთი აბი დალიეთ.
pity	სამწუხარო	სამწუხაროა.
placement	განთავსება	დივნის განთავსებას მნიშვნელობა აქვს.
portion	ულუფა	ბრინჯის მცირე ულუფა მიართვით.
potentially	პოტენციურად	ეს ცვლილება პოტენციურად სასარგებლოა.
precede	წინსწრება	მუქი ღრუბლები ხშირად წვიმას უსწრებს წინ.
precious	ძვირფასი	ბეჭედი ძვირფასია.
precise	ზუსტი	ინსტრუქციები ზუსტი იყო.
precisely	ზუსტად	მანძილი ზუსტად გაზომეთ.
predictable	პროგნოზირებადი	დასასრული პროგნოზირებადი იყო.
preference	უპირატესობა	მან ჩაის მიანიჭა უპირატესობა.
pride	სიამაყე	დასრულების შემდეგ მან სიამაყე იგრძნო.
