hsk_key	source_word	simplified	PT-BR	example_PT-BR	ES-419	example_ES-419
5001:物体	物体	物体	o objeto; corpo físico	Este objeto afundou lentamente na água.	el objeto; cuerpo físico	Este objeto se hundió lentamente en el agua.
5005:喜剧	喜剧	喜剧	a comédia	Esta comédia fez toda a plateia rir sem parar.	la comedia	Esta comedia hizo reír sin parar a todo el público.
5006:喜事	喜事	喜事	o acontecimento feliz; celebração	Houve uma celebração em casa, e todos os parentes vieram dar os parabéns.	el acontecimiento feliz; celebración	Hubo una celebración en casa y todos los parientes vinieron a felicitar.
5007:洗漱	洗漱	洗漱	lavar-se; fazer a higiene matinal	Ela se levanta às seis todas as manhãs para se lavar.	asearse; lavarse	Ella se levanta a las seis cada mañana para asearse.
5011:戏曲	戏曲	戏曲	a ópera tradicional chinesa	O avô gosta especialmente de ouvir ópera tradicional local.	la ópera tradicional china	Al abuelo le gusta especialmente escuchar ópera tradicional local.
5014:下功夫	下功夫	下功夫	esforçar-se; dedicar esforço	Ela está disposta a se esforçar para escrever bem os caracteres chineses.	esforzarse; dedicar mucho trabajo	Ella está dispuesta a esforzarse para escribir bien los caracteres chinos.
5015:下单	下单	下单	fazer um pedido	Eu já fiz um pedido online para comprar o material didático.	hacer un pedido	Ya hice un pedido en línea para comprar el manual.
5017:下线	下线	下线	sair do ar; ser descontinuado	Este recurso antigo será oficialmente descontinuado amanhã.	desconectarse; retirar de servicio	Esta función antigua se retirará oficialmente mañana.
5018:下旬	下旬	下旬	o último decêndio do mês	A exposição será inaugurada no final de agosto.	la última decena del mes	La exposición se inaugurará a finales de agosto.
5023:显	显	显	fazer parecer; mostrar	Esta roupa faz ele parecer cheio de energia.	mostrar; parecer	Esta ropa lo hace parecer lleno de energía.
5024:险	险	险	perigoso; arriscado	A estrada da montanha é perigosa, então é preciso dirigir mais devagar.	peligroso; arriesgado	El camino de montaña es peligroso, así que hay que conducir más despacio.
5026:限	限	限	limitar; restringir	Cada pessoa pode comprar no máximo dois ingressos.	limitar; restringir	Cada persona puede comprar como máximo dos boletos.
5027:线	线	线	a linha; o fio	Por favor, corte ao longo desta linha.	la línea; el hilo	Por favor, corta siguiendo esta línea.
5028:现存	现存	现存	existente; preservado atualmente	Os materiais existentes não bastam para provar esta conclusão.	existente; conservado actualmente	Los datos existentes no bastan para demostrar esta conclusión.
5029:限度	限度	限度	o limite; grau	A paciência dele já chegou ao limite.	el límite; grado	Su paciencia ya llegó al límite.
5030:现货	现货	现货	produto em estoque; disponível	Este modelo de celular está em estoque e pode ser enviado hoje.	mercancía en stock; disponible	Este modelo de teléfono está en stock y puede enviarse hoy.
5033:限于	限于	限于	limitar-se a; estar limitado a	A inscrição está limitada a trinta pessoas.	limitarse a; estar limitado a	La inscripción está limitada a treinta personas.
5036:相传	相传	相传	segundo a tradição; dizem que	Dizem que esta ponte tem trezentos anos de história.	según la tradición; se dice	Se dice que este puente tiene trescientos años de historia.
