source_headword	UZ	example_UZ
absolutely	mutlaqo	Men siz bilan mutlaqo roziman.
academic	akademik	Akademik yil sentabrda boshlanadi.
access	kirish	Talabalarga kutubxonaga kirish kerak.
accommodation	turar joy	Biz bekat yaqinida turar joy band qildik.
account	bank hisobi	U yangi bank hisobi ochdi.
achievement	yutuq	Kursni tugatish katta yutuq edi.
ad	reklama	Reklama yangi telefonni ko'rsatdi.
addition	qo'shimcha	Hovuz foydali qo'shimcha.
admire	hurmat qilmoq	Men uning sokin munosabatini hurmat qilaman.
admit	tan olmoq	U xatosini tan oldi.
advanced	ilg'or	Bu ilg'or ingliz tili darsi.
advise	maslahat bermoq	Shifokorlar muntazam mashqni maslahat berishadi.
afford	qurbi yetmoq	Biz taksiga pul to'lashga qurbi yetmaydi.
aged	yoshdagi	Kurs o'n yoshdagi bolalar uchun.
agent	agent	Sayohat agenti chiptalarimizni o'zgartirdi.
agreement	kelishuv	Ular bugun kelishuvga erishdi.
ahead	oldinda	Oldindagi yo'l ochiq.
aim	maqsad qilmoq	Biz tez tugatishni maqsad qilamiz.
alarm	budilnik	Budilnik oltida jiringladi.
album	albom	Bu albomda o'nta qo'shiq bor.
alcohol	spirtli ichimlik	Mehmonxona spirtli ichimlik bermaydi.
alcoholic	spirtli	Bu ichimlik spirtli emas.
amazed	hayratlangan	U natijadan hayratlandi.
ambition	intilish	Uning intilishi uchuvchi bo'lish.
ambitious	katta maqsadli	Uning katta maqsadli rejasi bor.
analyse	tahlil qilmoq	Natijalarni tahlil qilishimiz kerak.
analysis	tahlil	Uning tahlili aniq va puxta edi.
announce	e'lon qilmoq	Ular g'olibni ertaga e'lon qiladi.
announcement	e'lon	E'lon hammani hayratda qoldirdi.
annoy	bezovta qilmoq	Baland musiqa qo'shnilarni bezovta qilishi mumkin.
annoyed	bezovta bo'lgan	Kechikishdan keyin u bezovta bo'lib ko'rindi.
annoying	zerikarli	O'sha tovush juda zerikarli.
apart	uzoqlikda	Uylar ikki metr uzoqlikda.
apologize	uzr so'ramoq	Kech qolganim uchun uzr so'rayman.
application	ariza	Iltimos, arizani onlayn to'ldiring.
appointment	uchrashuv	Ertaga tish shifokori bilan uchrashuvim bor.
appreciate	qadrlamoq	Yordamingizni qadrlayman.
approximately	taxminan	Yurish taxminan yigirma daqiqa oladi.
arrest	hibsga olmoq	Politsiya haydovchini hibsga oldi.
arrival	kelish	Kelishimiz kutilgandan kechroq bo'ldi.
assignment	topshiriq	Topshiriq juma kuni topshirilishi kerak.
assist	yordam bermoq	Hamshiralar shifokorga yordam beradi.
atmosphere	muhit	Kafeda tinch muhit bor.
attach	biriktirmoq	Faylni emailingizga biriktiring.
attitude	munosabat	Uchrashuvdan keyin uning munosabati o'zgardi.
attract	jalb qilmoq	Yorqin gullar arilarni jalb qiladi.
attraction	diqqatga sazovor joy	Qal'a mashhur diqqatga sazovor joy.
authority	hokimiyat	Mahalliy hokimiyat yo'lni tuzatdi.
aware	xabardor	U xavfdan xabardor.
