source_headword	IS	example_IS
abolish	afnema	Lögin munu afnema gamla gjaldið.
abortion	fóstureyðing	Fóstureyðing er enn viðkvæmt læknisfræðilegt mál.
absence	fjarvera	Fjarvera hennar tafði endanlega ákvörðun.
absent	fjarverandi	Tveir meðlimir voru fjarverandi úr kennslustund.
absurd	fáránlegur	Fullyrðingin hljómaði fáránlega fyrir öllum.
abundance	gnægð	Dalurinn hefur gnægð af vatni.
abuse	misnotkun	Skýrslan lýsti misnotkun á vinnustað.
academy	akademía	Akademían þjálfar unga tónlistarmenn.
accelerate	flýta	Ný fjármögnun mun flýta fyrir rannsókninni.
acceptance	samþykki	Samþykki hans á gagnrýni hreif mig.
accessible	aðgengilegur	Safnið er aðgengilegt fyrir hjólastólanotendur.
accomplishment	afrek	Að klára bókina var raunverulegt afrek.
accordance	samræmi	Verkið var unnið í samræmi við stefnuna.
accordingly	í samræmi við það	Sönnunargögnin breyttust og við brugðumst við í samræmi við það.
accountability	ábyrgð	Stefnan eykur ábyrgð stjórnenda.
accountable	ábyrgur	Stjórnendur eru ábyrgir fyrir öryggi.
accumulate	safnast upp	Ryk getur safnast upp bak við skjáinn.
accumulation	uppsöfnun	Uppsöfnun gagnanna tók marga mánuði.
accusation	ásökun	Ásökunin hneykslaði nefndina.
accused	sakborningur	Sakborningurinn mætti fyrir dóm.
acquisition	yfirtaka	Yfirtakan stækkaði fyrirtækið fljótt.
acre	ekra	Býlið þekur eina ekru.
activation	virkjun	Virkjun kortsins tekur nokkrar mínútur.
activist	aðgerðasinni	Aðgerðasinninn talaði á fjöldafundinum.
acute	bráður	Hún fann fyrir bráðum sársauka eftir hlaupin.
adaptation	aðlögun	Aðlögunin breytti endi skáldsögunnar.
adhere	fylgja	Starfsfólk verður að fylgja öryggisreglum.
adjacent	samliggjandi	Hótelið er samliggjandi lestarstöðinni.
adjustment	stilling	Lítil stilling lagaði vandamálið.
administer	gefa	Hjúkrunarfræðingar gefa bóluefnið varlega.
administrative	stjórnunarlegur	Stjórnunarstarfsfólk sér um eyðublöðin.
administrator	kerfisstjóri	Kerfisstjórinn endurstillti lykilorðið mitt.
admission	aðgangur	Aðgangur að safninu er ókeypis.
adolescent	unglingur	Unglingurinn þurfti auka stuðning.
adoption	ættleiðing	Ættleiðingin veitti barninu stöðugt heimili.
adverse	neikvæður	Lyfið olli neikvæðum áhrifum.
advocate	talsmaður	Talsmaðurinn varði réttindi leigjenda.
aesthetic	fagurfræðilegur	Herbergið hefur rólegan fagurfræðilegan stíl.
affection	væntumþykja	Hún sýndi fjölskyldu sinni væntumþykju.
aftermath	eftirköst	Eftirköst stormsins voru erfið.
aggression	árásargirni	Kennarinn tók eftir árásargirni í frímínútum.
agricultural	landbúnaðar-	Landbúnaðarútflutningur jókst á þessu ári.
aide	aðstoðarmaður	Aðstoðarmaðurinn skipulagði dagskrá ráðherrans.
albeit	þótt	Áætlunin virkaði, þótt hægt færi.
alert	láta vita	Vinsamlegast látið starfsfólk vita strax.
align	samræma	Örvarnar samræmast veginum.
alignment	stilling	Hjólastilling bætti aksturseiginleika bílsins.
alike	eins	Tvíburarnir klæða sig eins um helgar.
allegation	ásökun	Ásökunin birtist í dagblaðinu.
allege	halda fram	Þeir halda því fram að fjármunir hafi tapast.
allegedly	að sögn	Ökumaðurinn hundsaði aðviðvörunina að sögn.
alliance	bandalag	Flokkarnir mynduðu tímabundið bandalag.
allocate	úthluta	Borgin mun úthluta peningum til skóla.
allocation	úthlutun	Úthlutun sæta var ósanngjörn.
allowance	vasapeningur	Vasapeningur hennar stendur straum af hádegismat og samgöngum.
ally	bandamaður	Kanada varð náinn bandamaður.
aluminium	ál	Ramminn er úr áli.
amateur	áhugamaður	Áhugaljósmyndari tók myndina.
ambassador	sendiherra	Sendiherrann hitti unga nemendur.
amend	breyta	Þingið kaus að breyta lögunum.
amendment	lagabreyting	Lagabreytingin breytti einni málsgrein.
amid	innan um	Ræðan kom innan um vaxandi spennu.
analogy	samlíking	Kennarinn notaði einfalda samlíkingu.
anchor	akkeri	Báturinn kastaði akkeri nálægt eyjunni.
angel	engill	Barnið klæddist englabúningi.
anonymous	nafnlaus	Kvörtunin var nafnlaus.
apparatus	tæki	Rannsóknarstofutækið þarfnast hreinsunar.
appealing	aðlaðandi	Tilboðið lítur aðlaðandi út fyrir nemendur.
appetite	matarlyst	Hreyfing jók matarlyst hans.
applaud	klappa	Áheyrendur byrjuðu að klappa hátt.
applicable	gildur	Afslátturinn gildir í dag.
appoint	skipa	Stjórnin mun skipa forstjóra.
appreciation	þakklæti	Hún lýsti yfir þakklæti fyrir hjálpina.
arbitrary	geðþótta-	Fresturinn virtist stjórnast af geðþótta fyrir starfsfólki.
architectural	byggingarlistarlega	Borgin verndar byggingarlistarlega arfleifð sína.
archive	skjalasafn	Skjalasafnið geymir gamlar ljósmyndir.
arena	vettvangur	Umræðan færðist út á opinberan vettvang.
arguably	sennilega	Þetta er sennilega besta skáldsaga hans.
arm	vopna	Verðirnir munu vopna lestina.
array	fjöldi	Búðin býður upp á mikinn fjölda verkfæra.
articulate	setja fram skýrt	Hún getur sett fram flóknar hugmyndir skýrt.
ash	aska	Aska þakti bílinn eftir brunann.
aspiration	þrá	Þrá hennar er að verða skurðlæknir.
aspire	stefna að	Margir nemendur stefna að því að læra erlendis.
assassination	morð	Morðið breytti stjórnmálum landsins.
assault	líkamsárás	Líkamsárásin gerðist nálægt stöðinni.
assemble	setja saman	Verkamennirnir setja húsgögnin saman í höndunum.
assembly	samkoma	Samkoma skólans byrjar klukkan níu.
assert	halda fram	Hann reyndi að halda fram valdi sínu.
assertion	fullyrðing	Fullyrðing hennar kom nefndinni á óvart.
assurance	trygging	Framkvæmdastjórinn gaf tryggingu fyrir stuðningi.
asylum	hæli	Fjölskyldan óskaði eftir hæli á landamærunum.
atrocity	grimmdarverk	Kvikmyndin lýsti grimmdarverki á stríðstímum.
attain	ná	Fáir hlauparar ná þeim hraða.
attendance	mæting	Mæting batnaði eftir tilkynninguna.
attorney	lögfræðingur	Lögfræðingurinn yfirheyrði vitnið.
attribute	rekja til	Vísindamenn rekja aukninguna til mengunar.
audit	endurskoðun	Endurskoðunin leiddi í ljós nokkrar villur.
authentic	ekta	Veitingastaðurinn framreiðir ekta svæðisbundinn mat.
authorize	heimila	Aðeins stjórnendur geta heimilað endurgreiðslur.
auto	bíll	Bílaiðnaðurinn breyttist hratt.
autonomy	sjálfstjórn	Svæðið vill meiri sjálfstjórn.
availability	framboð	Framboð sæta er takmarkað.
await	bíða	Nokkur skilaboð bíða svars þíns.
backdrop	bakgrunnur	Fjöllin mynduðu stórbrotinn bakgrunn.
backing	stuðningur	Tillagan fékk stuðning kjósenda.
backup	öryggisafrit	Kerfið býr til öryggisafrit daglega.
bail	trygging	Dómarinn ákvað tryggingu á hádegi.
ballot	kjörseðill	Hver kjósandi fékk kjörseðil.
banner	borði	Borðinn hékk fyrir ofan innganginn.
bare	ber	Herbergið var með bera veggi.
