source_headword	NL	example_NL
crawl	kruipen	De baby begon over het tapijt te kruipen.
creator	de maker	De maker bedankte iedereen voor hun steun.
credibility	de geloofwaardigheid	De getuige verloor geloofwaardigheid tijdens de ondervraging.
credible	geloofwaardig	Het rapport bood geloofwaardig bewijs.
creep	kruipen	Mist begon door de vallei te sluipen.
critique	de kritiek	De professor gaf een gedetailleerde kritiek.
crown	de kroon	De koningin droeg een zilveren kroon.
crude	grof	De tekening was grof maar duidelijk.
crush	verpletteren	Zware stenen kunnen de buis verpletteren.
crystal	het kristal	Het kristal weerkaatste het ochtendlicht.
cult	de sekte	De sekte isoleerde haar leden.
cultivate	verbouwen	Boeren verbouwen rijst in deze regio.
curiosity	de nieuwsgierigheid	Nieuwsgierigheid leidde haar naar de wetenschap.
custody	de voogdij	Het kind bleef onder de voogdij van haar vader.
cutting	het knipsel	De krant publiceerde een knipsel over hem.
cynical	cynisch	Zijn cynische opmerking maakte het team overstuur.
dam	de dam	De dam houdt het rivierwater tegen.
damaging	schadelijk	Het schadelijke artikel deed de campagne pijn.
dawn	de dageraad	We verlieten het dorp bij dageraad.
debris	het puin	Stormpuin blokkeerde de weg.
debut	het debuut	Haar debuut trok nationale aandacht.
decision-making	de besluitvorming	Goede besluitvorming vereist duidelijke informatie.
decisive	daadkrachtig	Haar daadkrachtige optreden voorkwam verdere schade.
declaration	de verklaring	De minister las een formele verklaring voor.
dedicated	toegewijd	De toegewijde verpleegster werkte de hele nacht.
dedication	de toewijding	Zijn toewijding inspireerde jongere spelers.
deed	de daad	De moedige daad redde twee levens.
deem	achten	De rechtbank kan het contract ongeldig achten.
default	de standaard	Gebruik voorlopig de standaardinstelling.
defect	het defect	Inspecteurs vonden een ernstig defect.
defensive	verdedigend	Zijn verdedigende toon verraste iedereen.
deficiency	het tekort	IJzertekort kan de gezondheid beïnvloeden.
deficit	het tekort	Het begrotingstekort baarde functionarissen zorgen.
defy	trotseren	Protestanten kozen ervoor om het verbod te trotseren.
delegate	de afgevaardigde	Elke afgevaardigde kreeg een stempas.
delegation	de delegatie	De delegatie arriveerde voor de middag.
delicate	breekbaar	Het breekbare glas brak gemakkelijk.
demon	de demon	Het verhaal beschrijft een oude demon.
denial	de ontkenning	Zijn ontkenning maakte de slachtoffers boos.
denounce	veroordelen	Leiders veroordelen geweld op scholen.
dense	dicht	Het dichte bos hield het zonlicht tegen.
density	de dichtheid	De bevolkingsdichtheid is hoog in het centrum.
dependence	de afhankelijkheid	De afhankelijkheid van het land van olie nam af.
depict	afbeelden	De muurschildering beeldt het dorpsleven af.
deploy	inzetten	Het leger zal extra personeel inzetten.
deployment	de inzet	De inzet van troepen begon op maandag.
deprive	ontnemen	Slaapgebrek kan studenten hun focus ontnemen.
deputy	de plaatsvervanger	De plaatsvervanger ondertekende de overeenkomst.
descend	afdalen	Het pad begon steil af te dalen.
descent	de daling	Het vliegtuig begon aan zijn daling.
designate	aanwijzen	De stad zal een nieuw park aanwijzen.
desirable	wenselijk	Goede verlichting is wenselijk in klaslokalen.
desktop	het bureaublad	Het bestand staat op mijn bureaublad.
destructive	verwoestend	De storm had een verwoestende kracht.
detain	vasthouden	De politie kan verdachten een nacht vasthouden.
detection	de detectie	Vroege detectie verbetert de behandeling van kanker.
detention	de hechtenis	De studenten protesteerden tegen de detentieomstandigheden.
deteriorate	verslechteren	Zijn gezondheid begon te verslechteren.
devastate	verwoesten	De aardbeving kan kuststeden verwoesten.
devil	de duivel	Het kind tekende een lachende duivel.
devise	bedenken	Ingenieurs bedenken veiligere transportsystemen.
diagnose	diagnosticeren	Artsen diagnosticeren de ziekte met bloedtesten.
diagnosis	de diagnose	De diagnose verklaarde haar symptomen.
dictate	dicteren	Het contract zal de betalingsvoorwaarden dicteren.
dictator	de dictator	De dictator beheerste de media.
differentiate	onderscheiden	Kun je feit van mening onderscheiden?
dignity	de waardigheid	Iedereen verdient waardigheid op het werk.
dilemma	het dilemma	De manager stond voor een ernstig dilemma.
dimension	de dimensie	Het probleem heeft een politieke dimensie.
diminish	verminderen	De pijn zou langzaam moeten verminderen.
dip	dalen	De temperatuur kan dalen tot onder het vriespunt.
diplomat	de diplomaat	De diplomaat ontmoette buitenlandse leiders.
diplomatic	diplomatiek	De diplomatieke gesprekken gingen 's nachts door.
directory	de gids	Zoek zijn nummer op in de gids.
disastrous	rampzalig	De rampzalige overstroming verwoestte verschillende bruggen.
discard	weggooien	Gooi geen nuttige gegevens weg.
discharge	ontslaan	Het ziekenhuis zal hem morgen ontslaan.
disclose	onthullen	Ambtenaren weigerden de cijfers te onthullen.
disclosure	de onthulling	De onthulling schokte het bestuur.
discourse	het discours	Het publieke discours werd beleefder.
discretion	de discretie	Gebruik je discretie bij gevoelige zaken.
discrimination	de discriminatie	De wet verbiedt discriminatie bij het aannemen van personeel.
dismissal	het ontslag	Zijn ontslag veroorzaakte publieke woede.
displace	onthemen	De oorlog kan duizenden mensen onthemen.
disposal	de verwijdering	Afvalverwijdering blijft een lokaal probleem.
dispose	weggooien	Het bedrijf moet chemicaliën veilig weggooien.
dispute	het geschil	Het geschil duurde maanden.
disrupt	verstoren	Lawaai kan de concentratie verstoren.
disruption	de verstoring	De staking veroorzaakte grote verstoring.
dissolve	oplossen	Suiker zal oplossen in hete thee.
distinction	het onderscheid	Het onderscheid tussen hen is belangrijk.
distinctive	kenmerkend	Ze heeft een kenmerkende stem.
distort	vervormen	De spiegel kan je spiegelbeeld vervormen.
distress	het leed	De oproep veroorzaakte ernstig leed.
disturbing	verontrustend	De documentaire toonde verontrustende scènes.
divert	omleiden	De politie moest het verkeer omleiden.
divine	goddelijk	De kapel heeft een goddelijke sfeer.
doctrine	de doctrine	De partij verwierp de oude doctrine.
documentation	de documentatie	Voltooi de documentatie voor de lancering.
domain	het domein	De website gebruikt een beveiligd domein.
dominance	de dominantie	De dominantie van het team duurde een decennium.
donor	de donor	De donor heeft vandaag bloed gegeven.
dose	de dosis	Neem één dosis na het ontbijt.
drain	afvloeien	Water zal naar de rivier afvloeien.
drift	drijven	Rook begon over de weg te drijven.
driving	bepalend	Regen was de drijvende factor achter vertragingen.
drown	verdrinken	Zwem nooit waar stromingen je kunnen verdrinken.
dual	dubbel	Het apparaat heeft een dubbele functie.
dub	bestempelen	Critici noemen de stad een culturele hoofdstad.
dumb	dom	Dat was een domme fout.
duo	het duo	Het komische duo toerde door Europa.
eager	enthousiast	Studenten waren enthousiast om te beginnen.
earnings	de inkomsten	De inkomsten van het bedrijf stegen sterk.
ease	verlichten	De nieuwe weg zal het verkeer verlichten.
echo	weerklinken	Haar stem weerklonk in de hal.
ecological	ecologisch	De ecologische impact blijft onzeker.
educator	de docent	De docent ontwierp een nieuwe cursus.
effectiveness	de effectiviteit	De studie mat de effectiviteit van het vaccin.
efficiency	de efficiëntie	Betere software verbeterde de efficiëntie.
ego	het ego	Zijn ego veroorzaakte problemen op het werk.
elaborate	ingewikkeld	Het ingewikkelde kostuum kostte weken.
