source_headword	HI	example_HI
fridge	फ्रिज	दूध फ्रिज में है.
frog	मेंढक	मेंढक तालाब में कूद गया.
furniture	फर्नीचर	यह फर्नीचर पुराना लेकिन मजबूत है.
further	आगे का; अतिरिक्त	हमें अतिरिक्त जानकारी चाहिए.
gallery	गैलरी	गैलरी आज खुली है.
gap	अंतर; दरार	दीवार में एक दरार है.
gas	पेट्रोल	कार को पेट्रोल चाहिए.
gate	फाटक	कृपया फाटक बंद करो.
general	सामान्य	यह एक सामान्य नियम है.
gift	उपहार	उसने एक उपहार खरीदा.
goal	लक्ष्य	हमारा लक्ष्य सरल है.
god	भगवान	कई लोग भगवान से प्रार्थना करते हैं.
gold	सोना; सुनहरा	अंगूठी सोने की है.
golf	गोल्फ	वह आज गोल्फ खेलता है.
government	सरकार	सरकार ने कानून बदला.
grass	घास	घास गीली है.
greet	अभिवादन करना	हर अतिथि का विनम्रता से अभिवादन करो.
ground	ज़मीन	ज़मीन पर बैठो.
guest	अतिथि	हमारा अतिथि जल्दी आ गया.
guide	मार्गदर्शक; गाइड	गाइड ने हमें संग्रहालय दिखाया.
gun	बंदूक	पुलिस को एक बंदूक मिली.
guy	लड़का; आदमी	वह लड़का मेरा भाई है.
habit	आदत	रोज़ पढ़ना अच्छी आदत है.
hall	हॉल; गलियारा	हॉल में प्रतीक्षा करो.
happily	खुशी से	वे खुशी से साथ रहे.
headache	सिरदर्द	मुझे सिरदर्द है.
heart	दिल	उसका दिल तेज़ धड़कता है.
heat	गरम करना; गर्मी	सूप को धीरे-धीरे गरम करो.
heavy	भारी	यह बैग भारी है.
height	ऊँचाई	मेज़ की ऊँचाई मापो.
helpful	मददगार; उपयोगी	तुम्हारी सलाह उपयोगी थी.
hero	नायक	वह मेरा नायक है.
hers	उसका	नीला कोट उसका है.
herself	खुद	उसने रात का खाना खुद बनाया.
hide	छिपाना	चाबी को डिब्बे के नीचे छिपाओ.
hill	पहाड़ी	हम पहाड़ी पर चढ़े.
himself	खुद	उसने इसे खुद ठीक किया.
hit	मारना	दरवाज़े को मत मारो.
hockey	हॉकी	हमने कल रात हॉकी देखी.
hold	पकड़ना	मेरा हाथ पकड़ो.
hole	छेद	मेरे मोज़े में छेद है.
huge	बहुत बड़ा	कमरा बहुत बड़ा है.
human	मनुष्य	हर मनुष्य को पानी चाहिए.
hurt	दर्द होना; चोट लगना	मेरे घुटने में दर्द है.
ideal	आदर्श	यह कमरा पढ़ाई के लिए आदर्श है.
identify	पहचानना	क्या तुम इस पक्षी को पहचान सकते हो?
ill	बीमार	वह आज बीमार महसूस कर रही है.
illness	बीमारी	बीमारी एक सप्ताह चली.
image	छवि; चित्र	चित्र साफ है.
immediately	तुरंत	तुरंत यहाँ आओ.
impossible	असंभव	यह पहेली असंभव लगती है.
included	शामिल	नाश्ता शामिल है.
including	सहित	दस लोग आए, जिनमें मैं भी शामिल था.
increase	बढ़ना	गर्मियों में कीमतें बढ़ती हैं.
incredible	अविश्वसनीय	दृश्य अविश्वसनीय था.
independent	स्वतंत्र	मेरी बहन स्वतंत्र है.
individual	व्यक्ति; अलग	हर व्यक्ति के पास एक संख्या है.
industry	उद्योग	स्थानीय उद्योग बढ़ रहा है.
informal	अनौपचारिक	यह ईमेल अनौपचारिक है.
injury	चोट	उसकी चोट गंभीर नहीं है.
insect	कीट	एक कीट कप पर आ बैठा.
inside	अंदर	घर के अंदर प्रतीक्षा करो.
instead	के बजाय	इसके बजाय पानी पियो.
instruction	निर्देश	हर निर्देश ध्यान से पढ़ो.
instructor	प्रशिक्षक	प्रशिक्षक ने अभ्यास समझाया.
instrument	वाद्ययंत्र; उपकरण	वह एक वाद्ययंत्र बजाती है.
intelligent	बुद्धिमान	वह एक बुद्धिमान छात्र है.
international	अंतरराष्ट्रीय	यह एक अंतरराष्ट्रीय हवाई अड्डा है.
introduction	परिचय	परिचय छोटा था.
invent	आविष्कार करना	बच्चे नए खेलों का आविष्कार कर सकते हैं.
invention	आविष्कार	आविष्कार ने समय बचाया.
invitation	निमंत्रण	मुझे निमंत्रण मिला.
invite	आमंत्रित करना	अपने दोस्त को भी आमंत्रित करो.
involve	शामिल करना	इस काम में यात्रा शामिल होगी.
item	वस्तु	एक वस्तु चुनो.
itself	खुद	मशीन खुद बंद हो जाती है.
jam	जैम	रोटी पर जैम लगाओ.
jazz	जैज़	आज रात जैज़ अच्छा लग रहा है.
jewellery	आभूषण	वह आभूषण एक डिब्बे में रखती है.
joke	मज़ाक	मुझे एक मज़ाक सुनाओ.
journalist	पत्रकार	पत्रकार ने सवाल पूछे.
jump	कूदना	रेखा के ऊपर से कूदो.
kid	बच्चा	बच्चा हँस रहा है.
kill	मार डालना	कीट को मत मारो.
king	राजा	राजा महल में रहता था.
knee	घुटना	मेरे घुटने में दर्द है.
knife	चाकू	एक तेज़ चाकू इस्तेमाल करो.
knock	खटखटाना	अंदर आने से पहले खटखटाओ.
knowledge	ज्ञान	अभ्यास से ज्ञान बढ़ता है.
lab	प्रयोगशाला	प्रयोगशाला बंद है.
lady	महिला	महिला ने हमें मुस्कुराकर देखा.
lake	झील	झील शांत है.
lamp	दीपक	दीपक जलाओ.
laptop	लैपटॉप	मेरा लैपटॉप नया है.
last1 (taking time)	चलना; टिकना	फिल्म दो घंटे चलती है.
laughter	हँसी	हमने बाहर हँसी सुनी.
law	कानून	कानून कल बदल गया.
lawyer	वकील	वकील ने मुझे फोन किया.
lazy	आलसी	आलसी मत बनो.
lead1	नेतृत्व करना	अच्छे नेता उदाहरण से नेतृत्व करते हैं.
leader	नेता	वह टीम की नेता है.
learning	सीखना	सीखने में समय लगता है.
least	सबसे कम	सबसे सस्ता वाला चुनो.
lecture	व्याख्यान	व्याख्यान दस बजे शुरू होता है.
lemon	नींबू	चाय में नींबू डालो.
lend	उधार देना	क्या तुम मुझे पाँच डॉलर उधार दे सकते हो?
less	कम	कम चीनी खाओ.
level	स्तर	यह स्तर आसान है.
lifestyle	जीवनशैली	उसकी जीवनशैली स्वस्थ है.
lift	उठाना	डिब्बे को सावधानी से उठाओ.
light	जलाना	मोमबत्ती सावधानी से जलाओ.
light (not heavy)	हल्का	यह बैग हल्का है.
likely	संभावित	कल बारिश संभव है.
link	लिंक	मुझे लिंक भेजो.
listener	श्रोता	अच्छे श्रोता बनो.
lock	ताला लगाना	दरवाज़े पर ताला लगाओ.
lorry	ट्रक	ट्रक ने डिब्बे ढोए.
lost	खोया हुआ	हम रास्ता भूल गए हैं.
loud	तेज़ आवाज़ वाला	संगीत तेज़ है.
loudly	ज़ोर से	कृपया ज़ोर से मत बोलो.
lovely	प्यारा	क्या प्यारा बगीचा है!
low	नीचा	कुर्सी नीची है.
luck	किस्मत	तुम्हारी परीक्षा के लिए शुभकामनाएँ.
lucky	भाग्यशाली	तुम आज भाग्यशाली हो.
mail	डाक	मुझे आज सुबह डाक मिली.
major	बड़ा; महत्वपूर्ण	यह एक बड़ी समस्या है.
male	नर; पुरुष	नर पक्षी चमकीला है.
manage	संभालना; प्रबंध करना	क्या तुम यह काम संभाल सकते हो?
manager	प्रबंधक	प्रबंधक व्यस्त है.
manner	तरीका; व्यवहार	विनम्र तरीके से बोलो.
mark	चिह्नित करना	अपना उत्तर साफ चिह्नित करो.
marry	शादी करना	वे जून में शादी करेंगे.
material	सामग्री	यह सामग्री नरम लगती है.
mathematics	गणित	गणित मेरा पसंदीदा विषय है.
maths	गणित	गणित मेरे लिए कठिन है.
matter	महत्व रखना	इससे फर्क नहीं पड़ता.
may modal	सकना; अनुमति होना	तुम अब जा सकते हो.
media	मीडिया	मीडिया ने कहानी दिखाई.
medical	चिकित्सीय	उसे चिकित्सीय मदद चाहिए.
medicine	दवा	दोपहर के भोजन के बाद यह दवा लो.
memory	याददाश्त	मेरी याददाश्त अच्छी है.
mention	उल्लेख करना	मेरे नाम का उल्लेख मत करो.
metal	धातु	फाटक धातु का है.
method	तरीका	यह तरीका अच्छी तरह काम करता है.
middle	बीच	बीच में खड़े हो.
might modal	शायद; सकता है	बाद में बारिश हो सकती है.
mind	मन; विचार बदलना	मैंने अपना मन बदल लिया.
mine (belongs to me)	मेरा; मेरी	यह किताब मेरी है.
mirror	आईना	आईने में देखो.
missing	लापता; गायब	मेरी चाबियाँ गायब हैं.
mobile	मोबाइल फोन	मेरा मोबाइल फोन मेज़ पर है.
monkey	बंदर	बंदर पेड़ पर चढ़ गया.
moon	चाँद	चाँद चमकदार है.
mostly	अधिकतर	कक्षा अधिकतर शांत है.
motorcycle	मोटरसाइकिल	वह मोटरसाइकिल चलाता है.
movement	हलचल	मैंने पेड़ों में हलचल देखी.
musical	संगीतमय; संगीत नाटक	यह एक संगीतमय फिल्म है.
musician	संगीतकार	संगीतकार ने गिटार बजाया.
myself	खुद	मैंने यह खुद बनाया.
narrow	संकरा	सड़क संकरी है.
national	राष्ट्रीय	यह राष्ट्रीय अवकाश है.
nature	प्रकृति	मुझे प्रकृति से प्रेम है.
nearly	लगभग	हम लगभग पहुँच गए हैं.
necessary	आवश्यक	क्या यह आवश्यक है?
neck	गरदन	मेरी गरदन में दर्द है.
neither	दोनों में से कोई नहीं	दोनों में से कोई उत्तर सही नहीं है.
nervous	घबराया हुआ	वह घबराई हुई महसूस करती है.
network	नेटवर्क	नेटवर्क बंद है.
noise	शोर	मैंने तेज़ शोर सुना.
noisy	शोर वाला	सड़क शोर वाली है.
none	कोई नहीं	उनमें से कोई नहीं आया.
normal	सामान्य	यह सामान्य है.
normally	आम तौर पर	मैं आम तौर पर जल्दी उठता हूँ.
notice	ध्यान देना	क्या तुमने संकेत पर ध्यान दिया?
novel	उपन्यास	उसने एक उपन्यास लिखा.
nowhere	कहीं नहीं	बैठने की जगह कहीं नहीं है.
nut	मेवा; नट	मेवा कठोर है.
ocean	महासागर	महासागर गहरा है.
offer	प्रस्ताव	मैंने प्रस्ताव स्वीकार किया.
officer	अधिकारी	अधिकारी ने मेरा टिकट देखा.
oil	तेल	कड़ाही में तेल डालो.
onto	पर	इसे शेल्फ पर रखो.
opportunity	अवसर	यह एक अच्छा अवसर है.
option	विकल्प	सबसे अच्छा विकल्प चुनो.
ordinary	साधारण	वह एक साधारण दिन था.
organization	संगठन	संगठन छात्रों की मदद करता है.
organize	व्यवस्थित करना	कृपया फाइलें व्यवस्थित करो.
original	मूल	मूल रसीद संभाल कर रखो.
ourselves	हम खुद	हमने रात का खाना खुद पकाया.
oven	ओवन	ओवन गरम है.
owner	मालिक	मालिक ने दुकान खोली.
pack	पैक करना	अपना बैग अभी पैक करो.
pain	दर्द	मुझे पीठ में दर्द महसूस होता है.
painter	चित्रकार; रंग करने वाला	रंग करने वाले ने दीवार पूरी की.
palace	महल	महल पुराना है.
pants	पतलून	यह पतलून बहुत लंबी है.
parking	पार्किंग	यहाँ पार्किंग कठिन है.
particular	खास	मुझे एक खास किताब चाहिए.
pass	देना	मुझे नमक दो.
passenger	यात्री	हर यात्री को टिकट चाहिए.
