source_headword	SL	example_SL
institute	inštitut	Inštitut je odprl nov raziskovalni program.
institution	ustanova	Ustanova je spremenila pravila za sprejem.
insurance	zavarovanje	Njeno zavarovanje je krilo bolnišnične stroške.
intended	predviden	Sporočilo je doseglo ciljno publiko.
intense	intenziven	Razprava je zelo hitro postala intenzivna.
internal	notranji	Podjetje je začelo notranjo revizijo.
interpret	razlagati	Prosimo, da natančno razložite rezultate.
interrupt	prekiniti	Ne prekinjajte govorca zdaj.
investigation	preiskava	Preiskava je odkrila resne napake.
investment	naložba	Naložba je ustvarila veliko lokalnih delovnih mest.
joy	veselje	Njihov uspeh je prinesel veliko veselje.
judgement	presoja	Njegova presoja se je z izkušnjami izboljšala.
junior	mlajši	Ekipi se je pridružila kot mlajša analitičarka.
justice	pravica	Družina je po sojenju zahtevala pravico.
justify	utemeljiti	To odločitev morate jasno utemeljiti.
labour	delovna sila	Projekt zahteva usposobljeno delovno silo.
landscape	pokrajina	Pokrajina se je po nevihti spremenila.
largely	v veliki meri	Načrt je bil v veliki meri uspešen.
launch	lansirati	Jutri bodo lansirali izdelek.
leadership	vodstvo	Močno vodstvo je pomagalo ekipi pri okrevanju.
league	liga	Naš klub se je pridružil regionalni ligi.
lean	nasloniti se	Ne naslanjajte se na mokro steno.
licence	dovoljenje	Dovoljenje poteče naslednji mesec.
limited	omejen	Danes imamo omejen čas.
lively	živahen	Sestanek je po kosilu postal živahen.
load	tovor	Tovornjak je prevažal težak tovor.
loan	posojilo	Banka je odobrila posojilo.
logical	logičen	Njen argument je bil jasen in logičen.
long-term	dolgoročen	To je dolgoročna rešitev.
loose	ohlapen	Ročaj je razrahljan.
lord	gospod	Gospod je imel v lasti več vasi.
lower	znižati	Med zimo znižajo cene.
lung	pljuča	Kajenje lahko poškoduje pljuča.
maintain	vzdrževati	Vzdržujemo redne stike.
majority	večina	Večina je podprla predlog.
mass	množica	Množica oblakov je prekrila nebo.
massive	ogromen	Potres je povzročil ogromno škodo.
master	mojster	Postala je mojstrica pogajanj.
matching	ujemajoč	Nosil je ujemajoče se čevlje in pas.
maximum	maksimalen	Soba je dosegla maksimalno zmogljivost.
means	sredstvo	E-pošta je naše glavno sredstvo stika.
measurement	meritev	Meritev je bila nekoliko napačna.
melt	stopiti se	Sneg se bo do poldneva stopil.
military	vojaški	Vojaško oporišče se je lani zaprlo.
mineral	mineral	Železo je pomemben mineral.
minimum	minimalen	Minimalna starost je osemnajst let.
minister	minister	Minister je odgovarjal na težka vprašanja.
minor	manjši	Nesreča je povzročila manjšo škodo.
minority	manjšina	Manjšina je nasprotovala novemu pravilu.
mission	misija	Njihova misija se je varno končala.
mixed	mešan	Novica je naletela na mešane odzive.
modify	spremeniti	Dizajn lahko spremenimo pozneje.
monitor	spremljati	Medicinska sestra bo spremljala njegovo stanje.
moral	moralen	Zgodba ima moralen nauk.
motor	motor	Motor se je nepričakovano ustavil.
mount	namestiti	Kamere namestijo blizu vhoda.
multiple	večkraten	Do zamude je prišlo zaradi več dejavnikov.
multiply	pomnožiti	Število pomnožite z deset.
mysterious	skrivnosten	Zunaj se je pojavila skrivnostna luč.
neat	urejen	Njena miza je vedno urejena.
nerve	živec	Poškodba je poškodovala živec.
nevertheless	kljub temu	Naloga je bila težka, kljub temu pa smo končali.
nightmare	nočna mora	Potovanje je postalo nočna mora.
notion	prepričanje	Zavrnite prepričanje, da so spremembe nemogoče.
numerous	številni	Številne študije podpirajo to idejo.
obey	ubogati	Vozniki morajo ubogati znake.
objective	cilj	Naš cilj je zmanjšati količino odpadkov.
obligation	obveznost	Starši imajo obveznost zaščititi otroke.
observation	opažanje	Njegovo opažanje je spremenilo razpravo.
observe	opazovati	Znanstveniki vsako pomlad opazujejo ptice.
obtain	pridobiti	Pridobiti morate pisno dovoljenje.
occasionally	občasno	Občasno dela od doma.
offence	žalitev	Komentar je povzročil resno žalitev.
offend	užaliti	Nisem nameraval nikogar užaliti.
offensive	žaljiv	Plakat je vseboval žaljiv jezik.
opening	prosto delovno mesto	Prosto delovno mesto je privabilo veliko kandidatov.
operate	delovati	Stroj lahko deluje samodejno.
opponent	nasprotnik	Njen nasprotnik je kritiziral politiko.
oppose	nasprotovati	Veliko prebivalcev nasprotuje načrtu.
opposed	nasproten	Skupini sta imeli nasprotna stališča.
opposition	nasprotovanje	Predlog je naletel na močno nasprotovanje.
organ	organ	Srce je ključen organ.
origin	izvor	Izvor požara ni znan.
otherwise	sicer	Pojdite zdaj, sicer boste zamudili.
outcome	izid	Izid je presenetil vse.
outer	zunanji	Zunanji zid potrebuje popravilo.
outline	orisati	Prosim, orišite svoj glavni argument.
overall	splošen	Splošen rezultat je bil pozitiven.
owe	dolgovati	Dolgujem vam opravičilo.
pace	tempo	Hodite z enakomernim tempom.
panel	odbor	Odbor je razpravljal o podnebni politiki.
parliament	parlament	Parlament je potrdil nov zakon.
participant	udeleženec	Vsak udeleženec je podpisal obrazec.
partly	deloma	Za zamudo smo bili deloma krivi mi.
passage	odlomek	Pred odgovarjanjem preberite odlomek.
pension1	pokojnina	Njegova pokojnina ga podpira po upokojitvi.
permanent	trajen	Potrebujejo trajno rešitev.
permit	dovoliti	Pravila dovoljujejo kratke obiski.
perspective	perspektiva	Poskusite razumeti njeno perspektivo.
phase	faza	Projekt je prešel v zadnjo fazo.
phenomenon	pojav	Ta pojav se pojavlja v mnogih kulturah.
philosophy	filozofija	Njena filozofija ceni praktično ukrepanje.
pile	kup	Kup papirjev je prekril mizo.
pitch	igrišče	Ekipa je skrbno pripravila igrišče.
plain	jasen	Navodila so bila jasna in neposredna.
pointed	oster	Dal je ostro pripombo.
popularity	priljubljenost	Pevec je pridobil priljubljenost na spletu.
pose	predstavljati	Vprašanje lahko predstavlja problem.
possess	imeti	Malo študentov ima to veščino.
potential	potencial	Ideja ima pravi potencial.
praise	pohvala	Učitelj je izrekel iskreno pohvalo.
pregnant	noseča	Noseča je šest mesecev.
preparation	priprava	Dobra priprava zmanjšuje stres.
presence	prisotnost	Njegova prisotnost je spremenila razpoloženje.
preserve	ohraniti	Ohraniti moramo to zgodovinsko stavbo.
prime	glavni	Glavni vzrok je bil slabo načrtovanje.
principle	načelo	Odločitev je sledila jasnemu načelu.
priority	prioriteta	Varnost je naša prva prioriteta.
privacy	zasebnost	Stranke pričakujejo zasebnost na spletu.
procedure	postopek	Postopek traja trideset minut.
proof	dokaz	Preden ukrepamo, potrebujemo dokaz.
proposal	predlog	Predlog potrebuje več podrobnosti.
propose	predlagati	Predlagam drugačno rešitev.
prospect	obet	Obet neuspeha jih je skrbel.
protection	zaščita	Čelada nudi osnovno zaščito.
psychologist	psiholog	Psiholog je pojasnil rezultate testa.
psychology	psihologija	Na univerzi študira psihologijo.
publication	objava	Objava je pritegnila pozornost javnosti.
pupil	učenec	Vsak učenec je prejel nov učbenik.
purchase	kupovati	Vsak mesec kupujejo zaloge.
pure	čist	Voda je bila čista in hladna.
pursue	nadaljevati	Nadaljeval bo medicinsko kariero.
rank	čin	Ima visok čin.
rapid	hiter	Država je doživela hitro rast.
rapidly	hitro	Cene so letos hitro narasle.
raw	surov	Kuhar je pripravil surovo zelenjavo.
realistic	realističen	Postavite realističen rok.
reasonable	razumen	To se zdi razumna zahteva.
recall	spominjati se	Spomnim se njegovih natančnih besed.
recover	opomoči si	Po zdravljenju si bo opomogla.
reduction	zmanjšanje	Zmanjšanje je prihranilo denar.
regard	smatrati	Mnogi ljudje jo smatrajo za pošteno.
regional	regionalen	Regionalna pisarna se je danes zaprla.
register	registrirati se	Prosimo, da se pred konferenco registrirate.
regret	obžalovati	Obžalujem svojo prejšnjo odločitev.
regulation	predpis	Nov predpis vpliva na vse voznike.
relatively	relativno	Izpit je bil relativno lahek.
relevant	relevanten	Izberite le relevantne podrobnosti.
relief	olajšanje	Novica je prinesla veliko olajšanje.
rely	zanašati se	Otroci se zanašajo na podporo odraslih.
remark	pripomba	Njegova pripomba je končala razpravo.
representative	predstavnik	Predstavnik se je srečal z lokalnimi delavci.
reputation	ugled	Hotel ima dober ugled.
requirement	zahteva	Izkušnje so osnovna zahteva.
rescue	rešiti	Rešujejo ljudi pred poplavami.
reserve	rezervirati	Za goste rezerviramo sedeže.
resident	prebivalec	Vsak prebivalec je prejel obvestilo.
resist	upirati se	Poskusi se upreti pritisku.
resolve	rešiti	Spor so rešili mirno.
resort	letovišče	Otoško letovišče se je odprlo maja.
retain	obdržati	Podjetje želi obdržati osebje.
reveal	razkriti	Poročilo bo razkrilo resnico.
revolution	revolucija	Revolucija je spremenila državo.
reward	nagrada	Trdo delo si zasluži nagrado.
rhythm	ritem	Pesem ima enakomeren ritem.
rid	znebiti se	Znebite se tistih starih datotek.
root	korenina	Korenina problema je denar.
rub	drgniti	Površino drgnite s krpo.
rubber	guma	Gumijasto tesnilo preprečuje puščanje.
rural	podeželski	Mnoge podeželske šole potrebujejo podporo.
rush	hiteti	Ne hitite s to odločitvijo.
satellite	satelit	Satelit je poslal nove slike.
satisfied	zadovoljen	Stranka se je zdela zadovoljna.
satisfy	zadovoljiti	Odgovor ga ni zadovoljil.
saving	varčevanje	Varčevanje z energijo zmanjšuje mesečne stroške.
scale	obseg	Obseg škode je bil ogromen.
scheme	shema	Shema pomaga mladim delavcem.
scream	krik	Zunaj so slišali krik.
sector	sektor	Tehnološki sektor raste.
secure	zavarovati	Zaklenite vrata, da jih zavarujete.
seek	iskati	Iščejo nasvet pri strokovnjakih.
select	izbrati	Izberite najboljšo možnost.
selection	izbira	Trgovina ponuja široko izbiro.
self	jaz	Pokazala je svoj pravi jaz.
senior	višji	Višji zdravnik je pregledal pacienta.
sensitive	občutljiv	Ta tema je zelo občutljiva.
sequence	zaporedje	Sledite zaporedju korakov.
session	seja	Seja usposabljanja se začne opoldne.
settle	rešiti	Hitro sta rešila prepir.
severe	hud	Nevihta je povzročila hude poplave.
shade	senca	Sedite v senco.
shadow	senca	Senca je šla čez okno.
shallow	plitev	Jezero je tu plitvo.
shame	sram	Po laganju ga je bilo sram.
shelter	zatočišče	Šola je zagotovila nujno zatočišče.
shock	šok	Odločitev je bila šok.
shocked	šokiran	Zdela se je šokirana nad novico.
shooting	streljanje	Streljanje se je zgodilo blizu postaje.
shot	strel	Zmagovalni strel je vse presenetil.
significant	pomemben	Odkritje je bilo pomembno.
significantly	znatno	Stroški so se lani znatno povečali.
silence	tišina	Soba je obmirovala v tišini.
silk	svila	Obleka je bila narejena iz svile.
sincere	iskren	Prosim, sprejmite mojo iskreno zahvalo.
slave	suženj	Zakon je osvobodil vsakega sužnja.
slide	drseti	Otrok se je spustil po toboganu.
slight	rahel	Prišlo je do rahle zamude.
slip	spodrsniti	Pazite, da vam na mokrih tleh ne spodrsne.
slope	pobočje	Pot sledi strmemu pobočju.
solar	sončen	Hiša uporablja sončno energijo.
somewhat	nekoliko	Navodila so bila nekoliko zmedena.
soul	duša	Glasba ji je dvignila dušo.
specialist	specialist	Specialist je pregledal pacienta.
species	vrsta	Ta vrsta živi blizu rek.
spiritual	duhoven	Opisala je duhovno izkušnjo.
split	razdeliti	Račun sta si razdelila na pol.
sponsor	sponzorirati	Podjetje bo sponzoriralo dogodek.
