source_headword	SV	example_SV
crawl	krypa	Bebisen började krypa över mattan.
creator	en skapare	Skaparen tackade alla för deras stöd.
credibility	en trovärdighet	Vittnet förlorade i trovärdighet under förhöret.
credible	trovärdig	Rapporten erbjöd trovärdiga bevis.
creep	smyga	Dimma började smyga genom dalen.
critique	en kritik	Professorn gav en detaljerad kritik.
crown	en krona	Drottningen bar en silverkrona.
crude	grov	Teckningen var grov men tydlig.
crush	krossa	Tunga stenar kan krossa röret.
crystal	en kristall	Kristallen reflekterade morgonljuset.
cult	en sekt	Sekten isolerade sina medlemmar.
cultivate	odla	Bönder odlar ris i denna region.
curiosity	en nyfikenhet	Nyfikenhet ledde henne in på vetenskap.
custody	en vårdnad	Barnet stannade i sin pappas vårdnad.
cutting	ett urklipp	Tidningen publicerade ett urklipp om honom.
cynical	cynisk	Hans cyniska kommentar upprörde teamet.
dam	en damm	Dammen håller tillbaka flodvattnet.
damaging	skadlig	Den skadliga artikeln skadade kampanjen.
dawn	en gryning	Vi lämnade byn i gryningen.
debris	ett skräp	Stormbråte blockerade vägen.
debut	en debut	Hennes debut drog till sig nationell uppmärksamhet.
decision-making	ett beslutsfattande	Bra beslutsfattande kräver tydlig information.
decisive	beslutsam	Hennes beslutsamma agerande förhindrade ytterligare skada.
declaration	en deklaration	Ministern läste upp en formell deklaration.
dedicated	hängiven	Den hängivna sjuksköterskan arbetade över natten.
dedication	ett engagemang	Hans engagemang inspirerade yngre spelare.
deed	en handling	Den modiga handlingen räddade två liv.
deem	anse	Domstolen kan anse att kontraktet är ogiltigt.
default	en standard	Använd standardinställningen för tillfället.
defect	en defekt	Inspektörerna hittade en allvarlig defekt.
defensive	defensiv	Hans defensiva ton överraskade alla.
deficiency	en brist	Järnbrist kan påverka hälsan.
deficit	ett underskott	Budgetunderskottet oroade tjänstemännen.
defy	trotsa	Demonstranterna valde att trotsa förbudet.
delegate	en delegat	Varje delegat fick ett röstkort.
delegation	en delegation	Delegationen anlände före lunch.
delicate	ömtålig	Det ömtåliga glaset gick lätt sönder.
demon	en demon	Berättelsen beskriver en uråldrig demon.
denial	ett förnekande	Hans förnekande gjorde offren arga.
denounce	fördöma	Ledare fördömer våld i skolor.
dense	tät	Den täta skogen blockerade solljuset.
density	en densitet	Befolkningstätheten är hög i centrum.
dependence	ett beroende	Landets beroende av olja minskade.
depict	skildra	Väggmålningen skildrar bylivet.
deploy	sätta in	Armén kommer att sätta in extra personal.
deployment	en insats	Utplaceringen av trupper började i måndags.
deprive	beröva	Sömnbrist kan beröva studenter deras fokus.
deputy	en ställföreträdare	Ställföreträdaren skrev under avtalet.
descend	gå neråt	Stigen började gå brant neråt.
descent	en nedstigning	Flygplanet påbörjade sin nedstigning.
designate	utse	Staden kommer att utse en ny park.
desirable	önskvärd	Bra belysning är önskvärt i klassrum.
desktop	ett skrivbord	Filen ligger på mitt skrivbord.
destructive	destruktiv	Stormen hade en destruktiv kraft.
detain	kvarhålla	Polisen kan kvarhålla misstänkta över natten.
detection	en upptäckt	Tidig upptäckt förbättrar cancerbehandlingen.
detention	ett förvar	Eleverna protesterade mot förhållandena i förvaret.
deteriorate	försämras	Hans hälsa började försämras.
devastate	ödelägga	Jordbävningen kan ödelägga kuststäder.
devil	en djävul	Barnet ritade en leende djävul.
devise	tänka ut	Ingenjörer tänker ut säkrare transportsystem.
diagnose	diagnostisera	Läkare diagnostiserar sjukdomen med blodprov.
diagnosis	en diagnos	Diagnosen förklarade hennes symtom.
dictate	diktera	Kontraktet kommer att diktera betalningsvillkoren.
dictator	en diktator	Diktatorn kontrollerade media.
differentiate	skilja på	Kan du skilja på fakta och åsikt?
dignity	en värdighet	Alla förtjänar värdighet på jobbet.
dilemma	ett dilemma	Chefen stod inför ett allvarligt dilemma.
dimension	en dimension	Problemet har en politisk dimension.
diminish	minska	Smärtan bör minska långsamt.
dip	sjunka	Temperaturerna kan sjunka under fryspunkten.
diplomat	en diplomat	Diplomaten träffade utländska ledare.
diplomatic	diplomatisk	De diplomatiska samtalen fortsatte över natten.
directory	en katalog	Sök i katalogen efter hans nummer.
disastrous	katastrofal	Den katastrofala översvämningen förstörde flera broar.
discard	kasta	Kasta inte användbara uppgifter.
discharge	skriva ut	Sjukhuset kommer att skriva ut honom i morgon.
disclose	avslöja	Tjänstemännen vägrade att avslöja siffrorna.
disclosure	ett avslöjande	Avslöjandet chockade styrelsen.
discourse	en diskurs	Den offentliga diskursen blev artigare.
discretion	ett omdöme	Använd ditt omdöme vid känsliga fall.
discrimination	en diskriminering	Lagen förbjuder diskriminering vid anställning.
dismissal	ett avskedande	Hans avskedande väckte allmän vrede.
displace	fördriva	Kriget kan fördriva tusentals.
disposal	en kassering	Avfallshantering förblir ett lokalt problem.
dispose	kassera	Företaget måste kassera kemikalier på ett säkert sätt.
dispute	en tvist	Tvisten varade i månader.
disrupt	störa	Oljud kan störa koncentrationen.
disruption	en störning	Strejken orsakade stora störningar.
dissolve	lösas upp	Socker löses upp i varmt te.
distinction	en skillnad	Skillnaden mellan dem är viktig.
distinctive	distinkt	Hon har en distinkt röst.
distort	förvränga	Spegeln kan förvränga din spegelbild.
distress	en ångest	Samtalet orsakade allvarlig ångest.
disturbing	oroväckande	Dokumentären visade oroväckande scener.
divert	leda om	Polisen var tvungen att leda om trafiken.
divine	gudomlig	Kapellet har en gudomlig atmosfär.
doctrine	en doktrin	Partiet förkastade den gamla doktrinen.
documentation	en dokumentation	Färdigställ dokumentationen före lanseringen.
domain	en domän	Webbplatsen använder en säker domän.
dominance	en dominans	Lagets dominans varade i ett årtionde.
