source_headword	HU	example_HU
hunt	keresni	Ősszel gombát keresnek.
hurricane	hurrikán	A hurrikán sok otthont megrongált.
hurry	sietség	Ma nincs sietség.
identity	személyazonosság	A személyazonossága titokban maradt.
ignore	figyelmen kívül hagyni	Ne hagyd figyelmen kívül ezt a figyelmeztetést.
illegal	illegális	Itt parkolni illegális.
imaginary	képzeletbeli	A történetben van egy képzeletbeli sziget.
immediate	azonnali	Azonnali válaszra van szükségünk.
immigrant	bevándorló	A bevándorló gyorsan megtanult angolul.
impact	hatás	A hírnek erős hatása volt.
import	importálni	Az ország több rizst fog importálni.
importance	fontosság	Megértette az alvás fontosságát.
impression	benyomás	Az első benyomása pozitív volt.
impressive	lenyűgöző	A múzeumnak lenyűgöző bejárata van.
improvement	javulás	Ebben a hónapban egyértelmű javulás volt.
incredibly	hihetetlenül	A teszt hihetetlenül nehéz volt.
indeed	valóban	Valóban furcsa nap volt.
indicate	jelezni	A tábla jelezni fogja a kijáratot.
indirect	közvetett	Közvetett választ adott.
indoor	beltéri	A hotelnek beltéri medencéje van.
indoors	bent	A vihar alatt bent maradtunk.
influence	befolyás	A tanárának erős befolyása volt.
ingredient	hozzávaló	A liszt a fő hozzávaló.
injure	megsérteni	Ne sértsd meg a hátad.
injured	sérült	A sérült játékos elhagyta a pályát.
innocent	ártatlan	A gyerek teljesen ártatlannak tűnt.
intelligence	intelligencia	Nagy intelligenciát mutatott az órán.
intend	szándékozik	Külföldön szándékozom tanulni.
intention	szándék	A szándéka az volt, hogy segítsen.
invest	befektetni	Pénzt fektetnek az oktatásba.
investigate	kivizsgálni	A rendőrség kivizsgálja a balesetet.
involved	érintett	Több diák is érintett volt.
iron	vas	A kapu vasból készült.
issue	probléma	Ez komoly probléma.
IT	informatika	Informatikában dolgozik.
journal	napló	Naplót ír.
judge	bíró	A bíró figyelmesen hallgatott.
keen	lelkes	Lelkes tanulni.
keyboard	billentyűzet	A billentyűzetem nem működött tovább.
kick	rúgni	Óvatosan rúgd meg a labdát.
killing	ölés	Az ölés megrázta a falut.
kind (caring)	kedves	Ez kedves dolog volt.
kiss	csók	Csókot adott a babának.
label	címke	Használat előtt olvasd el a címkét.
laboratory	laboratórium	A laboratórium ma zárva van.
lack	hiány	Az alváshiány rontja a memóriát.
latest	legújabb	Olvastad a legújabb jelentést?
lay	letenni	Tedd le a könyvet az asztalra.
layer	réteg	Tegyél rá még egy réteg festéket.
leading	vezető	Vezető tudós.
leaf	levél	Egy levél esett a kabátomra.
leather	bőr	A táskája bőrből készült.
legal	jogi	Jogi tanácsra van szükségünk.
leisure	szabadidő	Az olvasás a kedvenc szabadidős tevékenységem.
length	hossz	Mérd meg a szoba hosszát.
lie2 (tell a lie)	hazudni	Ne hazudj a szüleidnek.
limit	határ	A sebességhatár ötven.
