source_headword	RO	example_RO
stranger	un străin	Un străin a cerut indicații.
strength	o putere	Puterea ei a ajutat echipa.
string	o sfoară	Leagă cutia cu o sfoară.
strongly	puternic	Dezaprob ferm acea idee.
studio	un studio	Artistul lucrează într-un studio mic.
stuff	lucruri	Pune-ți lucrurile pe raft.
substance	o substanță	Poliția a găsit o substanță ciudată.
successfully	cu succes	Au terminat cu succes proiectul.
sudden	brusc	Un zgomot brusc ne-a trezit.
suffer	a suferi	Multe plante suferă pe vreme uscată.
suitable	potrivit	Această jachetă este potrivită pentru școală.
summarize	a rezuma	Poți rezuma articolul?
summary	un rezumat	Scrie un scurt rezumat în seara asta.
supply	o rezervă	Orașul are nevoie de o sursă de apă curată.
supporter	un susținător	Fiecare susținător a aclamat zgomotos.
surely	cu siguranță	Cu siguranță putem rezolva asta.
surface	o suprafață	Suprafața era rece și netedă.
survive	a supraviețui	Aceste animale supraviețuiesc iernilor reci.
switch	a comuta	Stinge lumina din bucătărie.
symptom	un simptom	O tuse poate fi un simptom.
tail	o coadă	Câinele are o coadă lungă.
talent	un talent	Ea are talent la muzică.
talented	talentat	El este un actor tânăr și talentat.
tape	o bandă adezivă	Folosește bandă adezivă pentru a închide cutia.
tax	o taxă	Toată lumea trebuie să plătească această taxă.
technical	tehnic	Am avut o problemă tehnică.
technique	o tehnică	Această tehnică economisește timp.
tend	a tinde	Copiii tind să învețe repede.
tent	un cort	Am dormit într-un cort mic.
theirs	al lor	Bicicletele albastre sunt ale lor.
theme	o tematică	Petrecerea a avut o tematică de plajă.
theory	o teorie	Teoria lui explică problema.
therefore	prin urmare	A plouat, prin urmare am stat înăuntru.
though	deși	Deși era obosită, a continuat să lucreze.
throat	un gât	Mă doare gâtul în dimineața asta.
throughout	pe parcursul	Oamenii au dansat pe parcursul întregii seri.
tight	strâmt	Acești pantofi sunt prea strâmți.
till	până	Așteaptă aici până mă întorc.
tin	o conservă	Deschide o conservă de fasole.
tiny	minuscul	O pasăre minusculă a aterizat în apropiere.
toe	un deget de la picior	M-am lovit la un deget de la picior ieri.
tongue	o limbă	Ea s-a fript la limbă de la ceai.
total	total	Costul total a fost mic.
totally	complet	Înțeleg complet îngrijorarea ta.
trade	comerț	Comerțul internațional creează locuri de muncă.
translate	a traduce	Te rog să traduci această propoziție.
translation	o traducere	Traducerea sună natural.
treat	a trata	Tratează pe toată lumea cu respect.
treatment	un tratament	Pacientul are nevoie de tratament astăzi.
trend	o tendință	Această tendință crește la nivel mondial.
trick	un truc	Acel truc cu cărți m-a surprins.
truth	un adevăr	Te rog să spui adevărul.
tube	un tub	Strânge tubul ușor.
typically	de obicei	Studenții ajung de obicei înainte de ora nouă.
tyre	o anvelopă	Mașina are nevoie de o anvelopă nouă.
ugly	urât	Culoarea acelui perete arată urât.
unable	incapabil	El a fost incapabil să răspundă.
uncomfortable	inconfortabil	Acest scaun este inconfortabil.
underwear	lenjerie intimă	Împachetează lenjerie intimă curată pentru excursie.
unemployed	șomer	A fost șomeră timp de două luni.
unemployment	șomaj	Șomajul a crescut în timpul iernii.
unfair	nedrept	Decizia a părut nedreaptă.
union	un sindicat	Sindicatul a cerut condiții de muncă mai sigure.
unless	dacă nu	Nu pleca dacă nu te sun.
unlike	spre deosebire de	Spre deosebire de Tom, Ana adoră iarna.
unlikely	puțin probabil	Este puțin probabil să ningă săptămâna aceasta.
unnecessary	inutil	Bagajele suplimentare sunt inutile.
unpleasant	neplăcut	Camera avea un miros neplăcut.
update	a actualiza	Trebuie să îmi actualizez telefonul.
upon	pe	A fost odată ca niciodată un rege.
upset	supărat	S-a simțit supărată după apel.
used1	folosit	Această cameră este folosită pentru întâlniri.
used2	obișnuit	Sunt obișnuit cu diminețile devreme.
valuable	valoros	Acest ceas este valoros.
value	o valoare	Casa a pierdut din valoare anul trecut.
various	variat	Am încercat diverse preparate locale.
version	o versiune	Această versiune funcționează mai bine.
victim	o victimă	Victima a sunat la poliție.
viewer	un telespectator	Un telespectator a pus o întrebare.
violent	violent	Filmul a fost prea violent.
volunteer	un voluntar	Fac voluntariat la bibliotecă.
vote	un vot	Nu uita să votezi mâine.
warn	a avertiza	Am încercat să îl avertizez.
warning	un avertisment	Avertismentul a apărut pe ecran.
waste	o risipă	Nu irosiți apa curată.
weapon	o armă	Cuțitul a devenit o armă.
weigh	a cântări	Cântărește făina cu grijă.
western	vestic	Ei au urmărit un film western.
whatever	orice	Alege orice îți place.
whenever	oricând	Sună oricând ai nevoie de ajutor.
whether	dacă	Nu știu dacă ea este de acord.
wing	o aripă	Pasărea și-a lovit o aripă.
within	în decurs de	Te rog să răspunzi în decurs de două zile.
wonder	a se întreba	Mă întreb ce s-a întâmplat.
wool	lână	Acest palton este făcut din lână.
worldwide	la nivel mondial	Melodia a devenit populară la nivel mondial.
worth	care merită	Această carte merită citită.
written	scris	Te rog să trimiți instrucțiuni scrise.
yard	o curte	Copiii s-au jucat în curte.
youth	tineret	Cluburile de tineret sprijină adolescenții locali.
