hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
1004:安检	安检	安检	सुरक्षा जांच	स्टेशन में प्रवेश करने से पहले यात्रियों को सुरक्षा जांच से गुजरना पड़ता है।	নিরাপত্তা পরীক্ষা	স্টেশনে ঢোকার আগে যাত্রীদের নিরাপত্তা পরীক্ষা দিতে হয়।	seguridad na pagsusuri	Bago pumasok sa istasyon, kailangang dumaan sa seguridad na pagsusuri ang mga pasahero.
1006:按	按	按	दबाना; के अनुसार	दरवाजा खोलने के लिए हरा बटन दबाइए।	চাপা; অনুযায়ী	দরজা খুলতে সবুজ বোতামটি চাপুন।	pindutin; ayon sa	Pindutin ang berdeng pindutan para mabuksan ang pinto.
1009:白酒	白酒	白酒	चीनी तेज शराब	वह चीनी तेज शराब नहीं पीता, सिर्फ चाय पीता है।	চীনা তীব্র মদ	সে চীনা তীব্র মদ খায় না, শুধু চা খায়।	alak na Tsino	Hindi siya umiinom ng alak na Tsino, tsaa lang ang iniinom niya.
1010:办公	办公	办公	कार्यालय का काम करना	वह आज घर से कार्यालय का काम कर रही है।	দপ্তরের কাজ করা	সে আজ বাড়ি থেকে দপ্তরের কাজ করছে।	magtrabaho sa opisina	Nagtatrabaho siya mula sa bahay ngayon.
1012:办事	办事	办事	काम निपटाना	मैं दोपहर में बैंक में काम निपटाने जाऊंगा।	কাজ সারতে যাওয়া	আমি বিকেলে ব্যাংকে কাজ সারতে যাব।	asikasuhin ang gawain	Pupunta ako sa bangko mamayang hapon para asikasuhin ang ilang gawain.
1017:报考	报考	报考	परीक्षा के लिए आवेदन करना	वह चीनी परीक्षा के लिए आवेदन करने की तैयारी कर रहा है।	পরীক্ষার জন্য আবেদন করা	সে চীনা পরীক্ষার জন্য আবেদন করার প্রস্তুতি নিচ্ছে।	mag-aplay para sa pagsusulit	Naghahanda siyang mag-aplay para sa pagsusulit sa Tsino.
1021:背包	背包	背包	पीठ का बैग	मेरा पीठ का बैग दरवाजे के पास रखा है।	পিঠের ব্যাগ	আমার পিঠের ব্যাগটি দরজার পাশে রাখা আছে।	ransel	Nasa tabi ng pinto ang ransel ko.
1022:北部	北部	北部	उत्तरी भाग	इस शहर के उत्तरी भाग में एक पहाड़ है।	উত্তর অংশ	এই শহরের উত্তর অংশে একটি পাহাড় আছে।	hilagang bahagi	May isang bundok sa hilagang bahagi ng lungsod.
1028:笔试	笔试	笔试	लिखित परीक्षा	कल सुबह एक लिखित परीक्षा है।	লিখিত পরীক্ষা	আগামীকাল সকালে একটি লিখিত পরীক্ষা আছে।	nakasulat na pagsusulit	May nakasulat na pagsusulit bukas ng umaga.
1030:毕业生	毕业生	毕业生	स्नातक विद्यार्थी	कई स्नातक विद्यार्थी नौकरी ढूंढ़ रहे हैं।	স্নাতক	অনেক স্নাতক চাকরি খুঁজছে।	nagtapos	Maraming nagtapos ang naghahanap ng trabaho.
1033:表	表	表	फॉर्म; तालिका; घड़ी	कृपया यह फॉर्म पूरा भर दीजिए।	ফর্ম; সারণি; ঘড়ি	দয়া করে এই ফর্মটি পূরণ করুন।	pormularyo; talaan; relo	Pakikumpleto ang pormularyong ito.
1039:并	并	并	वास्तव में नहीं; और	मुझे वास्तव में थकान नहीं लगती।	আসলে নয়; এবং	আমি আসলে ক্লান্ত বোধ করছি না।	talagang hindi; at	Talagang hindi ako nakakaramdam ng pagod.
1043:不必	不必	不必	ज़रूरत नहीं	तुम्हें अभी जवाब देने की ज़रूरत नहीं है।	প্রয়োজন নেই	এখনই তোমার উত্তর দেওয়ার প্রয়োজন নেই।	hindi kailangan	Hindi mo kailangang sumagot ngayon.
1044:不便	不便	不便	असुविधाजनक	यहां गाड़ी खड़ी करना असुविधाजनक है।	অসুবিধাজনক	এখানে গাড়ি রাখা অসুবিধাজনক।	hindi maginhawa	Hindi maginhawang magparada rito.
1046:不够	不够	不够	पर्याप्त नहीं	ये कुर्सियां सबके बैठने के लिए पर्याप्त नहीं हैं।	যথেষ্ট নয়	এই চেয়ারগুলো সবার বসার জন্য যথেষ্ট নয়।	hindi sapat	Hindi sapat ang mga upuang ito para sa lahat.
1048:不论	不论	不论	चाहे कुछ भी हो	मौसम जैसा भी हो, हम रवाना होंगे।	যাই হোক না কেন	আবহাওয়া যেমনই হোক, আমরা রওনা দেব।	anuman; kahit ano	Anuman ang lagay ng panahon, aalis pa rin kami.
1049:步	步	步	कदम	उसने आगे एक कदम बढ़ाया।	পা; পদক্ষেপ	সে সামনে এক পা এগোল।	hakbang	Humakbang siya ng isa paabante.
1050:部	部	部	फिल्मों या किताबों का माप शब्द; विभाग	यह फिल्म बहुत रोचक है।	চলচ্চিত্র বা বইয়ের গণক; বিভাগ	এই চলচ্চিত্রটি খুব আকর্ষণীয়।	pantukoy para sa pelikula o aklat; kagawaran	Kawili-wili ang pelikulang ito.
1054:不光	不光	不光	सिर्फ नहीं	सिर्फ बच्चे नहीं, बड़े भी यह खेल पसंद करते हैं।	শুধু নয়	শুধু শিশুরা নয়, বড়রাও এই খেলাটি পছন্দ করে।	hindi lamang	Hindi lamang mga bata, pati matatanda ay gusto ang larong ito.
1056:不满	不满	不满	असंतुष्ट	वह इस परिणाम से बहुत असंतुष्ट है।	অসন্তুষ্ট	সে এই ফলাফলে খুব অসন্তুষ্ট।	hindi nasisiyahan	Hindi siya nasisiyahan sa resultang ito.
1063:参赛	参赛	参赛	प्रतियोगिता में भाग लेना	हमारी कक्षा के पांच लोग प्रतियोगिता में भाग ले रहे हैं।	প্রতিযোগিতায় অংশ নেওয়া	আমাদের ক্লাসের পাঁচজন প্রতিযোগিতায় অংশ নিচ্ছে।	sumali sa paligsahan	Limang tao mula sa klase namin ang sasali sa paligsahan.
1067:查看	查看	查看	जांचना; देखना	शिक्षक विद्यार्थियों की सूची देख रहे हैं।	পরীক্ষা করা; দেখা	শিক্ষক ছাত্রদের তালিকা পরীক্ষা করছেন।	suriin; tingnan	Tinitingnan ng guro ang listahan ng mga estudyante.
1068:茶叶	茶叶	茶叶	चाय की पत्तियां	इस दुकान की चाय की पत्तियां बहुत ताज़ा हैं।	চা পাতা	এই দোকানের চা পাতা খুব তাজা।	dahon ng tsaa	Sariwa ang mga dahon ng tsaa sa tindahang ito.
1069:查找	查找	查找	खोजना	मैं इंटरनेट पर सामग्री खोज रहा हूं।	খুঁজে দেখা	আমি ইন্টারনেটে তথ্য খুঁজছি।	maghanap	Naghahanap ako ng impormasyon sa internet.
1070:差点儿	差点儿	差点儿	लगभग	मैं लगभग बस छूटने ही वाला था।	প্রায়	আমার প্রায় বাস মিস হয়ে যাচ্ছিল।	halos	Halos hindi ko naabutan ang bus.
1072:厂	厂	厂	कारखाना	यह कारखाना मोबाइल फोन बनाता है।	কারখানা	এই কারখানা মোবাইল ফোন তৈরি করে।	pabrika	Gumagawa ng mga cellphone ang pabrikang ito.
1075:车速	车速	车速	वाहन की गति	बरसात के दिन वाहन की गति थोड़ी धीमी रखनी चाहिए।	গাড়ির গতি	বৃষ্টির দিনে গাড়ির গতি একটু কম হওয়া উচিত।	bilis ng sasakyan	Sa tag-ulan, dapat medyo mas mabagal ang bilis ng sasakyan.
1076:车位	车位	车位	पार्किंग की जगह	नीचे अभी भी एक पार्किंग की जगह है।	গাড়ি রাখার জায়গা	নিচে এখনও একটি গাড়ি রাখার জায়গা আছে।	puwesto ng sasakyan	May isa pang puwesto ng sasakyan sa ibaba.
1077:城	城	城	शहर; कस्बा	इस शहर में कई पुरानी गलियां हैं।	শহর; নগর	এই শহরে অনেক পুরোনো রাস্তা আছে।	lungsod; bayan	Maraming lumang kalye sa lungsod na ito.
1080:乘客	乘客	乘客	यात्री	यात्री कृपया पीछे के दरवाजे से उतरें।	যাত্রী	যাত্রীরা দয়া করে পেছনের দরজা দিয়ে নামুন।	pasahero	Mga pasahero, mangyaring bumaba sa likurang pinto.
1085:迟	迟	迟	देर	वह आज थोड़ा देर से आया।	দেরি	সে আজ একটু দেরিতে এসেছে।	huli; nahuli	Medyo huli siyang dumating ngayon.
1086:重	重	重	फिर से; दोबारा	इस निबंध को एक बार फिर लिखना होगा।	আবার; পুনরায়	এই রচনাটি আবার লিখতে হবে।	muli; paulit-ulit	Kailangang muling isulat ang sanaysay na ito.
1091:出行	出行	出行	यात्रा करना; बाहर जाना	छुट्टियों में यात्रा करने वाले लोग बहुत होते हैं।	ভ্রমণ করা; বাইরে যাওয়া	ছুটির দিনে ভ্রমণকারী লোক অনেক থাকে।	maglakbay; lumabas	Maraming tao ang naglalakbay kapag pista opisyal.
1092:出租	出租	出租	किराये पर देना	यह अपार्टमेंट किराये पर दिया जा सकता है।	ভাড়া দেওয়া	এই ফ্ল্যাটটি ভাড়া দেওয়া যেতে পারে।	ipaupa	Maaaring ipaupa ang apartment na ito.
1094:厨师	厨师	厨师	रसोइया	यह रसोइया बहुत जल्दी खाना बनाता है।	রাঁধুনি	এই রাঁধুনি খুব দ্রুত রান্না করেন।	kusinero	Mabilis magluto ang kusinerong ito.
1095:窗	窗	窗	खिड़की	कृपया खिड़की थोड़ा खोल दीजिए।	জানালা	দয়া করে জানালাটি একটু খুলুন।	bintana	Pakibuksan nang kaunti ang bintana.
1099:此	此	此	यह; यहां	यहां पार्किंग मना है।	এখানে; এই	এখানে গাড়ি রাখা নিষিদ্ধ।	dito; ito	Bawal magparada rito.
1100:此次	此次	此次	इस बार	इस बार की बैठक बहुत महत्वपूर्ण है।	এইবার	এইবারের সভা খুব গুরুত্বপূর্ণ।	ngayong pagkakataon	Mahalaga ang pagpupulong sa pagkakataong ito.
1104:从中	从中	从中	इससे; उनमें से	उसने इससे बहुत कुछ सीखा।	এর মধ্য থেকে	সে এর মধ্য থেকে অনেক কিছু শিখেছে।	mula rito; mula sa mga ito	Marami siyang natutunan mula rito.
1105:粗	粗	粗	मोटा; खुरदरा	यह रस्सी अपेक्षाकृत मोटी है।	মোটা; খসখসে	এই দড়িটি তুলনামূলকভাবে মোটা।	makapal; magaspang	Medyo makapal ang lubid na ito.
