source_headword	FI	example_FI
hunt	etsiä	He etsivät sieniä syksyllä.
hurricane	hurrikaani	Hurrikaani vahingoitti monia koteja.
hurry	kiire	Tänään ei ole kiirettä.
identity	henkilöllisyys	Hänen henkilöllisyytensä pysyi salassa.
ignore	jättää huomiotta	Älä jätä tätä varoitusta huomiotta.
illegal	laiton	Tänne pysäköinti on laitonta.
imaginary	kuvitteellinen	Tarinassa on kuvitteellinen saari.
immediate	välitön	Tarvitsemme välittömän vastauksen.
immigrant	maahanmuuttaja	Maahanmuuttaja oppi nopeasti englantia.
impact	vaikutus	Uutisella oli vahva vaikutus.
import	tuoda maahan	Maa tuo enemmän riisiä maahan.
importance	tärkeys	Hän ymmärsi unen tärkeyden.
impression	vaikutelma	Hänen ensivaikutelmansa oli myönteinen.
impressive	vaikuttava	Museolla on vaikuttava sisäänkäynti.
improvement	parannus	Tässä kuussa oli selvä parannus.
incredibly	uskomattoman	Koe oli uskomattoman vaikea.
indeed	todellakin	Se oli todellakin outo päivä.
indicate	osoittaa	Kyltti osoittaa uloskäynnin.
indirect	epäsuora	Hän antoi epäsuoran vastauksen.
indoor	sisä-	Hotellissa on sisäuima-allas.
indoors	sisällä	Pysyimme sisällä myrskyn aikana.
influence	vaikutus	Hänen opettajallaan oli vahva vaikutus.
ingredient	ainesosa	Jauho on tärkein ainesosa.
injure	vahingoittaa	Älä vahingoita selkääsi.
injured	loukkaantunut	Loukkaantunut pelaaja poistui kentältä.
innocent	viaton	Lapsi näytti täysin viattomalta.
intelligence	älykkyys	Hän osoitti suurta älykkyyttä luokassa.
intend	aikoa	Aion opiskella ulkomailla.
intention	aikomus	Hänen aikomuksensa oli auttaa.
invest	sijoittaa	He sijoittavat rahaa koulutukseen.
investigate	tutkia	Poliisi tutkii onnettomuuden.
involved	osallisena	Useat opiskelijat olivat osallisina.
iron	rauta	Portti on tehty raudasta.
issue	ongelma	Tämä on vakava ongelma.
IT	tietotekniikka	Hän työskentelee tietotekniikan alalla.
journal	päiväkirja	Hän kirjoittaa päiväkirjaan.
judge	tuomari	Tuomari kuunteli tarkasti.
keen	innokas	Hän on innokas oppimaan.
keyboard	näppäimistö	Näppäimistöni lakkasi toimimasta.
kick	potkaista	Potkaise palloa varovasti.
killing	surmaaminen	Surmaaminen järkytti kylää.
kind (caring)	ystävällinen	Se oli ystävällinen teko.
kiss	suudelma	Hän antoi vauvalle suudelman.
label	etiketti	Lue etiketti ennen käyttöä.
laboratory	laboratorio	Laboratorio on tänään suljettu.
lack	puute	Unen puute heikentää muistia.
latest	viimeisin	Oletko lukenut viimeisimmän raportin?
lay	asettaa	Aseta kirja pöydälle.
layer	kerros	Lisää toinen maalikerros.
leading	johtava	Hän on johtava tutkija.
leaf	lehti	Lehti putosi takkini päälle.
leather	nahka	Hänen laukkunsa on tehty nahasta.
legal	juridinen	Tarvitsemme juridista neuvontaa.
leisure	vapaa-aika	Lukeminen on suosikkitoimintani vapaa-ajalla.
length	pituus	Mittaa huoneen pituus.
lie2 (tell a lie)	valehdella	Älä valehtele vanhemmillesi.
limit	raja	Nopeusrajoitus on viisikymmentä.
lip	huuli	Hän puri huultaan.
liquid	neste	Vesi on kirkas neste.
literature	kirjallisuus	Hän opiskelee ranskalaista kirjallisuutta.
live2	livenä	Bändi soitti livenä viime yönä.
living	elävä	Elävät kasvit tarvitsevat valoa.
locate	löytää	Löydätkö tiedoston?
located	sijaitseva	Toimisto sijaitsee keskustassa.
location	sijainti	Tämä on hyvä sijainti.
lonely	yksinäinen	Hän tunsi olonsa yksinäiseksi muuton jälkeen.
loss	menetys	Menetys oli vaikea kaikille.
luxury	ylellisyys	Hotelli tarjoaa todellista ylellisyyttä.
mad	vihainen	Hän oli vihainen viivästyksestä.
magic	taika	Esitys oli täynnä taikaa.
mainly	pääasiassa	Ryhmä on pääasiassa opiskelijoita.
mall	ostoskeskus	Tapasimme ostoskeskuksessa.
management	johtaminen	Hyvä johtaminen säästää aikaa.
marketing	markkinointi	Markkinointi auttaa myymään tuotteen.
marriage	avioliitto	Heidän avioliittonsa kesti kolmekymmentä vuotta.
meanwhile	sillä välin	Valmistin illallista sillä välin.
measure	mitata	Mittaa pöytä huolellisesti.
medium	keskikokoinen	Tilasin keskikokoisen pizzan.
mental	henkinen	Stressi vaikuttaa henkiseen terveyteen.
mess	sotku	Siivoa tämä sotku.
mild	mieto	Keitossa on mieto maku.
mine (hole in the ground)	kaivos	Kaivos suljettiin viime vuonna.
mix	sekoittaa	Sekoita munat maitoon.
mixture	seos	Seos muuttui paksuksi.
mood	mieliala	Musiikki muutti hänen mielialaansa.
mud	muta	Hänen kenkänsä olivat mudan peitossa.
murder	murha	Murha tapahtui yöllä.
muscle	lihas	Liikunta kasvattaa lihaksia.
mystery	mysteeri	Vanha talo on mysteeri.
nail	kynsi	Katkaisin kynnen.
narrative	kertomus	Romaanissa on selkeä kertomus.
nation	kansakunta	Koko kansakunta juhli.
native	äidinkieli	Espanja on hänen äidinkielensä.
naturally	luonnollisesti	Lapset oppivat luonnollisesti leikin kautta.
necessarily	välttämättä	Kallis ruoka ei ole välttämättä parempaa.
needle	neula	Neula on hyvin terävä.
neighbourhood	naapurusto	He asuvat rauhallisessa naapurustossa.
net	verkko	Kalastaja korjasi verkkonsa.
nor	eikä	Hän ei hymyillyt eikä puhunut.
northern	pohjoinen	He vierailivat pohjoisella rannikolla.
