hsk_key	source_word	simplified	ML	example_ML	KK	example_KK
2002:哎呀	哎呀	哎呀	അയ്യോ; ഹേയ്	അയ്യോ, ഞാൻ താക്കോലുകൾ വീട്ടിൽ മറന്നുപോയി.	әттеген-ай; әй	Әттеген-ай, кілттерімді үйде ұмытып кетіппін.
2005:安	安	安	ശാന്തമായ; സമാധാനമുള്ള	കുഞ്ഞ് ഉറങ്ങിയതിന് ശേഷം മുറി പെട്ടെന്ന് ശാന്തമായി.	тыныш; бейбіт	Бала ұйықтағаннан кейін бөлме бірден тынышталып қалды.
2006:安全带	安全带	安全带	സുരക്ഷാ ബെൽറ്റ്	കാർ ഓടിക്കുന്നതിന് മുമ്പ് സുരക്ഷാ ബെൽറ്റ് കെട്ടുക.	қауіпсіздік белдігі	Көлік жүргізер алдында қауіпсіздік белдігін тағыңыз.
2013:半夜	半夜	半夜	അർദ്ധരാത്രി; രാത്രി വൈകി	അർദ്ധരാത്രിയിൽ ആരോ അവനെ വിളിച്ചു.	түн ортасы; түннің бір уағы	Түн ортасында оған біреу телефон соқты.
2020:宝	宝	宝	നിധി; പ്രിയപ്പെട്ട വ്യക്തി	ഈ പഴയ ജേഡ് കുടുംബത്തിലെ നിധിയാണ്.	қазына; сүйікті адам	Бұл ескі нефрит отбасының қазынасы.
2021:保	保	保	സംരക്ഷിക്കുക; നിലനിർത്തുക	ഈ കാടിന്റെ ഭാഗം സംരക്ഷിക്കണം.	қорғау; сақтап қалу	Біз бұл орман алқабын сақтап қалуымыз керек.
2022:保安	保安	保安	സുരക്ഷാ ഗാർഡ്; സുരക്ഷ	വാതിലിലെ സുരക്ഷാ ഗാർഡ് എന്റെ തിരിച്ചറിയൽ രേഖ പരിശോധിച്ചു.	күзетші; қауіпсіздік	Кіреберістегі күзетші құжатымды тексерді.
2029:保质期	保质期	保质期	കാലാവധി; ഗുണനിലവാര കാലം	പാൽ വാങ്ങുന്നതിന് മുമ്പ് കാലാവധി നോക്കണം.	жарамдылық мерзімі	Сүт сатып алар алдында жарамдылық мерзімін қарау керек.
2034:暴雨	暴雨	暴雨	കനത്ത മഴ; പേമാരി	കനത്ത മഴയ്ക്കുശേഷം റോഡിൽ വെള്ളം കെട്ടിക്കിടന്നു.	нөсер жаңбыр	Нөсер жаңбырдан кейін жолда көп су жиналды.
2037:背后	背后	背后	പിന്നിൽ; പശ്ചാത്തലം	വിജയത്തിന്റെ പിന്നിൽ വലിയ പരിശ്രമമുണ്ട്.	артында; аясы	Табыстың артында көп еңбек бар.
