source_headword	TL	example_TL
hunt	maghanap	Naghahanap sila ng kabute sa taglagas.
hurricane	bagyo	Sinira ng bagyo ang maraming bahay.
hurry	pagmamadali	Walang pagmamadali ngayon.
identity	pagkakakilanlan	Nanatiling lihim ang kanyang pagkakakilanlan.
ignore	balewalain	Huwag mong balewalain ang babalang ito.
illegal	ilegal	Ilegal ang magparada dito.
imaginary	imahinaryo	May imahinaryong isla sa kuwento.
immediate	agaran	Kailangan namin ng agarang sagot.
immigrant	imigrante	Mabilis natuto ng Ingles ang imigrante.
impact	epekto	Malakas ang epekto ng balita.
import	mag-angkat	Mag-aangkat ang bansa ng mas maraming bigas.
importance	kahalagahan	Naunawaan niya ang kahalagahan ng tulog.
impression	impresyon	Positibo ang unang impresyon niya.
impressive	kahanga-hanga	May kahanga-hangang pasukan ang museo.
improvement	pagbuti	May malinaw na pagbuti ngayong buwan.
incredibly	lubha	Napakahirap ng pagsusulit.
indeed	talaga	Talagang kakaiba ang araw na iyon.
indicate	ipahiwatig	Ipapahiwatig ng palatandaan ang labasan.
indirect	di-tuwiran	Nagbigay siya ng di-tuwirang sagot.
indoor	panloob	May panloob na pool ang hotel.
indoors	sa loob	Nanatili kami sa loob habang may bagyo.
influence	impluwensiya	Malakas ang impluwensiya ng guro niya.
ingredient	sangkap	Harina ang pangunahing sangkap.
injure	makasugat	Huwag mong saktan ang likod mo.
injured	sugatan	Umalis sa field ang sugatang manlalaro.
innocent	inosente	Mukhang ganap na inosente ang bata.
intelligence	talino	Nagpakita siya ng malaking talino sa klase.
intend	balak	Balak kong mag-aral sa ibang bansa.
intention	layunin	Ang layunin niya ay tumulong.
invest	mamuhunan	Namumuhunan sila ng pera sa edukasyon.
investigate	imbestigahan	Iimbestigahan ng pulisya ang aksidente.
involved	kasangkot	Kasangkot ang ilang estudyante.
iron	bakal	Gawa sa bakal ang tarangkahan.
issue	isyu	Seryosong isyu ito.
IT	IT	Nagtatrabaho siya sa IT.
journal	talaarawan	Nagsusulat siya sa talaarawan.
judge	hukom	Maingat na nakinig ang hukom.
keen	sabik	Sabik siyang matuto.
keyboard	keyboard	Tumigil sa paggana ang keyboard ko.
kick	sipain	Sipain nang marahan ang bola.
killing	pagpatay	Ikinagulat ng nayon ang pagpatay.
kind (caring)	mabait	Mabait na bagay iyon gawin.
kiss	halik	Hinalikan niya ang sanggol.
label	etiketa	Basahin ang etiketa bago gamitin.
laboratory	laboratoryo	Sarado ang laboratoryo ngayon.
lack	kakulangan	Nakakasama sa memorya ang kakulangan sa tulog.
latest	pinakabago	Nabasa mo na ba ang pinakabagong ulat?
lay	ilagay	Ilagay ang libro sa mesa.
layer	patong	Magdagdag ng isa pang patong ng pintura.
leading	nangunguna	Nangunguna siyang siyentipiko.
leaf	dahon	Nahulog ang dahon sa amerikana ko.
leather	katad	Gawa sa katad ang bag niya.
legal	legal	Kailangan namin ng legal na payo.
leisure	paglilibang	Ang pagbabasa ang paborito kong gawain sa paglilibang.
length	haba	Sukatin ang haba ng kuwarto.
lie2 (tell a lie)	magsinungaling	Huwag magsinungaling sa magulang mo.
limit	limitasyon	Limampu ang limitasyon ng bilis.
lip	labi	Kinagat niya ang labi niya.
liquid	likido	Malinaw na likido ang tubig.
literature	panitikan	Nag-aaral siya ng panitikang Pranses.
live2	live	Nag-live ang banda kagabi.
living	buhay	Kailangan ng liwanag ang buhay na halaman.
locate	hanapin	Mahahanap mo ba ang file?
located	matatagpuan	Matatagpuan ang opisina sa sentro ng lungsod.
location	lokasyon	Magandang lokasyon ito.
lonely	malungkot	Nalungkot siya matapos lumipat.
loss	pagkawala	Mahirap para sa lahat ang pagkawala.
luxury	luho	Nag-aalok ng tunay na luho ang hotel.
mad	galit	Galit siya sa pagkaantala.
magic	mahika	Puno ng mahika ang palabas.
mainly	pangunahin	Pangunahing mga estudyante ang grupo.
mall	mall	Nagkita kami sa mall.
management	pamamahala	Nakakatipid ng oras ang mahusay na pamamahala.
marketing	marketing	Nakakatulong ang marketing na ibenta ang produkto.
marriage	kasal	Tumagal ng tatlumpung taon ang kanilang kasal.
meanwhile	samantala	Nagluto ako ng hapunan samantala.
