source_headword	KK	example_KK
rock (music)	рок музыка	Маған рок музыка ұнайды.
role	рөл	Оның рөлі маңызды.
roof	шатыр	Шатырды жөндеу керек.
round	дөңгелек	Үстел дөңгелек.
route	бағыт	Бұл бағыт қысқа.
rubbish	қоқыс	Қоқысты сыртқа шығар.
rude	дөрекі	Бұл пікір дөрекі болды.
runner	жүгіруші	Жүгіруші шаршаған сияқты.
running	жүгіру	Жүгіру мені сау етеді.
sadly	өкінішке қарай	Өкінішке қарай, біз пойыздан қалып қойдық.
safe	қауіпсіз	Бұл жол қауіпсіз көрінеді.
sail	жүзу	Біз сенбі күні кемемен жүземіз.
sailing	желкенді жүзу	Желкенді жүзу мұнда танымал.
salary	жалақы	Оның жалақысы қазір жоғары.
sale	сатылым	Сатылым ертең басталады.
sauce	тұздық	Күрішке тұздық қос.
save	сақтау	Жұмысыңды қазір сақта.
scared	қорыққан	Бала қорыққан сияқты.
scary	қорқынышты	Бұл әңгіме қорқынышты.
scene	көрініс	Соңғы көрініс күлкілі болды.
schedule	кесте	Бүгінгі кестеге қара.
score	есеп	Есеп қанша?
screen	экран	Экранды абайлап тазала.
search	іздеу	Суреттерді вебтен ізде.
season	маусым	Жаз қарбалас маусым.
seat	орын	Өтінемін, осы орынды ал.
second1 (next after the first)	екінші	Бұл екінші сұрақ.
secondly	екіншіден	Екіншіден, жауабыңды тексер.
secret	құпия	Бұл құпияны қауіпсіз сақта.
secretary	хатшы	Хатшы бүгін қоңырау шалды.
seem	көріну	Сен шаршаған сияқты көрінесің.
sense	мағына	Бұл жоспардың мағынасы бар.
separate	бөлек	Қағаздарды бөлек қой.
series	сериал	Бұл сериал танымал.
serious	маңызды	Бұл мәселе маңызды.
serve	ұсыну	Олар түскі асты ұсынады.
service	қызмет	Қызмет жылдам болды.
several	бірнеше	Бірнеше оқушы ерте келді.
shake	шайқау	Алдымен бөтелкені шайқа.
shall modal	бастайық па	Қазір бастайық па?
shape	пішін	Шаршы пішін сал.
sheet	жайма	Жайманы төсекке сал.
ship	кеме	Кеме бүгін кетті.
shoulder	иық	Иығым ауырып тұр.
shout	айқайлау	Сыныпта айқайлама.
shut	жабу	Өтінемін, терезені жап.
side	жақ	Осы жақта отыр.
sign	белгі	Белгіні мұқият оқы.
silver	күміс	Күміс жылтыр металл.
simple	қарапайым	Бұл жаттығу қарапайым.
since	бері	Мен түстен бері күтіп тұрмын.
singing	ән айту	Ән айту маған дем береді.
single	бір	Мен бір билет алдым.
sir	мырза	Мырза, сөмкеңіз дайын.
site	сайт	Бұл сайт қауіпсіз.
size	өлшем	Саған қай өлшем керек?
ski	шаңғы тебу	Біз қыста шаңғы тебеміз.
skiing	шаңғы тебу	Қыста шаңғы тебу қызық.
skin	тері	Оның терісі құрғақ сияқты.
sky	аспан	Аспан ашық.
slowly	ақырын	Мұз үстінде ақырын жүр.
smartphone	смартфон	Менің смартфоным жаңа.
smell	иіс шығу	Сорпадан жақсы иіс шығып тұр.
smile	күлімдеу	Камераға күлімде.
smoke	түтін	Түтін бөлмені толтырды.
smoking	темекі шегу	Темекі шегуге болмайды.
soap	сабын	Сабын мен су қолдан.
soccer	футбол	Футбол мұнда танымал.
social	әлеуметтік	Бұл әлеуметтік шара.
society	қоғам	Қоғам уақытпен өзгереді.
sock	шұлық	Бір шұлық жоғалды.
soft	жұмсақ	Бұл көрпе жұмсақ.
soldier	сарбаз	Сарбаз үйге келді.
solution	шешім	Біз шешім таптық.
solve	шешу	Бұл жұмбақты шеш.
somewhere	бір жерде	Оны бір жерде қауіпсіз қой.
sort	түр	Саған қай түр керек?
source	дереккөз	Алдымен дереккөзді тексер.
speaker	сөйлеуші	Сөйлеуші қатты сөйледі.
specific	нақты	Маған нақты жауап керек.
speech	сөз	Оның сөзі қысқа болды.
speed	жылдамдық	Мұнда жылдамдығыңды азайт.
spider	өрмекші	Қабырғада өрмекші бар.
spoon	қасық	Сорпаға қасық қолдан.
square	шаршы	Шаршы қорап сал.
stage	сахна	Топ сахнада.
stair	баспалдақ	Баспалдақ сынған.
stamp	марка	Хатқа марка жапсыр.
state	айту	Атыңды анық айт.
steal	ұрлау	Ақша ұрлама.
step	қадам	Бір қадам алға бас.
stomach	іш	Ішім ауырып тұр.
stone	тас	Тас ауыр.
store	дүкен	Дүкен ерте жабылады.
storm	дауыл	Дауыл келе жатыр.
straight	тура	Тура үйге бар.
strange	біртүрлі	Бұл дыбыс біртүрлі.
strategy	стратегия	Бізге стратегия керек.
stress	күйзеліс	Жұмыс күйзеліс тудыруы мүмкін.
structure	құрылым	Бұл құрылым берік.
stupid	ақымақ	Бұл ақымақ қате болды.
succeed	табысқа жету	Сен мұнда табысқа жете аласың.
successful	табысты	Ол табысты болды.
such	осындай	Осындай көмек пайдалы.
suddenly	кенеттен	Кенеттен, ит жүгірді.
suggest	ұсыну	Мен қысқа үзіліс ұсынамын.
suggestion	ұсыныс	Сенің ұсынысың пайдалы.
suit	костюм	Бұл костюм қымбат.
support	қолдау	Біз өз тобымызды қолдаймыз.
suppose	ойлау	Мен сенікі дұрыс деп ойлаймын.
surprise	тосынсый	Тосынсый оны қуантты.
surprised	таңғалған	Ол бүгін таңғалды.
surprising	таңғаларлық	Нәтиже таңғаларлық болды.
survey	сауалнама	Өтінемін, сауалнаманы толтыр.
sweet	тәтті	Бұл шай тәтті.
symbol	таңба	Бұл таңба қауіпті білдіреді.
system	жүйе	Жүйе жақсы жұмыс істейді.
tablet	планшет	Менің планшетім үстелде.
target	нысана	Нысананы абайлап ат.
task	тапсырма	Бұл тапсырма оңай.
taste	дәмін көру	Алдымен сорпаның дәмін көр.
teaching	оқыту	Оқыту қиын жұмыс.
technology	технология	Технология тез өзгереді.
teenage	жасөспірім	Менің жасөспірім інім көп оқиды.
temperature	температура	Температура төмендеді.
term	мерзім	Бұл мерзім тез бітеді.
themselves	өздері	Олар кешкі асты өздері пісірді.
thick	қалың	Бұл кітап қалың.
thief	ұры	Ұры қашып кетті.
thin	жұқа	Қағаз жұқа.
thinking	ойлау	Ойлауға уақыт керек.
thought	ой	Маған біртүрлі ой келді.
throw	лақтыру	Допты ақырын лақтыр.
tidy	ұқыпты	Бөлмеңді ұқыпты ұста.
tie	байлау	Аяқ киіміңді қазір байла.
tip	шайпұл	Қызмет үшін шайпұл қалдыр.
tool	құрал	Дұрыс құралды қолдан.
top	үсті	Жоғарғы сөре толы.
touch	тию	Стаканға тиме.
tour	саяхат	Біз қалаға саяхат жасадық.
tourism	туризм	Туризм бұл қалаға көмектеседі.
towards	қарай	Бекетке қарай жүр.
towel	сүлгі	Таза сүлгі әкел.
tower	мұнара	Мұнара өте ескі.
toy	ойыншық	Ойыншық көлік қызыл.
track	жол	Жол солтүстікке барады.
tradition	дәстүр	Бұл дәстүр ескі.
traditional	дәстүрлі	Ол дәстүрлі киім киді.
trainer	жаттықтырушы	Менің жаттықтырушым көмектеседі.
training	жаттығу	Жаттығу ертең басталады.
transport	көлік	Қоғамдық көлік кешікті.
traveller	саяхатшы	Саяхатшы көмек сұрады.
trouble	мәселе	Кеше бізде мәселе болды.
truck	жүк көлігі	Жүк көлігі сыртта.
twin	егіз	Менің егіз сіңлім ұзын.
typical	әдеттегі	Бұл әдеттегі күн.
underground	жерасты	Пойыз жерастымен жүреді.
understanding	түсіну	Сенің түсінуің дұрыс.
unfortunately	өкінішке қарай	Өкінішке қарай, дүкен жабық.
unhappy	бақытсыз	Ол бақытсыз көрінеді.
uniform	форма	Ол мектеп формасын киеді.
unit	бірлік	Бұл бірлік кішкентай.
united	біріккен	Топ біріккен күйде қалды.
unusual	ерекше	Бұл дыбыс ерекше.
used to modal	бұрын әдет болған	Біз бұрын осында тұратынбыз.
user	пайдаланушы	Әр пайдаланушының нөмірі бар.
usual	әдеттегі	Мен әдеттегі орнымды алдым.
valley	аңғар	Аңғар жасыл.
van	фургон	Фургон толы.
variety	әртүрлілік	Бізге көбірек әртүрлілік керек.
vehicle	көлік құралы	Бұл көлік құралы баяу.
view	көрініс	Көрініс әдемі.
virus	вирус	Вирус оны ауыртты.
voice	дауыс	Оның дауысы жұмсақ.
war	соғыс	Соғыс жылдар бұрын аяқталды.
washing	жуылған киімдер	Жуылған киімдер сыртта.
wave	толқын	Толқын қайыққа соқты.
weak	әлсіз	Аяқтарым әлсіз сияқты.
web	веб	Веб бет ашық.
wedding	үйлену тойы	Үйлену тойы жақында басталады.
weight	салмақ	Алдымен салмақты тексер.
wet	дымқыл	Аяқ киімім дымқыл.
wheel	дөңгелек	Дөңгелек сынған.
while	біраз уақыт	Мұнда біраз уақыт күт.
whole	тұтас	Мен тұтас алманы жедім.
whose	кімдікі	Бұл телефон кімдікі?
wide	кең	Жол кең.
wild	жабайы	Жабайы жануарлар мұнда өмір сүреді.
wind1	жел	Жел қатты.
winner	жеңімпаз	Жеңімпаз күлімдеді.
wish	тілек	Тілек тіле.
wood	ағаш	Орындық ағаштан жасалған.
wooden	ағаш	Ағаш қорап ауыр.
working	жұмыс	Жұмыс күні аяқталды.
worried	алаңдаған	Мен бүгін алаңдап тұрмын.
worry	алаңдау	Қазір алаңдама.
worse	нашарлау	Бұл ауырсыну нашарлады.
worst	ең нашар	Бұл ең нашар күн болды.
wow	уау	Уау, бұл керемет!
yet	әлі	Біз әлі жеттік пе?
yours	сенікі	Бұл кітап сенікі.
zero	нөл	Нөлге дейін сана.
