source_headword	PL	example_PL
crawl	raczkować	Dziecko zaczęło raczkować po dywanie.
creator	twórca	Twórca podziękował wszystkim za wsparcie.
credibility	wiarygodność	Świadek stracił wiarygodność podczas przesłuchania.
credible	wiarygodny	Raport przedstawił wiarygodne dowody.
creep	snuć się	Mgła zaczęła snuć się przez dolinę.
critique	krytyka	Profesor przedstawił szczegółową krytykę.
crown	korona	Królowa nosiła srebrną koronę.
crude	prymitywny	Rysunek był prymitywny, ale czytelny.
crush	zmiażdżyć	Ciężkie skały mogą zmiażdżyć rurę.
crystal	kryształ	Kryształ odbijał poranne światło.
cult	sekta	Sekta izolowała swoich członków.
cultivate	uprawiać	Rolnicy uprawiają ryż w tym regionie.
curiosity	ciekawość	Ciekawość skłoniła ją do zajęcia się nauką.
custody	opieka	Dziecko pozostało pod opieką ojca.
cutting	wycinek	Gazeta opublikowała wycinek na jego temat.
cynical	cyniczny	Jego cyniczna uwaga zdenerwowała zespół.
dam	tama	Tama zatrzymuje wodę z rzeki.
damaging	szkodliwy	Szkodliwy artykuł zaszkodził kampanii.
dawn	świt	Wyjechaliśmy z wioski o świcie.
debris	szczątki	Szczątki po burzy zablokowały drogę.
debut	debiut	Jej debiut przyciągnął uwagę całego kraju.
decision-making	podejmowanie decyzji	Dobre podejmowanie decyzji wymaga jasnych informacji.
decisive	zdecydowany	Jej zdecydowane działanie zapobiegło dalszym szkodom.
declaration	deklaracja	Minister odczytał formalną deklarację.
dedicated	oddany	Oddana pielęgniarka pracowała przez całą noc.
dedication	poświęcenie	Jego poświęcenie zainspirowało młodszych graczy.
deed	czyn	Odważny czyn uratował dwa życia.
deem	uznać	Sąd może uznać umowę za nieważną.
default	wartość domyślna	Użyj na razie ustawień domyślnych.
defect	wada	Inspektorzy znaleźli poważną wadę.
defensive	defensywny	Jego defensywny ton zaskoczył wszystkich.
deficiency	niedobór	Niedobór żelaza może wpływać na zdrowie.
deficit	deficyt	Deficyt budżetowy zaniepokoił urzędników.
defy	przeciwstawić się	Protestujący zdecydowali się przeciwstawić zakazowi.
delegate	delegat	Każdy delegat otrzymał kartę do głosowania.
delegation	delegacja	Delegacja przybyła przed południem.
delicate	delikatny	Delikatne szkło łatwo pękło.
demon	demon	Historia opisuje starożytnego demona.
denial	zaprzeczenie	Jego zaprzeczenie rozgniewało ofiary.
denounce	potępić	Przywódcy potępiają przemoc w szkołach.
dense	gęsty	Gęsty las blokował światło słoneczne.
density	gęstość	Gęstość zaludnienia jest wysoka w centrum miasta.
dependence	zależność	Zależność kraju od ropy naftowej spadła.
depict	przedstawiać	Mural przedstawia wiejskie życie.
deploy	rozmieścić	Wojsko rozmieści dodatkowy personel.
deployment	rozmieszczenie	Rozmieszczenie wojsk rozpoczęło się w poniedziałek.
deprive	pozbawić	Brak snu może pozbawić studentów skupienia.
deputy	zastępca	Zastępca podpisał umowę.
descend	opadać	Ścieżka zaczęła stromo opadać.
