simplified	LV	example_LV
哎	hei; ai	Hei, kāpēc tu atnāci?
唉	eh; nopūta	Eh, es atkal nokavēju.
爱护	rūpēties par; saudzēt	Mums jārūpējas par vidi.
爱惜	saudzēt; novērtēt	Lūdzu, novērtē savu laiku.
爱心	līdzjūtība; sirsnība	Viņa ir ļoti sirsnīga.
安慰	mierināt	Draugs mani mierināja.
安装	uzstādīt	Strādnieks uzstāda gaisa kondicionieri.
岸	krasts	Laiva lēnām tuvojas krastam.
暗	tumšs	Istabā ir ļoti tumšs.
熬夜	palikt nomodā līdz vēlam vakaram	Vēla negulēšana kaitē veselībai.
把握	pārliecība; satvert	Es neesmu pārliecināts, ka varu šo labi izdarīt.
摆	sakārtot; novietot	Lūdzu, sakārto krēslus kārtīgi.
办理	nokārtot; apstrādāt	Es eju uz banku nokārtot darījumus.
傍晚	vakarpuse; pievakare	Vakarpusē iesim pastaigā.
包裹	paka	Es saņēmu paku.
包含	iekļaut	Cenā ir iekļautas brokastis.
包括	ietvert; iekļaut	Maksā ir iekļautas pusdienas.
薄	plāns	Šī grāmata ir ļoti plāna.
保持	saglabāt; uzturēt	Lūdzu, saglabājiet klusumu.
保存	saglabāt	Lūdzu, saglabā šo failu.
保留	rezervēt; paturēt	Lūdzu, rezervējiet man vienu vietu.
保险	apdrošināšana; drošs	Es nopirku ceļojuma apdrošināšanu.
宝贝	dārgums	Tas ir mans dārgums.
宝贵	vērtīgs	Laiks ir ļoti vērtīgs.
报到	reģistrēties; ierasties	Jaunie studenti šodien ierodas skolā reģistrēties.
报道	ziņot; reportāža	Ziņas ziņoja par šo lietu.
报告	ziņojums; ziņot	Viņš pašlaik sniedz ziņojumu.
报社	laikraksta redakcija	Viņa strādā laikraksta redakcijā.
抱怨	sūdzēties	Viņš vienmēr sūdzas, ka darba ir pārāk daudz.
悲观	pesimistisks	Neesi pārāk pesimistisks.
背	mugura	Viņš sēž ar muguru pret durvīm.
背景	fons; pieredze	Lūdzu, īsi pastāsti par savu pieredzi.
被子	sega	Sega ir ļoti silta.
本科	bakalaura studijas; bakalaura līmeņa	Viņš ir bakalaura students.
本领	prasme; spēja	Viņš apguva jaunu prasmi.
本质	būtība	Problēmas būtība ir ļoti vienkārša.
彼此	viens otru	Mums jārespektē vienam otru.
比例	proporcija	Vīriešu un sieviešu proporcija ir apmēram vienāda.
必然	neizbēgams	Cītīgs darbs neizbēgami dos rezultātus.
必要	nepieciešams	Nav nepieciešams uztraukties.
毕竟	galu galā	Galu galā viņš vēl ir bērns.
避免	izvairīties	Lūdzu, izvairies no kavēšanās.
编辑	rediģēt; redaktors	Viņš ir atbildīgs par šī raksta rediģēšanu.
鞭炮	petardes	Pavasara svētku laikā daži cilvēki dedzina petardes.
便	tad; ērts	Pēc ēšanas viņš devās uz nodarbību.
辩论	debates; debatēt	Viņi debatē par šo jautājumu.
标点	pieturzīmes	Lūdzu, pievērs uzmanību pieturzīmēm.
标志	zīme; simbols	Sarkana gaisma ir apstāšanās zīme.
表达	izteikt	Viņš izteica savu viedokli.
表面	virsma	Galda virsma ir ļoti tīra.
表明	parādīt; norādīt	Rezultāts parāda, ka viņam ir taisnība.
表情	sejas izteiksme	Viņas sejas izteiksme ir ļoti nopietna.
表现	sniegums; izpausties	Viņš šodien uzstājās ļoti labi.
冰激凌	saldējums	Bērniem patīk ēst saldējumu.
病毒	vīruss	Šis vīruss izplatās ļoti ātri.
播放	atskaņot; pārraidīt	Lūdzu, atskaņo šo dziesmu.
玻璃	stikls	Stikla glāze saplīsa.
