source_headword	ID	example_ID
heal	sembuh	Istirahat membantu tubuh sembuh.
healthcare	perawatan kesehatan	Biaya perawatan kesehatan naik tahun ini.
helmet	helm	Pakailah helm saat bersepeda.
hence	oleh karena itu	Oleh karena itu, kami mengubah jadwalnya.
herb	herba	Kemangi adalah herba yang berguna.
hidden	tersembunyi	Kuncinya tersembunyi di bawah keset.
highway	jalan raya	Jalan raya ditutup setelah salju turun.
hilarious	sangat lucu	Filmnya sangat lucu.
hip	pinggul	Dia melukai pinggulnya saat latihan.
historian	sejarawan	Sejarawan itu mempelajari surat-surat kuno.
homeless	tunawisma	Penampungan itu membantu keluarga tunawisma.
honesty	kejujuran	Kejujuran membangun kepercayaan.
hook	kait	Gantungkan mantel di kait itu.
hopefully	semoga	Semoga keretanya segera tiba.
hunger	rasa lapar	Rasa lapar dapat memengaruhi konsentrasi.
hypothesis	hipotesis	Eksperimen itu menguji hipotesis tersebut.
icon	ikon	Ikon aplikasi berubah hari ini.
ID	tanda pengenal	Tunjukkan tanda pengenal Anda di resepsionis.
identical	identik	Si kembar memakai jaket yang identik.
illusion	ilusi	Cermin itu menciptakan ilusi.
immigration	imigrasi	Kebijakan imigrasi berubah tahun lalu.
immune	kebal	Vaksinasi dapat membuat orang kebal.
implement	menerapkan	Sekolah akan menerapkan kebijakan tersebut.
implication	implikasi	Implikasinya jelas.
incentive	insentif	Bonus itu memberi pekerja insentif.
incorporate	memasukkan	Masukkan lebih banyak sayuran ke dalam makanan.
incorrect	salah	Jawabannya salah.
independence	kemerdekaan	Negara itu merayakan kemerdekaan.
index	indeks	Periksa indeks untuk topik tersebut.
indication	indikasi	Senyumannya adalah indikasi kelegaan.
inevitable	tidak dapat dihindari	Sedikit keterlambatan tidak dapat dihindari.
inevitably	tak pelak lagi	Tak pelak lagi, harga naik setelah kelangkaan.
infer	menyimpulkan	Kita dapat menyimpulkan jawabannya dari konteks.
inflation	inflasi	Inflasi meningkatkan harga makanan.
info	info	Situs web tersebut mencantumkan info yang berguna.
infrastructure	infrastruktur	Badai merusak infrastruktur lokal.
inhabitant	penduduk	Setiap penduduk menerima air bersih.
inherit	mewarisi	Dia akan mewarisi rumah keluarga itu.
ink	tinta	Printer itu membutuhkan tinta hitam.
innovation	inovasi	Inovasi mendorong industri maju.
innovative	inovatif	Perusahaan meluncurkan produk yang inovatif.
input	masukan	Manajer meminta masukan.
insert	memasukkan	Masukkan kartu ke dalam mesin.
inspector	inspektur	Inspektur memeriksa bangunan tersebut.
installation	instalasi	Instalasi memakan waktu dua jam.
instant	instan	Aplikasi mengirimkan balasan instan.
instantly	seketika	Layar menyala seketika.
integrate	mengintegrasikan	Perangkat lunak ini dapat mengintegrasikan alat baru.
intellectual	intelektual	Debatnya intelektual namun bersahabat.
interact	berinteraksi	Siswa berinteraksi selama kerja kelompok.
interaction	interaksi	Interaksi itu sopan.
interpretation	interpretasi	Interpretasinya terhadap puisi itu orisinal.
interval	jeda	Ada jeda singkat di antara pertunjukan.
invade	menyerbu	Tentara mencoba menyerbu pulau itu.
invasion	invasi	Invasi itu merusak banyak kota.
investor	investor	Investor mendanai perusahaan rintisan baru.
isolate	mengisolasi	Dokter mengisolasi pasien dengan infeksi serius.
isolated	terisolasi	Desa itu terisolasi oleh salju.
jail	penjara	Pencuri itu masuk penjara.
jet	jet	Jet itu mendarat pada siang hari.
joint	bersama	Mereka mengumumkan proyek bersama.
journalism	jurnalisme	Jurnalisme membutuhkan fakta yang akurat.
jury	juri	Juri mencapai keputusan.
kit	peralatan	Peralatan perbaikan mencakup sekrup.
ladder	tangga	Tangga itu bersandar di dinding.
landing	pendaratan	Pesawat melakukan pendaratan yang mulus.
lane	jalur	Tetap di jalur kanan.
lately	akhir-akhir ini	Saya tidur nyenyak akhir-akhir ini.
leaflet	selebaran	Selebaran itu menjelaskan layanannya.
legend	legenda	Legenda menceritakan tentang kota yang tersembunyi.
lens	lensa	Bersihkan lensa kamera dengan hati-hati.
lifetime	seumur hidup	Dia menabung seumur hidup.
lighting	pencahayaan	Pencahayaan yang baik memperindah ruangan.
likewise	demikian juga	Dia tersenyum; dia pun melakukan hal yang sama.
limitation	batasan	Rencana itu memiliki satu batasan.
literally	secara harfiah	Dia benar-benar berlari menuju bus.
literary	sastra	Festival itu menghargai karya sastra.
litre	liter	Belilah satu liter susu.
litter	sampah	Jangan membuang sampah sembarangan.
logo	logo	Logo itu muncul di setiap halaman.
lottery	lotere	Dia memenangkan hadiah kecil lotere.
loyal	setia	Anjing itu setia kepada pemiliknya.
lyric	lirik	Lirik itu mengulangi gagasan utamanya.
magnificent	luar biasa	Istana itu tampak luar biasa.
make-up	riasan	Dia memakai riasan sederhana.
making	pembuatan	Pembuatan film itu sulit.
manufacture	memproduksi	Pabrik itu akan memproduksi ponsel.
manufacturing	manufaktur	Pekerjaan manufaktur meningkat secara lokal.
marathon	maraton	Dia menyelesaikan maraton itu.
margin	margin	Tuliskan catatan di margin.
marker	spidol	Gunakan spidol untuk labelnya.
martial	bela diri	Dia belajar seni bela diri.
mate	teman	Teman sekolah lama saya menelepon kemarin.
mayor	wali kota	Wali kota membuka perpustakaan tersebut.
mechanic	mekanik	Mekanik itu memperbaiki bus.
mechanical	mekanis	Jam itu memiliki kerusakan mekanis.
mechanism	mekanisme	Mekanisme kuncinya sederhana.
medal	medali	Dia memenangkan medali emas.
medication	obat-obatan	Minum obat dengan air.
membership	keanggotaan	Keanggotaan pusat kebugaran lebih murah secara daring.
memorable	berkesan	Perjalanan itu berkesan.
metaphor	metafora	Puisi itu menggunakan metafora yang kuat.
miner	penambang	Penambang itu bekerja di bawah tanah.
miserable	sengsara	Hujan membuat piknik itu terasa sengsara.
mode	mode	Ubah kamera ke mode malam.
modest	sederhana	Mereka tinggal di rumah yang sederhana.
monster	monster	Cerita itu memiliki monster yang menakutkan.
monthly	bulanan	Kami membayar sewa secara bulanan.
monument	monumen	Monumen itu berdiri di dekat sungai.
moreover	selain itu	Selain itu, rencana ini menghemat uang.
mortgage	hipotek	Mereka mengajukan hipotek.
mosque	masjid	Masjid itu berada di dekat pasar.
motion	gerakan	Sensor itu mendeteksi gerakan.
motivate	memotivasi	Pujian dapat memotivasi siswa.
motivation	motivasi	Motivasinya tetap kuat.
moving	mengharukan	Pidato itu mengharukan.
myth	mitos	Mitos itu menjelaskan nama gunung tersebut.
naked	telanjang	Bayi itu telanjang setelah mandi.
nasty	parah	Lukanya tampak parah.
navigation	navigasi	Aplikasi itu meningkatkan navigasi.
nearby	terdekat	Kafe terdekat buka lebih awal.
necessity	kebutuhan	Air bersih adalah suatu kebutuhan.
negotiate	bernegosiasi	Mereka akan bernegosiasi tentang kontrak besok.
negotiation	negosiasi	Negosiasi berlangsung sepanjang pagi.
neutral	netral	Hakim tetap netral.
newly	baru saja	Pintu yang baru saja dicat itu tampak cerah.
norm	norma	Bekerja dari jarak jauh menjadi norma.
notebook	buku catatan	Tulis catatan di buku catatanmu.
novelist	novelis	Novelis itu menandatangani bukunya.
nowadays	saat ini	Saat ini, banyak orang bekerja daring.
nursing	keperawatan	Dia sedang belajar ilmu keperawatan.
nutrition	nutrisi	Nutrisi yang baik mendukung kesehatan.
obesity	obesitas	Obesitas meningkatkan risiko kesehatan.
observer	pengamat	Pengamat itu mencatat hasilnya.
obstacle	rintangan	Pohon tumbang itu merupakan sebuah rintangan.
occupation	pekerjaan	Tolong tuliskan pekerjaan Anda di sini.
occupy	menempati	Keluarga itu akan menempati apartemen tersebut.
offender	pelaku	Pelaku meminta maaf di pengadilan.
ongoing	sedang berlangsung	Penyelidikan sedang berlangsung.
openly	secara terbuka	Dia berbicara secara terbuka tentang ketakutannya.
opera	opera	Kami melihat opera di Milan.
operator	operator	Operator menghubungkan panggilan tersebut.
optimistic	optimis	Dia merasa optimis tentang masa depan.
orchestra	orkestra	Orkestra itu bermain dengan lembut.
organic	organik	Mereka membeli sayuran organik.
outfit	pakaian	Pakaiannya sesuai dengan acaranya.
output	keluaran	Keluaran mesin meningkat.
outstanding	luar biasa	Penampilannya luar biasa.
overcome	mengatasi	Mereka mengatasi masalah bersama-sama.
overnight	semalaman	Paket itu tiba semalaman.
overseas	di luar negeri	Dia menemukan pekerjaan di luar negeri.
ownership	kepemilikan	Kepemilikan atas tanah itu berubah.
oxygen	oksigen	Tanaman menghasilkan oksigen.
packet	bungkus	Buka bungkusnya dengan hati-hati.
palm	telapak tangan	Pegang koin di telapak tanganmu.
panic	kepanikan	Kepanikan menyebar di antara kerumunan.
parade	parade	Parade dimulai pada siang hari.
parallel	sejajar	Jalan-jalan itu membentang sejajar.
participation	partisipasi	Partisipasi di kelas meningkat.
partnership	kemitraan	Kemitraan itu membantu kedua perusahaan.
part-time	paruh waktu	Dia menemukan pekerjaan paruh waktu.
passionate	penuh semangat	Dia sangat menyukai musik.
password	kata sandi	Pilih kata sandi yang kuat.
patience	kesabaran	Mengajar anak kecil membutuhkan kesabaran.
pause	jeda	Jeda video sekarang.
peer	teman sebaya	Tekanan teman sebaya memengaruhi pilihannya.
penalty	hukuman	Pemain itu menerima hukuman.
perceive	memandang	Orang memandang risiko secara berbeda.
perception	persepsi	Persepsinya tentang bahaya berubah.
permanently	secara permanen	Toko itu tutup secara permanen.
pill	pil	Minum satu pil setelah sarapan.
pity	sayang sekali	Sungguh sayang sekali.
placement	penempatan	Penempatan sofa itu penting.
portion	porsi	Sajikan seporsi kecil nasi.
potentially	berpotensi	Perubahan ini berpotensi berguna.
precede	mendahului	Awan gelap sering kali mendahului hujan.
precious	berharga	Cincin ini berharga.
precise	tepat	Instruksinya tepat.
precisely	dengan tepat	Ukur jarak dengan tepat.
predictable	dapat diprediksi	Akhir ceritanya dapat diprediksi.
preference	preferensi	Dia menyatakan preferensi terhadap teh.
pride	kebanggaan	Dia merasakan kebanggaan setelah menyelesaikannya.
primarily	terutama	Kursus ini terutama dilaksanakan daring.
principal	kepala sekolah	Kepala sekolah menyapa murid baru.
prior	sebelumnya	Kami membutuhkan persetujuan sebelumnya.
probability	kemungkinan	Kemungkinan terjadinya hujan sangat tinggi.
probable	mungkin	Hujan mungkin turun malam ini.
proceed	melanjutkan	Silakan lanjutkan ke ruangan berikutnya.
programming	pemrograman	Pemrograman membutuhkan latihan.
progressive	progresif	Kebijakan itu progresif untuk masanya.
prohibit	melarang	Aturan melarang merokok.
promising	menjanjikan	Hasilnya tampak menjanjikan.
promotion	promosi	Dia mendapatkan promosi di tempat kerja.
prompt	cepat	Respons yang cepat menghemat waktu.
proportion	proporsi	Sebagian besar memberi suara ya.
protein	protein	Kacang mengandung protein.
protester	pengunjuk rasa	Pengunjuk rasa itu memegang sebuah papan.
psychological	psikologis	Kecelakaan itu menyebabkan stres psikologis.
publicity	publisitas	Acara itu mendapatkan publisitas.
publishing	penerbitan	Dia bekerja di bidang penerbitan.
punk	punk	Musik punk menjadi populer di sana.
purely	murni	Pilihan itu murni karena alasan praktis.
pursuit	upaya	Dia melanjutkan upayanya mencari keadilan.
puzzle	teka-teki	Teka-teki itu memakan waktu satu jam.
questionnaire	kuesioner	Tolong isi kuesioner tersebut.
racial	rasial	Laporan tersebut membahas ketidaksetaraan rasial.
racism	rasisme	Rasisme merugikan komunitas.
racist	rasis	Komentar itu rasis.
radiation	radiasi	Radiasi dapat merusak sel.
rail	pegangan	Pegang pegangan di tangga.
random	acak	Komputer memilih angka acak.
rat	tikus	Seekor tikus berlari di belakang tempat sampah.
rating	peringkat	Hotel itu memiliki peringkat tinggi.
reasonably	cukup	Kamar itu cukup bersih.
rebuild	membangun kembali	Mereka akan membangun kembali jembatan itu.
receiver	penerima	Penerima menangkap bola itu.
recession	resesi	Resesi mengurangi pengeluaran.
reckon	mengira	Saya mengira keretanya terlambat.
recognition	pengakuan	Dia menerima pengakuan atas karyanya.
