simplified	UZ	example_UZ
哎	hoy; ey	Hoy, bu yerga qanday kelib qoldingiz?
唉	eh; uf	Eh, men yana kechikdim.
爱护	asramoq; g'amxo'rlik qilmoq	Biz atrof-muhitni asrashimiz kerak.
爱惜	qadrlamoq; avaylamoq	Iltimos, o'z vaqtingizni qadrlang.
爱心	mehr-shafqat; mehribonlik	U juda mehribon.
安慰	tasalli bermoq	Do'stim menga tasalli berdi.
安装	o'rnatmoq	Ishchi konditsionerni o'rnatmoqda.
岸	qirg'oq	Qayiq asta-sekin qirg'oqqa yaqinlashmoqda.
暗	qorong'i	Xonada juda qorong'i.
熬夜	tunda uxlamay o'tirmoq	Tunda uxlamay o'tirish sog'liq uchun zararli.
把握	ishonch; imkonni qo'lga olmoq	Bu ishni yaxshi qila olishimga ishonchim komil emas.
摆	joylashtirmoq	Iltimos, stullarni tartibli joylashtiring.
办理	rasmiylashtirmoq; bajarmoq	Men bankka ayrim ishlarni rasmiylashtirish uchun boryapman.
傍晚	kechqurun	Kechqurun sayrga chiqamiz.
包裹	jo'natma; posilka	Men posilka oldim.
包含	o'z ichiga olmoq	Narx nonushtani o'z ichiga oladi.
包括	o'z ichiga olmoq	To'lov tushlikni o'z ichiga oladi.
薄	yupqa	Bu kitob juda yupqa.
保持	saqlamoq	Iltimos, jimlikni saqlang.
保存	saqlab qo'ymoq	Iltimos, bu faylni saqlab qo'ying.
保留	saqlab qo'ymoq; band qilmoq	Iltimos, menga bitta joy band qilib qo'ying.
保险	sug'urta	Men sayohat sug'urtasini sotib oldim.
宝贝	xazina; aziz narsa	Bu mening xazinam.
宝贵	qimmatli; bebaho	Vaqt juda qimmatli.
报到	ro'yxatdan o'tib kelmoq	Yangi talabalar bugun maktabga ro'yxatdan o'tgani kelishadi.
报道	xabar bermoq; reportaj	Yangiliklar bu masala haqida xabar berdi.
报告	hisobot bermoq; ma'ruza qilmoq	U hisobot bermoqda.
报社	gazeta tahririyati	U gazeta tahririyatida ishlaydi.
抱怨	shikoyat qilmoq	U doim ish juda ko'pligidan shikoyat qiladi.
悲观	pessimistik; tushkun	Juda pessimistik bo'lmang.
背	orqa; bel	U eshikka orqa o'girib o'tiribdi.
背景	fon; kelib chiqish	Iltimos, o'z kelib chiqishingizni qisqacha tanishtiring.
被子	ko'rpa	Ko'rpa juda issiq.
本科	bakalavriat; bakalavr	U bakalavriat talabasi.
本领	mahorat; qobiliyat	U yangi mahorat o'rgandi.
本质	mohiyat	Muammoning mohiyati juda oddiy.
彼此	bir-biri	Biz bir-birimizni hurmat qilishimiz kerak.
比例	nisbat	Erkaklar va ayollar nisbati taxminan bir xil.
必然	muqarrar	Kuchli mehnat muqarrar ravishda natija beradi.
必要	zarur; kerakli	Xavotirlanishga hojat yo'q.
毕竟	axir; baribir	Axir, u hali bola.
避免	oldini olmoq; chetlab o'tmoq	Iltimos, kechikishdan saqlaning.
编辑	tahrir qilmoq; muharrir	U bu maqolani tahrir qilish uchun mas'ul.
鞭炮	petarda; bayram mushagi	Bahor bayramida ba'zi odamlar petarda otadi.
便	qulay; so'ng	Ovqatdan keyin u darsga ketdi.
辩论	munozara qilmoq; bahs	Ular bu savol ustida munozara qilmoqda.
标点	tinish belgisi	Iltimos, tinish belgilariga e'tibor bering.
标志	belgi; ramz	Qizil chiroq to'xtash belgisidir.
表达	ifoda etmoq	U o'z fikrini ifoda etdi.
表面	yuzasi; sirt	Stolning yuzasi juda toza.
表明	ko'rsatmoq; ayon qilmoq	Natija uning haq ekanini ko'rsatadi.
表情	yuz ifodasi	Uning yuz ifodasi juda jiddiy.
表现	namoyon qilmoq; ko'rsatkich	U bugun juda yaxshi natija ko'rsatdi.
冰激凌	muzqaymoq	Bolalar muzqaymoq yeyishni yaxshi ko'radi.
病毒	kasallik qo'zg'atuvchi	Bu turdagi kasallik qo'zg'atuvchi juda tez tarqaladi.
播放	ijro etmoq; eshittirmoq	Iltimos, bu qo'shiqni qo'ying.
玻璃	shisha	Shisha piyola sindi.
博物馆	muzey	Bu hafta oxirida muzeyga boramiz.
脖子	bo'yin	Bo'ynim biroz og'riyapti.
不断	to'xtovsiz; doimiy	Narxlar doimiy ravishda oshmoqda.
不见得	shart emas; albatta emas	Bu albatta yomon narsa emas.
不耐烦	sabrsiz; toqatsiz	Uzoq kutgach, u biroz sabrsiz bo'lib qoldi.
不要紧	hechqisi yo'q; jiddiy emas	Hammasi joyida, hechqisi yo'q.
补充	to'ldirmoq; qo'shimcha qilmoq	Men bir fikr qo'shmoqchiman.
不安	bezovta; xotirjam emas	Bu xabarni eshitgach, u bezovta bo'ldi.
不得了	juda jiddiy; dahshatli	Bu masala haqiqatan ham juda jiddiy.
不然	aks holda	Tezroq keting, aks holda kechikasiz.
不如	...dan ko'ra yaxshiroq	Transportga chiqqandan ko'ra piyoda yurgan yaxshiroq.
不足	yetarli emas; kam	Bu yerda suv yetarli emas.
布	mato	Bu mato juda yumshoq.
步骤	qadam; bosqich	Iltimos, bosqichlar bo'yicha bajaring.
部门	bo'lim	Men savdo bo'limida ishlayman.
财产	mulk	Bu uy uning mulki.
彩虹	kamalak	Yomg'irdan keyin kamalak chiqdi.
踩	bosmoq; oyoq bosmoq	Maysani bosmang.
采访	intervyu olmoq	Jurnalist shifokordan intervyu olmoqda.
采取	qabul qilmoq; qo'llamoq	Biz yangi usulni qo'lladik.
参考	ma'lumot sifatida qaramoq; murojaat qilmoq	Iltimos, bu kitobga murojaat qiling.
参与	ishtirok etmoq	U tadbirlarda faol ishtirok etadi.
惭愧	uyalmoq; xijolat bo'lmoq	O'z xatomdan uyalaman.
操场	o'yin maydoni; sport maydoni	O'quvchilar sport maydonida yugurishmoqda.
操心	tashvishlanmoq	Men haqimda tashvishlanmang.
册	jild; kitob uchun hisob so'zi	Men bir jild kitob sotib oldim.
测验	kichik test	Ertaga kichik test bor.
曾经	bir paytlar	Men bir paytlar Pekinda yashaganman.
叉子	sanchqi	Men salatni sanchqi bilan yeyman.
差距	farq; tafovut	Shahar va qishloq o'rtasida tafovut bor.
插	suqmoq; joylamoq	Iltimos, gullarni vazaga soling.
拆	buzmoq; yechmoq	Ishchilar eski uyni buzmoqda.
产品	mahsulot	Bu mahsulotning sifati juda yaxshi.
产生	paydo bo'lmoq	Bu masala yangi ta'sir paydo qildi.
常识	umumiy bilim; oddiy aql	Bu asosiy umumiy bilim.
长途	uzoq masofali	Uzoq masofali sayohat charchatadi.
抄	ko'chirmoq	Iltimos, boshqalarning uy vazifasini ko'chirmang.
超级	super; juda katta	Bu supermarket.
朝	sulola	Tang sulolasi juda mashhur.
潮湿	nam; zax	Janubda yoz juda nam bo'ladi.
吵	shovqin qilmoq; shovqinli	Tashqarida juda shovqin.
吵架	janjallashmoq	Ular yana janjallashdi.
炒	qovurmoq	Oyim ovqat qovuryapti.
车库	garaj	Mashina garajda turibdi.
车厢	vagon	Bu poyezd vagoni juda tinch.
彻底	to'liq; tubdan	U buni to'liq tushundi.
沉默	jim; sukut saqlamoq	U butun vaqt davomida sukut saqladi.
趁	foydalanib; paytida	Qorong'i tushmasidan ketaylik.
称	tortmoq; atamoq	Iltimos, bu posilkani tortib ko'ring.
称呼	murojaat qilmoq; atash	Unga qanday murojaat qilishni bilmayman.
称赞	maqtamoq	O'qituvchi uning yutug'ini maqtadi.
成分	tarkib; ingredient	Bu dorining tarkibi oddiy.
成果	natija; yutuq	Bu loyiha natija berdi.
成就	yutuq; muvaffaqiyat	U faoliyatida ko'p yutuqlarga erishgan.
成立	tashkil etilmoq; asos solmoq	Kompaniya o'tgan yili tashkil etilgan.
成人	kattalar	Kattalar chiptasi bolalar chiptasidan qimmatroq.
成熟	pishgan; yetuk	Olmalar allaqachon pishgan.
成语	iborali maqol; chengyu	Bu ibora ko'p ishlatiladi.
成长	o'smoq; ulg'aymoq	Bola asta-sekin ulg'aymoqda.
承担	zimmasiga olmoq	U mas'uliyatni zimmasiga olishga tayyor.
承认	tan olmoq	U o'zining xato qilganini tan oldi.
承受	chidamoq; ko'tarmoq	Men bunday katta bosimga chiday olmayman.
程度	daraja	Uning xitoy tili darajasi juda yuqori.
程序	tartib; jarayon	Iltimos, buni tartib bo'yicha bajaring.
诚恳	samimiy	Uning munosabati juda samimiy.
吃亏	zarar ko'rmoq	Narsa sotib olishdan oldin yaxshilab qarang, zarar ko'rmaysiz.
持续	davom etmoq	Yomg'ir uch kun davom etdi.
池塘	hovuz; ko'lmak	Hovuzda ko'p baliq bor.
迟早	ertami-kechmi	Ertami-kechmi tushunasiz.
尺子	chizg'ich	Iltimos, chizg'ich bilan o'lchang.
翅膀	qanot	Qushning qanoti jarohatlangan.
充电器	zaryadlovchi qurilma	Mening zaryadlovchi qurilmam buzilgan.
充分	yetarli; to'liq	Biz yetarli tayyorgarlik ko'rdik.
充满	to'la; limmo-lim	Xona kulgiga to'ldi.
冲	chaymoq; suv bilan yuvmoq	Iltimos, piyolani suv bilan chaying.
重复	takrorlamoq	Iltimos, bir xil xatoni takrorlamang.
宠物	uy hayvoni	U uyda it boqadi.
抽屉	tortma	Kalit tortmada.
抽象	mavhum	Bu tushuncha juda mavhum.
丑	xunuk	Bu surat biroz xunuk.
