source_headword	ES	example_ES
incur	incurrir en	Los retrasos pueden incurrir en costes adicionales.
indicator	el indicador	El desempleo es un indicador económico.
indictment	la acusación	La acusación enumeró tres cargos.
indigenous	autóctono	Las plantas autóctonas crecen bien aquí.
induce	inducir	El medicamento puede inducir el sueño.
indulge	permitirse	Ella no se permite hábitos caros.
inequality	la desigualdad	La desigualdad de ingresos sigue siendo un problema importante.
infamous	infame	La prisión se volvió infame en todo el mundo.
infant	el bebé	El bebé durmió en la cuna.
infect	infectar	El virus puede infectar células sanas.
inflict	infligir	No inflijas dolor a los animales.
influential	influyente	Ella es una académica legal influyente.
inherent	inherente	El diseño tiene riesgos inherentes.
inhibit	inhibir	El miedo puede inhibir la discusión honesta.
initiate	iniciar	El gerente iniciará la revisión.
inject	inyectar	La enfermera inyectará la vacuna.
injection	la inyección	La inyección redujo el dolor.
injustice	la injusticia	El fallo expuso una clara injusticia.
inmate	el recluso	El recluso solicitó asesoramiento legal.
insertion	la inserción	El formulario necesita una inserción de texto.
insider	el informante	Un informante filtró el informe.
inspect	inspeccionar	Los funcionarios inspeccionan el puente anualmente.
inspection	la inspección	La inspección encontró daños graves.
inspiration	la inspiración	Su discurso me dio inspiración.
instinct	el instinto	Su primer instinto fue ayudar.
institutional	institucional	Las reglas institucionales dieron forma a la decisión.
instruct	instruir	El manual instruirá al nuevo personal.
instrumental	fundamental	Su consejo fue fundamental en las negociaciones.
insufficient	insuficiente	La evidencia fue insuficiente para los cargos.
insult	el insulto	Su insulto terminó la conversación.
intact	intacto	El antiguo muro permaneció intacto.
intake	la ingesta	La ingesta de azúcar debe mantenerse moderada.
integral	integral	La confianza es integral para el equipo.
integrated	integrado	La escuela ofrece apoyo integrado.
integration	la integración	La integración mejoró todo el sistema.
integrity	la integridad	El juez mostró una gran integridad.
intensify	intensificar	La tormenta puede intensificarse durante la noche.
intensity	la intensidad	La intensidad del entrenamiento aumentó.
intensive	intensivo	Completaron un entrenamiento intensivo de idiomas.
intent	la intención	Su intención fue difícil de probar.
interactive	interactivo	El museo tiene exposiciones interactivas.
interface	la interfaz	La interfaz es fácil de navegar.
interfere	interferir	No interfieras con la investigación.
interference	la interferencia	La interferencia de la señal interrumpió la llamada.
interim	provisional	Un informe provisional llega mañana.
interior	interior	Las paredes interiores necesitan pintura.
intermediate	intermedio	Ella se unió a la clase intermedia.
intervene	intervenir	La policía tuvo que intervenir rápidamente.
intervention	la intervención	La intervención temprana ayudó al paciente.
intimate	íntimo	Celebraron una ceremonia familiar íntima.
intriguing	intrigante	Los datos revelaron un patrón intrigante.
investigator	el investigador	El investigador entrevistó a cada testigo.
invisible	invisible	El gas es invisible y peligroso.
invoke	invocar	El abogado intentó invocar un precedente.
involvement	la participación	Su participación permaneció poco clara.
ironic	irónico	El comentario irónico hizo reír a todos.
ironically	irónicamente	Irónicamente, la ruta tomó más tiempo.
irony	la ironía	La ironía era obvia para todos.
irrelevant	irrelevante	Ese detalle es irrelevante aquí.
isolation	el aislamiento	El aislamiento puede dañar la salud mental.
judicial	judicial	La revisión judicial comienza el lunes.
junction	el cruce	Gira a la izquierda en el cruce.
jurisdiction	la jurisdicción	El tribunal tiene jurisdicción limitada.
just	justo	El juez tomó una decisión justa.
justification	la justificación	Necesitamos una justificación clara para el gasto.
kidnap	secuestrar	Los criminales intentaron secuestrar al diplomático.
kidney	el riñón	Su función renal mejoró.
kingdom	el reino	El reino se expandió bajo su gobierno.
lad	el muchacho	El joven muchacho llevó las bolsas.
landlord	el propietario	El propietario reparó la calefacción.
landmark	el monumento	La torre se convirtió en un monumento de la ciudad.
lap	el regazo	El niño se sentó en su regazo.
large-scale	a gran escala	La ciudad planeó reparaciones a gran escala.
laser	el láser	El láser midió la distancia.
latter	el último	La última opción parece más segura.
lawn	el césped	Los niños jugaron en el césped.
lawsuit	la demanda	La empresa llegó a un acuerdo en la demanda.
layout	el diseño	El diseño de la página se ve más claro.
leak	la fuga	Una fuga en la tubería inundó la cocina.
leap	el salto	Las ventas dieron un salto repentino.
legacy	el legado	Su legado dio forma a la universidad.
legendary	legendario	El legendario cantante regresó al escenario.
legislation	la legislación	La nueva legislación protege a los inquilinos.
legislative	legislativo	El comité legislativo se reunió hoy.
