source_headword	LT	example_LT
institute	institutas	Institutas atidarė naują tyrimų programą.
institution	įstaiga	Įstaiga pakeitė priėmimo taisykles.
insurance	draudimas	Jos draudimas padengė ligoninės išlaidas.
intended	numatytas	Žinutė pasiekė numatytą auditoriją.
intense	intensyvus	Diskusija labai greitai tapo intensyvi.
internal	vidinis	Įmonė pradėjo vidinį patikrinimą.
interpret	interpretuoti	Prašome atidžiai interpretuoti rezultatus.
interrupt	pertraukti	Dabar nepertraukite kalbėtojo.
investigation	tyrimas	Tyrimas atskleidė rimtų klaidų.
investment	investicija	Investicija sukūrė daug vietinių darbo vietų.
joy	džiaugsmas	Jų sėkmė atnešė didelį džiaugsmą.
judgement	nuovoka	Jo nuovoka pagerėjo su patirtimi.
junior	jaunesnysis	Ji prisijungė prie komandos kaip jaunesnioji analitikė.
justice	teisingumas	Šeima po teismo reikalavo teisingumo.
justify	pateisinti	Privalote aiškiai pateisinti tą sprendimą.
labour	darbo jėga	Projektui reikia kvalifikuotos darbo jėgos.
landscape	kraštovaizdis	Po audros kraštovaizdis pasikeitė.
largely	iš esmės	Planas iš esmės buvo sėkmingas.
launch	pristatyti	Rytoj jie pristatys produktą.
leadership	vadovavimas	Stiprus vadovavimas padėjo komandai atsigauti.
league	lyga	Mūsų klubas prisijungė prie regioninės lygos.
lean	atsiremti	Nesiremkite į drėgną sieną.
licence	licencija	Licencija galioja iki kito mėnesio.
limited	ribotas	Šiandien turime ribotą laiką.
lively	gyvas	Po pietų susitikimas tapo gyvas.
load	krovinys	Sunkvežimis vežė sunkų krovinį.
loan	paskola	Bankas patvirtino paskolą.
logical	logiškas	Jos argumentas buvo aiškus ir logiškas.
long-term	ilgalaikis	Tai yra ilgalaikis sprendimas.
loose	atsilaisvinęs	Rankena yra atsilaisvinusi.
lord	valdovas	Valdovui priklausė keli kaimai.
lower	sumažinti	Žiemą jie sumažina kainas.
lung	plautis	Rūkymas gali pažeisti plautį.
maintain	palaikyti	Mes palaikome reguliarų kontaktą.
majority	dauguma	Dauguma pritarė pasiūlymui.
mass	masė	Debesų masė uždengė dangų.
massive	didžiulis	Žemės drebėjimas padarė didžiulę žalą.
master	meistras	Ji tapo derybų meistrė.
matching	derantis	Jis avėjo derančius batus ir diržą.
maximum	maksimalus	Kambarys pasiekė maksimalią talpą.
means	priemonė	El. paštas yra mūsų pagrindinė ryšio priemonė.
measurement	matavimas	Matavimas buvo šiek tiek klaidingas.
melt	ištirpti	Sniegas ištirps iki vidurdienio.
military	karinis	Karinė bazė buvo uždaryta praėjusiais metais.
mineral	mineralas	Geležis yra svarbus mineralas.
minimum	minimalus	Minimalus amžius yra aštuoniolika metų.
minister	ministras	Ministras atsakė į sunkius klausimus.
minor	nedidelis	Avarija padarė nedidelę žalą.
minority	mažuma	Mažuma nepritarė naujai taisyklei.
mission	misija	Jų misija saugiai baigėsi.
mixed	mišrus	Žinia sulaukė mišrių reakcijų.
modify	pakeisti	Dizainą galime pakeisti vėliau.
monitor	stebėti	Slaugytoja stebės jo būklę.
moral	moralinis	Ši istorija turi moralinę pamoką.
motor	variklis	Variklis sustojo be įspėjimo.
mount	sumontuoti	Jie sumontuoja kameras prie įėjimo.
multiple	keli	Keli veiksniai sukėlė vėlavimą.
multiply	padauginti	Padauginkite skaičių iš dešimties.
mysterious	paslaptingas	Lauke pasirodė paslaptinga šviesa.
neat	tvarkingas	Jos stalas visada tvarkingas.
nerve	nervas	Trauma pažeidė nervą.
nevertheless	vis dėlto	Užduotis buvo sunki, vis dėlto mes ją baigėme.
nightmare	košmaras	Kelionė tapo košmaru.
notion	idėja	Atmeskite idėją, kad pokyčiai neįmanomi.
numerous	daugybė	Daugybė tyrimų patvirtina šią idėją.
obey	paklusti	Vairuotojai turi paklusti ženklams.
objective	tikslas	Mūsų tikslas yra sumažinti atliekų kiekį.
obligation	pareiga	Tėvai turi pareigą apsaugoti vaikus.
observation	pastebėjimas	Jo pastebėjimas pakeitė diskusiją.
observe	stebėti	Mokslininkai kiekvieną pavasarį stebi paukščius.
obtain	gauti	Privalote gauti raštišką leidimą.
occasionally	retkarčiais	Ji retkarčiais dirba iš namų.
offence	įžeidimas	Komentaras sukėlė rimtą įžeidimą.
offend	įžeisti	Nenorėjau nieko įžeisti.
offensive	įžeidžiantis	Plakate buvo įžeidžiančių žodžių.
opening	laisva darbo vieta	Laisva darbo vieta pritraukė daug kandidatų.
operate	veikti	Mašina gali veikti automatiškai.
opponent	varžovas	Jos varžovas kritikavo politiką.
oppose	priešintis	Daugelis gyventojų priešinasi planui.
opposed	priešingas	Grupės turėjo priešingas nuomones.
opposition	pasipriešinimas	Pasiūlymas sulaukė stipraus pasipriešinimo.
organ	organas	Širdis yra gyvybiškai svarbus organas.
origin	kilmė	Gaisro kilmė nežinoma.
otherwise	kitaip	Išeikite dabar, kitaip pavėluosite.
outcome	rezultatas	Rezultatas visus nustebino.
outer	išorinis	Išorinę sieną reikia remontuoti.
outline	apibūdinti	Prašau apibūdinti savo pagrindinį argumentą.
overall	bendras	Bendras rezultatas buvo teigiamas.
owe	būti skolingam	Esu tau skolingas atsiprašymą.
pace	tempas	Eikite pastoviu tempu.
panel	komisija	Komisija aptarė klimato politiką.
parliament	parlamentas	Parlamentas patvirtino naują įstatymą.
participant	dalyvis	Kiekvienas dalyvis pasirašė formą.
partly	iš dalies	Dėl vėlavimo iš dalies buvome kalti mes.
passage	ištrauka	Prieš atsakydami perskaitykite ištrauką.
pension1	pensija	Pensija jį išlaiko po išėjimo į pensiją.
permanent	nuolatinis	Jiems reikia nuolatinio sprendimo.
permit	leisti	Taisyklės leidžia trumpus vizitus.
perspective	perspektyva	Pabandykite suprasti jos perspektyvą.
phase	etapas	Projektas perėjo į paskutinį etapą.
phenomenon	fenomenas	Šis fenomenas pasitaiko daugelyje kultūrų.
philosophy	filosofija	Jos filosofija vertina praktinius veiksmus.
pile	krūva	Popierių krūva uždengė stalą.
pitch	aikštė	Komanda atidžiai paruošė aikštę.
plain	aiškus	Instrukcijos buvo aiškios ir tiesioginės.
pointed	kandus	Jis pasakė kandžią pastabą.
popularity	populiarumas	Dainininkas įgijo populiarumą internete.
pose	sukelti	Klausimas gali sukelti problemą.
possess	turėti	Mažai studentų turi šį įgūdį.
potential	potencialas	Idėja turi tikrą potencialą.
praise	pagyrimas	Mokytojas pasakė nuoširdų pagyrimą.
pregnant	nėščia	Ji yra šeštą mėnesį nėščia.
preparation	pasiruošimas	Geras pasiruošimas sumažina stresą.
presence	dalyvavimas	Jo dalyvavimas pakeitė nuotaiką.
preserve	išsaugoti	Privalome išsaugoti šį istorinį pastatą.
prime	pagrindinis	Pagrindinė priežastis buvo prastas planavimas.
principle	principas	Sprendimas rėmėsi aiškiu principu.
priority	prioritetas	Saugumas yra mūsų pirmasis prioritetas.
privacy	privatumas	Klientai tikisi privatumo internete.
procedure	procedūra	Procedūra trunka trisdešimt minučių.
proof	įrodymas	Mums reikia įrodymo prieš imantis veiksmų.
proposal	pasiūlymas	Pasiūlymui reikia daugiau detalių.
propose	pasiūlyti	Siūlau kitokį sprendimą.
prospect	perspektyva	Nesėkmės perspektyva juos neramino.
protection	apsauga	Šalmas suteikia pagrindinę apsaugą.
psychologist	psichologas	Psichologas paaiškino testo rezultatus.
psychology	psichologija	Ji studijuoja psichologiją universitete.
publication	publikacija	Publikacija pritraukė visuomenės dėmesį.
pupil	mokinys	Kiekvienas mokinys gavo naują vadovėlį.
purchase	pirkti	Jie perka atsargas kiekvieną mėnesį.
pure	grynas	Vanduo buvo grynas ir šaltas.
pursue	siekti	Jis sieks mediko karjeros.
rank	laipsnis	Ji turi aukštą laipsnį.
rapid	spartus	Šalis patyrė spartų augimą.
rapidly	sparčiai	Kainos šiais metais sparčiai kilo.
raw	žalias	Virėjas paruošė žalias daržoves.
realistic	realistiškas	Nustatykite realistišką terminą.
reasonable	pagrįstas	Tai atrodo pagrįstas prašymas.
recall	prisiminti	Prisimenu tikslius jo žodžius.
recover	pasveikti	Ji pasveiks po gydymo.
reduction	sumažinimas	Sumažinimas padėjo sutaupyti pinigų.
regard	laikyti	Daugelis žmonių laiko ją sąžininga.
regional	regioninis	Regioninis biuras šiandien užsidarė.
register	registruotis	Prašome užsiregistruoti prieš konferenciją.
regret	apgailestauti	Apgailestauju dėl savo ankstesnio sprendimo.
regulation	reglamentas	Naujas reglamentas paveikia visus vairuotojus.
relatively	santykinai	Egzaminas buvo santykinai lengvas.
relevant	aktualus	Pasirinkite tik aktualias detales.
relief	palengvėjimas	Naujiena atnešė didelį palengvėjimą.
rely	pasikliauti	Vaikai pasikliauja suaugusiųjų parama.
remark	pastaba	Jo pastaba baigė diskusiją.
representative	atstovas	Atstovas susitiko su vietos darbininkais.
reputation	reputacija	Viešbutis turi gerą reputaciją.
requirement	reikalavimas	Patirtis yra pagrindinis reikalavimas.
rescue	išgelbėti	Jie gelbsti žmones nuo potvynių.
reserve	rezervuoti	Mes rezervuojame vietas svečiams.
resident	gyventojas	Kiekvienas gyventojas gavo pranešimą.
resist	atsispirti	Pabandykite atsispirti spaudimui.
resolve	išspręsti	Jie taikiai išsprendė ginčą.
resort	kurortas	Salos kurortas atidarytas gegužę.
retain	išlaikyti	Įmonė nori išlaikyti darbuotojus.
reveal	atskleisti	Ataskaita atskleis tiesą.
revolution	revoliucija	Revoliucija pakeitė šalį.
reward	atlygis	Sunkus darbas nusipelno atlygio.
rhythm	ritmas	Daina turi pastovų ritmą.
rid	atsikratyti	Atsikratykite tų senų failų.
root	šaknis	Problemos šaknis yra pinigai.
rub	trinti	Trinkite paviršių šluoste.
rubber	guma	Guminis sandariklis apsaugo nuo nuotėkio.
rural	kaimo	Daugeliui kaimo mokyklų reikia paramos.
rush	skubėti	Neskubėkite priimti šio sprendimo.
satellite	palydovas	Palydovas atsiuntė naujus vaizdus.
satisfied	patenkintas	Klientas atrodė patenkintas.
satisfy	patenkinti	Atsakymas jo nepatenkino.
saving	taupymas	Energijos taupymas sumažina mėnesines išlaidas.
scale	mastas	Žalos mastas buvo didžiulis.
scheme	schema	Schema padeda jauniems darbuotojams.
scream	klyksmas	Jie išgirdo klyksmą lauke.
sector	sektorius	Technologijų sektorius auga.
secure	apsaugoti	Užrakinkite duris, kad jas apsaugotumėte.
seek	ieškoti	Jie ieško patarimo pas ekspertus.
select	pasirinkti	Pasirinkite geriausią variantą.
selection	pasirinkimas	Parduotuvė siūlo platų pasirinkimą.
self	aš	Ji parodė savo tikrąjį aš.
senior	vyresnysis	Vyresnysis gydytojas apžiūrėjo pacientą.
sensitive	jautrus	Ši tema yra labai jautri.
sequence	seka	Laikykitės žingsnių sekos.
session	sesija	Treniruočių sesija prasideda vidurdienį.
settle	išspręsti	Jie greitai išsprendė ginčą.
severe	stiprus	Audra sukėlė stiprų potvynį.
shade	pavėsis	Atsisėskite pavėsyje.
shadow	šešėlis	Šešėlis perėjo per langą.
shallow	seklus	Ežeras čia seklus.
shame	gėda	Pamelavęs jis jautė gėdą.
shelter	prieglauda	Mokykla suteikė skubią prieglaudą.
shock	šokas	Sprendimas buvo šokas.
shocked	šokiruotas	Ji atrodė šokiruota naujienos.
shooting	susišaudymas	Susišaudymas įvyko netoli stoties.
shot	šūvis	Pergalingas šūvis visus nustebino.
significant	reikšmingas	Atradimas buvo reikšmingas.
significantly	žymiai	Praėjusiais metais išlaidos žymiai išaugo.
silence	tyla	Kambaryje stojo tyla.
silk	šilkas	Suknelė buvo pasiūta iš šilko.
sincere	nuoširdus	Prašau priimti mano nuoširdžią padėką.
slave	vergas	Įstatymas išlaisvino kiekvieną vergą.
slide	slysti	Vaikas nusileido čiuožykla.
slight	nedidelis	Buvo nedidelis vėlavimas.
slip	paslysti	Nepaslyskite ant šlapių grindų.
slope	šlaitas	Takas eina stačiu šlaitu.
solar	saulės	Namas naudoja saulės energiją.
somewhat	šiek tiek	Instrukcijos buvo šiek tiek painios.
soul	siela	Muzika pakylėjo jos sielą.
specialist	specialistas	Specialistas apžiūrėjo pacientą.
species	rūšis	Ši rūšis gyvena netoli upių.
spiritual	dvasinis	Ji apibūdino dvasinę patirtį.
split	padalinti	Jie pasidalino sąskaitą po lygiai.
sponsor	remti	Įmonė rems renginį.
stable	stabilus	Paciento būklė stabili.
stare	spoksoti	Nespoksokite į nepažįstamuosius.
status	statusas	Jo statusas pasikeitė per naktį.
steady	tolygus	Išlaikykite tolygų greitį.
steel	plienas	Tiltas pastatytas iš plieno.
steep	status	Kalva yra stati.
sticky	lipnus	Grindys atrodo lipnios.
stiff	sustingęs	Jo petys buvo sustingęs.
stock	atsargos	Parduotuvėje neliko jokių atsargų.
stream	upelis	Per lauką teka nedidelis upelis.
stretch	ištiesti	Po skrydžio ištieskite kojas.
strict	griežtas	Mokykloje galioja griežtos taisyklės.
strike	streikuoti	Darbininkai rytoj gali streikuoti.
struggle	vargti	Daugeliui šeimų sunku susimokėti nuomą.
submit	pateikti	Pateikite formą iki penktadienio.
sum	suma	Suma buvo didesnė nei tikėtasi.
surgery	operacija	Operacija truko dvi valandas.
surround	supti	Namą supa aukšti medžiai.
surrounding	aplinkinis	Aplinkinė vietovė yra rami.
suspect	įtarti	Policija įtaria vietinį vyrą.
swear	keiktis	Nesikeikite klasėje.
sweep	šluoti	Prieš atvykstant svečiams, sušluokite grindis.
sympathy	užuojauta	Ji išreiškė užuojautą aukoms.
tale	pasakojimas	Močiutė papasakojo keistą pasaką.
tank	bakas	Bake yra švarus vanduo.
tear1	plėšyti	Neplėšykite dokumento.
tear2	ašara	Jos skruostu nuriedėjo ašara.
temporary	laikinas	Biuras yra laikina pastogė.
therapy	terapija	Fizinė terapija padėjo jam pasveikti.
threat	grasinimas	Žinutėje buvo grasinimas.
threaten	kelti grėsmę	Audra gali kelti grėsmę pasėliams.
thus	taigi	Kelias buvo uždarytas; taigi, mes laukėme.
tone	tonas	Jo tonas skambėjo ramiai.
tough	sunkus	Interviu buvo sunkus.
transfer	perduoti	Jie perduoda duomenis kiekvieną naktį.
transform	pertvarkyti	Nauja politika pertvarkys paslaugas.
transition	perėjimas	Perėjimas truko kelis mėnesius.
trial	teismas	Teismas prasideda kitą savaitę.
tropical	atogrąžų	Atogrąžų audros čia dažnos.
truly	tikrai	Tikrai vertinu jūsų pagalbą.
trust	pasitikėjimas	Pasitikėjimui sukurti reikia laiko.
tune	melodija	Grupė grojo linksmą melodiją.
tunnel	tunelis	Tunelis eina po upe.
ultimately	galiausiai	Galiausiai planas pavyko.
unconscious	be sąmonės	Pacientas liko be sąmonės.
unexpected	netikėtas	Vėlavimas buvo netikėtas.
unique	unikalus	Kiekvienas dizainas yra unikalus.
universe	visata	Visata plečiasi.
unknown	nežinomas	Vardas lieka nežinomas.
upper	viršutinis	Viršutinė lentyna yra tuščia.
upwards	į viršų	Dūmai kilo į viršų.
urban	miesto	Miesto vietovėms reikia geresnio transporto.
urge	raginti	Gydytojai ragina žmones sportuoti.
vary	skirtis	Kainos skiriasi priklausomai nuo regiono.
vast	didžiulis	Dykuma apima didžiulį plotą.
venue	renginio vieta	Renginio vietoje telpa penki šimtai žmonių.
via	per	Išsiųskite dokumentą per el. paštą.
victory	pergalė	Komanda šventė savo pergalę.
violence	smurtas	Miestas nukentėjo nuo politinio smurto.
virtual	virtualus	Susitikimas yra virtualus.
vision	vizija	Jos vizija suformavo įmonę.
visual	vaizdinis	Ataskaitoje yra vaizdinių pavyzdžių.
vital	gyvybiškai svarbus	Vanduo yra gyvybiškai svarbus gyvybei.
vitamin	vitaminas	Apelsinuose yra vitamino C.
volume	garsumas	Sumažinkite garsumą.
wage	atlyginimas	Darbininkai reikalavo didesnio atlyginimo.
weakness	silpnybė	Planas turi vieną trūkumą.
wealth	turtas	Jo turtas atsirado iš prekybos.
wealthy	turtingas	Turtinga šeima finansavo muziejų.
whereas	tuo tarpu	Ji mėgsta arbatą, tuo tarpu aš labiau mėgstu kavą.
wherever	kur tik	Sėskitės kur tik jums patogu.
whisper	šnabždėti	Prašome šnabždėti ceremonijos metu.
whom	ką	Ką pakvietėte?
widely	plačiai	Knyga yra plačiai skaitoma.
wildlife	laukinė gamta	Parkas saugo vietinę laukinę gamtą.
willing	pasirengęs	Ji yra pasirengusi padėti.
wind2	apvynioti	Apvyniokite laidą aplink ritę.
wire	laidas	Laidas sujungia du įrenginius.
wise	išmintingas	Tai buvo išmintingas pasirinkimas.
witness	liudytojas	Liudytojas apibūdino avariją.
wound	žaizda	Atsargiai išvalykite žaizdą.
wrap	suvynioti	Suvyniokite dovaną į popierių.
zone	zona	Ši zona uždaryta eismui.
