source_headword	LV	example_LV
absolutely	pilnīgi	Es pilnīgi tev piekrītu.
academic	akadēmisks	Akadēmiskais gads sākas septembrī.
access	piekļuve	Studentiem vajag piekļuvi bibliotēkai.
accommodation	naktsmītne	Mēs rezervējām naktsmītni netālu no stacijas.
account	konts	Viņa atvēra jaunu bankas kontu.
achievement	sasniegums	Kursa pabeigšana bija liels sasniegums.
ad	reklāma	Reklāma rādīja jaunu telefonu.
addition	papildinājums	Baseins ir noderīgs papildinājums.
admire	apbrīnot	Es apbrīnoju viņas mierīgo attieksmi.
admit	atzīt	Viņš atzina savu kļūdu.
advanced	progresīvs	Šī ir progresīva angļu valodas klase.
advise	ieteikt	Ārsti iesaka regulāras fiziskās aktivitātes.
afford	atļauties	Mēs nevaram atļauties taksometru.
aged	vecs	Kurss ir bērniem desmit gadu vecumā.
agent	aģents	Ceļojumu aģents nomainīja mūsu biļetes.
agreement	vienošanās	Šodien viņi panāca vienošanos.
ahead	priekšā	Ceļš priekšā ir brīvs.
aim	tiekties	Mēs tiecamies drīz pabeigt.
alarm	modinātājs	Modinātājs zvanīja sešos.
album	albums	Šajā albumā ir desmit dziesmas.
alcohol	alkohols	Viesnīca nepiedāvā alkoholu.
alcoholic	alkoholisks	Šis dzēriens nav alkoholisks.
amazed	pārsteigts	Viņa bija pārsteigta par rezultātu.
ambition	ambīcija	Viņa ambīcija ir kļūt par pilotu.
ambitious	ambiciozs	Viņai ir ambiciozs plāns.
analyse	analizēt	Mums jāanalizē rezultāti.
analysis	analīze	Viņas analīze bija skaidra un rūpīga.
announce	paziņot	Rīt viņi paziņos uzvarētāju.
announcement	paziņojums	Paziņojums pārsteidza visus.
annoy	kaitināt	Skaļa mūzika var kaitināt kaimiņus.
annoyed	aizkaitināts	Pēc kavēšanās viņš izskatījās aizkaitināts.
annoying	kaitinošs	Šī skaņa ir ļoti kaitinoša.
apart	atsevišķi	Mājas atrodas divu metru attālumā.
apologize	atvainoties	Es atvainojos par kavēšanos.
application	pieteikums	Lūdzu, aizpildi pieteikumu tiešsaistē.
appointment	vizīte	Rīt man ir vizīte pie zobārsta.
appreciate	novērtēt	Es novērtēju tavu palīdzību.
approximately	apmēram	Pastaiga ilgst apmēram divdesmit minūtes.
arrest	arestēt	Policija arestēja vadītāju.
arrival	ierašanās	Mūsu ierašanās bija vēlāk nekā gaidīts.
assignment	uzdevums	Uzdevums jāiesniedz piektdien.
assist	palīdzēt	Medmāsas palīdz ārstam.
atmosphere	atmosfēra	Kafejnīcā ir mierīga atmosfēra.
attach	pievienot	Pievieno failu savam e-pastam.
attitude	attieksme	Pēc sanāksmes viņas attieksme mainījās.
attract	piesaistīt	Koši ziedi piesaista bites.
attraction	apskates vieta	Pils ir populāra apskates vieta.
authority	iestāde	Vietējā iestāde salaboja ceļu.
aware	apzināties	Viņa apzinās risku.
backwards	atpakaļ	Viņš uzmanīgi gāja atpakaļ.
bake	cept	Katru svētdienu es cepu maizi.
balance	līdzsvars	Labi apavi palīdz saglabāt līdzsvaru.
ban	aizliegt	Pilsēta aizliegs automašīnas.
bank (river)	upes krasts	Mēs sēdējām upes krastā.
base	bāze	Komanda atgriezās bāzē.
basic	pamata	Visiem vajag pamata datorprasmes.
basis	pamats	Uzticība ir draudzības pamats.
battery	baterija	Mana telefona baterija ir zema.
battle	kauja	Kauja ilga visu nakti.
beauty	skaistums	Mēs apbrīnojām kalnu skaistumu.
bee	bite	Bite nolaidās uz zieda.
belief	pārliecība	Viņa pārliecība deva viņam drosmi.
bell	zvans	Skolas zvans skaļi noskanēja.
bend	saliekt	Saliec ceļus, kad cel.
bite	kost	Suns var kost svešiniekiem.
block	bloks	Nokritis koks bloķēja ceļu.
bomb	bumba	Bumba sabojāja vairākas ēkas.
border	robeža	Viņi šķērsoja robežu naktī.
bother	traucēt	Lūdzu, netraucē māsu.
branch	zars	Vētrā nolūza zars.
brand	zīmols	Šis zīmols ir populārs studentu vidū.
brave	drosmīgs	Drosmīgais vīrietis izglāba bērnu.
breath	elpa	Ieelpo dziļu elpu.
breathe	elpot	Šajos dūmos es nevaru elpot.
breathing	elpošana	Viņas elpošana bija lēna.
bride	līgava	Līgava valkāja baltu kleitu.
bubble	burbulis	Burbulis peldēja virs glāzes.
bury	aprakt	Viņi apraka kasti smiltīs.
calm	mierīgs	Esi mierīgs eksāmena laikā.
campaign	kampaņa	Kampaņa savāca naudu skolām.
campus	universitātes pilsētiņa	Studenti dzīvo netālu no universitātes pilsētiņas.
candidate	kandidāts	Katrs kandidāts atbildēja uz trim jautājumiem.
cap	cepure	Viņš valkāja beisbola cepuri.
captain	kapteinis	Kapteinis runāja ar komandu.
careless	neuzmanīgs	Neuzmanīga kļūda mums maksāja laiku.
category	kategorija	Izvēlies pareizo kategoriju.
ceiling	griesti	Griesti bija nokrāsoti balti.
celebration	svinības	Svinības ilga visu vakaru.
central	centrāls	Viesnīcai ir centrāla atrašanās vieta.
ceremony	ceremonija	Ceremonija sākās pusdienlaikā.
chain	ķēde	Viņa valkāja sudraba ķēdi.
challenge	izaicinājums	Šis projekts ir īsts izaicinājums.
champion	čempions	Čempione pateicās savai trenerei.
channel	kanāls	Lūdzu, pārslēdz kanālu.
chapter	nodaļa	Izlasi nākamo nodaļu šovakar.
charge	maksa	Bērniem nav jāmaksā.
cheat	krāpties	Nekrāpies testā.
cheerful	priecīgs	Šorīt viņa izklausījās priecīga.
chemical	ķīmisks	Ķīmiskā smaka bija spēcīga.
chest	krūtis	Pēc skriešanas viņam sāpēja krūtis.
childhood	bērnība	Es atceros savas bērnības mājas.
claim	apgalvot	Viņi apgalvo, ka produkts ir drošs.
clause	teikuma daļa	Šī teikuma daļa maina nozīmi.
click	klikšķināt	Noklikšķini uz zilās pogas.
client	klients	Klients lūdza vairāk detaļu.
cloth	drāna	Noslauki galdu ar šo drānu.
clue	pavediens	Pavediens palīdzēja mums to atrisināt.
coal	ogles	Vecais vilciens izmantoja ogles.
coin	monēta	Viņš atrada monētu uz grīdas.
collection	kolekcija	Viņas pastmarku kolekcija ir liela.
coloured	krāsains	Viņa valkāja krāsainu šalli.
combine	apvienot	Apvieno miltus un ūdeni.
commercial	reklāmas	Reklāmas pauze ilga piecas minūtes.
commit	apņemties	Mums jāapņemas ievērot plānu.
communication	saziņa	Laba saziņa novērš kļūdas.
comparison	salīdzinājums	Šis salīdzinājums ir noderīgs.
competitive	konkurētspējīgs	Tirgus ir ļoti konkurētspējīgs.
competitor	konkurents	Mūsu galvenais konkurents pazemināja cenas.
complaint	sūdzība	Viņa iesniedza sūdzību par troksni.
complex	sarežģīts	Norādījumi ir pārāk sarežģīti.
concentrate	koncentrēties	Es nevaru koncentrēties, kad skan mūzika.
conclude	noslēgt	Mēs tagad noslēdzam sanāksmi.
conclusion	secinājums	Viņa secinājums šķita pamatots.
confident	pārliecināts	Pirms intervijas viņa jutās pārliecināta.
confirm	apstiprināt	Lūdzu, apstiprini savu e-pasta adresi.
confuse	jaukt	Šie divi vārdi mani jauc.
confused	apjucis	Kartes dēļ es jutos apjucis.
connection	savienojums	Interneta savienojums ir lēns.
consequence	sekas	Miega trūkumam ir sekas.
consist	sastāvēt	Maltīte sastāv no trim ēdieniem.
consume	patērēt	Lielas automašīnas patērē vairāk degvielas.
consumer	patērētājs	Patērētājs vēlas skaidru informāciju.
contact	kontakts	Sazinies ar mani pēc pusdienām.
container	trauks	Ieliec zupu traukā.
content1	saturs	Kursa saturs ir noderīgs.
continuous	nepārtraukts	Mašīna radīja nepārtrauktu troksni.
contrast	kontrasts	Kontrasts starp viņiem ir skaidrs.
convenient	ērts	Stacija ir ļoti ērta.
convince	pārliecināt	Viņa pārliecināja viņu mēģināt vēlreiz.
costume	kostīms	Viņš valkāja pirāta kostīmu.
cottage	kotedža	Viņi īrēja mazu kotedžu.
cotton	kokvilna	Šis krekls ir no kokvilnas.
countryside	lauki	Mēs staigājām pa laukiem.
court	tiesa	Lieta nonāca tiesā.
covered	pārklāts	Galds bija pārklāts ar papīriem.
cruel	nežēlīgs	Bija nežēlīgi smieties.
cultural	kultūras	Muzejs piedāvā kultūras pasākumus.
currency	valūta	Vietējā valūta ir eiro.
current	pašreizējs	Pašreizējā situācija ir labāka.
currently	pašlaik	Pašlaik viņa strādā no mājām.
curtain	aizkars	Aizkars aizsedza logu.
custom	paraža	Šī paraža ir ļoti sena.
damage	bojājums	Vētra nodarīja nopietnus bojājumus.
decade	desmitgade	Viņi tur dzīvoja desmitgadi.
decorate	izrotāt	Mēs kopā izrotājam istabu.
define	definēt	Vai vari definēt šo terminu?
definite	noteikts	Mums vajag noteiktu atbildi.
definition	definīcija	Ieraksti definīciju savā burtnīcā.
deliver	piegādāt	Viņi piegādā ēdienu uz mūsu māju.
departure	izbraukšana	Izbraukšanas laiks mainījās.
despite	neskatoties uz	Neskatoties uz lietu, mēs gājām.
destination	galamērķis	Parīze bija viņu galīgais galamērķis.
determine	noteikt	Testi nosaka tavu līmeni.
determined	apņēmīgs	Viņa bija apņēmīga gūt panākumus.
development	attīstība	Pilsētas attīstība bija strauja.
diagram	diagramma	Uzzīmē vienkāršu diagrammu.
diamond	dimants	Gredzenā bija mazs dimants.
difficulty	grūtības	Viņam bija grūtības atvērt durvis.
directly	tieši	Lūdzu, runā tieši ar mani.
dirt	netīrumi	Viņa kurpes bija klātas ar netīrumiem.
disadvantage	trūkums	Garais ceļš ir trūkums.
disappointed	vīlies	Viņa jutās vīlusies par rezultātu.
disappointing	neapmierinošs	Beigas bija neapmierinošas.
discount	atlaide	Studenti šeit saņem atlaidi.
dislike	nepatikt	Man nepatīk ļoti skaļa mūzika.
divide	sadalīt	Sadali kūku gabalos.
documentary	dokumentālā filma	Mēs skatījāmies dokumentālo filmu par kosmosu.
donate	ziedot	Daudzi cilvēki ziedo vecas drēbes.
doubt	šaubas	Man par to nav šaubu.
dressed	apģērbts	Viņš bija apģērbts melnā.
drum	bungas	Bungas skanēja visā telpā.
drunk	piedzēries	Vadītājs bija piedzēries.
due	jāiesniedz	Ziņojums jāiesniedz rīt.
dust	putekļi	Putekļi klāja vecās grāmatas.
duty	pienākums	Mans pienākums ir palīdzēt.
earthquake	zemestrīce	Zemestrīce sabojāja tiltu.
eastern	austrumu	Austrumu piekraste ir vējaina.
economic	ekonomisks	Valsts saskaras ar ekonomiskām problēmām.
economy	ekonomika	Šogad ekonomika auga.
edge	mala	Stāvi tālāk no malas.
editor	redaktors	Redaktors pārbaudīja rakstu.
educate	izglītot	Skolas izglīto jaunus cilvēkus.
educated	izglītots	Viņa ir ļoti izglītota.
educational	izglītojošs	Spēle ir izglītojoša.
effective	efektīvs	Šīs zāles ir efektīvas.
effectively	efektīvi	Viņa efektīvi izskaidroja noteikumu.
effort	pūles	Tavas pūles daudz ko mainīja.
election	vēlēšanas	Vēlēšanu rezultāts bija tuvs.
element	elements	Uzticība ir svarīgs elements.
