source_headword	SW	example_SW
rock (music)	muziki wa roki	Napenda muziki wa roki.
role	jukumu	Jukumu lake ni muhimu.
roof	paa	Paa linahitaji ukarabati.
round	ya mviringo	Meza ni ya mviringo.
route	njia	Njia hii ni fupi zaidi.
rubbish	takataka	Toa takataka nje.
rude	asiye na adabu	Maoni haya hayana adabu.
runner	mkimbiaji	Mkimbiaji anaonekana amechoka.
running	kukimbia	Kukimbia hunifanya niwe na afya.
sadly	kwa huzuni	Kwa huzuni, tulikosa treni.
safe	salama	Mtaa huu unaonekana salama.
sail	kusafiri kwa mashua	Jumamosi tutasafiri kwa mashua.
sailing	usafiri kwa mashua	Usafiri kwa mashua ni maarufu hapa.
salary	mshahara	Mshahara wake ni mkubwa sasa.
sale	punguzo	Punguzo linaanza kesho.
sauce	mchuzi	Ongeza mchuzi kwenye wali.
save	kuhifadhi	Hifadhi kazi yako sasa.
scared	mwenye hofu	Mtoto ana hofu.
scary	ya kutisha	Hadithi hii ni ya kutisha.
scene	tukio	Tukio la mwisho lilichekesha.
schedule	ratiba	Angalia ratiba leo.
score	matokeo	Matokeo ni yapi?
screen	skrini	Safisha skrini kwa makini.
search	kutafuta	Tafuta picha kwenye wavuti.
season	msimu	Msimu wa kiangazi una shughuli nyingi.
seat	kiti	Tafadhali chukua kiti hiki.
second1 (next after the first)	pili	Pili, osha mikono yako.
secondly	pili	Pili, angalia jibu lako.
secret	siri	Weka siri hii salama.
secretary	katibu	Katibu alipiga simu leo.
seem	kuonekana	Unaonekana umechoka.
sense	maana	Mpango huu una maana.
separate	tofauti	Weka karatasi tofauti.
series	mfululizo	Mfululizo huu ni maarufu.
serious	nzito	Tatizo hili ni zito.
serve	kuhudumia	Wanahudumia chakula mchana.
service	huduma	Huduma ilikuwa ya haraka.
several	kadhaa	Wanafunzi kadhaa walifika mapema.
shake	kutikisa	Tikisa chupa kwanza.
shall modal	tuanze?	Tuanze sasa?
shape	umbo	Chora umbo la mraba.
sheet	shuka	Weka shuka kitandani.
ship	meli	Meli inaondoka leo.
shoulder	bega	Bega langu linauma.
shout	kupiga kelele	Usipige kelele darasani.
shut	kufunga	Tafadhali funga dirisha.
side	upande	Keti upande huu.
sign	alama	Soma alama kwa makini.
silver	fedha	Fedha ni metali inayongaa.
simple	rahisi	Zoezi hili ni rahisi.
since	tangu	Nimesubiri tangu mchana.
singing	kuimba	Kuimba hunipumzisha.
single	moja	Nilinunua tiketi moja.
sir	bwana	Bwana, begi lako liko tayari.
site	tovuti	Tovuti hii ni salama.
size	ukubwa	Unahitaji ukubwa gani?
ski	kuteleza kwenye theluji	Wakati wa baridi tunateleza kwenye theluji.
skiing	kuteleza kwenye theluji	Kuteleza kwenye theluji ni kufurahisha.
skin	ngozi	Ngozi yake inahisi kavu.
sky	anga	Anga ni wazi.
slowly	polepole	Tembea polepole kwenye barafu.
smartphone	simu mahiri	Simu yangu mahiri ni mpya.
smell	kunukia	Supu inanukia vizuri.
smile	kutabasamu	Tabasamu kwa kamera.
smoke	moshi	Moshi ulijaza chumba.
smoking	uvutaji sigara	Uvutaji sigara umepigwa marufuku.
soap	sabuni	Tumia sabuni na maji.
soccer	soka	Soka ni maarufu hapa.
social	kijamii	Hili ni tukio la kijamii.
society	jamii	Jamii hubadilika kwa muda.
sock	soksi	Soksi moja imepotea.
soft	laini	Blanketi hili ni laini.
soldier	askari	Askari alirudi nyumbani.
