source_headword	HR	example_HR
heal	zacijeliti	Odmor pomaže tijelu da zacijeli.
healthcare	zdravstvo	Troškovi zdravstva su porasli ove godine.
helmet	kaciga	Nosi kacigu na biciklu.
hence	stoga	Stoga smo promijenili raspored.
herb	biljka	Bosiljak je korisna biljka.
hidden	skriven	Ključ je bio skriven ispod otirača.
highway	autocesta	Autocesta je bila zatvorena nakon snijega.
hilarious	urnebesno	Film je bio urnebesan.
hip	kuk	Ozlijedila je kuk tijekom treninga.
historian	povjesničar	Povjesničar je proučavao stara pisma.
homeless	beskućnik	Sklonište pomaže obiteljima beskućnika.
honesty	iskrenost	Iskrenost gradi povjerenje.
hook	objesiti	Objesi kaput na kuku.
hopefully	nadajmo se	Nadajmo se da vlak stiže uskoro.
hunger	glad	Glad može utjecati na koncentraciju.
hypothesis	hipoteza	Eksperiment je testirao hipotezu.
icon	ikona	Ikona aplikacije se promijenila danas.
ID	osobna iskaznica	Pokaži svoju osobnu iskaznicu na recepciji.
identical	identičan	Blizanci su nosili identične jakne.
illusion	iluzija	Ogledalo stvara iluziju.
immigration	imigracija	Imigracijska politika se promijenila prošle godine.
immune	imun	Cijepljenje može učiniti ljude imunima.
implement	provesti	Škola će provesti politiku.
implication	implikacija	Implikacija je bila jasna.
incentive	poticaj	Bonus je dao radnicima poticaj.
incorporate	uključiti	Uključite više povrća u obroke.
incorrect	netočan	Odgovor je bio netočan.
independence	neovisnost	Zemlja je slavila neovisnost.
index	indeks	Provjeri indeks za temu.
indication	znak	Osmijeh je bio znak olakšanja.
inevitable	neizbježan	Neko kašnjenje je bilo neizbježno.
inevitably	neizbježno	Neizbježno, cijene su porasle nakon nestašica.
infer	zaključiti	Možemo zaključiti odgovor iz konteksta.
inflation	inflacija	Inflacija je povećala cijene hrane.
info	informacija	Web stranica navodi korisne informacije.
infrastructure	infrastruktura	Oluja je oštetila lokalnu infrastrukturu.
inhabitant	stanovnik	Svaki stanovnik je dobio čistu vodu.
inherit	naslijediti	Ona će naslijediti obiteljsku kuću.
ink	tinta	Pisaču treba crna tinta.
innovation	inovacija	Inovacija gura industriju naprijed.
innovative	inovativan	Tvrtka je lansirala inovativan proizvod.
input	unos	Menadžer je tražio unos.
insert	umetnuti	Umetnite karticu u stroj.
inspector	inspektor	Inspektor je provjerio zgradu.
installation	instalacija	Instalacija je trajala dva sata.
instant	trenutačni	Aplikacija je poslala trenutačni odgovor.
instantly	odmah	Ekran se odmah uključio.
integrate	integrirati	Softver može integrirati nove alate.
intellectual	intelektualan	Rasprava je bila intelektualna, ali prijateljska.
interact	komunicirati	Učenici komuniciraju tijekom grupnog rada.
interaction	interakcija	Interakcija je bila pristojna.
interpretation	tumačenje	Njeno tumačenje pjesme bilo je originalno.
interval	pauza	Bila je kratka pauza između činova.
invade	napasti	Vojska je pokušala napasti otok.
invasion	invazija	Invazija je oštetila mnoge gradove.
investor	investitor	Investitor je financirao novi startup.
isolate	izolirati	Liječnici izoliraju pacijente s ozbiljnim infekcijama.
isolated	izoliran	Selo je bilo izolirano snijegom.
jail	zatvor	Lopov je otišao u zatvor.
jet	mlažnjak	Mlažnjak je sletio u podne.
joint	zajednički	Najavili su zajednički projekt.
journalism	novinarstvo	Novinarstvo zahtijeva točne činjenice.
jury	porota	Porota je donijela odluku.
kit	pribor	Pribor za popravak uključuje vijke.
ladder	ljestve	Ljestve su bile naslonjene na zid.
landing	slijetanje	Zrakoplov je imao glatko slijetanje.
lane	traka	Ostanite u desnoj traci.
lately	nedavno	Nedavno sam loše spavao.
leaflet	letak	Letak objašnjava uslugu.
legend	legenda	Legenda govori o skrivenom gradu.
lens	objektiv	Pažljivo očistite objektiv kamere.
lifetime	životni vijek	Štedio je novac cijeli život.
lighting	rasvjeta	Dobra rasvjeta poboljšava sobu.
likewise	također	Ona se nasmiješila; on je učinio također.
limitation	ograničenje	Plan ima jedno ograničenje.
literally	doslovno	Ona je doslovno trčala do autobusa.
literary	književni	Festival slavi književno djelo.
litre	litra	Kupi litru mlijeka.
litter	smeće	Ne bacajte smeće.
logo	logotip	Logotip se pojavljuje na svakoj stranici.
lottery	lutrija	Osvojio je malu nagradu na lutriji.
loyal	vjeran	Pas je bio vjeran svom vlasniku.
lyric	stih	Stih je ponavljao glavnu ideju.
magnificent	veličanstven	Palača je izgledala veličanstveno.
make-up	šminka	Nosila je jednostavnu šminku.
making	stvaranje	Stvaranje filma bilo je teško.
manufacture	proizvoditi	Tvornica će proizvoditi telefone.
manufacturing	proizvodnja	Poslovi u proizvodnji su se lokalno povećali.
marathon	maraton	Završila je maraton.
margin	margina	Napiši bilješke na margini.
marker	flomaster	Upotrijebi flomaster za naljepnicu.
martial	borilački	On proučava borilačke vještine.
mate	prijatelj	Moj stari školski prijatelj je nazvao jučer.
mayor	gradonačelnik	Gradonačelnik je otvorio knjižnicu.
mechanic	mehaničar	Mehaničar je popravio autobus.
mechanical	mehanički	Sat ima mehaničku grešku.
mechanism	mehanizam	Mehanizam brave je jednostavan.
medal	medalja	Osvojila je zlatnu medalju.
medication	lijek	Uzmi lijek s vodom.
membership	članarina	Članarina u teretani košta manje na internetu.
memorable	nezaboravan	Putovanje je bilo nezaboravno.
metaphor	metafora	Pjesma koristi snažnu metaforu.
miner	rudar	Rudar je radio pod zemljom.
miserable	jadan	Kiša je učinila piknik jadnim.
mode	način	Prebaci kameru na noćni način.
modest	skroman	Oni žive u skromnoj kući.
monster	čudovište	Priča ima strašno čudovište.
monthly	mjesečni	Plaćamo stanarinu mjesečno.
monument	spomenik	Spomenik stoji blizu rijeke.
moreover	k tome	K tome, plan štedi novac.
mortgage	hipoteka	Podnijeli su zahtjev za hipoteku.
mosque	džamija	Džamija je blizu tržnice.
motion	pokret	Senzor detektira pokret.
motivate	motivirati	Pohvala može motivirati učenike.
motivation	motivacija	Njena motivacija ostala je snažna.
moving	dirljiv	Govor je bio dirljiv.
myth	mit	Mit objašnjava ime planine.
naked	gol	Beba je bila gola nakon kupanja.
nasty	gadan	Porezotina je izgledala gadno.
navigation	navigacija	Aplikacija poboljšava navigaciju.
nearby	obližnji	Obližnji kafić otvara se rano.
necessity	nužnost	Čista voda je nužnost.
negotiate	pregovarati	Oni će sutra pregovarati o ugovoru.
negotiation	pregovor	Pregovori su trajali cijelo jutro.
neutral	neutralan	Sudac je ostao neutralan.
newly	novo	Novoobojena vrata izgledala su svijetlo.
norm	norma	Rad na daljinu postao je norma.
notebook	bilježnica	Piši bilješke u svoju bilježnicu.
novelist	romanopisac	Romanopisac je potpisala svoju knjigu.
nowadays	danas	Danas mnogi ljudi rade preko interneta.
nursing	sestrinstvo	Ona studira sestrinstvo.
nutrition	prehrana	Dobra prehrana podržava zdravlje.
obesity	pretilost	Pretilost povećava zdravstvene rizike.
observer	promatrač	Promatrač je zabilježio rezultate.
obstacle	prepreka	Srušeno stablo je bilo prepreka.
occupation	zanimanje	Molim te, napiši svoje zanimanje ovdje.
occupy	zauzeti	Obitelj će zauzeti stan.
offender	prijestupnik	Prijestupnik se ispričao na sudu.
ongoing	trajan	Istraga je u tijeku.
openly	otvoreno	Ona je otvoreno govorila o svojim strahovima.
opera	opera	Gledali smo operu u Milanu.
operator	operater	Operater je spojio poziv.
optimistic	optimističan	Ona je optimistična u pogledu budućnosti.
orchestra	orkestar	Orkestar je svirao tiho.
organic	organski	Kupili su organsko povrće.
outfit	odjevna kombinacija	Njena odjevna kombinacija pristajala je prigodi.
output	učinak	Učinak stroja se povećao.
outstanding	izvanredan	Njegov nastup bio je izvanredan.
overcome	prevladati	Oni zajedno prevladavaju probleme.
overnight	preko noći	Paket je stigao preko noći.
overseas	u inozemstvu	Pronašao je posao u inozemstvu.
ownership	vlasništvo	Vlasništvo nad zemljom se promijenilo.
oxygen	kisik	Biljke proizvode kisik.
packet	paket	Pažljivo otvori paket.
palm	dlan	Drži novčić na dlanu.
panic	panika	Panika se proširila kroz gomilu.
parade	parada	Parada je počela u podne.
parallel	paralelan	Ceste idu paralelno.
participation	sudjelovanje	Sudjelovanje u razredu se poboljšalo.
partnership	partnerstvo	Partnerstvo je pomoglo objema tvrtkama.
part-time	skraćeno radno vrijeme	Ona je našla posao na skraćeno radno vrijeme.
passionate	strastven	On je strastven prema glazbi.
password	lozinka	Odaberi jaku lozinku.
patience	strpljenje	Poučavanje male djece zahtijeva strpljenje.
pause	pauzirati	Pauziraj video sada.
peer	vršnjak	Pritisak vršnjaka utjecao je na njegov izbor.
penalty	kazna	Igrač je dobio kaznu.
perceive	percipirati	Ljudi percipiraju rizik drugačije.
perception	percepcija	Njegova percepcija opasnosti se promijenila.
permanently	trajno	Trgovina se trajno zatvorila.
pill	tableta	Uzmi jednu tabletu nakon doručka.
pity	šteta	Šteta je.
placement	smještaj	Smještaj kauča je bitan.
portion	porcija	Posluži malu porciju riže.
potentially	potencijalno	Ova promjena je potencijalno korisna.
precede	prethoditi	Tamni oblaci često prethode kiši.
precious	dragocjen	Prsten je dragocjen.
precise	precizan	Upute su bile precizne.
precisely	precizno	Izmjeri udaljenost precizno.
predictable	predvidljiv	Kraj je bio predvidljiv.
preference	sklonost	Izrazila je sklonost prema čaju.
pride	ponos	Osjećao je ponos nakon završetka.
primarily	prvenstveno	Tečaj je prvenstveno online.
principal	ravnatelj	Ravnatelj je pozdravio nove učenike.
prior	prethodni	Trebamo prethodno odobrenje.
probability	vjerojatnost	Vjerojatnost kiše je velika.
probable	vjerojatan	Kiša je vjerojatna večeras.
proceed	nastaviti	Molimo vas da nastavite u sljedeću sobu.
programming	programiranje	Programiranje zahtijeva vježbu.
progressive	progresivan	Politika je bila progresivna za svoje vrijeme.
prohibit	zabraniti	Pravila zabranjuju pušenje.
promising	obećavajući	Rezultati izgledaju obećavajući.
promotion	unapređenje	Dobila je unapređenje na poslu.
prompt	brz	Brz odgovor je uštedio vrijeme.
proportion	udio	Velik udio glasao je za.
protein	protein	Grah sadrži protein.
protester	prosvjednik	Prosvjednik je držao natpis.
psychological	psihološki	Nesreća je izazvala psihološki stres.
publicity	publicitet	Događaj je dobio publicitet.
publishing	izdavaštvo	Ona radi u izdavaštvu.
punk	punk	Punk glazba postala je popularna tamo.
purely	čisto	Izbor je bio čisto praktičan.
pursuit	potraga	Nastavio je svoju potragu za pravdom.
puzzle	slagalica	Slagalica je trajala sat vremena.
questionnaire	upitnik	Molimo vas ispunite upitnik.
racial	rasni	Izvješće je raspravljalo o rasnoj nejednakosti.
racism	rasizam	Rasizam šteti zajednicama.
racist	rasistički	Komentar je bio rasistički.
radiation	zračenje	Zračenje može oštetiti stanice.
rail	ograba	Drži se za ogradu na stepenicama.
random	slučajan	Računalo je odabralo slučajan broj.
rat	štakor	Štakor je potrčao iza kanti.
rating	ocjena	Hotel ima visoku ocjenu.
reasonably	razumno	Soba je bila razumno čista.
rebuild	ponovno izgraditi	Oni će ponovno izgraditi most.
receiver	primač	Primač je uhvatio loptu.
recession	recesija	Recesija je smanjila potrošnju.
reckon	misliti	Mislim da vlak kasni.
recognition	priznanje	Dobila je priznanje za svoj rad.
recovery	oporavak	Oporavak je trajao nekoliko tjedana.
recruit	regrutirati	Tvrtka će regrutirati inženjere.
recruitment	zapošljavanje	Zapošljavanje počinje idući ponedjeljak.
referee	sudac	Sudac je prekinuo utakmicu.
refugee	izbjeglica	Izbjeglica je našla siguran dom.
registration	registracija	Registracija se zatvara u petak.
regulate	regulirati	Zakon će regulirati emisije.
reinforce	pojačati	Dodatne grede pojačavaju krov.
relieve	ublažiti	Lijek može ublažiti bol.
relieved	olakšan	Osjetila je olakšanje nakon poziva.
remarkable	izvanredan	Oporavak je bio izvanredan.
remarkably	izvanredno	Oporavio se izvanredno brzo.
