source_headword	KK	example_KK
machine	машина	Бұл машина кофе дайындайды.
magazine	журнал	Ол музыка журналын оқиды.
main	негізгі	Бұл негізгі есік.
make	жасау; дайындау	Мен үйде түскі ас дайындаймын.
man	ер адам; адам	Ол ер адам менің мұғалімім.
many	көп	Мұнда көп студент бар.
map	карта	Картаға қараңыз.
March	наурыз	Менің туған күнім наурызда.
market	базар	Біз базардан жеміс сатып аламыз.
married	үйленген; тұрмыста	Әпкем тұрмыста.
May	мамыр	Мектеп мамыр айында аяқталады.
maybe	мүмкін	Мүмкін жаңбыр жауар.
me	мені; маған	Өтінемін, маған көмектесіңіз.
meal	тамақ	Бұл тамақ ыстық.
mean	білдіру	Бұл белгі нені білдіреді?
meaning	мағына	Мағынасы қандай?
meat	ет	Мен кешкі асқа ет жеймін.
meet	кездесу	Біз сабақтан кейін кездесеміз.
meeting	жиналыс	Жиналыс қазір басталады.
member	мүше	Ол клуб мүшесі.
menu	мәзір	Өтінемін, мәзірді оқыңыз.
message	хабар	Мен қысқа хабар жіберемін.
metre	метр	Бір метр алға жүріңіз.
midnight	түн ортасы	Пойыз түн ортасында кетеді.
mile	миля	Біз бір миля жүреміз.
milk	сүт	Мен таңғы аспен сүт ішемін.
million	миллион	Мұнда миллион адам тұрады.
minute1	минут	Өтінемін, бір минут күтіңіз.
miss	сағыну; өткізіп алу	Мен ескі мектебімді сағындым.
mistake	қате	Бұл жауапта қате бар.
model	модель	Бұл кішкентай модель.
modern	заманауи	Асүй заманауи.
moment	сәт	Өтінемін, бір сәт күтіңіз.
Monday	дүйсенбі	Біз дүйсенбі күні жұмыс бастаймыз.
money	ақша	Маған біраз ақша керек.
month	ай	Маусым ыстық ай.
more	көбірек	Маған көбірек уақыт керек.
morning	таңертең	Мен таңертең оқимын.
most	көпшілік	Көпшілік студенттер музыканы ұнатады.
mother	ана	Анам бүгін жұмыс істейді.
mountain	тау	Тау биік.
mouse	тышқан	Тышқан орындықтың астында.
mouth	ауыз	Өтінемін, аузыңызды ашыңыз.
move	қозғалу; жылжыту	Орындықты осында жылжытыңыз.
movie	кино	Біз бүгін кешке кино көреміз.
much	қанша	Бұл қанша тұрады?
mum	мама	Мамам үйде.
museum	мұражай	Мұражай сағат онда ашылады.
music	музыка	Мен музыка тыңдаймын.
must modal	керек	Сіз мұнда тоқтауыңыз керек.
my	менің	Бұл менің кітабым.
name	есім	Есіміңізді осында жазыңыз.
natural	табиғи	Бұл шырын табиғи.
near	жақын	Банк бұл жерге жақын.
need	керек	Маған қалам керек.
negative	теріс	Бұл жауап теріс.
neighbour	көрші	Менің көршім жылы жүзді.
never	ешқашан	Мен ешқашан кофе ішпеймін.
new	жаңа	Бұл телефон жаңа.
news	жаңалық	Бүгінгі жаңалық жақсы.
newspaper	газет	Ол газет оқиды.
next	келесі	Келесі автобус кешікті.
next to	жанында	Менің жаныма отырыңыз.
nice	жақсы	Бөлме жақсы.
night	түн	Мен түнде ұйықтаймын.
nine	тоғыз	Мұнда тоғыз студент бар.
nineteen	он тоғыз	Ол он тоғыз жаста.
ninety	тоқсан	Атам тоқсан жаста.
no	жоқ	Жоқ, рақмет.
no one	ешкім	Бөлмеде ешкім жоқ.
nobody	ешкім	Үйде ешкім жоқ.
north	солтүстік	Бекет бұл жерден солтүстікте.
nose	мұрын	Мұрным суық.
not	емес	Мен шаршаған емеспін.
note	ескертпе	Қазір ескертпе жазыңыз.
nothing	ештеңе	Қорапта ештеңе жоқ.
November	қараша	Курсым қарашада басталады.
now	қазір	Қазір осында келіңіз.
number	нөмір; сан	Нөмірді осында жазыңыз.
nurse	мейірбике	Мейірбике мейірімді.
object	зат	Затты үстелге қойыңыз.
o’clock	сағат	Сабақ сағат тоғызда басталады.
October	қазан	Біз қазанда саяхаттаймыз.
of	ның; дің	Бұл шай кесесі.
off	өшірілген; алыс	Шамды өшіріңіз.
office	кеңсе	Менің кеңсем кішкентай.
often	жиі	Мен мектепке жиі жаяу барамын.
oh	ой	Ой, енді түсіндім.
OK	жақсы	Бұл жақсы ма?
old	ескі	Бұл үй ескі.
on	үстінде	Кітап үстелдің үстінде.
once	бір рет	Мен аптасына бір рет қоңырау шаламын.
one	бір	Менің бір әпкем бар.
onion	пияз	Бір пиязды тураңыз.
online	онлайн	Мен онлайн оқимын.
only	тек	Менде тек бір сөмке бар.
open	ашу; ашық	Өтінемін, терезені ашыңыз.
opinion	пікір	Сіздің пікіріңіз қандай?
opposite	қарсысында	Дүкен банктің қарсысында.
or	немесе	Шай немесе кофе?
orange	апельсин; қызғылт сары	Бұл апельсин тәтті.
order	тапсырыс; тәртіп	Мен сорпаға тапсырыс беремін.
other	басқа	Басқа есікті пайдаланыңыз.
our	біздің	Бұл біздің сынып.
out	сыртқа	Түскі астан кейін сыртқа шығыңыз.
outside	сыртта	Балалар сыртта ойнайды.
over	үстінен	Ұшақ қала үстінен ұшады.
own	өз	Менің өз бөлмем бар.
page	бет	Оныншы бетті ашыңыз.
paint	бояу	Қабырғаны көк түске бояңыз.
painting	сурет	Бұл сурет әдемі.
pair	жұп	Маған бір жұп шұлық керек.
paper	қағаз	Бұл қағазға жазыңыз.
paragraph	абзац	Бірінші абзацты оқыңыз.
parent	ата-ана	Ата-ана сыртта күтіп тұр.
park	саябақ; тұраққа қою	Біз бекет жанында көлікті тұраққа қоямыз.
part	бөлік	Бұл бөлік оңай.
partner	серіктес	Серіктеспен жұмыс істеңіз.
party	кеш	Кеш сағат жетіде басталады.
passport	паспорт	Өтінемін, паспортыңызды көрсетіңіз.
past	өткен; кейін	Сағат алты жарым болды.
pay	төлеу	Мен картамен төлеймін.
pen	қалам	Бұл қалам көк.
pencil	қарындаш	Мен қарындашпен жазамын.
people	адамдар	Мұнда көп адам бар.
pepper	бұрыш	Сорпаға бұрыш қосыңыз.
perfect	мінсіз	Жауабыңыз мінсіз.
period	кезең; сабақ уақыты	Сабақ уақыты қысқа.
person	адам	Бір адам күтіп тұр.
personal	жеке	Бұл менің жеке телефоным.
phone	телефон	Телефоным сөмкемде.
photo	фото	Осы жерде фото түсіріңіз.
photograph	фотосурет	Бұл фотосурет ескі.
phrase	сөз тіркесі	Өтінемін, сөз тіркесін қайталаңыз.
piano	пианино	Ол пианино ойнайды.
picture	сурет	Бұл суретке қараңыз.
piece	бөлік	Торттан бір бөлік алыңыз.
pig	шошқа	Шошқа фермада.
pink	қызғылт	Оның сөмкесі қызғылт.
place	орын	Бұл орын тыныш.
plan	жоспар	Бізге жоспар керек.
plane	ұшақ	Ұшақ кешікті.
plant	өсімдік	Бүгін өсімдікке су құйыңыз.
play	ойнау	Балалар саябақта ойнайды.
player	ойыншы	Ойыншы тез жүгіреді.
please	өтінемін	Өтінемін, осында отырыңыз.
point	нүкте; ой	Бұл ой маңызды.
police	полиция	Полиция сыртта.
policeman	полицей	Полицей бізге көмектеседі.
pool	бассейн	Бассейн суық.
poor	кедей	Кедей бала аш.
popular	танымал	Бұл ән танымал.
positive	оң	Бұл оң нәтиже.
possible	мүмкін	Бұл бүгін мүмкін бе?
post	жазба; пошта	Мен оның онлайн жазбасын оқимын.
potato	картоп	Мен картоп жеймін.
pound	фунт	Бұл бір фунт тұрады.
practice	жаттығу	Жаттығу күн сайын көмектеседі.
practise	жаттығу жасау	Мен күн сайын ағылшын тілін жаттықтырамын.
prefer	артық көру	Мен шайды артық көремін.
prepare	дайындау	Сөмкеңізді бүгін кешке дайындаңыз.
present	қазіргі; бар	Ол бүгін сабақта бар.
pretty	әдемі	Бақ әдемі.
price	баға	Баға төмен.
probably	мүмкін	Ол мүмкін біледі.
problem	мәселе	Бұл мәселе кішкентай.
product	өнім	Бұл өнім жаңа.
programme	бағдарлама	Бағдарлама қазір басталады.
project	жоба	Жобамыз дайын.
purple	күлгін	Көйлек күлгін.
put	қою	Кітапты осында қойыңыз.
quarter	ширек; он бес минут	Қазір сағат екіден он бес минут кетті.
question	сұрақ	Бір сұрақ қойыңыз.
quick	тез	Бұл тез тест.
quickly	тез	Өтінемін, тез жүріңіз.
quiet	тыныш	Кітапхана тыныш.
quite	біршама	Бұл бөлме біршама кішкентай.
radio	радио	Радио дауысы қатты.
rain	жаңбыр	Жаңбыр қазір басталады.
read	оқу	Бұл сөйлемді оқыңыз.
reader	оқырман	Оқырман әңгімені ұнатады.
reading	оқу	Оқу маған үйренуге көмектеседі.
ready	дайын	Кешкі ас дайын.
real	нағыз	Бұл нағыз мәселе.
really	шынымен	Мен бұл әнді шынымен ұнатамын.
reason	себеп	Маған себебін айтыңыз.
red	қызыл	Есік қызыл.
relax	демалу	Жұмыстан кейін демалыңыз.
remember	есте сақтау	Паспортыңызды есте сақтаңыз.
repeat	қайталау	Өтінемін, сөйлемді қайталаңыз.
report	есеп	Есепті бүгін кешке оқыңыз.
restaurant	мейрамхана	Мейрамхана адамға толы.
result	нәтиже	Нәтиже жақсы.
return	қайтару; қайту	Кітапты ертең қайтарыңыз.
rice	күріш	Мен түскі асқа күріш жеймін.
rich	бай	Бұл қала бай.
ride	міну	Мен велосипедіме мінемін.
right	оң; дұрыс	Осы жерде оңға бұрылыңыз.
river	өзен	Өзен кең.
road	жол	Бұл жол ұзын.
room	бөлме	Менің бөлмем таза.
routine	күн тәртібі	Күн тәртібім ерте басталады.
rule	ереже	Бұл ереже қарапайым.
run	жүгіру	Мен әр таң сайын жүгіремін.
sad	мұңды	Ол бүгін мұңды.
salad	салат	Бұл салат жаңа.
salt	тұз	Аздап тұз қосыңыз.
same	бірдей	Бізде бірдей сөмке бар.
sandwich	сэндвич	Мен сэндвич жеймін.
Saturday	сенбі	Біз сенбі күні кездесеміз.
say	айту	Өтінемін, есіміңізді айтыңыз.
school	мектеп	Мектебім бұл жерге жақын.
science	ғылым; жаратылыстану	Мен жаратылыстану пәнін оқимын.
scientist	ғалым	Ғалым сұрақ қояды.
sea	теңіз	Теңіз көк.
second1 (unit of time)	секунд	Бір секунд күтіңіз.
section	бөлім	Бұл бөлімді оқыңыз.
see	көру	Мен досымды көремін.
sell	сату	Олар жаңа жеміс сатады.
send	жіберу	Қазір хабар жіберіңіз.
sentence	сөйлем	Бір сөйлем жазыңыз.
September	қыркүйек	Мектеп қыркүйекте басталады.
seven	жеті	Мұнда жеті адам бар.
seventeen	он жеті	Ол он жеті жаста.
seventy	жетпіс	Әжем жетпіс жаста.
share	бөлісу	Тортты бөлісіңіз.
she	ол	Ол менің әпкем.
sheep	қой	Қой шөп жейді.
shirt	көйлек	Оның көйлегі таза.
shoe	аяқ киім	Бір аяқ киім кереуеттің астында.
shop	дүкен	Дүкен ерте жабылады.
shopping	сауда	Бүгін сауда жасау қызық.
short	қысқа	Бұл әңгіме қысқа.
should modal	керек	Сіз бүгін демалуыңыз керек.
show	көрсету	Билетіңізді маған көрсетіңіз.
shower	душ	Мен душ қабылдаймын.
sick	ауру	Мен бүгін аурумын.
similar	ұқсас	Сөмкелеріміз ұқсас.
sing	ән айту	Мен сыныпта ән айтамын.
singer	әнші	Әнші танымал.
sister	әпке; қарындас	Қарындасым жас.
sit	отыру	Терезе жанында отырыңыз.
situation	жағдай	Бұл жағдай жаңа.
six	алты	Мұнда алты кітап бар.
sixteen	он алты	Ол он алты жаста.
sixty	алпыс	Әкем алпыс жаста.
skill	дағды	Бұл дағды пайдалы.
skirt	белдемше	Оның белдемшесі көк.
sleep	ұйықтау	Мен сегіз сағат ұйықтаймын.
slow	баяу	Автобус баяу.
small	кішкентай	Бөлме кішкентай.
snake	жылан	Жылан ұзын.
snow	қар	Қыста қар жауады.
so	сондықтан	Мен шаршадым, сондықтан демаламын.
some	кейбір; біраз	Маған біраз су керек.
somebody	біреу	Есік алдында біреу бар.
someone	біреу	Біреу хабар қалдырды.
something	бірдеңе	Маған ішетін бірдеңе керек.
sometimes	кейде	Мен кейде мектепке жаяу барамын.
son	ұл	Оның ұлы мектепте.
song	ән	Бұл ән жаңа.
soon	жақында	Жақында кездесеміз.
sorry	кешіріңіз	Кешіріңіз.
sound	дыбыс	Дыбыс қатты.
soup	сорпа	Сорпа ыстық.
south	оңтүстік	Қонақүй бұл жерден оңтүстікте.
space	орын	Бір орындыққа орын бар.
speak	сөйлеу	Өтінемін, баяу сөйлеңіз.
special	арнайы	Бүгін арнайы күн.
spell	әріптеп айту	Есіміңізді әріптеп айтыңыз.
spelling	емле	Емлеңізді тексеріңіз.
spend	жұмсау	Мен тамаққа ақша жұмсаймын.
sport	спорт	Футбол танымал спорт.
spring	көктем	Көктемде гүлдер өседі.
stand	тұру	Есіктің жанында тұрыңыз.
star	жұлдыз	Мен жарық жұлдызды көремін.
start	бастау	Сабақты қазір бастаңыз.
statement	мәлімдеме	Бұл мәлімдеме дұрыс.
station	бекет	Бекет жақын.
stay	қалу	Бүгін үйде қалыңыз.
still	әлі	Мен әлі ашпын.
stop	тоқтау	Бұрышта тоқтаңыз.
story	әңгіме	Маған әңгіме айтыңыз.
street	көше	Бұл көше тыныш.
strong	күшті	Ол күшті.
student	студент	Студент кітап оқиды.
study	оқу	Мен ағылшын тілін оқимын.
style	стиль	Маған бұл стиль ұнайды.
subject	пән	Ағылшын тілі менің негізгі пәнім.
success	табыс	Табыс үшін жаттығу керек.
sugar	қант	Шайға қант салыңыз.
summer	жаз	Бұл жерде жаз ыстық.
sun	күн	Күн жарық.
Sunday	жексенбі	Біз жексенбі күні демаламыз.
supermarket	супермаркет	Супермаркет ашық.
sure	сенімді	Мен сенімдімін.
sweater	свитер	Менің свитерім жылы.
swim	жүзу	Мен әр апта сайын жүземін.
swimming	жүзу	Жүзу жақсы жаттығу.
table	үстел	Кілттер үстелдің үстінде.
