source_headword	KA	example_KA
ability	უნარი; შესაძლებლობა	მისი ცურვის უნარი აშკარაა.
able	შეძლებული; შეუძლია	მას დღეს მოსვლა შეუძლია.
abroad	საზღვარგარეთ	მას საზღვარგარეთ სწავლა სურს.
accept	მიღება	გთხოვთ, ეს პატარა საჩუქარი მიიღეთ.
accident	ავარია; შემთხვევა	შემთხვევა სკოლასთან მოხდა.
according to	-ის მიხედვით	ანგარიშის მიხედვით, წვიმა მოდის.
achieve	მიღწევა	შენ მიზანს მიაღწევ.
act	მოქმედება; როლის თამაში	მას სპექტაკლში როლის თამაში შეუძლია.
active	აქტიური	ის ყოველდღე აქტიურია.
actually	სინამდვილეში	სინამდვილეში, მეტი დრო მჭირდება.
advantage	უპირატესობა	ამ გეგმას უპირატესობა აქვს.
adventure	თავგადასავალი	მათი მოგზაურობა თავგადასავალი იყო.
advertise	რეკლამირება	ისინი ახალ სამსახურს არეკლამებენ.
advertisement	რეკლამა	რეკლამა დავინახე.
advertising	რეკლამირება	რეკლამირება საკვების გაყიდვას ეხმარება.
affect	გავლენის მოხდენა	ძილმა ჯანმრთელობაზე შეიძლება იმოქმედოს.
against	წინააღმდეგ; მიყრდნობით	კედელს არ მიეყრდნოთ.
ah	აჰ	აჰ, ახლა მესმის.
airline	ავიაკომპანია	ავიაკომპანია ძალიან დაკავებულია.
alive	ცოცხალი	პატარა თევზი ცოცხალია.
all right	კარგად; რიგზე	ახლა ყველაფერი რიგზეა.
allow	ნება დართვა	აქ ძაღლებს უშვებენ.
almost	თითქმის	ჩვენ თითქმის მზად ვართ.
alone	მარტო	ის მარტო ცხოვრობს.
along	გასწვრივ	ამ გზის გასწვრივ იარეთ.
already	უკვე	პასუხი უკვე ვიცი.
alternative	ალტერნატივა	ეს მატარებელი ალტერნატივაა.
although	მიუხედავად იმისა, რომ	მიუხედავად იმისა, რომ გვიანია, დარჩენა შეგვიძლია.
among	შორის	ის ხეებს შორის იდგა.
amount	რაოდენობა	რაოდენობა ძალიან მცირეა.
ancient	ძველი; უძველესი	ეს უძველესი კედელი ცნობილია.
ankle	კოჭი	დღეს კოჭი მტკივა.
anybody	ვინმე	ვინმე უპასუხებს ამას?
any more	მეტი	მეტი აღარ მჭირდება.
anyway	მაინც; ყოველ შემთხვევაში	ყოველ შემთხვევაში, ახლა დაწყება შეგვიძლია.
anywhere	სადმე; ნებისმიერ ადგილას	სადაც გსურთ, იქ დაჯექით.
app	აპლიკაცია	ეს აპლიკაცია სასარგებლოა.
appear	გამოჩენა	მისი სახელი აქ გამოჩნდება.
appearance	გარეგნობა	მისი გარეგნობა განსხვავებულია.
apply	განაცხადის შეტანა	სამსახურზე დღეს შეიტანეთ განაცხადი.
architect	არქიტექტორი	არქიტექტორს გეგმა აქვს.
architecture	არქიტექტურა	თანამედროვე არქიტექტურა მომწონს.
argue	კამათი	დასთან ნუ იკამათებ.
argument	კამათი	კამათი მოკლე იყო.
army	ჯარი	ჯარი დიდია.
arrange	მოწყობა; ორგანიზება	გთხოვთ, შეხვედრა მოაწყვეთ.
arrangement	შეთანხმება; მოწყობა	ეს შეთანხმება კარგად მუშაობს.
asleep	მძინარე	ბავშვი სძინავს.
assistant	ასისტენტი; დამხმარე	ასისტენტი დამეხმარა.
athlete	სპორტსმენი	სპორტსმენი სწრაფად გარბის.
attack	შეტევა	ძაღლმა შეიძლება შეუტიოს.
attend	დასწრება	დღეს გაკვეთილს ვესწრები.
attention	ყურადღება	გთხოვთ, ახლა ყურადღება მიაქციეთ.
attractive	მიმზიდველი	ბაღი მიმზიდველია.
audience	აუდიტორია; მაყურებლები	მაყურებლები ჩუმად იყვნენ.
author	ავტორი	ავტორმა ეს წიგნი დაწერა.
available	ხელმისაწვდომი	საკვები ახლა ხელმისაწვდომია.
average	საშუალო	საშუალო ქულა კარგი იყო.
avoid	თავიდან აცილება	დატვირთულ გზას თავი აარიდეთ.
award	ჯილდო	მან ჯილდო მოიგო.
awful	საშინელი	ამინდი საშინელი იყო.
background	ფონი	სურათს მუქი ფონი აქვს.
badly	ცუდად	მან დღეს ცუდად ითამაშა.
bar	ბარი	სასტუმროს ბარში შევხვდით.
baseball	ბეისბოლი	ბეისბოლი აქ პოპულარულია.
based	დაფუძნებული	ფილმი წიგნზეა დაფუძნებული.
basketball	კალათბურთი	სკოლის შემდეგ კალათბურთს ვთამაშობთ.
bean	ლობიო	ეს ლობიო მწვანეა.
bear (animal)	დათვი	ტყეში დათვი ცხოვრობს.
beat	დამარცხება	ჩვენს გუნდს მათი დამარცხება შეუძლია.
beef	საქონლის ხორცი	სადილად საქონლის ხორცი ვჭამე.
behave	ქცევა	გთხოვთ, კლასში კარგად მოიქეცით.
behaviour	ქცევა	მისი ქცევა თავაზიანი იყო.
belong	კუთვნა	ეს ფეხსაცმელი მე მეკუთვნის.
belt	ქამარი	მისი ქამარი შავია.
benefit	სარგებელი	ვარჯიშს ნამდვილი სარგებელი აქვს.
billion	მილიარდი	მილიარდი უზარმაზარი რიცხვია.
bin	ნაგვის ყუთი	ქაღალდი ნაგვის ყუთში ჩადეთ.
biology	ბიოლოგია	ბიოლოგია ჩემი საუკეთესო გაკვეთილია.
birth	დაბადება	მისი დაბადება მაისში იყო.
biscuit	ნამცხვარი; ორცხობილა	ის ორცხობილას ჭამს.
bit	ცოტა	ცოტა მეტი დრო მჭირდება.
blank	ცარიელი ადგილი	სახელი ცარიელ ადგილას დაწერეთ.
blood	სისხლი	სისხლი წითელია.
blow	ქროლა	ქარი ძლიერად შეიძლება ქროდეს.
board	დაფა	ეს დაფაზე დაწერეთ.
boil	ადუღება	ჯერ წყალი აადუღეთ.
bone	ძვალი	ძაღლს ძვალი აქვს.
borrow	თხოვება	შენი კალამი მათხოვებ?
boss	უფროსი	ჩემი უფროსი მეგობრულია.
bottom	ქვედა ნაწილი	ქვედა ნაწილში მოაწერეთ ხელი.
bowl	თასი	თასი სავსეა.
brain	ტვინი	შენს ტვინს დასვენება სჭირდება.
bridge	ხიდი	ხიდი ძველია.
bright	ნათელი	ოთახი ნათელია.
brilliant	ბრწყინვალე	ეს იდეა ბრწყინვალეა.
broken	გატეხილი	სკამი გატეხილია.
brush	ჯაგრისი; გახეხვა	ახლა კბილები გაიხეხე.
burn	დაწვა	პური არ დაწვათ.
businessman	ბიზნესმენი	ბიზნესმენი ადრე მოვიდა.
