source_headword	TE	example_TE
stranger	అపరిచితుడు	ఒక అపరిచితుడు దారి అడిగాడు.
strength	బలం	ఆమె బలం జట్టుకు సహాయపడింది.
string	దారం	పెట్టెను దారంతో కట్టండి.
strongly	తీవ్రంగా	నేను ఆ ఆలోచనతో తీవ్రంగా విభేదిస్తున్నాను.
studio	స్టూడియో	కళాకారుడు ఒక చిన్న స్టూడియోలో పనిచేస్తాడు.
stuff	వస్తువులు	మీ వస్తువులను అర మీద పెట్టండి.
substance	పదార్థం	పోలీసులకు ఒక వింత పదార్థం దొరికింది.
successfully	విజయవంతంగా	వారు ప్రాజెక్ట్‌ను విజయవంతంగా పూర్తి చేశారు.
sudden	ఆకస్మిక	ఆకస్మిక శబ్దం మమ్మల్ని నిద్రలేపింది.
suffer	బాధపడటం	పొడి వాతావరణంలో చాలా మొక్కలు దెబ్బతింటాయి.
suitable	అనువైన	ఈ జాకెట్ పాఠశాలకు అనువైనది.
summarize	సంగ్రహంగా చెప్పడం	మీరు ఈ వ్యాసాన్ని సంగ్రహంగా చెప్పగలరా?
summary	సారాంశం	ఈ రాత్రికి ఒక చిన్న సారాంశం రాయండి.
supply	సరఫరా	పట్టణానికి పరిశుభ్రమైన నీటి సరఫరా అవసరం.
supporter	మద్దతుదారు	ప్రతి మద్దతుదారు బిగ్గరగా ఉత్సాహపరిచారు.
surely	కచ్చితంగా	కచ్చితంగా మనం దీన్ని పరిష్కరించగలం.
surface	ఉపరితలం	ఉపరితలం చల్లగా, నునుపుగా అనిపించింది.
survive	మనుగడ సాగించడం	ఈ జంతువులు చలికాలంలో మనుగడ సాగిస్తాయి.
switch	స్విచ్	వంటగది లైట్‌ను స్విచ్ ఆఫ్ చేయండి.
symptom	లక్షణం	దగ్గు ఒక లక్షణం కావచ్చు.
tail	తోక	ఆ కుక్కకు పొడవైన తోక ఉంది.
talent	ప్రతిభ	ఆమెకు సంగీతంలో ప్రతిభ ఉంది.
talented	ప్రతిభావంతుడైన	అతను ఒక ప్రతిభావంతుడైన యువ నటుడు.
tape	టేప్	పెట్టెను మూసివేయడానికి టేప్‌ను ఉపయోగించండి.
tax	పన్ను	ప్రతి ఒక్కరూ ఈ పన్ను చెల్లించాలి.
technical	సాంకేతిక	మాకు ఒక సాంకేతిక సమస్య వచ్చింది.
technique	పద్ధతి	ఈ పద్ధతి సమయాన్ని ఆదా చేస్తుంది.
tend	ధోరణి	పిల్లలు త్వరగా నేర్చుకునే ధోరణిని కలిగి ఉంటారు.
