source_headword	KN	example_KN
ability	ಸಾಮರ್ಥ್ಯ	ಅವಳ ಈಜುವ ಸಾಮರ್ಥ್ಯ ಸ್ಪಷ್ಟವಾಗಿದೆ.
able	ಮಾಡಬಲ್ಲ	ಅವನು ಇಂದು ಬರಬಲ್ಲನು.
abroad	ವಿದೇಶದಲ್ಲಿ	ಅವಳು ವಿದೇಶದಲ್ಲಿ ಓದಲು ಬಯಸುತ್ತಾಳೆ.
accept	ಸ್ವೀಕರಿಸು	ದಯವಿಟ್ಟು ಈ ಸಣ್ಣ ಉಡುಗೊರೆಯನ್ನು ಸ್ವೀಕರಿಸು.
accident	ಅಪಘಾತ	ಅಪಘಾತ ಶಾಲೆಯ ಹತ್ತಿರ ನಡೆಯಿತು.
according to	ಪ್ರಕಾರ	ವರದಿಯ ಪ್ರಕಾರ, ಮಳೆ ಬರುತ್ತಿದೆ.
achieve	ಸಾಧಿಸು	ನೀನು ನಿನ್ನ ಗುರಿಯನ್ನು ಸಾಧಿಸಬಹುದು.
act	ನಟಿಸು; ಕ್ರಿಯೆ	ಅವನು ನಾಟಕದಲ್ಲಿ ನಟಿಸಬಹುದು.
active	ಚುರುಕಾದ	ಅವಳು ಪ್ರತಿದಿನ ಚುರುಕಾಗಿರುತ್ತಾಳೆ.
actually	ನಿಜವಾಗಿ	ನಿಜವಾಗಿ, ನನಗೆ ಇನ್ನಷ್ಟು ಸಮಯ ಬೇಕು.
advantage	ಲಾಭ	ಈ ಯೋಜನೆಗೆ ಒಂದು ಲಾಭ ಇದೆ.
adventure	ಸಾಹಸ	ಅವರ ಪ್ರಯಾಣ ಒಂದು ಸಾಹಸವಾಗಿತ್ತು.
advertise	ಜಾಹೀರಾತು ಮಾಡು	ಅವರು ಹೊಸ ಕೆಲಸವನ್ನು ಜಾಹೀರಾತು ಮಾಡುತ್ತಾರೆ.
advertisement	ಜಾಹೀರಾತು	ನಾನು ಒಂದು ಜಾಹೀರಾತು ನೋಡಿದೆ.
advertising	ಜಾಹೀರಾತು ಕೆಲಸ	ಜಾಹೀರಾತು ಕೆಲಸ ಆಹಾರವನ್ನು ಮಾರಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ.
affect	ಪ್ರಭಾವ ಬೀರು	ನಿದ್ರೆ ನಿನ್ನ ಆರೋಗ್ಯದ ಮೇಲೆ ಪ್ರಭಾವ ಬೀರುತ್ತದೆ.
against	ವಿರುದ್ಧ; ಆಧರಿಸಿ	ಗೋಡೆಯ ಮೇಲೆ ಆಧರಿಸಿ ನಿಲ್ಲಬೇಡ.
ah	ಆಹಾ	ಆಹಾ, ಈಗ ನನಗೆ ಅರ್ಥವಾಯಿತು.
airline	ವಿಮಾನಯಾನ ಸಂಸ್ಥೆ	ವಿಮಾನಯಾನ ಸಂಸ್ಥೆ ಬಹಳ ಬ್ಯುಸಿಯಾಗಿದೆ.
alive	ಬದುಕಿರುವ	ಸಣ್ಣ ಮೀನು ಬದುಕಿದೆ.
all right	ಸರಿ	ಈಗ ಎಲ್ಲವೂ ಸರಿ ಇದೆ.
allow	ಅನುಮತಿಸು	ಅವರು ಇಲ್ಲಿ ನಾಯಿಗಳನ್ನು ಅನುಮತಿಸುತ್ತಾರೆ.
almost	ಬಹುತೇಕ	ನಾವು ಬಹುತೇಕ ಸಿದ್ಧರಾಗಿದ್ದೇವೆ.
alone	ಒಂಟಿಯಾಗಿ	ಅವಳು ಒಂಟಿಯಾಗಿ ವಾಸಿಸುತ್ತಾಳೆ.
along	ಉದ್ದಕ್ಕೂ	ಈ ರಸ್ತೆಯ ಉದ್ದಕ್ಕೂ ನಡೆ.
already	ಈಗಾಗಲೇ	ನನಗೆ ಉತ್ತರ ಈಗಾಗಲೇ ಗೊತ್ತಿದೆ.
alternative	ಪರ್ಯಾಯ	ಈ ರೈಲು ಒಂದು ಪರ್ಯಾಯ.
although	ಆದರೂ	ತಡವಾದರೂ, ನಾವು ಉಳಿಯಬಹುದು.
among	ನಡುವೆ	ಅವನು ಮರಗಳ ನಡುವೆ ನಿಂತನು.
amount	ಪ್ರಮಾಣ	ಪ್ರಮಾಣ ತುಂಬಾ ಚಿಕ್ಕದು.
ancient	ಪ್ರಾಚೀನ	ಈ ಪ್ರಾಚೀನ ಗೋಡೆ ಪ್ರಸಿದ್ಧವಾಗಿದೆ.
ankle	ಕಣಕಾಲು	ಇಂದು ನನ್ನ ಕಣಕಾಲು ನೋಯುತ್ತಿದೆ.
anybody	ಯಾರಾದರೂ	ಇದಕ್ಕೆ ಯಾರಾದರೂ ಉತ್ತರಿಸಬಹುದೇ?
any more	ಇನ್ನಷ್ಟು	ನನಗೆ ಇನ್ನಷ್ಟು ಬೇಕಿಲ್ಲ.
anyway	ಹೇಗಾದರೂ	ಹೇಗಾದರೂ, ನಾವು ಈಗ ಆರಂಭಿಸಬಹುದು.
anywhere	ಎಲ್ಲಿ ಬೇಕಾದರೂ	ನಿನಗೆ ಇಷ್ಟವಾದಲ್ಲಿ ಎಲ್ಲಿ ಬೇಕಾದರೂ ಕುಳಿತುಕೋ.
