source_headword	SR	example_SR
incur	проузроковати	Кашњења могу проузроковати додатне трошкове.
indicator	показатељ	Незапосленост је један економски показатељ.
indictment	оптужница	Оптужница је навела три тачке.
indigenous	аутохтон	Аутохтоне биљке овде добро расту.
induce	изазвати	Лек може изазвати сан.
indulge	удовољавати	Она не удовољава скупим навикама.
inequality	неједнакост	Неједнакост прихода остаје главни проблем.
infamous	злогласан	Затвор је постао светски злогласан.
infant	одојче	Одојче је спавало у кревецу.
infect	заразити	Вирус може заразити здраве ћелије.
inflict	нанети	Не наносите бол животињама.
influential	утицајан	Она је утицајна правна научница.
inherent	својствен	Дизајн има својствене ризике.
inhibit	спутавати	Страх може спутавати искрену расправу.
initiate	покренути	Менаџер ће покренути ревизију.
inject	убризгати	Медицинска сестра ће убризгати вакцину.
injection	инјекција	Инјекција је смањила бол.
injustice	неправда	Пресуда је открила јасну неправду.
inmate	затвореник	Затвореник је затражио правни савет.
insertion	уметање	Образац захтева једно уметање текста.
insider	инсајдер	Инсајдер је одао извештај.
inspect	прегледати	Званичници годишње прегледају мост.
inspection	инспекција	Инспекција је открила озбиљна оштећења.
inspiration	инспирација	Њен говор ми је дао инспирацију.
instinct	инстинкт	Његов први инстинкт био је да помогне.
institutional	институционалан	Институционална правила обликовала су одлуку.
instruct	упутити	Приручник ће упутити ново особље.
instrumental	кључан	Њен савет је био кључан у преговорима.
insufficient	недовољан	Докази су били недовољни за оптужбе.
insult	увреда	Његова увреда завршила је разговор.
intact	нетакнут	Древни зид остао је нетакнут.
intake	унос	Унос шећера требало би да остане умерен.
integral	саставни	Поверење је саставни део тима.
integrated	интегрисан	Школа нуди интегрисану подршку.
integration	интеграција	Интеграција је побољшала цео систем.
integrity	интегритет	Судија је показао велики интегритет.
intensify	појачати	Олуја би могла да се појача преко ноћи.
intensity	интензитет	Интензитет тренинга се повећао.
intensive	интензиван	Завршили су интензиван језички тренинг.
intent	намера	Његову намеру је било тешко доказати.
interactive	интерактиван	Музеј има интерактивне изложбе.
interface	интерфејс	Интерфејс је лак за навигацију.
interfere	мешати се	Не мешајте се у истрагу.
interference	сметња	Сметња сигнала прекинула је позив.
interim	привремен	Привремени извештај стиже сутра.
interior	унутрашњи	Унутрашњим зидовима је потребна боја.
intermediate	средњи	Придружила се средњој групи.
intervene	интервенисати	Полиција је морала брзо да интервенише.
intervention	интервенција	Рана интервенција помогла је пацијенту.
intimate	интиман	Одржали су интимну породичну церемонију.
intriguing	интригантан	Подаци су открили интригантан узорак.
investigator	истражитељ	Истражитељ је испитао сваког сведока.
invisible	невидљив	Гас је невидљив и опасан.
invoke	позвати се	Адвокат је покушао да се позове на преседан.
involvement	умешаност	Његова умешаност остала је нејасна.
ironic	ироничан	Ироничан коментар све је насмејао.
ironically	иронично	Иронично, рута је трајала дуже.
irony	иронија	Иронија је свима била очигледна.
irrelevant	небитан	Тај детаљ је овде небитан.
isolation	изолација	Изолација може наштетити менталном здрављу.
judicial	судски	Судска ревизија почиње у понедељак.
junction	раскрсница	Скрените лево на раскрсници.
jurisdiction	надлежност	Суд има ограничену надлежност.
just	праведан	Судија је донео праведну одлуку.
justification	оправдање	Треба нам јасно оправдање за потрошњу.
kidnap	отети	Криминалци су покушали да отму дипломату.
kidney	бубрег	Њена функција бубрега се побољшала.
kingdom	краљевство	Краљевство се проширило под његовом владавином.
lad	младић	Младић је носио торбе.
landlord	станодавац	Станодавац је поправио грејање.
landmark	знаменитост	Торањ је постао градска знаменитост.
lap	крило	Дете јој је седело у крилу.
large-scale	великих размера	Град је планирао поправке великих размера.
laser	ласер	Ласер је измерио удаљеност.
latter	потоњи	Потоња опција се чини сигурнијом.
lawn	травњак	Деца су се играла на травњаку.
lawsuit	тужба	Компанија се нагодила око тужбе.
layout	распоред	Распоред странице изгледа јасније.
leak	цурење	Цурење цеви поплавило је кухињу.
leap	скок	Продаја је направила изненадан скок.
