source_headword	NL	example_NL
stranger	de vreemdeling	Een vreemde vroeg de weg.
strength	de kracht	Haar kracht hielp het team.
string	het touw	Bind de doos vast met touw.
strongly	sterk	Ik ben het sterk oneens met dat idee.
studio	de studio	De kunstenaar werkt in een kleine studio.
stuff	de spullen	Zet je spullen op de plank.
substance	de stof	De politie vond een vreemde stof.
successfully	met succes	Ze hebben het project met succes afgerond.
sudden	plotseling	Een plotseling geluid maakte ons wakker.
suffer	lijden	Veel planten lijden onder droog weer.
suitable	geschikt	Deze jas is geschikt voor school.
summarize	samenvatten	Kun je het artikel samenvatten?
summary	de samenvatting	Schrijf vanavond een korte samenvatting.
supply	de voorziening	De stad heeft een schone watervoorziening nodig.
supporter	de supporter	Elke supporter juichte luid.
surely	zeker	We kunnen dit zeker oplossen.
surface	het oppervlak	Het oppervlak voelde koud en glad aan.
survive	overleven	Deze dieren overleven koude winters.
switch	overschakelen / de schakelaar	Doe het keukenlicht uit.
symptom	het symptoom	Een hoest kan een symptoom zijn.
tail	de staart	De hond heeft een lange staart.
talent	het talent	Ze heeft een talent voor muziek.
talented	getalenteerd	Hij is een getalenteerde jonge acteur.
tape	het plakband	Gebruik plakband om de doos te sluiten.
tax	de belasting	Iedereen moet deze belasting betalen.
technical	technisch	We hadden een technisch probleem.
technique	de techniek	Deze techniek bespaart tijd.
tend	de neiging hebben	Kinderen hebben de neiging om snel te leren.
tent	de tent	We sliepen in een kleine tent.
theirs	van hen	De blauwe fietsen zijn van hen.
theme	het thema	Het feest had een strandthema.
theory	de theorie	Zijn theorie verklaart het probleem.
therefore	daarom	Het regende, daarom bleven we binnen.
though	hoewel	Hoewel ze moe was, bleef ze werken.
throat	de keel	Mijn keel doet vanmorgen pijn.
throughout	door de hele	Mensen dansten de hele avond.
tight	strak	Deze schoenen voelen te strak aan.
till	tot	Wacht hier tot ik terug ben.
tin	het blik	Maak een blik bonen open.
tiny	piepklein	Een piepklein vogeltje landde vlakbij.
toe	de teen	Ik heb gisteren mijn teen bezeerd.
tongue	de tong	Ze verbrandde haar tong aan de thee.
total	totaal	De totale kosten waren laag.
totally	helemaal	Ik begrijp je bezorgdheid helemaal.
trade	de handel	Internationale handel creëert banen.
translate	vertalen	Vertaal deze zin alsjeblieft.
translation	de vertaling	De vertaling klinkt natuurlijk.
treat	behandelen	Behandel iedereen met respect.
treatment	de behandeling	De patiënt heeft vandaag een behandeling nodig.
trend	de trend	Deze trend groeit wereldwijd.
trick	de truc	Die kaarttruc verraste me.
truth	de waarheid	Vertel alsjeblieft de waarheid.
tube	de tube	Knijp zachtjes in de tube.
typically	doorgaans	Studenten komen doorgaans voor negen uur aan.
tyre	de band	De auto heeft een nieuwe band nodig.
ugly	lelijk	Die muurkleur ziet er lelijk uit.
unable	niet in staat	Hij was niet in staat om te antwoorden.
uncomfortable	oncomfortabel	Deze stoel is oncomfortabel.
underwear	het ondergoed	Pak schoon ondergoed in voor de reis.
unemployed	werkloos	Ze was twee maanden werkloos.
unemployment	de werkloosheid	De werkloosheid steeg tijdens de winter.
unfair	oneerlijk	De beslissing leek oneerlijk.
union	de vakbond	De vakbond vroeg om veiliger werk.
unless	tenzij	Vertrek niet tenzij ik bel.
unlike	in tegenstelling tot	In tegenstelling tot Tom, houdt Ana van de winter.
unlikely	onwaarschijnlijk	Sneeuw is deze week onwaarschijnlijk.
unnecessary	onnodig	Extra tassen zijn onnodig.
unpleasant	onaangenaam	De kamer had een onaangename geur.
update	updaten	Ik moet mijn telefoon updaten.
upon	op / bij	Er was eens een koning.
upset	overstuur	Ze voelde zich overstuur na het telefoontje.
used1	gebruikt	Deze kamer wordt gebruikt voor vergaderingen.
used2	gewend	Ik ben gewend aan vroege ochtenden.
valuable	waardevol	Dit horloge is waardevol.
value	de waarde	Het huis verloor vorig jaar aan waarde.
various	verschillende	We hebben verschillende lokale gerechten geprobeerd.
version	de versie	Deze versie werkt beter.
victim	het slachtoffer	Het slachtoffer belde de politie.
viewer	de kijker	Eén kijker stelde een vraag.
violent	gewelddadig	De film was te gewelddadig.
volunteer	vrijwilligerswerk doen / de vrijwilliger	Ik doe vrijwilligerswerk in de bibliotheek.
vote	stemmen / de stem	Vergeet niet om morgen te stemmen.
warn	waarschuwen	Ik probeerde hem te waarschuwen.
warning	de waarschuwing	De waarschuwing verscheen op het scherm.
waste	verspillen / het afval	Verspil geen schoon water.
weapon	het wapen	Het mes werd een wapen.
weigh	wegen	Weeg de bloem zorgvuldig af.
western	westers	Ze keken naar een westerse film.
whatever	wat dan ook	Kies wat je maar wilt.
whenever	wanneer dan ook	Bel wanneer je maar hulp nodig hebt.
whether	of	Ik weet niet of ze het ermee eens is.
wing	de vleugel	De vogel bezeerde één vleugel.
within	binnen	Antwoord alsjeblieft binnen twee dagen.
wonder	zich afvragen	Ik vraag me af wat er gebeurd is.
wool	de wol	Deze jas is gemaakt van wol.
worldwide	wereldwijd	Het nummer werd wereldwijd populair.
worth	waard	Dit boek is het lezen waard.
written	schriftelijk	Stuur alsjeblieft schriftelijke instructies.
yard	de tuin	De kinderen speelden in de tuin.
youth	de jeugd	Jeugdclubs ondersteunen lokale tieners.
