source_headword	AZ	example_AZ
prey	şikar	Bayquşlar gecə şikar ovlayırlar.
privatization	özəlləşdirmə	Özəlləşdirmə dəmir yolu sistemini dəyişdi.
privilege	imtiyaz	Təhsil imtiyaz olmamalıdır.
probe	təhqiqat	Araşdırma ciddi səhvləri aşkar etdi.
problematic	problemli	Razılaşma problemli olaraq qalır.
proceedings	məhkəmə işi	Məhkəmə işi bazar ertəsi başladı.
proceeds	gəlir	Gəlir yerli məktəbləri dəstəkləyəcək.
processing	emal	Təsvirin emalı vaxt aparır.
processor	prosessor	Test zamanı prosessor sıradan çıxdı.
proclaim	elan etmək	Liderlər qələbəni çox tez elan edirlər.
productive	məhsuldar	Görüş məhsuldar oldu.
productivity	məhsuldarlıq	Təlimdən sonra məhsuldarlıq artdı.
profitable	gəlirli	Mağaza bu il gəlirli oldu.
profound	dərin	Çıxışın dərin təsiri oldu.
projection	proqnoz	Proqnoz sabit inkişafı göstərir.
prominent	görkəmli	O, görkəmli alim oldu.
pronounced	aydın	Onun ləhcəsi daha aydın oldu.
propaganda	təbliğat	Kampaniyada onlayn təbliğatdan istifadə edildi.
proposition	təklif	Bu təklif riskli təşəbbüsdür.
prosecute	cinayət məsuliyyətinə cəlb etmək	Rəsmilər ciddi fırıldaqçılıq hallarını cinayət məsuliyyətinə cəlb edirlər.
prosecution	ittiham tərəfi	İttiham tərəfi yeni sübutlar təqdim etdi.
prosecutor	prokuror	Prokuror şahidi dindirdi.
prospective	potensial	Potensial tələbələr kampusu gəzdilər.
prosperity	rifah	Ticarət bölgəyə rifah gətirdi.
protective	qoruyucu	O, qoruyucu əlcək geyinmişdi.
protocol	protokol	Protokol yazılı təsdiq tələb edir.
province	əyalət	Əyalət nəqliyyata sərmayə yatırdı.
provincial	əyalət	Əyalət rəsmiləri planı elan etdilər.
provision	şərt	Müqaviləyə təhlükəsizlik şərti daxildir.
provoke	səbəb olmaq	Çıxış güclü reaksiyalara səbəb ola bilər.
psychiatric	psixiatrik	Xəstəxanada psixiatrik şöbə açıldı.
pulse	nəbz	Tibb bacısı onun nəbzini yoxladı.
pump	nasos	Nasos suyu yuxarı vurur.
punch	zərbə	O, qəzəblə zərbə endirdi.
query	sorğu	Sorğunuzu dəstək xidmətinə göndərin.
quest	axtarış	Onların ədalət axtarışı davam etdi.
quota	kvota	Komanda satış kvotasını yerinə yetirdi.
radar	radar	Fırtına radarda göründü.
radical	radikal	Qrup radikal islahatlar təklif etdi.
rage	qəzəb	Onun qəzəbi tez keçdi.
raid	reyd	Polis səhər reydi keçirdi.
rally	mitinq	Tərəfdarlar şəhər mərkəzindəki mitinqə qatıldılar.
ranking	reytinq	Universitet öz reytinqini yaxşılaşdırdı.
rape	zorlama	Zorlama halları diqqətli araşdırma tələb edir.
ratio	nisbət	Sinifdə müəllim nisbəti aşağıdır.
rational	məntiqli	Onun qərarı məntiqli idi.
ray	şüa	İçəri günəş şüası düşdü.
readily	məmnuniyyətlə	O, təklifi məmnuniyyətlə qəbul etdi.
realization	dərk etmə	Bunu dərk etmə onun planlarını dəyişdi.
realm	sahə	Bu sual başqa sahəyə aiddir.
rear	arxa	Bu gün arxa girişdən istifadə edin.
reasoning	mühakimə	Onun mühakiməsi aydın idi.
reassure	sakitləşdirmək	Həkim onu sakitləşdirməyə çalışdı.
rebel	üsyançı	Üsyançı lider ələ keçməkdən xilas oldu.
rebellion	üsyan	Üsyan danışıqlardan sonra sona çatdı.
recipient	alıcı	Alıcı formanı imzaladı.
reconstruction	bərpa	Daşqından sonra bərpa işləri başladı.
recount1	ətraflı danışmaq	O, hadisələri aydın şəkildə danışa bilir.
referendum	referendum	Referendum ölkəni ikiyə böldü.
reflection	düşüncə	Esse daha dərin düşünmə tələb edirdi.
reform	islahat	İslahat dövlət xidmətlərini yaxşılaşdırdı.
refuge	sığınacaq	Ailə xaricdə sığınacaq axtardı.
refusal	imtina	Onun imtinası komitəni təəccübləndirdi.
regain	yenidən qazanmaq	O, inamı yenidən qazanmaq üçün çox çalışdı.
regardless	baxmayaraq	Onlar tənqidlərə baxmayaraq davam etdilər.
regime	rejim	Rejim söz azadlığını məhdudlaşdırdı.
regulator	tənzimləyici	Tənzimləyici şirkəti cərimələdi.
regulatory	tənzimləyici	Tənzimləyici təsdiq aylarla çəkdi.
rehabilitation	reabilitasiya	Reabilitasiya ona yenidən yeriməyə kömək etdi.
reign	hakimiyyət	Kralın hakimiyyəti onilliklər davam etdi.
rejection	rədd	Rədd onun özünə inamına zərbə vurdu.
relevance	aktuallıq	Məlumatların aktuallığı məhduddur.
reliability	etibarlılıq	Fövqəladə hallarda etibarlılıq vacibdir.
reluctant	istəksiz	O, danışmağa istəksiz idi.
remainder	qalan hissə	Qalan hissə xeyriyyəçiliyə getdi.
remains	qalıqlar	Qalıqlar diqqətlə yoxlanıldı.
remedy	çarə	Qanun çarə təqdim edir.
reminder	xatırlatma	E-poçt faydalı xatırlatma oldu.
removal	aradan qaldırma	Maneələrin aradan qaldırılması ticarətə kömək etdi.
render	etmək	Səhv müqaviləni etibarsız etdi.
renew	yeniləmək	Pasportunuzu tezliklə yeniləyin.
renowned	məşhur	O, tədqiqatları ilə məşhurdur.
rental	kirayə	Kirayəyə sığorta daxildir.
replacement	əvəz	Əvəzedici hissə bu gün gəldi.
reportedly	deyilənə görə	Deyilənə görə, nazir dünən istefa verib.
