source_headword	TL	example_TL
toss	ihagis	Inihagis niya ang mga susi sa ibabaw ng mesa.
total	kabuuan	Ang kabuuan ng mga pag-aayos ay higit sa inaasahan.
toxic	nakakalason	Ang nakakalason na usok ay nagtulak sa lahat sa labas.
trademark	trademark	Ang logo ay naging trademark ng kumpanya.
trail	landas	Ang landas ay patungo sa kagubatan.
trailer	trailer	Ipinakita sa trailer ang katapusan ng pelikula.
transaction	transaksyon	Lumabas ang transaksyon sa aking bank statement.
transcript	transcript	Humiling ang estudyante ng opisyal na transcript.
transformation	transpormasyon	Nakaranas ang lungsod ng malaking transpormasyon.
transit	pagbiyahe	Nasira ang pakete habang nasa pagbiyahe.
transmission	pagpapadala	Ligtas ang pagpapadala ng datos.
transparency	kalinawan	Nanawagan ang ulat ng higit na kalinawan.
transparent	malinaw	Dapat maging malinaw ang proseso sa lahat.
trauma	trauma	Nag-iwan ng matinding trauma ang aksidente.
treaty	kasunduan	Lumagda ang mga bansa ng isang kasunduan sa kapayapaan.
tremendous	napakalaki	Nakagawa ang koponan ng napakalaking pag-unlad.
tribal	pantribo	Ipinakita ng museo ang sining pantribo.
tribunal	tribunal	Nakinig ang tribunal sa mga ebidensya buong linggo.
tribute	parangal	Ang konsyerto ay isang parangal para sa kanya.
trio	tatluhan	Nagtanghal ang tatluhan sa pagdiriwang.
triumph	tagumpay	Ang pagkapanalo ay isang personal na tagumpay.
trophy	tropeo	Ipinagmamalaking itinaas ng kapitan ang tropeo.
troubled	nagkakaproblema	Nangailangan ng bagong pamumuno ang nagkakaprobemang kumpanya.
trustee	tagapangalaga	Pinamamahalaan ng tagapangalaga ang pondo ng iskolarship.
tuition	matrikula	Tumaas ang kanyang matrikula ngayong taon.
turnout	bilang ng dumalo	Mas mataas kaysa sa inaasahan ang bilang ng dumalo sa pagboto.
turnover	pagpapalit ng tauhan	Bumaba ang pagpapalit ng tauhan pagkatapos ng mga pagbabago.
twist	pihitin	Pinihit niya ang takip upang mabuksan.
undergraduate	mag-aaral sa kolehiyo	Sumali ang mag-aaral sa kolehiyo sa isang proyekto ng pananaliksik.
underlying	pinagbabatayan	Ipinaliwanag ng ulat ang mga pinagbabatayang dahilan.
undermine	sirain	Sinira ng iskandalo ang tiwala ng publiko.
undoubtedly	walang duda	Siya ay walang dudang pinakamahusay na kandidato.
unify	pag-isahin	Layunin ng plano na pag-isahin ang mga koponan.
unprecedented	hindi pa nagaganap	Nagdulot ang bagyo ng pinsalang hindi pa nagaganap.
unveil	ibunyag	Ibibunyag ng kumpanya ang disenyo bukas.
upcoming	paparating	Nakatawag pansin sa publiko ang paparating na halalan.
upgrade	i-upgrade	In-upgrade namin ang software kagabi.
uphold	panindigan	Pinaninindigan namin ang orihinal na desisyon.
utility	utilidad	Kasama sa apartment ang lahat ng gastos sa utilidad.
utilize	gamitin	Ginamit ng koponan ang mga magagamit na datos.
utterly	lubos	Ang paliwanag ay lubos na nakakalito.
vacuum	kawalan	Ang kawalan sa pamumuno ay lumikha ng tensyon.
vague	malabo	Ang kanyang sagot ay malabo at mahina.
validity	bisa	Kinuwestiyon ng pag-aaral ang bisa ng pagsusulit.
vanish	maglaho	Naglaho ang file mula sa folder.
variable	variable	Ang presyo ay isang mahalagang variable.
varied	iba-iba	Nag-aalok ang kurso ng iba't ibang takdang-aralin.
vein	ugat	Mabilis na nahanap ng nars ang isang ugat.
venture	negosyo	Nakaakit ng mga mamumuhunan ang bagong negosyo.
verbal	berbal	Naabot nila ang isang berbal na kasunduan.
verdict	hatol	Ibinaba ng hurado ang hatol nito.
verify	patunayan	Mangyaring patunayan ang iyong email address.
verse	bersikulo	Nagbanggit siya ng isang bersikulo mula sa tula.
versus	laban sa	Ang debate ay tungkol sa privacy laban sa seguridad.
vessel	sasakyang-dagat	Nagdala ang sasakyang-dagat ng butil patawid ng dagat.
veteran	beterano	Sinanay ng beterano ang mga bagong tauhan.
viable	praktikal	Ang panukala ay praktikal sa pinansyal.
vibrant	masigla	Ang lungsod ay may masiglang eksena ng sining.
vice	bisyo	Kasakiman ang kanyang pinakamalaking bisyo.
