simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
吧	en forslagspartikel; ikke?	Lad os gå.	ehdotuspartikkeli; -han/-pa	Mennään.	částice návrhu; že?	Pojďme.	častica návrhu; však?	Poďme.
白	hvid	Dette stykke tøj er hvidt.	valkoinen	Tämä vaatekappale on valkoinen.	bílý	Tento kus oblečení je bílý.	biely	Tento kus oblečenia je biely.
百	hundrede	Denne mobil koster hundrede yuan.	sata	Tämä puhelin maksaa sata yuania.	sto	Tento telefon stojí sto jüanů.	sto	Tento telefón stojí sto jüanov.
帮助	at hjælpe; en hjælp	Vær venlig at hjælpe mig.	auttaa; apu	Auta minua, ole hyvä.	pomáhat; pomoc	Prosím, pomozte mi.	pomáhať; pomoc	Prosím, pomôžte mi.
报纸	en avis	Far læser avisen.	sanomalehti	Isä lukee sanomalehteä.	noviny	Táta čte noviny.	noviny	Otec číta noviny.
比	end; at sammenligne	I dag er det varmere end i går.	kuin; verrata	Tänään on kuumempi kuin eilen.	než; porovnávat	Dnes je tepleji než včera.	než; porovnávať	Dnes je teplejšie než včera.
别	ikke; anden	Gå ikke.	älä; muu	Älä mene.	ne; jiný	Nechoď.	nie; iný	Nechoď.
长	lang	Denne vej er lang.	pitkä	Tämä tie on pitkä.	dlouhý	Tato cesta je dlouhá.	dlhý	Táto cesta je dlhá.
唱歌	at synge	Min lillesøster kan lide at synge.	laulaa	Pikkusiskoni pitää laulamisesta.	zpívat	Moje mladší sestra ráda zpívá.	spievať	Moja mladšia sestra rada spieva.
出	at gå ud; at komme ud	Han gik ud.	tulla ulos; lähteä ulos	Hän meni ulos.	vyjít; vycházet	On vyšel ven.	vyjsť; vychádzať	On vyšiel von.
穿	at have på; at tage på	Jeg har hvidt tøj på.	pukea; pitää yllä	Minulla on valkoiset vaatteet päällä.	nosit; oblékat si	Mám na sobě bílé oblečení.	nosiť; obliecť si	Mám na sebe biele oblečenie.
船	en båd; et skib	Båden er på vandet.	vene; laiva	Vene on vedessä.	loď	Loď je na vodě.	loď	Loď je na vode.
