simplified	FR	example_FR
哎	hé; tiens	Hé, qu'est-ce qui t'amène ici ?
唉	hélas; soupir	Hélas, je suis encore en retard.
爱护	prendre soin de; protéger	Nous devons prendre soin de l'environnement.
爱惜	chérir; utiliser avec soin	Respecte ton propre temps, s'il te plaît.
爱心	la compassion; la bienveillance	Elle est très bienveillante.
安慰	consoler; réconforter	Mon ami m'a réconforté.
安装	installer	L'ouvrier installe la climatisation.
岸	la rive; le rivage	Le bateau s'approche lentement de la rive.
暗	sombre; obscur	Il fait très sombre dans la pièce.
熬夜	veiller tard	Veiller tard est mauvais pour la santé.
把握	la certitude; saisir	Je ne suis pas sûr de pouvoir bien faire cette chose.
摆	disposer; arranger	Disposez les chaises proprement, s'il vous plaît.
办理	traiter; effectuer	Je vais à la banque pour traiter une affaire.
傍晚	le soir; en fin de journée	Nous irons nous promener en fin de journée.
包裹	le colis; emballer	J'ai reçu un colis.
包含	contenir; inclure	Le prix inclut le petit déjeuner.
包括	inclure	Les frais incluent le déjeuner.
薄	mince; fin	Ce livre est très mince.
保持	maintenir; garder	Gardez le silence, s'il vous plaît.
保存	sauvegarder; conserver	Sauvegarde ce fichier, s'il te plaît.
保留	réserver; conserver	Réservez-moi une place, s'il vous plaît.
保险	l'assurance	J'ai acheté une assurance voyage.
宝贝	le trésor; le chéri	C'est mon trésor.
宝贵	précieux	Le temps est précieux.
报到	s'inscrire; se présenter	Les nouveaux élèves viennent s'inscrire à l'école aujourd'hui.
报道	le reportage; rapporter	Les informations ont rapporté cette affaire.
报告	le rapport; faire un exposé	Il est en train de faire un exposé.
报社	la rédaction d'un journal	Elle travaille dans la rédaction d'un journal.
抱怨	se plaindre	Il se plaint toujours d'avoir trop de travail.
悲观	pessimiste	Ne sois pas trop pessimiste.
背	le dos	Il est assis le dos tourné vers la porte.
背景	le contexte; le parcours	Présente brièvement ton parcours, s'il te plaît.
被子	la couette	La couette est très chaude.
本科	la licence; de premier cycle	Il est étudiant en licence.
本领	la compétence; la capacité	Il a appris une nouvelle compétence.
本质	l'essence; la nature	L'essence du problème est très simple.
彼此	l'un l'autre	Nous devons nous respecter les uns les autres.
比例	la proportion; le ratio	La proportion d'hommes et de femmes est à peu près la même.
必然	inévitable; certain	Les efforts donnent forcément des résultats.
必要	nécessaire	Il n'est pas nécessaire de s'inquiéter.
毕竟	après tout	Après tout, il est encore un enfant.
避免	éviter	Évite d'être en retard, s'il te plaît.
编辑	rédiger; l'éditeur	Il est responsable de la rédaction de cet article.
鞭炮	les pétards	Pendant la fête du Printemps, certaines personnes font éclater des pétards.
便	alors; aussitôt	Après avoir mangé, il est allé en cours.
辩论	le débat; débattre	Ils débattent de cette question.
标点	la ponctuation	Faites attention à la ponctuation, s'il vous plaît.
标志	le signe; le symbole	Le feu rouge est le signe qu'il faut s'arrêter.
表达	exprimer	Il a exprimé son propre point de vue.
表面	la surface	La surface de la table est très propre.
表明	montrer; indiquer	Le résultat montre qu'il a raison.
表情	l'expression	Son expression est très sérieuse.
表现	la performance; se comporter	Il s'est très bien comporté aujourd'hui.
冰激凌	la glace	Les enfants aiment manger de la glace.
病毒	le virus	Ce type de virus se propage très vite.
播放	diffuser; mettre	Mets cette chanson, s'il te plaît.
玻璃	le verre	Le verre s'est cassé.
博物馆	le musée	Nous allons au musée ce week-end.
脖子	le cou	J'ai un peu mal au cou.
不断	continuellement; sans cesse	Les prix ne cessent d'augmenter.
不见得	pas forcément	Ce n'est pas forcément une mauvaise chose.
不耐烦	impatient	Après avoir attendu longtemps, il est devenu un peu impatient.
不要紧	ce n'est pas grave	Ce n'est rien, ce n'est pas grave.
补充	compléter; ajouter	Je voudrais ajouter un avis.
不安	inquiet; mal à l'aise	Après avoir entendu cette nouvelle, elle s'est sentie inquiète.
不得了	très grave; terrible	Cette affaire est vraiment grave.
不然	sinon	Partons vite, sinon nous serons en retard.
不如	il vaut mieux; ne pas valoir autant	Au lieu de prendre un véhicule, il vaut mieux marcher.
不足	insuffisant; manquer de	Il n'y a pas assez d'eau ici.
布	le tissu	Ce morceau de tissu est très doux.
步骤	l'étape	Suivez les étapes, s'il vous plaît.
部门	le service; le département	Je travaille au service des ventes.
财产	le bien; la propriété	Cette maison est sa propriété.
彩虹	l'arc-en-ciel	Un arc-en-ciel est apparu après la pluie.
踩	marcher sur	Ne marche pas sur l'herbe.
采访	interviewer; faire un reportage	Le journaliste interviewe le médecin.
采取	adopter; prendre	Nous avons adopté une nouvelle méthode.
参考	consulter; la référence	Consulte ce livre, s'il te plaît.
参与	participer	Il participe activement aux activités.
惭愧	avoir honte	J'ai honte de mon erreur.
操场	le terrain de sport; la cour	Les élèves courent sur le terrain de sport.
操心	s'inquiéter	Ne t'inquiète pas pour moi.
册	le volume; le fascicule	J'ai acheté un volume d'un livre.
测验	le test; tester	Il y aura un petit test demain.
曾经	autrefois; avoir déjà	J'ai autrefois vécu à Pékin.
叉子	la fourchette	Je mange la salade avec une fourchette.
差距	l'écart	Il y a un écart entre la ville et la campagne.
插	insérer; mettre	Mets les fleurs dans le vase, s'il te plaît.
拆	démonter; démolir	Les ouvriers démolissent une vieille maison.
产品	le produit	Ce produit est de très bonne qualité.
产生	produire; apparaître	Ce problème a produit un nouvel effet.
常识	le bon sens; les connaissances générales	C'est du bon sens de base.
长途	longue distance	Les voyages longue distance sont fatigants.
抄	copier	Ne copie pas les devoirs des autres.
超级	super; hyper	C'est un supermarché.
朝	la dynastie	La dynastie Tang est très célèbre.
潮湿	humide	L'été dans le sud est très humide.
吵	bruyant	Il y a beaucoup de bruit dehors.
吵架	se disputer	Ils se sont encore disputés.
炒	faire sauter; faire frire	Maman fait sauter des légumes.
车库	le garage	La voiture est garée dans le garage.
车厢	le wagon	Ce wagon est très calme.
彻底	complètement; à fond	Il a complètement compris.
沉默	le silence; silencieux	Il est resté silencieux tout le temps.
趁	profiter de	Partons pendant qu'il ne fait pas encore nuit.
称	peser; appeler	Pèse ce colis, s'il te plaît.
