simplified	NL	example_NL
哎	hé; he	Hé, wat brengt jou hier?
唉	zucht; ach	Ach, ik ben weer te laat.
爱护	zorg dragen voor; beschermen	We moeten zorg dragen voor het milieu.
爱惜	koesteren; zuinig omgaan met	Koester je eigen tijd.
爱心	medeleven; zorgzaamheid	Zij is erg zorgzaam.
安慰	troosten	Mijn vriend troostte me.
安装	installeren	De arbeider installeert de airconditioner.
岸	de oever; de kust	De boot nadert langzaam de oever.
暗	donker; verborgen	Het is erg donker in de kamer.
熬夜	laat opblijven	Laat opblijven is slecht voor je gezondheid.
把握	zekerheid; greep	Ik weet niet zeker of ik dit goed kan doen.
摆	neerzetten; rangschikken	Zet de stoelen netjes neer.
办理	afhandelen; regelen	Ik ga naar de bank om zaken te regelen.
傍晚	de avondschemering; tegen de avond	We gaan tegen de avond wandelen.
包裹	het pakket	Ik heb een pakket ontvangen.
包含	bevatten	De prijs bevat ontbijt.
包括	omvatten; inbegrepen zijn	De kosten zijn inclusief lunch.
薄	dun	Dit boek is erg dun.
保持	behouden; handhaven	Houd alsjeblieft stilte.
保存	opslaan; bewaren	Sla dit bestand op.
保留	reserveren; behouden	Reserveer alsjeblieft een stoel voor mij.
保险	de verzekering; veilig	Ik heb een reisverzekering gekocht.
宝贝	de schat; lieverd	Dit is mijn schat.
宝贵	kostbaar	Tijd is erg kostbaar.
报到	zich melden; registreren	Nieuwe studenten melden zich vandaag op school.
报道	het nieuwsbericht; berichten	Het nieuws berichtte over deze zaak.
报告	het verslag; rapporteren	Hij geeft een verslag.
报社	de krantenredactie	Zij werkt bij een krantenredactie.
抱怨	klagen	Hij klaagt altijd dat er te veel werk is.
悲观	pessimistisch	Wees niet te pessimistisch.
背	de rug	Hij zit met zijn rug naar de deur.
背景	de achtergrond	Stel kort je achtergrond voor.
被子	de deken; het dekbed	Het dekbed is erg warm.
本科	de bacheloropleiding	Hij is bachelorstudent.
本领	de vaardigheid	Hij heeft een nieuwe vaardigheid geleerd.
本质	de essentie	De essentie van het probleem is heel eenvoudig.
彼此	elkaar	We moeten elkaar respecteren.
比例	de verhouding	De verhouding tussen mannen en vrouwen is ongeveer gelijk.
必然	onvermijdelijk	Hard werken levert onvermijdelijk resultaat op.
必要	noodzakelijk	Het is niet nodig om je zorgen te maken.
毕竟	tenslotte; uiteindelijk	Uiteindelijk is hij nog een kind.
避免	vermijden	Vermijd alsjeblieft te laat komen.
编辑	bewerken; de redacteur	Hij is verantwoordelijk voor het bewerken van dit artikel.
鞭炮	het vuurwerk; de rotjes	Tijdens het Lentefeest steken sommige mensen rotjes af.
便	dan; vervolgens	Na het eten ging hij naar de les.
辩论	het debat; debatteren	Zij debatteren over deze vraag.
标点	de interpunctie	Let alsjeblieft op de interpunctie.
标志	het teken; het symbool	Een rood licht is een teken om te stoppen.
表达	uitdrukken	Hij drukte zijn eigen mening uit.
表面	het oppervlak	Het oppervlak van de tafel is erg schoon.
表明	aantonen; duidelijk maken	Het resultaat toont aan dat hij gelijk heeft.
表情	de gezichtsuitdrukking	Haar gezichtsuitdrukking is erg ernstig.
表现	prestatie; zich tonen	Hij presteerde vandaag erg goed.
冰激凌	het ijs	Kinderen eten graag ijs.
病毒	het virus	Dit soort virus verspreidt zich erg snel.
播放	afspelen; uitzenden	Speel alsjeblieft dit liedje af.
玻璃	het glas	Het glazen kopje is gebroken.
博物馆	het museum	We gaan dit weekend naar het museum.
脖子	de nek	Mijn nek doet een beetje pijn.
不断	voortdurend	De prijzen blijven voortdurend stijgen.
不见得	niet noodzakelijk	Dit is niet noodzakelijk iets slechts.
不耐烦	ongeduldig	Na lang wachten werd hij een beetje ongeduldig.
不要紧	het maakt niet uit	Het is goed; het maakt niet uit.
补充	aanvullen	Ik wil één mening toevoegen.
不安	ongerust	Na het horen van dit nieuws voelde zij zich ongerust.
不得了	heel ernstig	Deze zaak is echt ernstig.
不然	anders	Ga snel weg, anders kom je te laat.
不如	beter dan; niet zo goed als	In plaats van met een voertuig te gaan, is lopen beter.
不足	onvoldoende	Er is hier niet genoeg water.
布	de stof	Dit stuk stof is erg zacht.
步骤	de stap	Volg alsjeblieft de stappen.
部门	de afdeling	Ik werk op de verkoopafdeling.
财产	het eigendom	Dit huis is zijn eigendom.
彩虹	de regenboog	Na de regen verscheen er een regenboog.
踩	stappen op	Stap niet op het gras.
采访	interviewen	De verslaggever interviewt de arts.
采取	nemen; toepassen	We hebben een nieuwe methode toegepast.
参考	raadplegen; de verwijzing	Raadpleeg alsjeblieft dit boek.
参与	deelnemen	Hij neemt actief deel aan activiteiten.
惭愧	beschaamd	Ik schaam me voor mijn eigen fout.
操场	de speelplaats; het sportveld	De leerlingen rennen op het sportveld.
操心	zich zorgen maken	Maak je geen zorgen om mij.
册	het deel; boekdeel	Ik heb één boekdeel gekocht.
测验	de toets	Morgen is er een kleine toets.
曾经	ooit	Ik heb ooit in Beijing gewoond.
叉子	de vork	Ik eet salade met een vork.
差距	de kloof	Er is een kloof tussen stad en platteland.
插	inzetten; insteken	Zet de bloemen alsjeblieft in de vaas.
拆	afbreken; uit elkaar halen	De arbeiders breken het oude huis af.
产品	het product	Dit product is van zeer goede kwaliteit.
产生	ontstaan; veroorzaken	Deze kwestie had een nieuw gevolg.
常识	het gezond verstand; algemene kennis	Dit is basiskennis.
长途	lange afstand	Een lange reis is vermoeiend.
抄	overschrijven; plagiaat plegen	Schrijf alsjeblieft het huiswerk van anderen niet over.
超级	super-; uitstekend	Dit is een supermarkt.
朝	de dynastie	De Tang-dynastie is erg beroemd.
潮湿	vochtig	Zomers in het zuiden zijn erg vochtig.
吵	lawaaiig; lawaai maken	Het is buiten erg lawaaiig.
吵架	ruzie maken	Zij maakten weer ruzie.
炒	roerbakken	Moeder roerbakt eten.
车库	de garage	De auto staat in de garage.
车厢	de wagon	Deze treinwagon is erg stil.
彻底	grondig	Hij heeft het grondig begrepen.
沉默	zwijgen; stil	Hij zweeg de hele tijd.
趁	terwijl; gebruikmaken van	Laten we vertrekken terwijl het nog niet donker is.
称	wegen; noemen	Weeg dit pakket alsjeblieft.
称呼	aanspreken; de aanspreekvorm	Ik weet niet hoe ik hem moet aanspreken.
称赞	prijzen	De leraar prees zijn vooruitgang.
成分	het ingrediënt; de samenstelling	De ingrediënten van dit medicijn zijn eenvoudig.
成果	het resultaat; de prestatie	Dit project leverde resultaat op.
成就	de prestatie; het succes	Hij heeft veel prestaties in zijn carrière.
成立	oprichten	Het bedrijf werd vorig jaar opgericht.
成人	de volwassene	Kaartjes voor volwassenen zijn duurder dan kaartjes voor kinderen.
成熟	rijp; volwassen	De appels zijn al rijp.
成语	het Chinese idioom	Dit idioom wordt vaak gebruikt.
成长	opgroeien; groei	Het kind groeit langzaam op.
承担	op zich nemen; dragen	Hij is bereid verantwoordelijkheid te nemen.
承认	toegeven	Hij gaf toe dat hij fout zat.
承受	verdragen; dragen	Ik kan zo veel druk niet verdragen.
程度	het niveau; de mate	Zijn niveau Chinees is erg hoog.
程序	de procedure; de volgorde	Handel dit alsjeblieft volgens de procedure af.
诚恳	oprecht; hartelijk	Zijn houding is erg oprecht.
吃亏	verlies lijden; benadeeld worden	Kijk goed voordat je iets koopt, zodat je niet benadeeld wordt.
持续	voortduren; aanhouden	De regen hield drie dagen aan.
池塘	de vijver	Er zijn veel vissen in de vijver.
迟早	vroeg of laat	Vroeg of laat zul je het begrijpen.
尺子	de liniaal	Meet het alsjeblieft met een liniaal.
翅膀	de vleugel	De vleugel van de vogel is gewond.
充电器	de oplader	Mijn oplader is kapot.
充分	voldoende; volledig	We hebben volledige voorbereidingen getroffen.
充满	vol zijn van	De kamer was vol gelach.
冲	afspoelen; zetten met water	Spoel de beker alsjeblieft met water af.
重复	herhalen	Maak alsjeblieft niet dezelfde fout opnieuw.
宠物	het huisdier	Zij heeft een hond als huisdier.
抽屉	de lade	De sleutel ligt in de lade.
抽象	abstract	Dit begrip is te abstract.
丑	lelijk	Deze foto is een beetje lelijk.
臭	stinkend; de stank	Het afval stinkt.
出版	publiceren; uitgeven	Dit boek werd vorig jaar uitgegeven.
出口	de uitgang; exporteren	De uitgang is verderop.
出色	uitstekend	Haar optreden is uitstekend.
出示	tonen; overleggen	Toon alstublieft uw paspoort.
出席	aanwezig zijn; deelnemen	Hij zal de vergadering bijwonen.
初级	beginner-; elementair	Ik leer Chinees in de beginnersklas.
除非	tenzij; alleen als	Tenzij het regent, gaan we morgen wandelen.
除夕	oudejaarsavond	Op oudejaarsavond eet onze hele familie samen.
处理	afhandelen; omgaan met	Ik zal dit probleem afhandelen.
传播	zich verspreiden; verspreiden	Dit nieuws verspreidde zich erg snel.
传染	besmetten; aanstekelijk	Verkoudheid verspreidt zich gemakkelijk.
传说	de legende	Dit is een oude legende.
传统	de traditie; traditioneel	Het Lentefeest is een traditionele Chinese feestdag.
窗帘	het gordijn	Open alsjeblieft de gordijnen.
闯	doorbreken; zomaar doen	Hij reed per ongeluk door rood.
创造	creëren; scheppen	Mensen creëerden nieuwe gereedschappen.
吹	waaien; blazen	De wind waait hard.
词汇	de woordenschat	Dit woord wordt vaak gebruikt.
辞职	ontslag nemen	Hij besloot ontslag te nemen.
此外	bovendien; daarnaast	Daarnaast heb ik nog een vraag.
刺激	prikkelend; spannend	Dit spel is erg spannend.
次要	secundair	Dit probleem is secundair.
匆忙	haastig; in haast	Hij ging haastig van huis.
从此	vanaf toen; voortaan	Vanaf toen sportte hij elke dag.
从而	daardoor; zodoende	Hij studeerde hard en slaagde daardoor voor het examen.
从前	vroeger	Vroeger was hier geen metro.
从事	werkzaam zijn in; zich bezighouden met	Zij werkt in het onderwijs.
粗糙	ruw; grof	Dit vel papier is erg ruw.
促进	bevorderen	Sport kan de gezondheid bevorderen.
促使	ertoe aanzetten; veroorzaken	Deze zaak zette hem ertoe aan zijn plan te veranderen.
醋	de azijn	Er werd azijn aan het gerecht toegevoegd.
催	aansporen; opjagen	Mama spoorde me aan snel naar buiten te gaan.
存在	bestaan	Dit probleem bestaat nog steeds.
措施	de maatregel	De school nam veiligheidsmaatregelen.
答应	instemmen; beloven	Hij stemde ermee in mij te helpen.
达到	bereiken	Zijn cijfers bereikten de norm.
打工	parttime werken; bijverdienen	Hij werkt in de zomervakantie parttime in een restaurant.
打交道	te maken hebben met	Ik heb vaak met klanten te maken.
打喷嚏	niezen	Hij is verkouden en niest steeds.
打听	navragen; informeren	Ik wil graag informeren naar treinkaartjes.
大方	genereus; smaakvol	Zij is erg genereus met geld.
大厦	het hoge gebouw	Dat hoge gebouw is erg hoog.
大象	de olifant	De kinderen kijken naar olifanten in de dierentuin.
大型	groot; grootschalig	Hier wordt een groot winkelcentrum gebouwd.
呆	blijven; zitten	Hij blijft thuis lezen.
代表	vertegenwoordigen; de vertegenwoordiger	Deze bloem staat voor vriendschap.
代替	vervangen; in plaats van	Vandaag zal ik in zijn plaats de vergadering bijwonen.
待遇	de arbeidsvoorwaarden; behandeling	De arbeidsvoorwaarden bij dit bedrijf zijn goed.
贷款	de lening	Zij hebben een hypotheek aangevraagd.
单纯	eenvoudig; puur	Haar idee is erg eenvoudig.
单调	eentonig	Dit werk is een beetje eentonig.
单独	alleen; afzonderlijk	Ik wil alleen met je praten.
单位	de eenheid; de werkplek	Hij werkt bij een publieke instelling.
单元	de lesunit; het hoofdstuk	Vandaag leren we hoofdstuk drie.
担任	de functie vervullen	Zij is verantwoordelijk voor dit evenement.
耽误	vertragen; tijd verspillen	Verspil niet ieders tijd.
胆小鬼	de lafaard	Noem hem geen lafaard.
淡	flauw; licht	Deze kom soep is een beetje flauw.
当地	lokaal	De lokale mensen houden allemaal van deze markt.
当心	oppassen	De weg is glad, dus wees voorzichtig.
挡	blokkeren	Deze auto blokkeert de ingang.
倒霉	pech hebben	Vandaag heb ik echt pech; ik ben mijn telefoon kwijt.
导演	de regisseur; regisseren	Deze regisseur is erg beroemd.
导致	leiden tot; veroorzaken	De zware regen veroorzaakte een file.
岛屿	het eiland	Dit land heeft veel eilanden.
到达	aankomen	De trein kwam op tijd in Shanghai aan.
道德	de moraal; ethiek	Een mens hoort morele principes te hebben.
道理	de reden; het principe	Wat hij zei, klinkt heel logisch.
登记	registreren; inchecken	Registreer u eerst bij de receptie.
等待	wachten op	We wachten op het resultaat.
等于	gelijk zijn aan	Vijf plus vijf is gelijk aan tien.
滴	de druppel; druppelen	Een druppel water viel op de tafel.
敌人	de vijand	Zij zijn geen vijanden.
的确	inderdaad	Deze zaak is inderdaad erg belangrijk.
地道	authentiek; echt	Hij spreekt authentiek Beijings dialect.
地理	de geografie	Ik ben erg geïnteresseerd in de geografie van China.
地区	de regio	In deze regio is het in de winter erg koud.
地毯	het tapijt	Er ligt een tapijt in de woonkamer.
地位	de positie; status	Onderwijs heeft een belangrijke positie in de samenleving.
地震	de aardbeving	Gisteravond was hier een aardbeving.
递	overhandigen; doorgeven	Geef deze brief alsjeblieft aan de leraar.
点心	de snack; dimsum	's Middags aten we snacks.
电池	de batterij	Dit speelgoed heeft twee batterijen nodig.
电台	het radiostation	Hij presenteert een programma bij een radiostation.
钓	vissen	Opa gaat graag bij de rivier vissen.
顶	de bovenkant; classifier	Er staat een zwarte hoed op zijn hoofd.
冻	bevriezen; het koud hebben	Het is buiten zo koud dat het water is bevroren.
动画片	de tekenfilm	De kinderen kijken tekenfilms.
洞	het gat; de grot	Er zit een klein gat in de muur.
豆腐	de tofu	Dit tofugerecht is heerlijk.
逗	plagen; aan het lachen maken	Zijn woorden maakten iedereen aan het lachen.
独立	onafhankelijk	Zij wil zelfstandig wonen.
独特	uniek	Deze stad heeft een unieke cultuur.
度过	doorbrengen; doorkomen	We brachten de vakantie aan zee door.
断	breken; afbreken	Dit touw brak.
堆	de stapel; opstapelen	Er ligt een stapel documenten op tafel.
兑换	wisselen	Ik wil graag wat renminbi wisselen.
对比	vergelijken; de vergelijking	Vergelijk alsjeblieft deze twee plannen.
对待	behandelen	We moeten iedereen eerlijk behandelen.
对方	de andere partij	Luister eerst naar de mening van de andere partij.
对手	de tegenstander	Zijn tegenstander is erg sterk.
对象	het object; de partner	De onderzoeksobjecten zijn universiteitsstudenten.
吨	de ton	Deze vrachtwagen kan drie ton goederen vervoeren.
蹲	hurken	Hij hurkt op de grond en zoekt zijn sleutels.
顿	de maaltijd; keer	We hebben samen gegeten.
多亏	dankzij	Dankzij jouw hulp heb ik de taak voltooid.
多余	overbodig	Deze zin is overbodig.
朵	classifier voor bloemen	Er staat een bloem op tafel.
躲藏	zich verstoppen	Het katje verstopt zich onder het bed.
恶劣	heel slecht; beroerd	Het weer is vandaag heel slecht.
耳环	de oorbel	Zij draagt een paar oorbellen.
发表	publiceren; uiten	Hij uitte zijn mening tijdens de vergadering.
发愁	zich zorgen maken	Maak je geen zorgen over zoiets kleins.
发达	ontwikkeld	Het vervoer in deze stad is goed ontwikkeld.
发抖	beven; rillen	Hij rilt van de kou.
发挥	benutten; laten zien	Gebruik alsjeblieft je verbeelding.
发明	de uitvinding; uitvinden	De elektrische lamp is een belangrijke uitvinding.
发票	de factuur	Schrijf alstublieft een factuur voor mij uit.
发言	het woord nemen; de toespraak	Hij nam het woord tijdens de vergadering.
罚款	de boete	Illegaal parkeren wordt beboet.
法院	de rechtbank	Deze zaak werd aan de rechtbank overgedragen.
翻	omslaan; omdraaien	Sla het boek alsjeblieft open op pagina tien.
繁荣	florerend; welvarend	De economie wordt geleidelijk welvarender.
反而	integendeel; juist	Hij werd niet boos; integendeel, hij lachte.
反复	herhaaldelijk	Deze zin moet herhaaldelijk geoefend worden.
反应	de reactie	Hij reageert snel.
反映	weerspiegelen	Dit rapport weerspiegelt de werkelijke situatie.
反正	hoe dan ook	Hoe dan ook heb ik morgen tijd.
范围	de reikwijdte; het bereik	Ga alsjeblieft niet buiten dit bereik.
方	het vierkant; vierkant	Teken alsjeblieft een vierkant op het papier.
方案	het plan; voorstel	Dit plan is redelijk.
方式	de manier; methode	Deze manier van studeren is erg effectief.
妨碍	hinderen	Stoor alsjeblieft het werk van anderen niet.
仿佛	alsof; lijken	Hij lijkt alles te weten.
非	niet-; zonder	Deze zaak kan niet zonder jou worden gedaan.
肥皂	de zeep	Gebruik zeep wanneer je je handen wast.
废话	onzin; overbodige woorden	Stop met die onzin en begin snel.
分别	afscheid nemen; onderscheiden	Zij namen afscheid op het station.
分布	verspreid zijn	Deze winkels zijn door de hele stad verspreid.
分配	toewijzen; verdelen	De leraar wees een nieuwe taak toe.
分手	uit elkaar gaan	Zij gingen vorig jaar uit elkaar.
分析	analyseren; de analyse	We moeten de oorzaken analyseren.
纷纷	een voor een	Iedereen sprak een voor een zijn instemming uit.
奋斗	strijden; zich inspannen	Jonge mensen moeten zich inzetten voor hun dromen.
疯狂	gek; wild	De fans juichten wild.
风格	de stijl	De stijl van dit restaurant is erg karakteristiek.
风景	het landschap	Het landschap op de berg is mooi.
风俗	de gewoonte	Elke plaats heeft zijn eigen gewoonten.
风险	het risico	Investeren brengt een zeker risico mee.
讽刺	satiriseren; bespotten	Dit artikel bespotte sociale problemen.
否定	ontkennen	Hij ontkende deze bewering.
否认	ontkennen	Hij ontkende dat hij een fout had gemaakt.
幅	classifier voor schilderijen en textiel	Er hangt een schilderij aan de muur.
扶	ondersteunen; helpen	Help de oudere persoon alsjeblieft de straat oversteken.
服装	de kleding	Deze winkel verkoopt kinderkleding.
辅导	begeleiden; bijles geven	De leraar begeleidt studenten na de les.
复制	kopiëren	Maak alsjeblieft een kopie van dit document.
妇女	de vrouwen	Dit ziekenhuis biedt diensten voor vrouwen.
改革	de hervorming; hervormen	De school voert een onderwijshervorming door.
改进	verbeteren	We moeten de kwaliteit van de service verbeteren.
改善	verbeteren	Beweging kan de slaap verbeteren.
改正	corrigeren	Verbeter fouten alsjeblieft op tijd.
概括	samenvatten	Vat de inhoud van het artikel samen.
概念	het begrip	Dit begrip is niet zo gemakkelijk te begrijpen.
盖	afdekken; het deksel	Doe de beker alsjeblieft goed dicht.
干脆	gewoon; ronduit	Je kunt vandaag net zo goed niet gaan.
干燥	droog	Winters in het noorden zijn erg droog.
感激	dankbaar zijn	Ik ben erg dankbaar voor je hulp.
感受	het gevoel; ervaren	Ik kan je gevoelens begrijpen.
感想	de gedachten; indrukken	Vertel alsjeblieft over je gedachten.
赶紧	haast maken	Het wordt laat, dus vertrek snel.
赶快	snel; meteen	Doe de deur snel dicht.
干活儿	handwerk doen; werken	Hij werkt op de binnenplaats.
钢铁	het staal	Deze brug is van staal gemaakt.
高档	luxe; hoogwaardig	Dit is een luxe hotel.
高级	gevorderd; hoogstaand	Zij ging naar een gevorderde Chinese les.
搞	doen; organiseren	Wat voor evenement organiseer je?
告别	afscheid nemen	We namen op het vliegveld afscheid van onze vriend.
格外	bijzonder; extra	De lucht is vandaag bijzonder blauw.
隔壁	naast de deur	Naast ons woont een leraar.
个别	enkele; individueel	Enkele studenten hebben hun huiswerk nog niet ingeleverd.
个人	persoonlijk	Dit is mijn persoonlijke mening.
个性	de persoonlijkheid	Zij heeft veel persoonlijkheid.
各自	ieder zijn eigen	Iedereen voltooit zijn eigen taak.
根	de wortel; classifier voor lange dunne dingen	Er ligt een draad onder de tafel.
根本	fundamenteel; helemaal niet	Dit probleem is helemaal niet moeilijk.
公布	bekendmaken	De school maakte de examenresultaten bekend.
公开	openbaar	Deze vergadering is openbaar.
公平	eerlijk	De wedstrijd moet eerlijk zijn.
公寓	het appartement	Zij huurde een klein appartement.
公元	na Christus	Dit jaar is 2026 na Christus.
公主	de prinses	Het kleine meisje houdt van prinsessenverhalen.
功能	de functie	Deze software heeft veel functies.
工厂	de fabriek	Deze fabriek produceert auto's.
工程师	de ingenieur	Mijn oudere broer is ingenieur.
工具	het gereedschap	Voor het repareren van een fiets heb je gereedschap nodig.
工人	de arbeider	De arbeiders repareren de weg.
工业	de industrie	Deze stad is vooral op industrie gebaseerd.
恭喜	gefeliciteerd	Gefeliciteerd met het halen van het examen.
贡献	de bijdrage	Hij leverde een bijdrage aan het bedrijf.
沟通	communicatie	Goede communicatie is erg belangrijk.
构成	vormen	Deze onderdelen vormen een geheel.
姑姑	de tante van vaderskant	Ik ga dit weekend mijn tante bezoeken.
姑娘	het meisje; de jonge vrouw	Die jonge vrouw is erg hartelijk.
古代	de oudheid	In de oudheid waren er geen mobiele telefoons.
古典	klassiek	Ik houd van klassieke muziek.
股票	het aandeel	Hij kocht wat aandelen.
骨头	het bot	Dit bot is erg hard.
鼓舞	aanmoedigen; inspirerend	Dit nieuws is erg bemoedigend.
鼓掌	applaudisseren	Het publiek applaudisseerde voor de acteurs.
固定	vast	Ik heb vaste werktijden.
挂号	zich registreren bij de dokter	Je moet je registreren voordat je naar de dokter gaat.
乖	braaf	Dit kind is erg braaf.
拐弯	afslaan	Sla rechtsaf bij de kruising voor je.
怪不得	geen wonder	Geen wonder dat je zo moe bent.
关闭	sluiten; uitschakelen	Schakel de computer uit voordat je vertrekt.
官	de ambtenaar	Hij is een jonge ambtenaar.
观察	observeren	De dokter observeert de toestand van de patiënt.
观点	het standpunt	Ik ben het eens met jouw standpunt.
观念	het idee; de opvatting	De ideeën van jongeren veranderen.
管子	de buis	Deze buis lekt water.
