source_headword	KO	example_KO
incur	초래하다	지연으로 인해 추가 비용이 발생할 수 있습니다.
indicator	지표	실업률은 경제 지표 중 하나입니다.
indictment	기소	기소장에는 세 가지 혐의가 나열되어 있습니다.
indigenous	토착의	토착 식물들이 이곳에서 잘 자랍니다.
induce	유도하다	이 약은 수면을 유도할 수 있습니다.
indulge	탐닉하다	그녀는 값비싼 습관에 탐닉하지 않습니다.
inequality	불평등	소득 불평등은 여전히 주요 문제입니다.
infamous	악명 높은	그 감옥은 전 세계적으로 악명 높아졌습니다.
infant	유아	유아는 아기 침대에서 잤습니다.
infect	감염시키다	바이러스는 건강한 세포를 감염시킬 수 있습니다.
inflict	가하다	동물에게 고통을 가하지 마십시오.
influential	영향력 있는	그녀는 영향력 있는 법학자입니다.
inherent	내재하는	이 디자인에는 내재된 위험이 있습니다.
inhibit	억제하다	두려움은 솔직한 토론을 억제할 수 있습니다.
initiate	시작하다	관리자가 검토를 시작할 것입니다.
inject	주사하다	간호사가 백신을 주사할 것입니다.
injection	주사	주사로 통증이 줄었습니다.
injustice	불의	그 판결은 명백한 불의를 드러냈습니다.
inmate	수감자	수감자가 법적 조언을 요청했습니다.
insertion	삽입	양식에 텍스트 삽입이 하나 필요합니다.
insider	내부자	내부자가 보고서를 유출했습니다.
inspect	점검하다	관계자들은 매년 다리를 점검합니다.
inspection	검사	검사 결과 심각한 손상이 발견되었습니다.
inspiration	영감	그녀의 연설은 나에게 영감을 주었습니다.
instinct	본능	그의 첫 번째 본능은 돕는 것이었습니다.
institutional	제도의	제도적 규칙이 그 결정을 형성했습니다.
instruct	지시하다	이 매뉴얼은 신입 직원들에게 지시할 것입니다.
instrumental	중요한 역할을 하는	그녀의 조언은 협상에서 중요한 역할을 했습니다.
insufficient	불충분한	증거가 기소하기에 불충분했습니다.
insult	모욕	그의 모욕으로 대화가 끝났습니다.
intact	온전한	고대 성벽은 온전하게 남아 있었습니다.
intake	섭취량	설탕 섭취량은 적당하게 유지해야 합니다.
integral	필수적인	신뢰는 팀에 필수적입니다.
integrated	통합된	그 학교는 통합 지원을 제공합니다.
integration	통합	통합으로 전체 시스템이 개선되었습니다.
integrity	청렴	판사는 대단한 청렴함을 보여주었습니다.
intensify	심해지다	폭풍은 밤새 심해질 수 있습니다.
intensity	강도	훈련 강도가 높아졌습니다.
intensive	집중적인	그들은 집중 어학 훈련을 마쳤습니다.
intent	의도	그의 의도를 증명하기는 어려웠습니다.
interactive	상호작용하는	그 박물관에는 대화형 전시가 있습니다.
